x0	Cl	x1	Cd	
150.00208 	 0.78790 	150.00208 	 0.38097 	 
150.35501 	 0.77646 	150.35501 	 0.37880 	 
150.70793 	 0.76162 	150.70793 	 0.37411 	 
151.06086 	 0.76123 	151.06086 	 0.37259 	 
151.41379 	 0.79283 	151.41379 	 0.38760 	 
151.76671 	 0.81415 	151.76671 	 0.39487 	 
152.11964 	 0.83331 	152.11964 	 0.40390 	 
152.47257 	 0.83709 	152.47257 	 0.40863 	 
152.82549 	 0.80977 	152.82549 	 0.39613 	 
153.17842 	 0.77714 	153.17842 	 0.38495 	 
153.53135 	 0.73713 	153.53135 	 0.37481 	 
153.88427 	 0.68928 	153.88427 	 0.36245 	 
154.23720 	 0.63407 	154.23720 	 0.34727 	 
154.59013 	 0.59466 	154.59013 	 0.34426 	 
154.94305 	 0.53659 	154.94305 	 0.33238 	 
155.29598 	 0.49992 	155.29598 	 0.32442 	 
155.64891 	 0.50383 	155.64891 	 0.32667 	 
156.00183 	 0.52540 	156.00183 	 0.33007 	 
156.35476 	 0.52602 	156.35476 	 0.31492 	 
156.70769 	 0.54855 	156.70769 	 0.31078 	 
157.06061 	 0.59078 	157.06061 	 0.31592 	 
157.41354 	 0.64049 	157.41354 	 0.32366 	 
157.76647 	 0.68691 	157.76647 	 0.33419 	 
158.11939 	 0.72631 	158.11939 	 0.34355 	 
158.47232 	 0.74013 	158.47232 	 0.34417 	 
158.82525 	 0.75768 	158.82525 	 0.35466 	 
159.17817 	 0.77492 	159.17817 	 0.37136 	 
159.53110 	 0.77561 	159.53110 	 0.38304 	 
159.88403 	 0.74987 	159.88403 	 0.38613 	 
160.23695 	 0.71236 	160.23695 	 0.38529 	 
160.58988 	 0.65929 	160.58988 	 0.37680 	 
160.94281 	 0.62104 	160.94281 	 0.36902 	 
161.29573 	 0.60651 	161.29573 	 0.36635 	 
161.64866 	 0.61049 	161.64866 	 0.36429 	 
162.00159 	 0.61962 	162.00159 	 0.36054 	 
162.35451 	 0.61306 	162.35451 	 0.34712 	 
162.70744 	 0.62237 	162.70744 	 0.33947 	 
163.06037 	 0.64219 	163.06037 	 0.33307 	 
163.41329 	 0.66697 	163.41329 	 0.33083 	 
163.76622 	 0.70102 	163.76622 	 0.33589 	 
164.11915 	 0.75085 	164.11915 	 0.34913 	 
164.47207 	 0.79755 	164.47207 	 0.36737 	 
164.82500 	 0.82578 	164.82500 	 0.38265 	 
165.17793 	 0.81899 	165.17793 	 0.38910 	 
165.53086 	 0.78715 	165.53086 	 0.38832 	 
165.88378 	 0.73513 	165.88378 	 0.38219 	 
166.23671 	 0.69300 	166.23671 	 0.38007 	 
166.58964 	 0.65465 	166.58964 	 0.37596 	 
166.94256 	 0.64041 	166.94256 	 0.37633 	 
167.29549 	 0.61747 	167.29549 	 0.36542 	 
167.64842 	 0.63579 	167.64842 	 0.36825 	 
168.00134 	 0.63295 	168.00134 	 0.35722 	 
168.35427 	 0.64422 	168.35427 	 0.34968 	 
168.70720 	 0.69073 	168.70720 	 0.35675 	 
169.06012 	 0.73325 	169.06012 	 0.36563 	 
169.41305 	 0.76883 	169.41305 	 0.37204 	 
169.76598 	 0.81340 	169.76598 	 0.38651 	 
170.11890 	 0.86528 	170.11890 	 0.40987 	 
170.47183 	 0.88867 	170.47183 	 0.42234 	 
170.82476 	 0.88446 	170.82476 	 0.43079 	 
171.17768 	 0.86014 	171.17768 	 0.43760 	 
171.53061 	 0.81039 	171.53061 	 0.43863 	 
171.88354 	 0.75478 	171.88354 	 0.43804 	 
172.23646 	 0.70804 	172.23646 	 0.43313 	 
172.58939 	 0.67684 	172.58939 	 0.42541 	 
172.94232 	 0.64342 	172.94232 	 0.40818 	 
173.29524 	 0.62421 	173.29524 	 0.39495 	 
173.64817 	 0.60500 	173.64817 	 0.37473 	 
174.00110 	 0.59849 	174.00110 	 0.35571 	 
174.35402 	 0.58346 	174.35402 	 0.32912 	 
174.70695 	 0.60626 	174.70695 	 0.32259 	 
175.05988 	 0.60979 	175.05988 	 0.30821 	 
175.41280 	 0.65250 	175.41280 	 0.31328 	 
175.76573 	 0.74078 	175.76573 	 0.34245 	 
176.11866 	 0.84785 	176.11866 	 0.38388 	 
176.47158 	 0.92408 	176.47158 	 0.40952 	 
176.82451 	 0.93835 	176.82451 	 0.41303 	 
177.17744 	 0.92060 	177.17744 	 0.41204 	 
177.53036 	 0.87638 	177.53036 	 0.40731 	 
177.88329 	 0.81033 	177.88329 	 0.39464 	 
178.23622 	 0.74956 	178.23622 	 0.38942 	 
178.58914 	 0.69286 	178.58914 	 0.38195 	 
