   n        time         Cl         Cd         AoA         M
 1713860   300.00124   0.6775385   0.3709617  20.0000000   0.3000000
 1713880   300.00487   0.6762878   0.3702870  20.0000000   0.3000000
 1713900   300.00851   0.6788918   0.3717476  20.0000000   0.3000000
 1713920   300.01216   0.6809412   0.3728933  20.0000000   0.3000000
 1713940   300.01580   0.6826214   0.3738324  20.0000000   0.3000000
 1713960   300.01944   0.6845650   0.3749614  20.0000000   0.3000000
 1713980   300.02309   0.6862486   0.3759463  20.0000000   0.3000000
 1714000   300.02673   0.6875725   0.3766605  20.0000000   0.3000000
 1714020   300.03037   0.6891363   0.3774528  20.0000000   0.3000000
 1714040   300.03401   0.6905320   0.3782340  20.0000000   0.3000000
 1714060   300.03766   0.6910922   0.3786676  20.0000000   0.3000000
 1714080   300.04130   0.6912046   0.3789006  20.0000000   0.3000000
 1714100   300.04494   0.6909926   0.3789426  20.0000000   0.3000000
 1714120   300.04859   0.6906431   0.3789000  20.0000000   0.3000000
 1714140   300.05223   0.6901191   0.3787167  20.0000000   0.3000000
 1714160   300.05587   0.6899952   0.3786626  20.0000000   0.3000000
 1714180   300.05952   0.6907502   0.3790193  20.0000000   0.3000000
 1714200   300.06316   0.6915080   0.3794972  20.0000000   0.3000000
 1714220   300.06680   0.6913540   0.3796644  20.0000000   0.3000000
 1714240   300.07045   0.6907710   0.3796234  20.0000000   0.3000000
 1714260   300.07409   0.6910149   0.3799838  20.0000000   0.3000000
 1714280   300.07773   0.6925289   0.3810720  20.0000000   0.3000000
 1714300   300.08138   0.6946849   0.3826159  20.0000000   0.3000000
 1714320   300.08502   0.6967665   0.3841951  20.0000000   0.3000000
 1714340   300.08866   0.6984094   0.3854940  20.0000000   0.3000000
 1714360   300.09231   0.6995103   0.3863799  20.0000000   0.3000000
 1714380   300.09595   0.6999143   0.3868054  20.0000000   0.3000000
 1714400   300.09960   0.6993069   0.3866711  20.0000000   0.3000000
 1714420   300.10324   0.6977659   0.3860485  20.0000000   0.3000000
 1714440   300.10688   0.6961949   0.3854207  20.0000000   0.3000000
 1714460   300.11053   0.6957471   0.3853999  20.0000000   0.3000000
 1714480   300.11417   0.6968167   0.3861884  20.0000000   0.3000000
 1714500   300.11781   0.6986807   0.3873705  20.0000000   0.3000000
 1714520   300.12146   0.7000402   0.3882047  20.0000000   0.3000000
 1714540   300.12510   0.6999360   0.3881432  20.0000000   0.3000000
 1714560   300.12874   0.6983131   0.3871617  20.0000000   0.3000000
 1714580   300.13239   0.6958515   0.3856654  20.0000000   0.3000000
 1714600   300.13603   0.6933491   0.3841270  20.0000000   0.3000000
 1714620   300.13968   0.6911965   0.3827728  20.0000000   0.3000000
 1714640   300.14332   0.6892333   0.3814962  20.0000000   0.3000000
 1714660   300.14696   0.6870115   0.3800259  20.0000000   0.3000000
 1714680   300.15061   0.6842245   0.3781930  20.0000000   0.3000000
 1714700   300.15425   0.6809568   0.3760772  20.0000000   0.3000000
 1714720   300.15789   0.6776079   0.3739564  20.0000000   0.3000000
 1714740   300.16154   0.6746504   0.3721425  20.0000000   0.3000000
 1714760   300.16518   0.6723824   0.3708198  20.0000000   0.3000000
 1714780   300.16883   0.6708089   0.3699715  20.0000000   0.3000000
 1714800   300.17247   0.6696802   0.3694102  20.0000000   0.3000000
 1714820   300.17611   0.6686709   0.3689013  20.0000000   0.3000000
 1714840   300.17976   0.6675946   0.3683065  20.0000000   0.3000000
 1714860   300.18340   0.6664911   0.3676487  20.0000000   0.3000000
 1714880   300.18705   0.6655401   0.3670499  20.0000000   0.3000000
 1714900   300.19069   0.6648833   0.3666157  20.0000000   0.3000000
 1714920   300.19433   0.6645106   0.3663532  20.0000000   0.3000000
 1714940   300.19798   0.6642683   0.3661720  20.0000000   0.3000000
 1714960   300.20162   0.6639537   0.3659460  20.0000000   0.3000000
 1714980   300.20526   0.6634287   0.3655885  20.0000000   0.3000000
 1715000   300.20891   0.6626826   0.3650944  20.0000000   0.3000000
 1715020   300.21255   0.6618132   0.3645282  20.0000000   0.3000000
 1715040   300.21620   0.6609607   0.3639815  20.0000000   0.3000000
 1715060   300.21984   0.6602320   0.3635254  20.0000000   0.3000000
 1715080   300.22348   0.6596448   0.3631760  20.0000000   0.3000000
 1715100   300.22713   0.6591205   0.3628889  20.0000000   0.3000000
 1715120   300.23077   0.6585318   0.3625877  20.0000000   0.3000000
 1715140   300.23442   0.6577776   0.3622093  20.0000000   0.3000000
 1715160   300.23806   0.6568352   0.3617358  20.0000000   0.3000000
