f	SCl	
2.581702e+00 	 1.319447e-06 	 
2.598687e+00 	 1.781844e-06 	 
2.615672e+00 	 2.211304e-06 	 
2.632657e+00 	 8.473603e-07 	 
2.649642e+00 	 2.714655e-07 	 
2.666627e+00 	 9.280918e-07 	 
2.683611e+00 	 1.867513e-06 	 
2.700596e+00 	 2.723749e-06 	 
2.717581e+00 	 3.311519e-06 	 
2.734566e+00 	 2.651241e-06 	 
2.751551e+00 	 1.077758e-06 	 
2.768536e+00 	 4.091360e-07 	 
2.785521e+00 	 5.230494e-07 	 
2.802506e+00 	 5.758569e-07 	 
2.819491e+00 	 5.808273e-07 	 
2.836475e+00 	 1.047477e-06 	 
2.853460e+00 	 5.325530e-07 	 
2.870445e+00 	 1.649604e-06 	 
2.887430e+00 	 3.649503e-06 	 
2.904415e+00 	 8.927380e-07 	 
