xi       et       ze       x       y       z
 20         3       137        -0.487         0.035        -0.081
 35         9       137        -0.472         0.052        -0.081
 50        18       137        -0.453         0.071        -0.081
 65        26       137        -0.427         0.093        -0.081
 80        34       137        -0.394         0.118        -0.081
 95        42       137        -0.354         0.147        -0.081
110        49       137        -0.303         0.176        -0.081
125        56       137        -0.244         0.209        -0.081
140        62       137        -0.175         0.239        -0.081
