xi       et       ze       x       y       z
 20         3       187        -0.487         0.035        -0.191
 35         9       187        -0.472         0.052        -0.191
 50        18       187        -0.453         0.071        -0.191
 65        26       187        -0.427         0.093        -0.191
 80        34       187        -0.394         0.118        -0.191
 95        41       187        -0.351         0.144        -0.191
110        49       187        -0.303         0.176        -0.191
125        56       187        -0.244         0.209        -0.191
140        61       187        -0.172         0.233        -0.191
