xi       et       ze       x       y       z
 20         3        37        -0.487         0.035         0.139
 35         9        37        -0.472         0.052         0.139
 50        18        37        -0.453         0.071         0.139
 65        26        37        -0.427         0.093         0.139
 80        34        37        -0.394         0.118         0.139
 95        42        37        -0.354         0.147         0.139
110        49        37        -0.303         0.176         0.139
125        56        37        -0.244         0.209         0.139
140        63        37        -0.178         0.245         0.139
