x0       	y0     		z0	x1       	y1     		z1
-0.436         0.084         0.029	-0.436         0.084        -0.081
-0.418         0.102         0.029	-0.418         0.102        -0.081
-0.394         0.118         0.029	-0.394         0.118        -0.081
-0.367         0.136         0.029	-0.367         0.136        -0.081
-0.337         0.155         0.029	-0.337         0.155        -0.081
-0.303         0.176         0.029	-0.300         0.172        -0.081
-0.263         0.194         0.029	-0.268         0.204        -0.081
-0.222         0.218         0.029	-0.219         0.213        -0.081
-0.178         0.245         0.029	-0.181         0.252        -0.081
