x0	BtSide	x1	UpSide	
-3.743960e-01 	 8.359780e-02 	-3.743960e-01 	 -8.359780e-02 	 
-3.714700e-01 	 8.434130e-02 	-3.714700e-01 	 -8.434130e-02 	 
-3.684980e-01 	 8.507390e-02 	-3.684980e-01 	 -8.507390e-02 	 
-3.654810e-01 	 8.579510e-02 	-3.654810e-01 	 -8.579510e-02 	 
-3.624180e-01 	 8.650470e-02 	-3.624180e-01 	 -8.650470e-02 	 
-3.593110e-01 	 8.720240e-02 	-3.593110e-01 	 -8.720240e-02 	 
-3.561580e-01 	 8.788790e-02 	-3.561580e-01 	 -8.788790e-02 	 
-3.529600e-01 	 8.856070e-02 	-3.529600e-01 	 -8.856070e-02 	 
-3.497160e-01 	 8.922080e-02 	-3.497160e-01 	 -8.922080e-02 	 
-3.464280e-01 	 8.986770e-02 	-3.464280e-01 	 -8.986770e-02 	 
-3.430960e-01 	 9.050120e-02 	-3.430960e-01 	 -9.050120e-02 	 
-3.397190e-01 	 9.112090e-02 	-3.397190e-01 	 -9.112090e-02 	 
-3.362970e-01 	 9.172670e-02 	-3.362970e-01 	 -9.172670e-02 	 
-3.328310e-01 	 9.231820e-02 	-3.328310e-01 	 -9.231820e-02 	 
-3.293220e-01 	 9.289520e-02 	-3.293220e-01 	 -9.289520e-02 	 
-3.257680e-01 	 9.345740e-02 	-3.257680e-01 	 -9.345740e-02 	 
-3.221720e-01 	 9.400450e-02 	-3.221720e-01 	 -9.400450e-02 	 
-3.185320e-01 	 9.453640e-02 	-3.185320e-01 	 -9.453640e-02 	 
-3.148490e-01 	 9.505280e-02 	-3.148490e-01 	 -9.505280e-02 	 
-3.111230e-01 	 9.555350e-02 	-3.111230e-01 	 -9.555350e-02 	 
-3.073560e-01 	 9.603820e-02 	-3.073560e-01 	 -9.603820e-02 	 
-3.035460e-01 	 9.650670e-02 	-3.035460e-01 	 -9.650670e-02 	 
-2.996940e-01 	 9.695890e-02 	-2.996940e-01 	 -9.695890e-02 	 
-2.958020e-01 	 9.739450e-02 	-2.958020e-01 	 -9.739450e-02 	 
-2.918680e-01 	 9.781340e-02 	-2.918680e-01 	 -9.781340e-02 	 
-2.878930e-01 	 9.821530e-02 	-2.878930e-01 	 -9.821530e-02 	 
-2.838790e-01 	 9.860020e-02 	-2.838790e-01 	 -9.860020e-02 	 
-2.798240e-01 	 9.896780e-02 	-2.798240e-01 	 -9.896780e-02 	 
-2.757310e-01 	 9.931810e-02 	-2.757310e-01 	 -9.931810e-02 	 
-2.715980e-01 	 9.965080e-02 	-2.715980e-01 	 -9.965080e-02 	 
-2.674260e-01 	 9.996580e-02 	-2.674260e-01 	 -9.996580e-02 	 
-2.632170e-01 	 1.002630e-01 	-2.632170e-01 	 -1.002630e-01 	 
-2.589700e-01 	 1.005430e-01 	-2.589700e-01 	 -1.005430e-01 	 
-2.546850e-01 	 1.008040e-01 	-2.546850e-01 	 -1.008040e-01 	 
-2.503640e-01 	 1.010470e-01 	-2.503640e-01 	 -1.010470e-01 	 
-2.460060e-01 	 1.012720e-01 	-2.460060e-01 	 -1.012720e-01 	 
-2.416130e-01 	 1.014790e-01 	-2.416130e-01 	 -1.014790e-01 	 
-2.371850e-01 	 1.016680e-01 	-2.371850e-01 	 -1.016680e-01 	 
-2.327210e-01 	 1.018380e-01 	-2.327210e-01 	 -1.018380e-01 	 
-2.282240e-01 	 1.019900e-01 	-2.282240e-01 	 -1.019900e-01 	 
-2.236930e-01 	 1.021240e-01 	-2.236930e-01 	 -1.021240e-01 	 
