"$C_p$" "Points:2"
-2.3961184e+00 1.1000000e-01
-2.3808351e+00 1.0780000e-01
-2.3604927e+00 1.0560000e-01
-2.3363976e+00 1.0340000e-01
-2.3098303e+00 1.0120000e-01
-2.2820322e+00 9.8999999e-02
-2.2543212e+00 9.6799999e-02
-2.2279044e+00 9.4599999e-02
-2.2039352e+00 9.2399999e-02
-2.1834386e+00 9.0200000e-02
-2.1672709e+00 8.8000000e-02
-2.1561434e+00 8.5800000e-02
-2.1505443e+00 8.3600000e-02
-2.1507328e+00 8.1400000e-02
-2.1567045e+00 7.9200000e-02
-2.1681798e+00 7.7000000e-02
-2.1846486e+00 7.4800000e-02
-2.2053783e+00 7.2600000e-02
-2.2294705e+00 7.0400000e-02
-2.2558896e+00 6.8200000e-02
-2.2834865e+00 6.6000000e-02
-2.3110872e+00 6.3800000e-02
-2.3374727e+00 6.1600000e-02
-2.3614457e+00 5.9400000e-02
-2.3818170e+00 5.7200000e-02
-2.3971645e+00 5.5000000e-02
-2.4058981e+00 5.2800000e-02
-2.4068458e+00 5.0600000e-02
-2.4011356e+00 4.8400000e-02
-2.3930719e+00 4.6200000e-02
-2.3867732e+00 4.4000000e-02
-2.3830523e+00 4.1800000e-02
-2.3808105e+00 3.9600000e-02
-2.3792786e+00 3.7400000e-02
-2.3782095e+00 3.5200000e-02
-2.3774517e+00 3.3000000e-02
-2.3769242e+00 3.0800000e-02
-2.3765987e+00 2.8600000e-02
-2.3764496e+00 2.6400000e-02
-2.3764698e+00 2.4200000e-02
-2.3766605e+00 2.2000000e-02
-2.3769920e+00 1.9800000e-02
-2.3774823e+00 1.7600000e-02
-2.3782326e+00 1.5400000e-02
-2.3794828e+00 1.3200000e-02
-2.3820517e+00 1.1000000e-02
-2.3871338e+00 8.8000000e-03
-2.3941746e+00 6.6000000e-03
-2.3994749e+00 4.4000000e-03
-2.3989817e+00 2.2000000e-03
-2.3914588e+00 0.0000000e+00
-2.3777177e+00 -2.2000000e-03
-2.3588946e+00 -4.4000000e-03
-2.3360504e+00 -6.6000000e-03
-2.3102334e+00 -8.8000000e-03
-2.2827064e+00 -1.1000000e-02
-2.2548703e+00 -1.3200000e-02
-2.2280840e+00 -1.5400000e-02
-2.2036215e+00 -1.7600000e-02
-2.1825706e+00 -1.9800000e-02
-2.1658158e+00 -2.2000000e-02
-2.1540334e+00 -2.4200000e-02
-2.1476527e+00 -2.6400000e-02
-2.1468578e+00 -2.8600000e-02
-2.1515650e+00 -3.0800000e-02
-2.1614438e+00 -3.3000000e-02
-2.1759694e+00 -3.5200000e-02
-2.1944707e+00 -3.7400000e-02
-2.2162122e+00 -3.9600000e-02
-2.2404274e+00 -4.1800000e-02
-2.2663129e+00 -4.4000000e-02
-2.2930300e+00 -4.6200000e-02
-2.3195570e+00 -4.8400000e-02
-2.3446617e+00 -5.0600000e-02
-2.3668570e+00 -5.2800000e-02
-2.3842899e+00 -5.5000000e-02
-2.3950210e+00 -5.7200000e-02
-2.3977590e+00 -5.9400000e-02
-2.3937566e+00 -6.1600000e-02
-2.3874102e+00 -6.3800000e-02
-2.3827387e+00 -6.6000000e-02
-2.3804759e+00 -6.8200000e-02
-2.3795163e+00 -7.0400000e-02
-2.3790722e+00 -7.2600000e-02
-2.3788860e+00 -7.4800000e-02
-2.3788234e+00 -7.7000000e-02
-2.3788517e+00 -7.9200000e-02
-2.3789799e+00 -8.1400000e-02
-2.3791907e+00 -8.3600000e-02
-2.3794865e+00 -8.5800000e-02
-2.3798836e+00 -8.8000000e-02
-2.3803910e+00 -9.0200000e-02
-2.3810534e+00 -9.2399999e-02
-2.3820510e+00 -9.4599999e-02
-2.3837102e+00 -9.6799999e-02
-2.3868849e+00 -9.8999999e-02
-2.3926561e+00 -1.0120000e-01
-2.4002103e+00 -1.0340000e-01
-2.4056909e+00 -1.0560000e-01
-2.4046888e+00 -1.0780000e-01
-2.3961184e+00 -1.1000000e-01
