   n        time         Cl         Cd         AoA         M
  437680    45.00129   0.0051460   0.0222599   0.0000001   0.3000000
  437700    45.00309   0.0051693   0.0222605   0.0000006   0.3000000
  437720    45.00489   0.0051920   0.0222609   0.0000016   0.3000000
  437740    45.00669   0.0052142   0.0222611   0.0000029   0.3000000
  437760    45.00849   0.0052359   0.0222611   0.0000047   0.3000000
  437780    45.01029   0.0052571   0.0222609   0.0000070   0.3000000
  437800    45.01209   0.0052777   0.0222605   0.0000096   0.3000000
  437820    45.01389   0.0052978   0.0222599   0.0000127   0.3000000
  437840    45.01569   0.0053175   0.0222592   0.0000162   0.3000000
  437860    45.01749   0.0053366   0.0222582   0.0000201   0.3000000
  437880    45.01929   0.0053553   0.0222571   0.0000245   0.3000000
  437900    45.02109   0.0053735   0.0222558   0.0000293   0.3000000
  437920    45.02289   0.0053911   0.0222543   0.0000345   0.3000000
  437940    45.02469   0.0054082   0.0222527   0.0000401   0.3000000
  437960    45.02649   0.0054248   0.0222510   0.0000462   0.3000000
  437980    45.02829   0.0054407   0.0222492   0.0000527   0.3000000
  438000    45.03009   0.0054561   0.0222473   0.0000596   0.3000000
  438020    45.03189   0.0054708   0.0222453   0.0000669   0.3000000
  438040    45.03369   0.0054848   0.0222432   0.0000747   0.3000000
  438060    45.03549   0.0054982   0.0222412   0.0000829   0.3000000
  438080    45.03729   0.0055108   0.0222391   0.0000915   0.3000000
  438100    45.03909   0.0055226   0.0222369   0.0001006   0.3000000
  438120    45.04089   0.0055336   0.0222348   0.0001100   0.3000000
  438140    45.04269   0.0055440   0.0222326   0.0001199   0.3000000
  438160    45.04449   0.0055536   0.0222305   0.0001302   0.3000000
  438180    45.04629   0.0055626   0.0222283   0.0001410   0.3000000
  438200    45.04809   0.0055708   0.0222263   0.0001522   0.3000000
  438220    45.04989   0.0055783   0.0222242   0.0001638   0.3000000
  438240    45.05169   0.0055853   0.0222222   0.0001758   0.3000000
  438260    45.05349   0.0055915   0.0222201   0.0001883   0.3000000
  438280    45.05529   0.0055972   0.0222181   0.0002011   0.3000000
  438300    45.05709   0.0056022   0.0222161   0.0002145   0.3000000
  438320    45.05889   0.0056067   0.0222141   0.0002282   0.3000000
  438340    45.06069   0.0056107   0.0222121   0.0002424   0.3000000
  438360    45.06249   0.0056143   0.0222102   0.0002569   0.3000000
  438380    45.06429   0.0056174   0.0222082   0.0002720   0.3000000
  438400    45.06609   0.0056202   0.0222063   0.0002874   0.3000000
  438420    45.06789   0.0056226   0.0222043   0.0003033   0.3000000
  438440    45.06969   0.0056247   0.0222023   0.0003196   0.3000000
  438460    45.07149   0.0056265   0.0222003   0.0003363   0.3000000
  438480    45.07329   0.0056280   0.0221983   0.0003534   0.3000000
  438500    45.07509   0.0056292   0.0221963   0.0003710   0.3000000
  438520    45.07689   0.0056300   0.0221942   0.0003890   0.3000000
  438540    45.07869   0.0056306   0.0221922   0.0004074   0.3000000
  438560    45.08049   0.0056307   0.0221901   0.0004263   0.3000000
  438580    45.08229   0.0056305   0.0221880   0.0004455   0.3000000
  438600    45.08409   0.0056299   0.0221859   0.0004653   0.3000000
  438620    45.08589   0.0056288   0.0221838   0.0004854   0.3000000
  438640    45.08769   0.0056273   0.0221817   0.0005059   0.3000000
  438660    45.08949   0.0056253   0.0221797   0.0005269   0.3000000
  438680    45.09129   0.0056229   0.0221776   0.0005483   0.3000000
  438700    45.09309   0.0056200   0.0221756   0.0005702   0.3000000
  438720    45.09489   0.0056167   0.0221736   0.0005924   0.3000000
  438740    45.09669   0.0056128   0.0221716   0.0006151   0.3000000
  438760    45.09849   0.0056085   0.0221696   0.0006382   0.3000000
  438780    45.10029   0.0056039   0.0221676   0.0006618   0.3000000
  438800    45.10209   0.0055989   0.0221656   0.0006857   0.3000000
  438820    45.10389   0.0055936   0.0221635   0.0007101   0.3000000
  438840    45.10569   0.0055882   0.0221615   0.0007349   0.3000000
  438860    45.10749   0.0055826   0.0221595   0.0007602   0.3000000
  438880    45.10929   0.0055768   0.0221574   0.0007859   0.3000000
  438900    45.11109   0.0055711   0.0221554   0.0008120   0.3000000
  438920    45.11289   0.0055655   0.0221535   0.0008385   0.3000000
  438940    45.11469   0.0055602   0.0221516   0.0008654   0.3000000
  438960    45.11649   0.0055552   0.0221497   0.0008928   0.3000000
  438980    45.11829   0.0055506   0.0221479   0.0009206   0.3000000
  439000    45.12009   0.0055466   0.0221462   0.0009488   0.3000000
  439020    45.12189   0.0055431   0.0221446   0.0009775   0.3000000
  439040    45.12369   0.0055403   0.0221431   0.0010066   0.3000000
  439060    45.12549   0.0055382   0.0221417   0.0010361   0.3000000
  439080    45.12729   0.0055369   0.0221406   0.0010660   0.3000000
  439100    45.12909   0.0055366   0.0221396   0.0010964   0.3000000
  439120    45.13089   0.0055372   0.0221389   0.0011272   0.3000000
  439140    45.13269   0.0055387   0.0221384   0.0011584   0.3000000
  439160    45.13449   0.0055414   0.0221382   0.0011900   0.3000000
