x0	cl	x1	cd	
2.129800e-01 	 3.669958e-08 	2.129800e-01 	 2.772050e-04 	 
2.157600e-01 	 4.120560e-08 	2.157600e-01 	 2.864446e-04 	 
2.185300e-01 	 -1.803953e-08 	2.185300e-01 	 2.958985e-04 	 
2.213100e-01 	 2.119611e-08 	2.213100e-01 	 3.053350e-04 	 
2.240900e-01 	 -3.804901e-08 	2.240900e-01 	 3.147890e-04 	 
2.268700e-01 	 3.591627e-08 	2.268700e-01 	 3.244225e-04 	 
2.296400e-01 	 1.140078e-08 	2.296400e-01 	 3.340733e-04 	 
2.324200e-01 	 4.250103e-09 	2.324200e-01 	 3.438227e-04 	 
2.352000e-01 	 -2.900571e-09 	2.352000e-01 	 3.535721e-04 	 
2.379800e-01 	 2.467839e-08 	2.379800e-01 	 3.635184e-04 	 
2.407600e-01 	 3.489253e-08 	2.407600e-01 	 3.733662e-04 	 
2.435300e-01 	 -1.864446e-08 	2.435300e-01 	 3.834284e-04 	 
2.463100e-01 	 2.629932e-08 	2.463100e-01 	 3.934732e-04 	 
2.490900e-01 	 -9.872864e-09 	2.490900e-01 	 4.036338e-04 	 
2.518700e-01 	 -2.868022e-08 	2.518700e-01 	 4.138929e-04 	 
2.546400e-01 	 -4.748759e-08 	2.546400e-01 	 4.241521e-04 	 
2.574200e-01 	 -4.893013e-08 	2.574200e-01 	 4.345097e-04 	 
2.602000e-01 	 -3.300785e-08 	2.602000e-01 	 4.449658e-04 	 
2.629800e-01 	 -1.708558e-08 	2.629800e-01 	 4.554218e-04 	 
2.657500e-01 	 1.620151e-08 	2.657500e-01 	 4.659764e-04 	 
2.685300e-01 	 -4.899217e-08 	2.685300e-01 	 4.765483e-04 	 
2.713100e-01 	 1.659740e-09 	2.713100e-01 	 4.872014e-04 	 
2.740900e-01 	 -2.880431e-08 	2.740900e-01 	 4.979703e-04 	 
2.768600e-01 	 -4.190354e-08 	2.768600e-01 	 5.088377e-04 	 
2.796400e-01 	 4.347801e-08 	2.796400e-01 	 5.196877e-04 	 
2.824200e-01 	 3.037878e-08 	2.824200e-01 	 5.305550e-04 	 
2.852000e-01 	 5.200918e-08 	2.852000e-01 	 5.416194e-04 	 
2.879800e-01 	 -2.484119e-08 	2.879800e-01 	 5.527011e-04 	 
2.907500e-01 	 -3.210779e-09 	2.907500e-01 	 5.637654e-04 	 
2.935300e-01 	 5.314926e-08 	2.935300e-01 	 5.750267e-04 	 
2.963100e-01 	 1.102853e-08 	2.963100e-01 	 5.863054e-04 	 
2.990900e-01 	 -3.109221e-08 	2.990900e-01 	 5.975840e-04 	 
3.018600e-01 	 4.263265e-08 	3.018600e-01 	 6.089438e-04 	 
3.046400e-01 	 3.524156e-08 	3.046400e-01 	 6.204194e-04 	 
3.074200e-01 	 2.785046e-08 	3.074200e-01 	 6.318951e-04 	 
3.102000e-01 	 3.782418e-08 	3.102000e-01 	 6.434692e-04 	 
3.129700e-01 	 -3.331806e-08 	3.129700e-01 	 6.551591e-04 	 
3.157500e-01 	 -5.979525e-09 	3.157500e-01 	 6.668317e-04 	 
3.185300e-01 	 3.872383e-08 	3.185300e-01 	 6.786028e-04 	 
3.213100e-01 	 -1.505359e-08 	3.213100e-01 	 6.903912e-04 	 
3.240900e-01 	 2.964976e-08 	3.240900e-01 	 7.021623e-04 	 
3.268600e-01 	 1.060198e-08 	3.268600e-01 	 7.141477e-04 	 
3.296400e-01 	 -8.445805e-09 	3.296400e-01 	 7.261331e-04 	 
3.324200e-01 	 -2.749359e-08 	3.324200e-01 	 7.381185e-04 	 
3.352000e-01 	 -2.917656e-08 	3.352000e-01 	 7.502023e-04 	 
3.379700e-01 	 -3.085952e-08 	3.379700e-01 	 7.622862e-04 	 
3.407500e-01 	 -1.517767e-08 	3.407500e-01 	 7.744686e-04 	 
3.435300e-01 	 5.041771e-10 	3.435300e-01 	 7.866509e-04 	 
3.463100e-01 	 3.355085e-08 	3.463100e-01 	 7.989317e-04 	 
3.490800e-01 	 -1.451844e-08 	3.490800e-01 	 8.113284e-04 	 
3.518600e-01 	 1.852822e-08 	3.518600e-01 	 8.236093e-04 	 
3.546400e-01 	 -1.217625e-08 	3.546400e-01 	 8.361044e-04 	 
3.574200e-01 	 3.823524e-08 	3.574200e-01 	 8.484837e-04 	 
3.602000e-01 	 2.489559e-08 	3.602000e-01 	 8.610774e-04 	 
3.629700e-01 	 -5.808885e-09 	3.629700e-01 	 8.735725e-04 	 
3.657500e-01 	 -1.914854e-08 	3.657500e-01 	 8.861662e-04 	 
3.685300e-01 	 -1.512337e-08 	3.685300e-01 	 8.988583e-04 	 
3.713100e-01 	 -1.109821e-08 	3.713100e-01 	 9.115504e-04 	 
3.740800e-01 	 1.029177e-08 	3.740800e-01 	 9.243410e-04 	 
3.768600e-01 	 1.431694e-08 	3.768600e-01 	 9.370332e-04 	 
3.796400e-01 	 -4.540904e-08 	3.796400e-01 	 9.499396e-04 	 
3.824200e-01 	 -6.654240e-09 	3.824200e-01 	 9.628287e-04 	 
3.851900e-01 	 3.210056e-08 	3.851900e-01 	 9.757178e-04 	 
3.879700e-01 	 -1.026060e-08 	3.879700e-01 	 9.887227e-04 	 
3.907500e-01 	 4.585902e-08 	3.907500e-01 	 1.001710e-03 	 
3.935300e-01 	 3.497862e-09 	3.935300e-01 	 1.014715e-03 	 
3.963100e-01 	 -2.149848e-08 	3.963100e-01 	 1.027819e-03 	 
3.990800e-01 	 -2.913000e-08 	3.990800e-01 	 1.041020e-03 	 
4.018600e-01 	 -3.676152e-08 	4.018600e-01 	 1.054222e-03 	 
4.046400e-01 	 -4.439304e-08 	4.046400e-01 	 1.067424e-03 	 
4.074200e-01 	 -3.465975e-08 	4.074200e-01 	 1.080725e-03 	 
4.101900e-01 	 -2.492645e-08 	4.101900e-01 	 1.094025e-03 	 
4.129700e-01 	 2.171659e-09 	4.129700e-01 	 1.107424e-03 	 
4.157500e-01 	 2.926977e-08 	4.157500e-01 	 1.120823e-03 	 
4.185300e-01 	 -4.211289e-08 	4.185300e-01 	 1.134239e-03 	 
4.213000e-01 	 2.350042e-09 	4.213000e-01 	 1.147736e-03 	 
4.240800e-01 	 -3.430298e-08 	4.240800e-01 	 1.161349e-03 	 
4.268600e-01 	 1.015995e-08 	4.268600e-01 	 1.174847e-03 	 
4.296400e-01 	 -2.649308e-08 	4.296400e-01 	 1.188460e-03 	 
4.324100e-01 	 5.269949e-08 	4.324100e-01 	 1.202154e-03 	 
4.351900e-01 	 1.604646e-08 	4.351900e-01 	 1.215767e-03 	 
4.379700e-01 	 1.412307e-08 	4.379700e-01 	 1.229578e-03 	 
4.407500e-01 	 -5.165140e-09 	4.407500e-01 	 1.243289e-03 	 
4.435300e-01 	 -7.088531e-09 	4.435300e-01 	 1.257099e-03 	 
4.463000e-01 	 -9.011922e-09 	4.463000e-01 	 1.270910e-03 	 
4.490800e-01 	 6.429505e-09 	4.490800e-01 	 1.284818e-03 	 
4.518600e-01 	 2.187093e-08 	4.518600e-01 	 1.298727e-03 	 
4.546400e-01 	 3.731236e-08 	4.546400e-01 	 1.312635e-03 	 
4.574100e-01 	 -4.572699e-08 	4.574100e-01 	 1.326561e-03 	 
4.601900e-01 	 -1.292075e-08 	4.601900e-01 	 1.340568e-03 	 
4.629700e-01 	 3.725032e-08 	4.629700e-01 	 1.354674e-03 	 
4.657500e-01 	 -2.842421e-08 	4.657500e-01 	 1.368699e-03 	 
4.685200e-01 	 2.174685e-08 	4.685200e-01 	 1.382804e-03 	 
4.713000e-01 	 -2.656286e-08 	4.713000e-01 	 1.396927e-03 	 
4.740800e-01 	 2.360820e-08 	4.740800e-01 	 1.411033e-03 	 
4.768600e-01 	 -7.336697e-09 	4.768600e-01 	 1.425254e-03 	 
4.796400e-01 	 -3.828159e-08 	4.796400e-01 	 1.439476e-03 	 
4.824100e-01 	 4.661911e-08 	4.824100e-01 	 1.453778e-03 	 
4.851900e-01 	 1.567421e-08 	4.851900e-01 	 1.467999e-03 	 
4.879700e-01 	 2.094133e-09 	4.879700e-01 	 1.482319e-03 	 
4.907500e-01 	 -1.148594e-08 	4.907500e-01 	 1.496639e-03 	 
4.935200e-01 	 -7.701204e-09 	4.935200e-01 	 1.511058e-03 	 
4.963000e-01 	 -3.916464e-09 	4.963000e-01 	 1.525476e-03 	 
4.990800e-01 	 -1.317236e-10 	4.990800e-01 	 1.539894e-03 	 
5.018600e-01 	 3.653017e-09 	5.018600e-01 	 1.554313e-03 	 
5.046300e-01 	 2.480257e-08 	5.046300e-01 	 1.568830e-03 	 
5.074100e-01 	 4.595213e-08 	5.074100e-01 	 1.583347e-03 	 
5.101900e-01 	 -3.137908e-08 	5.101900e-01 	 1.597881e-03 	 
5.129700e-01 	 7.135292e-09 	5.129700e-01 	 1.612496e-03 	 
5.157500e-01 	 2.828485e-08 	5.157500e-01 	 1.627013e-03 	 
5.185200e-01 	 -3.168155e-08 	5.185200e-01 	 1.641646e-03 	 
5.213000e-01 	 2.419764e-08 	5.213000e-01 	 1.656360e-03 	 
5.240800e-01 	 -3.576876e-08 	5.240800e-01 	 1.670992e-03 	 
5.268600e-01 	 2.011044e-08 	5.268600e-01 	 1.685706e-03 	 
5.296300e-01 	 -5.126326e-09 	5.296300e-01 	 1.700536e-03 	 
5.324100e-01 	 -4.772791e-08 	5.324100e-01 	 1.715267e-03 	 
5.351900e-01 	 2.551610e-08 	5.351900e-01 	 1.730079e-03 	 
5.379700e-01 	 2.793402e-10 	5.379700e-01 	 1.744909e-03 	 
5.407400e-01 	 -2.495742e-08 	5.407400e-01 	 1.759739e-03 	 
5.435200e-01 	 -5.019419e-08 	5.435200e-01 	 1.774568e-03 	 
5.463000e-01 	 4.041464e-08 	5.463000e-01 	 1.789479e-03 	 
5.490800e-01 	 3.254270e-08 	5.490800e-01 	 1.804407e-03 	 
5.518500e-01 	 2.467075e-08 	5.518500e-01 	 1.819336e-03 	 
5.546300e-01 	 1.679880e-08 	5.546300e-01 	 1.834264e-03 	 
5.574100e-01 	 2.629167e-08 	5.574100e-01 	 1.849290e-03 	 
5.601900e-01 	 3.578455e-08 	5.601900e-01 	 1.864317e-03 	 
5.629700e-01 	 4.527742e-08 	5.629700e-01 	 1.879344e-03 	 
