   n        time         Cl         Cd         AoA         M
  791560    90.00070   0.0175467   0.0317151   0.0000000   0.3000000
  791580    90.00294   0.0173546   0.0317078   0.0000001   0.3000000
  791600    90.00518   0.0171583   0.0317000   0.0000004   0.3000000
  791620    90.00741   0.0169581   0.0316918   0.0000009   0.3000000
  791640    90.00965   0.0167540   0.0316832   0.0000015   0.3000000
  791660    90.01189   0.0165459   0.0316744   0.0000023   0.3000000
  791680    90.01413   0.0163340   0.0316653   0.0000033   0.3000000
  791700    90.01636   0.0161178   0.0316560   0.0000044   0.3000000
  791720    90.01860   0.0158972   0.0316465   0.0000057   0.3000000
  791740    90.02084   0.0156719   0.0316372   0.0000071   0.3000000
  791760    90.02308   0.0154418   0.0316279   0.0000088   0.3000000
  791780    90.02532   0.0152064   0.0316188   0.0000105   0.3000000
  791800    90.02755   0.0149655   0.0316101   0.0000125   0.3000000
  791820    90.02979   0.0147190   0.0316018   0.0000146   0.3000000
  791840    90.03203   0.0144664   0.0315940   0.0000169   0.3000000
  791860    90.03427   0.0142074   0.0315867   0.0000193   0.3000000
  791880    90.03651   0.0139420   0.0315800   0.0000219   0.3000000
  791900    90.03874   0.0136705   0.0315741   0.0000247   0.3000000
  791920    90.04098   0.0133927   0.0315689   0.0000276   0.3000000
  791940    90.04322   0.0131079   0.0315644   0.0000307   0.3000000
  791960    90.04546   0.0128164   0.0315607   0.0000340   0.3000000
  791980    90.04770   0.0125183   0.0315579   0.0000374   0.3000000
  792000    90.04993   0.0122135   0.0315559   0.0000410   0.3000000
  792020    90.05217   0.0119020   0.0315548   0.0000448   0.3000000
  792040    90.05441   0.0115838   0.0315544   0.0000487   0.3000000
  792060    90.05665   0.0112589   0.0315549   0.0000528   0.3000000
  792080    90.05889   0.0109274   0.0315562   0.0000570   0.3000000
  792100    90.06112   0.0105895   0.0315582   0.0000615   0.3000000
  792120    90.06336   0.0102455   0.0315610   0.0000660   0.3000000
  792140    90.06560   0.0098958   0.0315644   0.0000708   0.3000000
  792160    90.06784   0.0095410   0.0315686   0.0000757   0.3000000
  792180    90.07007   0.0091818   0.0315734   0.0000808   0.3000000
  792200    90.07231   0.0088190   0.0315788   0.0000860   0.3000000
  792220    90.07455   0.0084531   0.0315847   0.0000914   0.3000000
  792240    90.07679   0.0080849   0.0315911   0.0000970   0.3000000
  792260    90.07903   0.0077156   0.0315981   0.0001027   0.3000000
  792280    90.08126   0.0073456   0.0316052   0.0001086   0.3000000
  792300    90.08350   0.0069754   0.0316125   0.0001147   0.3000000
  792320    90.08574   0.0066064   0.0316199   0.0001209   0.3000000
  792340    90.08798   0.0062394   0.0316273   0.0001273   0.3000000
  792360    90.09022   0.0058744   0.0316345   0.0001339   0.3000000
  792380    90.09245   0.0055117   0.0316412   0.0001406   0.3000000
  792400    90.09469   0.0051525   0.0316474   0.0001475   0.3000000
  792420    90.09693   0.0047971   0.0316530   0.0001545   0.3000000
  792440    90.09917   0.0044456   0.0316577   0.0001618   0.3000000
  792460    90.10141   0.0040992   0.0316618   0.0001691   0.3000000
  792480    90.10364   0.0037582   0.0316650   0.0001767   0.3000000
  792500    90.10588   0.0034224   0.0316672   0.0001844   0.3000000
  792520    90.10812   0.0030927   0.0316686   0.0001923   0.3000000
  792540    90.11036   0.0027698   0.0316693   0.0002003   0.3000000
  792560    90.11259   0.0024531   0.0316690   0.0002085   0.3000000
  792580    90.11483   0.0021426   0.0316679   0.0002169   0.3000000
  792600    90.11707   0.0018391   0.0316661   0.0002254   0.3000000
  792620    90.11931   0.0015423   0.0316635   0.0002341   0.3000000
  792640    90.12155   0.0012519   0.0316603   0.0002430   0.3000000
  792660    90.12378   0.0009680   0.0316563   0.0002520   0.3000000
  792680    90.12602   0.0006899   0.0316517   0.0002612   0.3000000
  792700    90.12826   0.0004174   0.0316464   0.0002706   0.3000000
  792720    90.13050   0.0001499   0.0316405   0.0002801   0.3000000
  792740    90.13273  -0.0001129   0.0316340   0.0002898   0.3000000
  792760    90.13497  -0.0003717   0.0316270   0.0002997   0.3000000
  792780    90.13721  -0.0006268   0.0316193   0.0003097   0.3000000
  792800    90.13945  -0.0008785   0.0316112   0.0003199   0.3000000
  792820    90.14169  -0.0011265   0.0316026   0.0003302   0.3000000
  792840    90.14392  -0.0013707   0.0315937   0.0003407   0.3000000
  792860    90.14616  -0.0016110   0.0315844   0.0003514   0.3000000
  792880    90.14840  -0.0018473   0.0315748   0.0003622   0.3000000
  792900    90.15064  -0.0020799   0.0315648   0.0003733   0.3000000
  792920    90.15288  -0.0023087   0.0315543   0.0003844   0.3000000
  792940    90.15511  -0.0025336   0.0315434   0.0003958   0.3000000
  792960    90.15735  -0.0027545   0.0315321   0.0004073   0.3000000
  792980    90.15959  -0.0029716   0.0315204   0.0004189   0.3000000
  793000    90.16183  -0.0031850   0.0315082   0.0004308   0.3000000
  793020    90.16406  -0.0033946   0.0314957   0.0004428   0.3000000
  793040    90.16630  -0.0036010   0.0314826   0.0004549   0.3000000
  793060    90.16854  -0.0038043   0.0314691   0.0004672   0.3000000
  793080    90.17078  -0.0040045   0.0314552   0.0004797   0.3000000
  793100    90.17301  -0.0042016   0.0314411   0.0004924   0.3000000
  793120    90.17525  -0.0043953   0.0314266   0.0005052   0.3000000
  793140    90.17749  -0.0045859   0.0314119   0.0005182   0.3000000
