   n        time         Cl         Cd         AoA         M
 1879820   210.00020   0.8680097   0.0421294   6.0000000   0.3000000
 1879840   210.00240   0.8679688   0.0421378   6.0000001   0.3000000
 1879860   210.00459   0.8679293   0.0421466   6.0000002   0.3000000
 1879880   210.00679   0.8678913   0.0421556   6.0000005   0.3000000
 1879900   210.00898   0.8678550   0.0421647   6.0000009   0.3000000
 1879920   210.01118   0.8678204   0.0421736   6.0000014   0.3000000
 1879940   210.01338   0.8677877   0.0421824   6.0000020   0.3000000
 1879960   210.01557   0.8677569   0.0421908   6.0000027   0.3000000
 1879980   210.01777   0.8677283   0.0421989   6.0000035   0.3000000
 1880000   210.01996   0.8677020   0.0422066   6.0000044   0.3000000
 1880020   210.02216   0.8676781   0.0422141   6.0000054   0.3000000
 1880040   210.02436   0.8676570   0.0422216   6.0000065   0.3000000
 1880060   210.02655   0.8676387   0.0422293   6.0000077   0.3000000
 1880080   210.02875   0.8676233   0.0422375   6.0000091   0.3000000
 1880100   210.03094   0.8676109   0.0422463   6.0000105   0.3000000
 1880120   210.03314   0.8676017   0.0422560   6.0000120   0.3000000
 1880140   210.03533   0.8675958   0.0422667   6.0000137   0.3000000
 1880160   210.03753   0.8675930   0.0422783   6.0000154   0.3000000
 1880180   210.03973   0.8675934   0.0422909   6.0000173   0.3000000
 1880200   210.04192   0.8675968   0.0423045   6.0000193   0.3000000
 1880220   210.04412   0.8676032   0.0423187   6.0000213   0.3000000
 1880240   210.04631   0.8676122   0.0423335   6.0000235   0.3000000
 1880260   210.04851   0.8676236   0.0423486   6.0000258   0.3000000
 1880280   210.05071   0.8676373   0.0423639   6.0000282   0.3000000
 1880300   210.05290   0.8676531   0.0423793   6.0000307   0.3000000
 1880320   210.05510   0.8676707   0.0423947   6.0000333   0.3000000
 1880340   210.05729   0.8676899   0.0424100   6.0000360   0.3000000
 1880360   210.05949   0.8677107   0.0424253   6.0000388   0.3000000
 1880380   210.06168   0.8677331   0.0424405   6.0000417   0.3000000
 1880400   210.06388   0.8677570   0.0424557   6.0000447   0.3000000
 1880420   210.06608   0.8677827   0.0424711   6.0000479   0.3000000
 1880440   210.06827   0.8678106   0.0424866   6.0000511   0.3000000
 1880460   210.07047   0.8678409   0.0425024   6.0000545   0.3000000
 1880480   210.07266   0.8678739   0.0425185   6.0000579   0.3000000
 1880500   210.07486   0.8679096   0.0425348   6.0000615   0.3000000
 1880520   210.07706   0.8679483   0.0425515   6.0000651   0.3000000
 1880540   210.07925   0.8679899   0.0425685   6.0000689   0.3000000
 1880560   210.08145   0.8680347   0.0425857   6.0000727   0.3000000
 1880580   210.08364   0.8680829   0.0426033   6.0000767   0.3000000
 1880600   210.08584   0.8681342   0.0426212   6.0000808   0.3000000
 1880620   210.08803   0.8681886   0.0426392   6.0000850   0.3000000
 1880640   210.09023   0.8682457   0.0426574   6.0000893   0.3000000
 1880660   210.09243   0.8683051   0.0426756   6.0000937   0.3000000
 1880680   210.09462   0.8683663   0.0426936   6.0000982   0.3000000
 1880700   210.09682   0.8684290   0.0427114   6.0001028   0.3000000
 1880720   210.09901   0.8684928   0.0427289   6.0001075   0.3000000
 1880740   210.10121   0.8685574   0.0427461   6.0001123   0.3000000
 1880760   210.10341   0.8686222   0.0427629   6.0001173   0.3000000
 1880780   210.10560   0.8686868   0.0427791   6.0001223   0.3000000
 1880800   210.10780   0.8687510   0.0427947   6.0001274   0.3000000
 1880820   210.10999   0.8688144   0.0428098   6.0001327   0.3000000
 1880840   210.11219   0.8688768   0.0428242   6.0001380   0.3000000
 1880860   210.11439   0.8689380   0.0428380   6.0001435   0.3000000
 1880880   210.11658   0.8689980   0.0428511   6.0001490   0.3000000
 1880900   210.11878   0.8690566   0.0428636   6.0001547   0.3000000
 1880920   210.12097   0.8691140   0.0428755   6.0001605   0.3000000
 1880940   210.12317   0.8691702   0.0428868   6.0001664   0.3000000
 1880960   210.12537   0.8692258   0.0428977   6.0001724   0.3000000
 1880980   210.12756   0.8692809   0.0429083   6.0001784   0.3000000
 1881000   210.12976   0.8693358   0.0429186   6.0001846   0.3000000
 1881020   210.13195   0.8693909   0.0429288   6.0001909   0.3000000
 1881040   210.13415   0.8694468   0.0429389   6.0001973   0.3000000
 1881060   210.13635   0.8695038   0.0429490   6.0002039   0.3000000
 1881080   210.13854   0.8695625   0.0429592   6.0002105   0.3000000
 1881100   210.14074   0.8696235   0.0429697   6.0002172   0.3000000
 1881120   210.14293   0.8696869   0.0429806   6.0002240   0.3000000
 1881140   210.14513   0.8697529   0.0429917   6.0002310   0.3000000
 1881160   210.14733   0.8698218   0.0430032   6.0002380   0.3000000
 1881180   210.14952   0.8698937   0.0430152   6.0002452   0.3000000
 1881200   210.15172   0.8699686   0.0430276   6.0002524   0.3000000
 1881220   210.15391   0.8700464   0.0430405   6.0002598   0.3000000
 1881240   210.15611   0.8701268   0.0430541   6.0002672   0.3000000
 1881260   210.15831   0.8702093   0.0430680   6.0002748   0.3000000
 1881280   210.16050   0.8702931   0.0430824   6.0002825   0.3000000
 1881300   210.16270   0.8703775   0.0430968   6.0002903   0.3000000
 1881320   210.16490   0.8704612   0.0431112   6.0002982   0.3000000
 1881340   210.16709   0.8705432   0.0431251   6.0003062   0.3000000
 1881360   210.16929   0.8706228   0.0431386   6.0003143   0.3000000
 1881380   210.17148   0.8706988   0.0431514   6.0003225   0.3000000
 1881400   210.17368   0.8707702   0.0431632   6.0003308   0.3000000
 1881420   210.17588   0.8708368   0.0431741   6.0003392   0.3000000
 1881440   210.17807   0.8708980   0.0431839   6.0003477   0.3000000
 1881460   210.18027   0.8709539   0.0431926   6.0003564   0.3000000
 1881480   210.18246   0.8710047   0.0432002   6.0003651   0.3000000
 1881500   210.18466   0.8710509   0.0432068   6.0003739   0.3000000
 1881520   210.18686   0.8710935   0.0432126   6.0003829   0.3000000
 1881540   210.18905   0.8711338   0.0432177   6.0003919   0.3000000
 1881560   210.19125   0.8711735   0.0432226   6.0004011   0.3000000
 1881580   210.19345   0.8712145   0.0432276   6.0004104   0.3000000
 1881600   210.19564   0.8712589   0.0432330   6.0004197   0.3000000
 1881620   210.19784   0.8713088   0.0432394   6.0004292   0.3000000
 1881640   210.20003   0.8713657   0.0432470   6.0004388   0.3000000
 1881660   210.20223   0.8714312   0.0432562   6.0004485   0.3000000
 1881680   210.20443   0.8715059   0.0432673   6.0004583   0.3000000
 1881700   210.20662   0.8715904   0.0432803   6.0004682   0.3000000
 1881720   210.20882   0.8716844   0.0432952   6.0004782   0.3000000
 1881740   210.21102   0.8717870   0.0433119   6.0004883   0.3000000
 1881760   210.21321   0.8718976   0.0433303   6.0004985   0.3000000
 1881780   210.21541   0.8720148   0.0433500   6.0005088   0.3000000
 1881800   210.21761   0.8721374   0.0433708   6.0005192   0.3000000
 1881820   210.21980   0.8722644   0.0433924   6.0005298   0.3000000
 1881840   210.22200   0.8723947   0.0434146   6.0005404   0.3000000
 1881860   210.22419   0.8725273   0.0434372   6.0005512   0.3000000
 1881880   210.22639   0.8726617   0.0434599   6.0005620   0.3000000
 1881900   210.22859   0.8727980   0.0434828   6.0005730   0.3000000
 1881920   210.23078   0.8729364   0.0435060   6.0005840   0.3000000
 1881940   210.23298   0.8730772   0.0435294   6.0005952   0.3000000
