   n        time         Cl         Cd         AoA         M
    1640     0.23730   0.0000000  -0.0000079   0.0000000   0.0000463
    1660     0.24020   0.0000000  -0.0000053   0.0000000   0.0000475
    1680     0.24311   0.0000000  -0.0000027   0.0000000   0.0000486
    1700     0.24602   0.0000000  -0.0000000   0.0000000   0.0000498
    1720     0.24892   0.0000000   0.0000026   0.0000000   0.0000510
    1740     0.25183   0.0000000   0.0000053   0.0000000   0.0000522
    1760     0.25473   0.0000000   0.0000080   0.0000000   0.0000534
    1780     0.25764   0.0000000   0.0000107   0.0000000   0.0000546
    1800     0.26054   0.0000000   0.0000135   0.0000000   0.0000558
    1820     0.26345   0.0000000   0.0000162   0.0000000   0.0000571
    1840     0.26635   0.0000000   0.0000190   0.0000000   0.0000583
    1860     0.26926   0.0000000   0.0000218   0.0000000   0.0000596
    1880     0.27216   0.0000000   0.0000246   0.0000000   0.0000609
    1900     0.27507   0.0000000   0.0000275   0.0000000   0.0000622
    1920     0.27797   0.0000000   0.0000303   0.0000000   0.0000635
    1940     0.28088   0.0000000   0.0000332   0.0000000   0.0000649
    1960     0.28378   0.0000000   0.0000361   0.0000000   0.0000662
    1980     0.28669   0.0000000   0.0000390   0.0000000   0.0000676
    2000     0.28959   0.0000000   0.0000419   0.0000000   0.0000690
    2020     0.29250   0.0000000   0.0000448   0.0000000   0.0000704
    2040     0.29540   0.0000000   0.0000478   0.0000000   0.0000718
    2060     0.29831   0.0000000   0.0000507   0.0000000   0.0000732
    2080     0.30122   0.0000000   0.0000537   0.0000000   0.0000746
    2100     0.30412   0.0000000   0.0000567   0.0000000   0.0000761
    2120     0.30703   0.0000000   0.0000597   0.0000000   0.0000775
    2140     0.30993   0.0000000   0.0000628   0.0000000   0.0000790
    2160     0.31284   0.0000000   0.0000658   0.0000000   0.0000805
    2180     0.31574   0.0000000   0.0000689   0.0000000   0.0000820
    2200     0.31865   0.0000000   0.0000719   0.0000000   0.0000835
    2220     0.32155   0.0000000   0.0000750   0.0000000   0.0000850
    2240     0.32446   0.0000000   0.0000781   0.0000000   0.0000866
    2260     0.32736   0.0000000   0.0000813   0.0000000   0.0000881
    2280     0.33027   0.0000000   0.0000844   0.0000000   0.0000897
    2300     0.33317   0.0000000   0.0000876   0.0000000   0.0000913
    2320     0.33608   0.0000000   0.0000907   0.0000000   0.0000929
    2340     0.33898   0.0000000   0.0000939   0.0000000   0.0000945
    2360     0.34189   0.0000000   0.0000971   0.0000000   0.0000961
    2380     0.34479   0.0000000   0.0001003   0.0000000   0.0000978
    2400     0.34770   0.0000000   0.0001036   0.0000000   0.0000994
    2420     0.35060   0.0000000   0.0001068   0.0000000   0.0001011
    2440     0.35351   0.0000000   0.0001100   0.0000000   0.0001028
    2460     0.35641   0.0000000   0.0001133   0.0000000   0.0001045
    2480     0.35932   0.0000000   0.0001166   0.0000000   0.0001062
    2500     0.36222   0.0000000   0.0001199   0.0000000   0.0001079
    2520     0.36513   0.0000000   0.0001232   0.0000000   0.0001096
    2540     0.36803   0.0000000   0.0001265   0.0000000   0.0001114
    2560     0.37094   0.0000000   0.0001298   0.0000000   0.0001132
    2580     0.37384   0.0000000   0.0001332   0.0000000   0.0001149
    2600     0.37675   0.0000000   0.0001366   0.0000000   0.0001167
    2620     0.37965   0.0000000   0.0001399   0.0000000   0.0001185
    2640     0.38256   0.0000000   0.0001433   0.0000000   0.0001204
    2660     0.38547   0.0000000   0.0001467   0.0000000   0.0001222
    2680     0.38837   0.0000000   0.0001501   0.0000000   0.0001240
    2700     0.39128   0.0000000   0.0001535   0.0000000   0.0001259
    2720     0.39418   0.0000000   0.0001570   0.0000000   0.0001278
    2740     0.39709   0.0000000   0.0001604   0.0000000   0.0001297
    2760     0.39999   0.0000000   0.0001639   0.0000000   0.0001316
    2780     0.40290   0.0000000   0.0001673   0.0000000   0.0001335
    2800     0.40580   0.0000000   0.0001708   0.0000000   0.0001354
    2820     0.40871   0.0000000   0.0001743   0.0000000   0.0001374
    2840     0.41161   0.0000000   0.0001778   0.0000000   0.0001393
    2860     0.41452   0.0000000   0.0001813   0.0000000   0.0001413
    2880     0.41742   0.0000000   0.0001848   0.0000000   0.0001433
    2900     0.42033   0.0000000   0.0001884   0.0000000   0.0001453
    2920     0.42323   0.0000000   0.0001919   0.0000000   0.0001473
    2940     0.42614   0.0000000   0.0001955   0.0000000   0.0001493
    2960     0.42904   0.0000000   0.0001991   0.0000000   0.0001514
    2980     0.43195   0.0000000   0.0002026   0.0000000   0.0001534
    3000     0.43485   0.0000000   0.0002062   0.0000000   0.0001555
    3020     0.43776   0.0000000   0.0002098   0.0000000   0.0001576
