x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	x17	avg	
-0.49415 	 -0.76963 	-0.50920 	 -0.65538 	-0.49415 	 -1.10649 	-0.47909 	 -1.46000 	-0.49415 	 -1.19425 	-0.50920 	 -0.81025 	-0.49415 	 -1.18688 	-0.47909 	 -1.37706 	-0.49415 	 -1.18807 	-0.50920 	 -0.81312 	-0.49415 	 -1.20497 	-0.47909 	 -1.49087 	-0.49415 	 -1.11728 	-0.50920 	 -0.64989 	-0.49415 	 -0.77160 	-0.47909 	 -0.70426 	-0.49415 	 -0.76963 	-0.49415 	 -1.01586 	 
-0.49331 	 -0.78323 	-0.50837 	 -0.68785 	-0.49331 	 -1.13965 	-0.47825 	 -1.43737 	-0.49331 	 -1.23320 	-0.50837 	 -0.85156 	-0.49331 	 -1.22264 	-0.47825 	 -1.35190 	-0.49331 	 -1.22380 	-0.50837 	 -0.85467 	-0.49331 	 -1.24455 	-0.47825 	 -1.46922 	-0.49331 	 -1.15092 	-0.50837 	 -0.68234 	-0.49331 	 -0.78556 	-0.47825 	 -0.69312 	-0.49331 	 -0.78323 	-0.49331 	 -1.03499 	 
-0.49247 	 -0.79653 	-0.50754 	 -0.72352 	-0.49247 	 -1.17268 	-0.47740 	 -1.42429 	-0.49247 	 -1.27194 	-0.50754 	 -0.89630 	-0.49247 	 -1.25808 	-0.47740 	 -1.33940 	-0.49247 	 -1.25927 	-0.50754 	 -0.89965 	-0.49247 	 -1.28384 	-0.47740 	 -1.45654 	-0.49247 	 -1.18449 	-0.50754 	 -0.71797 	-0.49247 	 -0.79912 	-0.47740 	 -0.69331 	-0.49247 	 -0.79653 	-0.49247 	 -1.05726 	 
-0.49162 	 -0.80072 	-0.50670 	 -0.74925 	-0.49162 	 -1.19582 	-0.47654 	 -1.40445 	-0.49162 	 -1.30038 	-0.50670 	 -0.93070 	-0.49162 	 -1.28316 	-0.47654 	 -1.32234 	-0.49162 	 -1.28437 	-0.50670 	 -0.93428 	-0.49162 	 -1.31279 	-0.47654 	 -1.43659 	-0.49162 	 -1.20814 	-0.50670 	 -0.74365 	-0.49162 	 -0.80333 	-0.47654 	 -0.68762 	-0.49162 	 -0.80072 	-0.49162 	 -1.07049 	 
-0.49077 	 -0.80289 	-0.50586 	 -0.77372 	-0.49077 	 -1.21736 	-0.47567 	 -1.38990 	-0.49077 	 -1.32693 	-0.50586 	 -0.96383 	-0.49077 	 -1.30636 	-0.47567 	 -1.31221 	-0.49077 	 -1.30755 	-0.50586 	 -0.96762 	-0.49077 	 -1.33986 	-0.47567 	 -1.42148 	-0.49077 	 -1.23014 	-0.50586 	 -0.76807 	-0.49077 	 -0.80589 	-0.47567 	 -0.68657 	-0.49077 	 -0.80289 	-0.49077 	 -1.08372 	 
-0.48990 	 -0.80073 	-0.50500 	 -0.79469 	-0.48990 	 -1.23401 	-0.47479 	 -1.37747 	-0.48990 	 -1.34834 	-0.50500 	 -0.99344 	-0.48990 	 -1.32434 	-0.47479 	 -1.30451 	-0.48990 	 -1.32553 	-0.50500 	 -0.99745 	-0.48990 	 -1.36176 	-0.47479 	 -1.40821 	-0.48990 	 -1.24727 	-0.50500 	 -0.78896 	-0.48990 	 -0.80379 	-0.47479 	 -0.68549 	-0.48990 	 -0.80073 	-0.48990 	 -1.09392 	 
-0.48902 	 -0.79514 	-0.50413 	 -0.81177 	-0.48902 	 -1.24718 	-0.47390 	 -1.36678 	-0.48902 	 -1.36593 	-0.50413 	 -1.01908 	-0.48902 	 -1.33848 	-0.47390 	 -1.29787 	-0.48902 	 -1.33964 	-0.50413 	 -1.02331 	-0.48902 	 -1.37982 	-0.47390 	 -1.39652 	-0.48902 	 -1.26086 	-0.50413 	 -0.80596 	-0.48902 	 -0.79849 	-0.47390 	 -0.68386 	-0.48902 	 -0.79514 	-0.48902 	 -1.10152 	 
-0.48813 	 -0.78766 	-0.50325 	 -0.82747 	-0.48813 	 -1.25806 	-0.47300 	 -1.36010 	-0.48813 	 -1.38098 	-0.50325 	 -1.04345 	-0.48813 	 -1.35003 	-0.47300 	 -1.29404 	-0.48813 	 -1.35117 	-0.50325 	 -1.04787 	-0.48813 	 -1.39532 	-0.47300 	 -1.38891 	-0.48813 	 -1.27216 	-0.50325 	 -0.82156 	-0.48813 	 -0.79124 	-0.47300 	 -0.68406 	-0.48813 	 -0.78766 	-0.48813 	 -1.10834 	 
-0.48722 	 -0.77761 	-0.50235 	 -0.83992 	-0.48722 	 -1.26568 	-0.47209 	 -1.35400 	-0.48722 	 -1.39244 	-0.50235 	 -1.06459 	-0.48722 	 -1.35795 	-0.47209 	 -1.28985 	-0.48722 	 -1.35905 	-0.50235 	 -1.06922 	-0.48722 	 -1.40722 	-0.47209 	 -1.38208 	-0.48722 	 -1.28017 	-0.50235 	 -0.83388 	-0.48722 	 -0.78140 	-0.47209 	 -0.68317 	-0.48722 	 -0.77761 	-0.48722 	 -1.11270 	 
-0.48630 	 -0.76657 	-0.50144 	 -0.85063 	-0.48630 	 -1.27150 	-0.47116 	 -1.34973 	-0.48630 	 -1.40179 	-0.50144 	 -1.08410 	-0.48630 	 -1.36372 	-0.47116 	 -1.28733 	-0.48630 	 -1.36478 	-0.50144 	 -1.08892 	-0.48630 	 -1.41698 	-0.47116 	 -1.37714 	-0.48630 	 -1.28636 	-0.50144 	 -0.84446 	-0.48630 	 -0.77067 	-0.47116 	 -0.68319 	-0.48630 	 -0.76657 	-0.48630 	 -1.11614 	 
-0.48536 	 -0.75467 	-0.50051 	 -0.85940 	-0.48536 	 -1.27518 	-0.47021 	 -1.34649 	-0.48536 	 -1.40869 	-0.50051 	 -1.10182 	-0.48536 	 -1.36702 	-0.47021 	 -1.28559 	-0.48536 	 -1.36802 	-0.50051 	 -1.10683 	-0.48536 	 -1.42427 	-0.47021 	 -1.37306 	-0.48536 	 -1.29038 	-0.50051 	 -0.85307 	-0.48536 	 -0.75901 	-0.47021 	 -0.68322 	-0.48536 	 -0.75467 	-0.48536 	 -1.11832 	 
-0.48441 	 -0.74244 	-0.49956 	 -0.86606 	-0.48441 	 -1.27703 	-0.46924 	 -1.34403 	-0.48441 	 -1.41342 	-0.49956 	 -1.11757 	-0.48441 	 -1.36817 	-0.46924 	 -1.28415 	-0.48441 	 -1.36909 	-0.49956 	 -1.12277 	-0.48441 	 -1.42937 	-0.46924 	 -1.36960 	-0.48441 	 -1.29256 	-0.49956 	 -0.85955 	-0.48441 	 -0.74710 	-0.46924 	 -0.68300 	-0.48441 	 -0.74244 	-0.48441 	 -1.11931 	 
