t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  2.4000040E+02         9.4279408E-01        -2.2024589E-02        -1.6097520E-02        -1.5897120E-03         6.7218822E-01         9.2378503E-01         4.8075054E-02         2.8375505E-02         1.9968554E-02         6.5275204E-01         9.3252504E-01         1.1015130E-01         4.0096082E-03         4.9245361E-02         6.6355020E-01         9.5410240E-01        -2.7799015E-03         9.3359165E-02        -3.8136076E-02         6.8207419E-01         9.2726600E-01        -4.5282871E-02         1.0640881E-01         8.1085533E-02         6.5884823E-01         9.4884372E-01         3.4177437E-01        -4.5344353E-02         1.7549559E-02         6.6881186E-01         9.5220178E-01         1.5504895E-01         6.3997000E-02        -1.1408922E-01         6.8145233E-01         9.4482994E-01         1.6120817E-01         2.9284738E-02         1.1540627E-02         6.6560107E-01         9.3636197E-01         2.5199044E-01         4.2761497E-02         1.6370310E-01         6.6101074E-01
  2.4001590E+02         9.4301623E-01        -2.8894419E-02        -5.7062780E-04        -1.7824572E-03         6.7241347E-01         9.2729747E-01         6.0020089E-03         6.7792252E-02         2.2260932E-02         6.5578634E-01         9.2668080E-01         1.1163107E-01         3.5438094E-02         1.0105479E-02         6.5981567E-01         9.5690799E-01         5.4118969E-03         8.2498685E-02        -2.2482151E-02         6.8507969E-01         9.2933065E-01        -4.4887226E-02         1.1011358E-01         6.9650717E-02         6.6101271E-01         9.3606836E-01         3.6421573E-01        -5.9572563E-02         5.5730145E-02         6.5910095E-01         9.5503056E-01         1.6192509E-01         6.7266561E-02        -1.0280056E-01         6.8291652E-01         9.4418633E-01         1.7577504E-01         3.5323709E-02         2.0065003E-03         6.6639054E-01         9.3342459E-01         2.5895193E-01         3.2590289E-02         1.7927992E-01         6.5928274E-01
  2.4003160E+02         9.4496810E-01        -3.0580888E-02         1.1050619E-02        -3.0893076E-03         6.7435604E-01         9.3839717E-01        -2.5129857E-02         1.0462596E-01         2.6546303E-02         6.6585147E-01         9.2486894E-01         8.1566490E-02         6.4028300E-02        -2.1185057E-02         6.5982598E-01         9.5921206E-01         1.9060919E-02         7.0338979E-02        -3.2316644E-03         6.8702972E-01         9.3233460E-01        -4.6025626E-02         1.1267746E-01         5.5335663E-02         6.6371274E-01         9.2490858E-01         3.6813727E-01        -3.5807777E-02         1.1921862E-01         6.5016639E-01         9.5828569E-01         1.8357500E-01         7.2720215E-02        -8.5936993E-02         6.8424052E-01         9.4184613E-01         1.9586986E-01         5.0285231E-02        -5.9283371E-03         6.6701889E-01         9.3119133E-01         2.5691602E-01         1.9054215E-02         1.9512513E-01         6.5822321E-01
  2.4004720E+02         9.4752985E-01        -2.5911938E-02         1.4741354E-02        -5.0534890E-03         6.7700046E-01         9.4983774E-01        -2.2549681E-02         1.1935454E-01         2.4416625E-02         6.7771178E-01         9.2903471E-01         3.0846167E-02         8.8713780E-02        -3.1640768E-02         6.6399807E-01         9.5957196E-01         3.0653434E-02         5.8916055E-02         2.0277323E-02         6.8710613E-01         9.3559086E-01        -4.6231922E-02         1.1214087E-01         4.1580576E-02         6.6631991E-01         9.1725892E-01         3.4345835E-01         2.0787828E-02         1.7865419E-01         6.4534569E-01         9.5870888E-01         2.2331110E-01         7.4968316E-02        -7.0094414E-02         6.8449533E-01         9.3939936E-01         2.0757695E-01         6.4269617E-02        -1.4770003E-02         6.6762191E-01         9.3083262E-01         2.4656954E-01         4.6045762E-03         2.0625414E-01         6.5773565E-01
  2.4006270E+02         9.4957763E-01        -1.7185846E-02         9.9521363E-03        -6.9851051E-03         6.7921740E-01         9.5670336E-01         8.9136707E-03         1.0113636E-01         1.7365241E-02         6.8622440E-01         9.3680084E-01        -1.4274918E-02         1.0221948E-01        -2.7401106E-02         6.6961086E-01         9.5765167E-01         3.2896202E-02         5.1661678E-02         4.4299658E-02         6.8514746E-01         9.3844873E-01        -4.6791978E-02         1.1051535E-01         2.9407835E-02         6.6848290E-01         9.1836333E-01         2.9783848E-01         7.3261373E-02         2.0938420E-01         6.4709365E-01         9.5612752E-01         2.6289299E-01         7.8343526E-02        -6.2584706E-02         6.8377846E-01         9.3835074E-01         2.0980409E-01         7.2689444E-02        -2.6759027E-02         6.6846502E-01         9.3201232E-01         2.3045844E-01        -9.0083405E-03         2.1009731E-01         6.5760905E-01
  2.4007830E+02         9.5061994E-01        -8.0929045E-03        -9.2418713E-04        -8.3178813E-03         6.8038690E-01         9.6008164E-01         4.5628197E-02         6.0246881E-02         1.5040041E-02         6.9025528E-01         9.4297689E-01        -3.7715543E-02         9.7053058E-02        -1.8672030E-02         6.7313522E-01         9.5543200E-01         2.5767868E-02         4.6929259E-02         6.0801890E-02         6.8277133E-01         9.4045240E-01        -4.8619915E-02         1.1099741E-01         1.8714495E-02         6.7006946E-01         9.2670047E-01         2.3463109E-01         1.0098556E-01         2.1896420E-01         6.5361017E-01         9.5536160E-01         2.7577010E-01         8.6249456E-02        -6.4029902E-02         6.8415648E-01         9.3881953E-01         2.1084386E-01         7.6066546E-02        -3.7468839E-02         6.6925108E-01         9.3331707E-01         2.1026957E-01        -1.9980511E-02         2.0645624E-01         6.5750933E-01
  2.4009400E+02         9.5051932E-01        -1.7973941E-03        -1.3488643E-02        -8.6485576E-03         6.8026650E-01         9.6183431E-01         7.6146215E-02         1.8787300E-02         2.0612672E-02         6.9007367E-01         9.4481337E-01        -4.3427844E-02         7.7561989E-02        -1.0035587E-02         6.7311168E-01         9.5525509E-01         1.5396046E-02         3.4574162E-02         5.8388513E-02         6.8246639E-01         9.4159430E-01        -5.1718984E-02         1.1594944E-01         9.6059935E-03         6.7115635E-01         9.3347919E-01         1.6490041E-01         1.0310011E-01         2.2763290E-01         6.5816599E-01         9.5875889E-01         2.6102337E-01         8.7962866E-02        -6.1354749E-02         6.8662578E-01         9.4016355E-01         2.1810530E-01         7.7023834E-02        -4.0500365E-02         6.7011857E-01         9.3370539E-01         1.8799448E-01        -2.6380895E-02         1.9588202E-01         6.5713519E-01
  2.4010970E+02         9.4934565E-01         4.0417860E-04        -2.2870051E-02        -7.8734728E-03         6.7896074E-01         9.6048039E-01         1.0240006E-01        -6.6627022E-03         2.7063195E-02         6.8540817E-01         9.4386715E-01        -4.2014666E-02         5.7397056E-02        -2.5410051E-04         6.7111385E-01         9.5761245E-01         1.4321269E-02         9.6543189E-03         3.3210538E-02         6.8509758E-01         9.4235200E-01        -5.5773444E-02         1.2422845E-01         1.8994068E-03         6.7208409E-01         9.3197942E-01         1.0160074E-01         8.3760962E-02         2.3778455E-01         6.5586108E-01         9.6307206E-01         2.4120052E-01         8.3036937E-02        -5.3046104E-02         6.8891120E-01         9.4137722E-01         2.3338065E-01         7.5759172E-02        -3.8866419E-02         6.7129314E-01         9.3333346E-01         1.6665739E-01        -2.7660212E-02         1.8066061E-01         6.5647644E-01
  2.4012520E+02         9.4740438E-01        -1.2529047E-03        -2.5724523E-02        -6.3196816E-03         6.7690808E-01         9.5277631E-01         1.2042564E-01        -1.1902114E-02         2.6434772E-02         6.7629731E-01         9.4279689E-01        -3.7009798E-02         4.6312828E-02         1.1761349E-02         6.6954988E-01         9.6105891E-01         3.8821436E-02        -1.3388814E-02        -1.0014786E-03         6.8872207E-01         9.4358009E-01        -6.2407810E-02         1.3063887E-01        -3.0283332E-03         6.7344952E-01         9.2164445E-01         5.7107035E-02         5.6369517E-02         2.3885518E-01         6.4701045E-01         9.6823370E-01         2.3856843E-01         6.8927288E-02        -3.9965369E-02         6.8961376E-01         9.4249934E-01         2.5097871E-01         7.1772322E-02        -4.5408841E-02         6.7278051E-01         9.3239295E-01         1.4957069E-01        -2.3544636E-02         1.6421756E-01         6.5555620E-01
  2.4014090E+02         9.4527483E-01        -5.7962765E-03        -2.1388985E-02        -4.5754891E-03         6.7477322E-01         9.3930745E-01         1.2053336E-01         1.1772888E-03         1.7234396E-02         6.6475260E-01         9.4267249E-01        -2.7981147E-02         4.6857681E-02         2.1199491E-02         6.6933525E-01         9.6324718E-01         9.5936306E-02        -1.5420598E-02        -2.5192354E-02         6.9001728E-01         9.4553304E-01        -7.2310098E-02         1.3223593E-01        -2.4133197E-03         6.7533505E-01         9.0834719E-01         3.0798823E-02         4.1356761E-02         2.2717710E-01         6.3691443E-01         9.7152996E-01         2.4843676E-01         4.4193227E-02        -2.8868718E-02         6.8815744E-01         9.4440502E-01         2.6492083E-01         6.8993695E-02        -6.7834213E-02         6.7439580E-01         9.3093354E-01         1.3839319E-01        -1.3001936E-02         1.4950635E-01         6.5454859E-01
