   n        time         Clp         Cdp         Clv         Cdv
 1615060   225.21442   0.6147350   0.0005104   0.0273432   0.0083921
 1615080   225.21706   0.6147775   0.0005110   0.0273499   0.0083886
 1615100   225.21970   0.6148180   0.0005117   0.0273563   0.0083851
 1615120   225.22235   0.6148568   0.0005124   0.0273624   0.0083815
 1615140   225.22499   0.6148942   0.0005131   0.0273683   0.0083779
 1615160   225.22763   0.6149304   0.0005138   0.0273741   0.0083744
 1615180   225.23028   0.6149657   0.0005145   0.0273796   0.0083710
 1615200   225.23292   0.6150002   0.0005152   0.0273850   0.0083675
 1615220   225.23556   0.6150338   0.0005158   0.0273903   0.0083641
 1615240   225.23821   0.6150668   0.0005165   0.0273955   0.0083607
 1615260   225.24085   0.6150991   0.0005172   0.0274005   0.0083572
 1615280   225.24349   0.6151306   0.0005179   0.0274054   0.0083538
 1615300   225.24614   0.6151615   0.0005186   0.0274102   0.0083502
 1615320   225.24878   0.6151919   0.0005193   0.0274149   0.0083466
 1615340   225.25142   0.6152222   0.0005200   0.0274196   0.0083430
 1615360   225.25407   0.6152526   0.0005207   0.0274243   0.0083395
 1615380   225.25671   0.6152833   0.0005214   0.0274290   0.0083360
 1615400   225.25936   0.6153146   0.0005221   0.0274339   0.0083326
 1615420   225.26200   0.6153464   0.0005227   0.0274389   0.0083293
 1615440   225.26464   0.6153787   0.0005233   0.0274439   0.0083262
 1615460   225.26729   0.6154112   0.0005239   0.0274490   0.0083233
 1615480   225.26993   0.6154439   0.0005245   0.0274542   0.0083205
 1615500   225.27257   0.6154769   0.0005250   0.0274594   0.0083178
 1615520   225.27522   0.6155099   0.0005255   0.0274645   0.0083153
 1615540   225.27786   0.6155424   0.0005259   0.0274696   0.0083129
 1615560   225.28050   0.6155740   0.0005264   0.0274746   0.0083106
 1615580   225.28315   0.6156045   0.0005268   0.0274793   0.0083085
 1615600   225.28579   0.6156338   0.0005271   0.0274839   0.0083064
 1615620   225.28843   0.6156619   0.0005275   0.0274882   0.0083045
 1615640   225.29108   0.6156886   0.0005278   0.0274924   0.0083026
 1615660   225.29372   0.6157139   0.0005282   0.0274963   0.0083007
 1615680   225.29636   0.6157380   0.0005285   0.0274999   0.0082988
 1615700   225.29901   0.6157608   0.0005288   0.0275034   0.0082970
 1615720   225.30165   0.6157825   0.0005291   0.0275067   0.0082953
 1615740   225.30429   0.6158031   0.0005294   0.0275099   0.0082937
 1615760   225.30694   0.6158229   0.0005296   0.0275129   0.0082922
 1615780   225.30958   0.6158422   0.0005298   0.0275158   0.0082909
 1615800   225.31222   0.6158613   0.0005300   0.0275187   0.0082897
 1615820   225.31487   0.6158803   0.0005301   0.0275216   0.0082888
 1615840   225.31751   0.6158995   0.0005302   0.0275245   0.0082880
 1615860   225.32015   0.6159187   0.0005303   0.0275274   0.0082874
 1615880   225.32280   0.6159380   0.0005304   0.0275303   0.0082870
