   n        time         Clp         Cdp     Clv         Cdv
      86    88.67200   0.6288454   0.0005577   0.0311706   0.0077082
      87    88.67970   0.6289402   0.0005591   0.0311806   0.0077014
      88    88.68760   0.6290495   0.0005604   0.0311923   0.0076945
      89    88.69530   0.6291467   0.0005615   0.0312003   0.0076879
      90    88.70320   0.6292252   0.0005625   0.0312031   0.0076815
      91    88.71110   0.6292899   0.0005633   0.0312023   0.0076757
      92    88.71880   0.6293441   0.0005638   0.0311995   0.0076705
      93    88.72670   0.6293917   0.0005642   0.0311956   0.0076660
      94    88.73440   0.6294249   0.0005644   0.0311897   0.0076620
      95    88.74230   0.6294303   0.0005647   0.0311782   0.0076576
      96    88.75000   0.6294141   0.0005651   0.0311633   0.0076522
      97    88.75790   0.6293885   0.0005660   0.0311476   0.0076450
      98    88.76560   0.6293480   0.0005675   0.0311305   0.0076357
      99    88.77350   0.6292849   0.0005696   0.0311099   0.0076241
     100    88.78140   0.6292011   0.0005723   0.0310864   0.0076109
     101    88.78910   0.6291113   0.0005750   0.0310627   0.0075973
     102    88.79700   0.6290292   0.0005774   0.0310414   0.0075842
     103    88.80470   0.6289623   0.0005790   0.0310239   0.0075733
     104    88.81260   0.6289004   0.0005798   0.0310081   0.0075651
     105    88.82030   0.6288377   0.0005801   0.0309929   0.0075600
     106    88.82820   0.6287634   0.0005802   0.0309758   0.0075571
     107    88.83610   0.6286895   0.0005803   0.0309595   0.0075554
     108    88.84380   0.6286207   0.0005806   0.0309451   0.0075539
     109    88.85170   0.6285598   0.0005809   0.0309328   0.0075516
     110    88.85940   0.6285132   0.0005813   0.0309237   0.0075482
     111    88.86730   0.6284824   0.0005818   0.0309179   0.0075433
     112    88.87500   0.6284755   0.0005823   0.0309172   0.0075370
     113    88.88290   0.6284869   0.0005830   0.0309205   0.0075291
     114    88.89060   0.6285125   0.0005841   0.0309270   0.0075204
     115    88.89850   0.6285463   0.0005857   0.0309358   0.0075112
     116    88.90640   0.6285797   0.0005877   0.0309450   0.0075026
     117    88.91410   0.6286153   0.0005892   0.0309547   0.0074958
     118    88.92200   0.6286632   0.0005896   0.0309672   0.0074920
     119    88.92970   0.6287280   0.0005887   0.0309837   0.0074929
     120    88.93760   0.6287970   0.0005867   0.0310022   0.0075004
     121    88.94530   0.6288519   0.0005843   0.0310187   0.0075144
     122    88.95320   0.6288973   0.0005816   0.0310349   0.0075331
     123    88.96110   0.6289269   0.0005790   0.0310492   0.0075529
     124    88.96880   0.6289321   0.0005767   0.0310598   0.0075700
     125    88.97670   0.6289089   0.0005751   0.0310663   0.0075831
     126    88.98440   0.6288539   0.0005742   0.0310674   0.0075907
     127    88.99230   0.6287551   0.0005741   0.0310604   0.0075936
     128    89.00000   0.6286268   0.0005746   0.0310483   0.0075923
     129    89.00790   0.6284812   0.0005757   0.0310345   0.0075878
     130    89.01560   0.6283223   0.0005770   0.0310192   0.0075807
     131    89.02350   0.6281423   0.0005787   0.0310008   0.0075710
     132    89.03140   0.6279543   0.0005807   0.0309817   0.0075587
     133    89.03910   0.6277730   0.0005832   0.0309645   0.0075441
     134    89.04700   0.6275861   0.0005861   0.0309469   0.0075272
     135    89.05470   0.6274074   0.0005893   0.0309305   0.0075093
     136    89.06260   0.6272507   0.0005925   0.0309190   0.0074906
     137    89.07030   0.6271188   0.0005954   0.0309118   0.0074721
     138    89.07820   0.6269924   0.0005982   0.0309051   0.0074527
     139    89.08600   0.6268821   0.0006012   0.0309006   0.0074331
     140    89.09380   0.6267816   0.0006045   0.0308979   0.0074127
     141    89.10160   0.6266814   0.0006076   0.0308939   0.0073925
     142    89.10940   0.6265824   0.0006106   0.0308892   0.0073732
     143    89.11730   0.6264882   0.0006132   0.0308845   0.0073563
     144    89.12510   0.6264017   0.0006155   0.0308802   0.0073431
     145    89.13290   0.6263151   0.0006175   0.0308751   0.0073331
     146    89.14070   0.6262233   0.0006192   0.0308673   0.0073259
     147    89.14850   0.6261316   0.0006207   0.0308585   0.0073198
     148    89.15630   0.6260469   0.0006221   0.0308501   0.0073137
     149    89.16420   0.6259541   0.0006238   0.0308392   0.0073062
     150    89.17190   0.6258552   0.0006258   0.0308263   0.0072972
     151    89.17980   0.6257568   0.0006281   0.0308134   0.0072865
     152    89.18760   0.6256608   0.0006304   0.0308005   0.0072749
     153    89.19540   0.6255642   0.0006325   0.0307866   0.0072634
     154    89.20330   0.6254721   0.0006342   0.0307732   0.0072526
     155    89.21100   0.6253951   0.0006354   0.0307628   0.0072437
     156    89.21890   0.6253278   0.0006362   0.0307543   0.0072369
     157    89.22660   0.6252700   0.0006364   0.0307475   0.0072326
     158    89.23450   0.6252209   0.0006362   0.0307424   0.0072302
     159    89.24220   0.6251819   0.0006357   0.0307391   0.0072297
     160    89.25010   0.6251535   0.0006351   0.0307381   0.0072306
     161    89.25780   0.6251399   0.0006345   0.0307401   0.0072327
     162    89.26570   0.6251423   0.0006337   0.0307457   0.0072364
     163    89.27360   0.6251565   0.0006326   0.0307537   0.0072419
     164    89.28130   0.6251750   0.0006311   0.0307622   0.0072493
     165    89.28920   0.6251986   0.0006291   0.0307715   0.0072591
     166    89.29690   0.6252323   0.0006266   0.0307827   0.0072711
     167    89.30480   0.6252752   0.0006238   0.0307956   0.0072850
     168    89.31250   0.6253160   0.0006209   0.0308078   0.0072999
     169    89.32040   0.6253500   0.0006180   0.0308183   0.0073150
     170    89.32820   0.6253781   0.0006156   0.0308271   0.0073286
     171    89.33600   0.6254089   0.0006138   0.0308365   0.0073396
     172    89.34380   0.6254448   0.0006127   0.0308468   0.0073465
     173    89.35160   0.6254803   0.0006123   0.0308567   0.0073486
     174    89.35950   0.6255096   0.0006127   0.0308645   0.0073463
     175    89.36730   0.6255377   0.0006137   0.0308714   0.0073407
     176    89.37510   0.6255742   0.0006152   0.0308798   0.0073330
     177    89.38290   0.6256156   0.0006168   0.0308888   0.0073244
     178    89.39070   0.6256530   0.0006185   0.0308962   0.0073150
     179    89.39850   0.6256844   0.0006202   0.0309015   0.0073055
     180    89.40640   0.6257209   0.0006218   0.0309072   0.0072960
     181    89.41410   0.6257706   0.0006233   0.0309153   0.0072873
     182    89.42200   0.6258338   0.0006246   0.0309257   0.0072798
     183    89.42970   0.6258914   0.0006253   0.0309337   0.0072745
     184    89.43760   0.6259465   0.0006257   0.0309401   0.0072718
     185    89.44530   0.6260179   0.0006255   0.0309499   0.0072721
     186    89.45320   0.6261033   0.0006247   0.0309626   0.0072756
     187    89.46110   0.6261791   0.0006234   0.0309729   0.0072822
     188    89.46880   0.6262404   0.0006217   0.0309792   0.0072914
     189    89.47670   0.6263016   0.0006197   0.0309851   0.0073030
     190    89.48440   0.6263680   0.0006175   0.0309921   0.0073164
     191    89.49230   0.6264400   0.0006150   0.0310002   0.0073315
     192    89.50000   0.6265102   0.0006123   0.0310079   0.0073477
     193    89.50790   0.6265763   0.0006093   0.0310143   0.0073658
     194    89.51570   0.6266366   0.0006060   0.0310194   0.0073852
     195    89.52350   0.6266979   0.0006024   0.0310245   0.0074062
     196    89.53130   0.6267596   0.0005986   0.0310297   0.0074274
     197    89.53920   0.6268220   0.0005946   0.0310348   0.0074489
     198    89.54690   0.6268789   0.0005910   0.0310389   0.0074691
     199    89.55480   0.6269289   0.0005877   0.0310414   0.0074882
     200    89.56250   0.6269713   0.0005849   0.0310426   0.0075049
     201    89.57040   0.6270153   0.0005827   0.0310444   0.0075194
     202    89.57830   0.6270650   0.0005810   0.0310480   0.0075315
     203    89.58600   0.6271118   0.0005796   0.0310515   0.0075411
     204    89.59390   0.6271542   0.0005784   0.0310539   0.0075493
     205    89.60160   0.6272031   0.0005773   0.0310580   0.0075563
     206    89.60950   0.6272626   0.0005762   0.0310646   0.0075629
     207    89.61720   0.6273202   0.0005753   0.0310709   0.0075689
     208    89.62510   0.6273726   0.0005745   0.0310758   0.0075745
     209    89.63290   0.6274222   0.0005739   0.0310799   0.0075792
     210    89.64070   0.6274820   0.0005734   0.0310861   0.0075828
     211    89.64850   0.6275530   0.0005731   0.0310951   0.0075850
     212    89.65640   0.6276262   0.0005730   0.0311045   0.0075855
     213    89.66410   0.6276872   0.0005732   0.0311114   0.0075839
     214    89.67200   0.6277466   0.0005737   0.0311183   0.0075801
     215    89.67970   0.6278009   0.0005746   0.0311249   0.0075743
     216    89.68760   0.6278299   0.0005757   0.0311267   0.0075665
     217    89.69530   0.6278295   0.0005770   0.0311231   0.0075573
     218    89.70320   0.6278053   0.0005785   0.0311159   0.0075469
     219    89.71090   0.6277456   0.0005802   0.0311028   0.0075357
     220    89.71880   0.6276430   0.0005822   0.0310821   0.0075236
     221    89.72670   0.6275192   0.0005845   0.0310594   0.0075108
     222    89.73440   0.6273751   0.0005870   0.0310349   0.0074980
     223    89.74230   0.6271865   0.0005896   0.0310028   0.0074847
     224    89.75010   0.6269794   0.0005921   0.0309686   0.0074719
     225    89.75790   0.6267579   0.0005945   0.0309338   0.0074596
     226    89.76570   0.6265143   0.0005966   0.0308959   0.0074484
     227    89.77360   0.6262397   0.0005983   0.0308528   0.0074383
     228    89.78130   0.6259573   0.0005994   0.0308086   0.0074301
     229    89.78920   0.6256638   0.0005999   0.0307628   0.0074240
     230    89.79690   0.6253770   0.0005999   0.0307181   0.0074211
     231    89.80480   0.6251080   0.0005993   0.0306771   0.0074215
     232    89.81250   0.6248784   0.0005985   0.0306433   0.0074250
     233    89.82040   0.6246900   0.0005975   0.0306169   0.0074313
     234    89.82820   0.6245651   0.0005963   0.0306012   0.0074394
     235    89.83610   0.6245109   0.0005949   0.0305979   0.0074491
     236    89.84380   0.6245255   0.0005931   0.0306061   0.0074599
     237    89.85170   0.6245912   0.0005909   0.0306222   0.0074721
     238    89.85940   0.6246970   0.0005884   0.0306440   0.0074853
     239    89.86730   0.6248368   0.0005856   0.0306706   0.0074996
     240    89.87500   0.6249785   0.0005826   0.0306957   0.0075145
     241    89.88290   0.6251023   0.0005794   0.0307152   0.0075306
     242    89.89070   0.6252124   0.0005764   0.0307305   0.0075474
     243    89.89850   0.6253256   0.0005733   0.0307456   0.0075653
     244    89.90630   0.6254346   0.0005702   0.0307597   0.0075834
     245    89.91420   0.6255303   0.0005672   0.0307710   0.0076021
     246    89.92190   0.6255979   0.0005643   0.0307767   0.0076205
     247    89.92980   0.6256357   0.0005615   0.0307760   0.0076389
     248    89.93750   0.6256450   0.0005590   0.0307697   0.0076568
     249    89.94540   0.6256447   0.0005567   0.0307622   0.0076744
     250    89.95320   0.6256452   0.0005545   0.0307560   0.0076913
     251    89.96100   0.6256298   0.0005522   0.0307468   0.0077079
     252    89.96880   0.6255886   0.0005500   0.0307317   0.0077235
     253    89.97670   0.6255333   0.0005477   0.0307126   0.0077386
     254    89.98440   0.6254918   0.0005457   0.0306961   0.0077527
     255    89.99230   0.6254763   0.0005439   0.0306847   0.0077660
     256    90.00000   0.6254771   0.0005423   0.0306764   0.0077779
     257    90.00790   0.6254840   0.0005408   0.0306676   0.0077886
     258    90.01570   0.6255025   0.0005396   0.0306596   0.0077979
     259    90.02350   0.6255442   0.0005386   0.0306546   0.0078061
     260    90.03130   0.6256013   0.0005377   0.0306522   0.0078132
     261    90.03920   0.6256607   0.0005370   0.0306485   0.0078196
     262    90.04690   0.6257164   0.0005364   0.0306426   0.0078253
     263    90.05480   0.6257804   0.0005358   0.0306375   0.0078309
     264    90.06250   0.6258515   0.0005351   0.0306344   0.0078366
     265    90.07040   0.6259128   0.0005342   0.0306286   0.0078429
     266    90.07820   0.6259546   0.0005331   0.0306186   0.0078500
     267    90.08600   0.6259920   0.0005318   0.0306078   0.0078583
     268    90.09380   0.6260275   0.0005303   0.0305981   0.0078676
     269    90.10170   0.6260529   0.0005284   0.0305865   0.0078781
     270    90.10940   0.6260651   0.0005263   0.0305727   0.0078893
     271    90.11730   0.6260720   0.0005240   0.0305580   0.0079013
     272    90.12500   0.6260789   0.0005216   0.0305443   0.0079131
     273    90.13290   0.6260866   0.0005192   0.0305311   0.0079248
     274    90.14070   0.6260894   0.0005170   0.0305177   0.0079355
     275    90.14860   0.6260837   0.0005150   0.0305031   0.0079450
