   n        time         Cl         Cd         AoA         M
    1640     0.28067  -0.0000000   0.0000040   0.0000000   0.0003454
    1660     0.28410  -0.0000000   0.0000063   0.0000000   0.0003540
    1680     0.28754  -0.0000000   0.0000086   0.0000000   0.0003626
    1700     0.29098  -0.0000000   0.0000109   0.0000000   0.0003713
    1720     0.29441  -0.0000000   0.0000132   0.0000000   0.0003801
    1740     0.29785  -0.0000000   0.0000155   0.0000000   0.0003890
    1760     0.30129  -0.0000000   0.0000179   0.0000000   0.0003980
    1780     0.30472  -0.0000000   0.0000202   0.0000000   0.0004072
    1800     0.30816  -0.0000000   0.0000226   0.0000000   0.0004164
    1820     0.31160  -0.0000000   0.0000250   0.0000000   0.0004257
    1840     0.31503  -0.0000000   0.0000274   0.0000000   0.0004352
    1860     0.31847  -0.0000000   0.0000298   0.0000000   0.0004447
    1880     0.32190  -0.0000000   0.0000322   0.0000000   0.0004544
    1900     0.32534  -0.0000000   0.0000346   0.0000000   0.0004641
    1920     0.32878  -0.0000000   0.0000371   0.0000000   0.0004740
    1940     0.33221  -0.0000000   0.0000395   0.0000000   0.0004839
    1960     0.33565   0.0000000   0.0000420   0.0000000   0.0004940
    1980     0.33909  -0.0000000   0.0000445   0.0000000   0.0005041
    2000     0.34252   0.0000000   0.0000470   0.0000000   0.0005144
    2020     0.34596  -0.0000000   0.0000495   0.0000000   0.0005248
    2040     0.34940  -0.0000000   0.0000520   0.0000000   0.0005353
    2060     0.35283  -0.0000000   0.0000545   0.0000000   0.0005458
    2080     0.35627  -0.0000000   0.0000571   0.0000000   0.0005565
    2100     0.35971  -0.0000000   0.0000596   0.0000000   0.0005673
    2120     0.36314  -0.0000000   0.0000622   0.0000000   0.0005782
    2140     0.36658  -0.0000000   0.0000647   0.0000000   0.0005892
    2160     0.37001  -0.0000000   0.0000673   0.0000000   0.0006003
    2180     0.37345  -0.0000000   0.0000699   0.0000000   0.0006115
    2200     0.37689  -0.0000000   0.0000725   0.0000000   0.0006228
    2220     0.38032  -0.0000000   0.0000751   0.0000000   0.0006342
    2240     0.38376  -0.0000000   0.0000777   0.0000000   0.0006457
    2260     0.38720  -0.0000000   0.0000804   0.0000000   0.0006573
    2280     0.39063  -0.0000000   0.0000830   0.0000000   0.0006690
    2300     0.39407  -0.0000000   0.0000856   0.0000000   0.0006808
    2320     0.39751  -0.0000000   0.0000883   0.0000000   0.0006927
    2340     0.40094  -0.0000000   0.0000910   0.0000000   0.0007047
    2360     0.40438  -0.0000000   0.0000936   0.0000000   0.0007169
    2380     0.40781  -0.0000000   0.0000963   0.0000000   0.0007291
    2400     0.41125  -0.0000000   0.0000990   0.0000000   0.0007414
    2420     0.41469  -0.0000000   0.0001017   0.0000000   0.0007539
    2440     0.41812  -0.0000000   0.0001044   0.0000000   0.0007664
    2460     0.42156  -0.0000000   0.0001071   0.0000000   0.0007790
    2480     0.42500  -0.0000000   0.0001098   0.0000000   0.0007918
    2500     0.42843  -0.0000000   0.0001125   0.0000000   0.0008046
    2520     0.43187  -0.0000000   0.0001153   0.0000000   0.0008176
    2540     0.43531  -0.0000000   0.0001180   0.0000000   0.0008306
    2560     0.43874  -0.0000000   0.0001207   0.0000000   0.0008438
    2580     0.44218  -0.0000000   0.0001235   0.0000000   0.0008570
    2600     0.44561  -0.0000000   0.0001262   0.0000000   0.0008704
    2620     0.44905  -0.0000000   0.0001290   0.0000000   0.0008839
    2640     0.45249  -0.0000000   0.0001318   0.0000000   0.0008974
    2660     0.45592  -0.0000000   0.0001345   0.0000000   0.0009111
    2680     0.45936  -0.0000000   0.0001373   0.0000000   0.0009249
    2700     0.46280  -0.0000000   0.0001401   0.0000000   0.0009388
    2720     0.46623  -0.0000000   0.0001429   0.0000000   0.0009527
    2740     0.46967  -0.0000000   0.0001457   0.0000000   0.0009668
