St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
0.000000e+00 	 5.012473e-07 	0.000000e+00 	 7.691887e-06 	0.000000e+00 	 4.457519e-04 	0.000000e+00 	 1.689547e-03 	0.000000e+00 	 3.568773e-02 	0.000000e+00 	 2.810873e-01 	0.000000e+00 	 1.318291e+00 	 
3.243306e-01 	 2.842727e-06 	3.243306e-01 	 4.232752e-05 	3.243306e-01 	 1.474241e-03 	3.243306e-01 	 1.609719e-02 	3.243306e-01 	 1.358199e-01 	3.243306e-01 	 1.051383e+00 	3.243306e-01 	 5.936730e+00 	 
6.486611e-01 	 1.740347e-06 	6.486611e-01 	 6.025648e-05 	6.486611e-01 	 1.289861e-03 	6.486611e-01 	 1.033925e-02 	6.486611e-01 	 8.502894e-02 	6.486611e-01 	 8.693976e-01 	6.486611e-01 	 5.654300e+00 	 
9.729917e-01 	 1.267172e-06 	9.729917e-01 	 4.370730e-05 	9.729917e-01 	 9.840414e-04 	9.729917e-01 	 6.368051e-03 	9.729917e-01 	 9.630173e-02 	9.729917e-01 	 2.930125e-01 	9.729917e-01 	 2.615763e+00 	 
1.297322e+00 	 1.877507e-06 	1.297322e+00 	 5.376042e-05 	1.297322e+00 	 1.003725e-03 	1.297322e+00 	 7.423205e-03 	1.297322e+00 	 6.463210e-02 	1.297322e+00 	 5.074260e-01 	1.297322e+00 	 1.882427e+00 	 
1.621653e+00 	 1.739468e-06 	1.621653e+00 	 6.522365e-05 	1.621653e+00 	 1.929263e-03 	1.621653e+00 	 1.490932e-02 	1.621653e+00 	 6.210586e-02 	1.621653e+00 	 4.688174e-01 	1.621653e+00 	 1.471866e+00 	 
1.945983e+00 	 1.603425e-06 	1.945983e+00 	 6.031073e-05 	1.945983e+00 	 1.502243e-03 	1.945983e+00 	 1.341293e-02 	1.945983e+00 	 7.342842e-02 	1.945983e+00 	 3.977944e-01 	1.945983e+00 	 1.914135e+00 	 
2.270314e+00 	 1.888498e-06 	2.270314e+00 	 5.218170e-05 	2.270314e+00 	 1.517520e-03 	2.270314e+00 	 1.060331e-02 	2.270314e+00 	 8.556867e-02 	2.270314e+00 	 2.969479e-01 	2.270314e+00 	 2.217339e+00 	 
2.594645e+00 	 1.762643e-06 	2.594645e+00 	 4.860957e-05 	2.594645e+00 	 2.405629e-03 	2.594645e+00 	 1.283953e-02 	2.594645e+00 	 8.889936e-02 	2.594645e+00 	 3.346707e-01 	2.594645e+00 	 2.459377e+00 	 
2.918975e+00 	 2.633406e-06 	2.918975e+00 	 1.100054e-04 	2.918975e+00 	 2.287860e-03 	2.918975e+00 	 1.237182e-02 	2.918975e+00 	 7.732119e-02 	2.918975e+00 	 4.444600e-01 	2.918975e+00 	 2.491299e+00 	 
3.243306e+00 	 4.829690e-06 	3.243306e+00 	 1.795438e-04 	3.243306e+00 	 2.307104e-03 	3.243306e+00 	 9.865300e-03 	3.243306e+00 	 7.769146e-02 	3.243306e+00 	 4.040010e-01 	3.243306e+00 	 1.433424e+00 	 
3.567636e+00 	 6.516746e-06 	3.567636e+00 	 1.600690e-04 	3.567636e+00 	 2.094198e-03 	3.567636e+00 	 1.027826e-02 	3.567636e+00 	 1.180769e-01 	3.567636e+00 	 3.490610e-01 	3.567636e+00 	 1.939125e+00 	 
3.891967e+00 	 5.902464e-06 	3.891967e+00 	 1.525373e-04 	3.891967e+00 	 1.920979e-03 	3.891967e+00 	 9.245383e-03 	3.891967e+00 	 1.014338e-01 	3.891967e+00 	 3.229159e-01 	3.891967e+00 	 2.088030e+00 	 
4.216297e+00 	 7.919044e-06 	4.216297e+00 	 2.747053e-04 	4.216297e+00 	 2.301805e-03 	4.216297e+00 	 1.046865e-02 	4.216297e+00 	 1.324509e-01 	4.216297e+00 	 2.612290e-01 	4.216297e+00 	 1.053782e+00 	 
4.540628e+00 	 6.542554e-06 	4.540628e+00 	 2.562500e-04 	4.540628e+00 	 2.157346e-03 	4.540628e+00 	 1.310960e-02 	4.540628e+00 	 7.816343e-02 	4.540628e+00 	 2.563303e-01 	4.540628e+00 	 9.070712e-01 	 
4.864958e+00 	 5.994381e-06 	4.864958e+00 	 2.192603e-04 	4.864958e+00 	 2.048757e-03 	4.864958e+00 	 1.362689e-02 	4.864958e+00 	 3.482561e-02 	4.864958e+00 	 3.681309e-01 	4.864958e+00 	 8.114526e-01 	 
5.189289e+00 	 7.885676e-06 	5.189289e+00 	 2.263693e-04 	5.189289e+00 	 1.400066e-03 	5.189289e+00 	 9.811742e-03 	5.189289e+00 	 4.174247e-02 	5.189289e+00 	 1.465153e-01 	5.189289e+00 	 1.086796e+00 	 
5.513620e+00 	 8.297127e-06 	5.513620e+00 	 2.013406e-04 	5.513620e+00 	 1.228496e-03 	5.513620e+00 	 8.454691e-03 	5.513620e+00 	 4.077437e-02 	5.513620e+00 	 1.871589e-01 	5.513620e+00 	 9.869676e-01 	 
5.837950e+00 	 1.138161e-05 	5.837950e+00 	 1.676028e-04 	5.837950e+00 	 1.521043e-03 	5.837950e+00 	 9.110937e-03 	5.837950e+00 	 4.076690e-02 	5.837950e+00 	 1.927269e-01 	5.837950e+00 	 8.253888e-01 	 
6.162281e+00 	 1.971479e-05 	6.162281e+00 	 2.388827e-04 	6.162281e+00 	 1.576310e-03 	6.162281e+00 	 8.855168e-03 	6.162281e+00 	 4.733067e-02 	6.162281e+00 	 2.163074e-01 	6.162281e+00 	 6.347947e-01 	 
6.486611e+00 	 3.229624e-05 	6.486611e+00 	 3.197742e-04 	6.486611e+00 	 1.343306e-03 	6.486611e+00 	 5.677048e-03 	6.486611e+00 	 4.760454e-02 	6.486611e+00 	 2.054513e-01 	6.486611e+00 	 6.467216e-01 	 
6.810942e+00 	 3.842363e-05 	6.810942e+00 	 3.748575e-04 	6.810942e+00 	 1.421182e-03 	6.810942e+00 	 3.471824e-03 	6.810942e+00 	 3.991635e-02 	6.810942e+00 	 1.710602e-01 	6.810942e+00 	 5.484589e-01 	 
7.135272e+00 	 6.655503e-05 	7.135272e+00 	 5.249062e-04 	7.135272e+00 	 1.113370e-03 	7.135272e+00 	 3.643181e-03 	7.135272e+00 	 3.123350e-02 	7.135272e+00 	 1.775087e-01 	7.135272e+00 	 5.863697e-01 	 
7.459603e+00 	 9.918313e-05 	7.459603e+00 	 6.739267e-04 	7.459603e+00 	 1.464380e-03 	7.459603e+00 	 6.020255e-03 	7.459603e+00 	 2.937505e-02 	7.459603e+00 	 1.688468e-01 	7.459603e+00 	 7.367627e-01 	 
7.783934e+00 	 8.946706e-05 	7.783934e+00 	 4.874125e-04 	7.783934e+00 	 7.986089e-04 	7.783934e+00 	 4.659919e-03 	7.783934e+00 	 3.345150e-02 	7.783934e+00 	 1.002404e-01 	7.783934e+00 	 5.652529e-01 	 
8.108264e+00 	 6.493694e-05 	8.108264e+00 	 3.702440e-04 	8.108264e+00 	 7.326393e-04 	8.108264e+00 	 5.039615e-03 	8.108264e+00 	 2.557110e-02 	8.108264e+00 	 1.211419e-01 	8.108264e+00 	 3.765210e-01 	 
8.432595e+00 	 3.525740e-05 	8.432595e+00 	 1.942968e-04 	8.432595e+00 	 5.604851e-04 	8.432595e+00 	 3.211123e-03 	8.432595e+00 	 2.143564e-02 	8.432595e+00 	 1.023461e-01 	8.432595e+00 	 3.408407e-01 	 
8.756925e+00 	 1.662211e-05 	8.756925e+00 	 1.361898e-04 	8.756925e+00 	 5.639567e-04 	8.756925e+00 	 3.674219e-03 	8.756925e+00 	 1.601295e-02 	8.756925e+00 	 1.318974e-01 	8.756925e+00 	 4.772563e-01 	 
9.081256e+00 	 7.166724e-06 	9.081256e+00 	 4.988715e-05 	9.081256e+00 	 4.550752e-04 	9.081256e+00 	 4.337285e-03 	9.081256e+00 	 1.772308e-02 	9.081256e+00 	 1.157238e-01 	9.081256e+00 	 4.322335e-01 	 
9.405586e+00 	 7.049885e-06 	9.405586e+00 	 5.491206e-05 	9.405586e+00 	 3.529234e-04 	9.405586e+00 	 4.402673e-03 	9.405586e+00 	 2.236411e-02 	9.405586e+00 	 9.185807e-02 	9.405586e+00 	 3.825907e-01 	 
9.729917e+00 	 4.318854e-06 	9.729917e+00 	 5.743753e-05 	9.729917e+00 	 4.964926e-04 	9.729917e+00 	 5.155931e-03 	9.729917e+00 	 1.749408e-02 	9.729917e+00 	 7.816888e-02 	9.729917e+00 	 3.236444e-01 	 
1.005425e+01 	 3.128092e-06 	1.005425e+01 	 4.914220e-05 	1.005425e+01 	 3.009462e-04 	1.005425e+01 	 3.135050e-03 	1.005425e+01 	 1.639938e-02 	1.005425e+01 	 5.791691e-02 	1.005425e+01 	 2.501312e-01 	 
1.037858e+01 	 2.152353e-06 	1.037858e+01 	 3.381800e-05 	1.037858e+01 	 2.484785e-04 	1.037858e+01 	 2.581565e-03 	1.037858e+01 	 1.181874e-02 	1.037858e+01 	 6.518207e-02 	1.037858e+01 	 2.712396e-01 	 
1.070291e+01 	 1.134568e-06 	1.070291e+01 	 2.238462e-05 	1.070291e+01 	 1.892890e-04 	1.070291e+01 	 3.153223e-03 	1.070291e+01 	 9.900845e-03 	1.070291e+01 	 7.673277e-02 	1.070291e+01 	 3.183407e-01 	 
1.102724e+01 	 6.259289e-07 	1.102724e+01 	 3.010763e-05 	1.102724e+01 	 2.652702e-04 	1.102724e+01 	 2.941424e-03 	1.102724e+01 	 9.383945e-03 	1.102724e+01 	 1.178332e-01 	1.102724e+01 	 2.768209e-01 	 
1.135157e+01 	 8.397722e-07 	1.135157e+01 	 2.458149e-05 	1.135157e+01 	 2.894938e-04 	1.135157e+01 	 2.602884e-03 	1.135157e+01 	 1.056110e-02 	1.135157e+01 	 7.456641e-02 	1.135157e+01 	 2.533199e-01 	 
1.167590e+01 	 5.335125e-07 	1.167590e+01 	 1.824657e-05 	1.167590e+01 	 2.172729e-04 	1.167590e+01 	 1.859317e-03 	1.167590e+01 	 9.727653e-03 	1.167590e+01 	 5.270648e-02 	1.167590e+01 	 2.136512e-01 	 
1.200023e+01 	 5.045557e-07 	1.200023e+01 	 1.761591e-05 	1.200023e+01 	 1.659267e-04 	1.200023e+01 	 1.663972e-03 	1.200023e+01 	 7.016375e-03 	1.200023e+01 	 4.977965e-02 	1.200023e+01 	 2.329948e-01 	 
1.232456e+01 	 6.860134e-07 	1.232456e+01 	 1.175270e-05 	1.232456e+01 	 1.153204e-04 	1.232456e+01 	 1.468367e-03 	1.232456e+01 	 5.276357e-03 	1.232456e+01 	 4.364237e-02 	1.232456e+01 	 1.862506e-01 	 
1.264889e+01 	 4.906397e-07 	1.264889e+01 	 7.789111e-06 	1.264889e+01 	 1.506901e-04 	1.264889e+01 	 9.605080e-04 	1.264889e+01 	 7.297023e-03 	1.264889e+01 	 3.754466e-02 	1.264889e+01 	 1.908718e-01 	 
1.297322e+01 	 3.722466e-07 	1.297322e+01 	 1.237314e-05 	1.297322e+01 	 1.608517e-04 	1.297322e+01 	 7.881773e-04 	1.297322e+01 	 6.148850e-03 	1.297322e+01 	 3.136693e-02 	1.297322e+01 	 1.674337e-01 	 
1.329755e+01 	 4.878466e-07 	1.329755e+01 	 1.445645e-05 	1.329755e+01 	 1.782272e-04 	1.329755e+01 	 4.969142e-04 	1.329755e+01 	 7.222975e-03 	1.329755e+01 	 3.842372e-02 	1.329755e+01 	 1.134838e-01 	 
1.362188e+01 	 6.161680e-07 	1.362188e+01 	 1.078723e-05 	1.362188e+01 	 1.804975e-04 	1.362188e+01 	 6.372395e-04 	1.362188e+01 	 8.063200e-03 	1.362188e+01 	 3.809598e-02 	1.362188e+01 	 1.245283e-01 	 
1.394621e+01 	 9.929579e-07 	1.394621e+01 	 1.709334e-05 	1.394621e+01 	 1.077910e-04 	1.394621e+01 	 8.199982e-04 	1.394621e+01 	 7.274436e-03 	1.394621e+01 	 2.463689e-02 	1.394621e+01 	 1.350124e-01 	 
1.427054e+01 	 1.230580e-06 	1.427054e+01 	 1.933032e-05 	1.427054e+01 	 9.514041e-05 	1.427054e+01 	 9.894276e-04 	1.427054e+01 	 4.451147e-03 	1.427054e+01 	 2.404652e-02 	1.427054e+01 	 1.122431e-01 	 
1.459488e+01 	 9.726394e-07 	1.459488e+01 	 1.283395e-05 	1.459488e+01 	 1.025979e-04 	1.459488e+01 	 9.487781e-04 	1.459488e+01 	 4.461443e-03 	1.459488e+01 	 2.472293e-02 	1.459488e+01 	 8.204764e-02 	 
1.491921e+01 	 7.836978e-07 	1.491921e+01 	 1.476355e-05 	1.491921e+01 	 1.424531e-04 	1.491921e+01 	 5.549346e-04 	1.491921e+01 	 4.412411e-03 	1.491921e+01 	 2.488944e-02 	1.491921e+01 	 9.483890e-02 	 
1.524354e+01 	 8.630957e-07 	1.524354e+01 	 1.376993e-05 	1.524354e+01 	 1.057457e-04 	1.524354e+01 	 4.988371e-04 	1.524354e+01 	 4.761634e-03 	1.524354e+01 	 3.555041e-02 	1.524354e+01 	 1.307039e-01 	 
1.556787e+01 	 1.168031e-06 	1.556787e+01 	 1.031722e-05 	1.556787e+01 	 9.425167e-05 	1.556787e+01 	 7.226100e-04 	1.556787e+01 	 5.471848e-03 	1.556787e+01 	 2.995360e-02 	1.556787e+01 	 9.588579e-02 	 
1.589220e+01 	 1.257637e-06 	1.589220e+01 	 1.193265e-05 	1.589220e+01 	 7.803947e-05 	1.589220e+01 	 4.951237e-04 	1.589220e+01 	 6.628960e-03 	1.589220e+01 	 2.546960e-02 	1.589220e+01 	 9.410622e-02 	 
1.621653e+01 	 8.202696e-07 	1.621653e+01 	 8.498769e-06 	1.621653e+01 	 5.341984e-05 	1.621653e+01 	 5.691505e-04 	1.621653e+01 	 3.445118e-03 	1.621653e+01 	 2.406127e-02 	1.621653e+01 	 8.812978e-02 	 
1.654086e+01 	 7.146142e-07 	1.654086e+01 	 6.278916e-06 	1.654086e+01 	 5.588950e-05 	1.654086e+01 	 5.543063e-04 	1.654086e+01 	 2.152218e-03 	1.654086e+01 	 2.913645e-02 	1.654086e+01 	 7.360537e-02 	 
1.686519e+01 	 8.627922e-07 	1.686519e+01 	 8.873884e-06 	1.686519e+01 	 6.616459e-05 	1.686519e+01 	 5.454105e-04 	1.686519e+01 	 2.458633e-03 	1.686519e+01 	 2.281053e-02 	1.686519e+01 	 7.136949e-02 	 
