St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
7.459552e+00 	 6.843002e-06 	7.459552e+00 	 1.428138e-04 	7.459552e+00 	 6.338833e-04 	7.459552e+00 	 2.000114e-03 	7.459552e+00 	 1.915902e-02 	7.459552e+00 	 1.466674e-01 	7.459552e+00 	 1.178946e+00 	 
7.783880e+00 	 9.557284e-06 	7.783880e+00 	 1.652254e-04 	7.783880e+00 	 6.207939e-04 	7.783880e+00 	 1.729501e-03 	7.783880e+00 	 1.617564e-02 	7.783880e+00 	 1.305204e-01 	7.783880e+00 	 6.400503e-01 	 
8.108208e+00 	 1.147027e-05 	8.108208e+00 	 1.498927e-04 	8.108208e+00 	 3.837436e-04 	8.108208e+00 	 2.005184e-03 	8.108208e+00 	 1.865085e-02 	8.108208e+00 	 1.220560e-01 	8.108208e+00 	 6.480534e-01 	 
8.432537e+00 	 9.792509e-06 	8.432537e+00 	 1.807842e-04 	8.432537e+00 	 3.689643e-04 	8.432537e+00 	 2.553560e-03 	8.432537e+00 	 2.186150e-02 	8.432537e+00 	 1.625192e-01 	8.432537e+00 	 1.335199e+00 	 
8.756865e+00 	 4.394400e-06 	8.756865e+00 	 1.408015e-04 	8.756865e+00 	 3.182327e-04 	8.756865e+00 	 2.356684e-03 	8.756865e+00 	 1.689234e-02 	8.756865e+00 	 1.389387e-01 	8.756865e+00 	 9.531072e-01 	 
9.081193e+00 	 1.387059e-06 	9.081193e+00 	 6.344076e-05 	9.081193e+00 	 3.919134e-04 	9.081193e+00 	 2.204036e-03 	9.081193e+00 	 1.713279e-02 	9.081193e+00 	 1.314372e-01 	9.081193e+00 	 9.892758e-01 	 
9.405522e+00 	 1.498732e-06 	9.405522e+00 	 4.925866e-05 	9.405522e+00 	 2.633007e-04 	9.405522e+00 	 1.878461e-03 	9.405522e+00 	 1.796383e-02 	9.405522e+00 	 1.254712e-01 	9.405522e+00 	 7.819767e-01 	 
9.729850e+00 	 1.574997e-06 	9.729850e+00 	 3.882020e-05 	9.729850e+00 	 2.250059e-04 	9.729850e+00 	 1.511454e-03 	9.729850e+00 	 1.227197e-02 	9.729850e+00 	 1.098471e-01 	9.729850e+00 	 6.675161e-01 	 
1.005418e+01 	 1.315958e-06 	1.005418e+01 	 2.301884e-05 	1.005418e+01 	 3.245704e-04 	1.005418e+01 	 1.828600e-03 	1.005418e+01 	 9.678672e-03 	1.005418e+01 	 7.675584e-02 	1.005418e+01 	 4.768806e-01 	 
1.037851e+01 	 8.286725e-07 	1.037851e+01 	 1.912509e-05 	1.037851e+01 	 1.937329e-04 	1.037851e+01 	 2.590867e-03 	1.037851e+01 	 1.026973e-02 	1.037851e+01 	 6.103362e-02 	1.037851e+01 	 3.973443e-01 	 
1.070283e+01 	 1.146687e-06 	1.070283e+01 	 2.676262e-05 	1.070283e+01 	 1.545780e-04 	1.070283e+01 	 2.699573e-03 	1.070283e+01 	 8.953964e-03 	1.070283e+01 	 8.847694e-02 	1.070283e+01 	 4.385082e-01 	 
1.102716e+01 	 7.782348e-07 	1.102716e+01 	 1.098005e-05 	1.102716e+01 	 1.557995e-04 	1.102716e+01 	 1.724155e-03 	1.102716e+01 	 7.994428e-03 	1.102716e+01 	 7.605036e-02 	1.102716e+01 	 5.303108e-01 	 
