St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
7.661877e+00 	 1.977052e-05 	7.661877e+00 	 5.766560e-05 	7.661877e+00 	 7.120744e-04 	7.661877e+00 	 7.439027e-03 	7.661877e+00 	 2.075020e-02 	7.661877e+00 	 1.179434e-01 	7.661877e+00 	 1.282249e+00 	 
7.995002e+00 	 1.197348e-05 	7.995002e+00 	 4.766677e-05 	7.995002e+00 	 7.072499e-04 	7.995002e+00 	 7.219150e-03 	7.995002e+00 	 1.948877e-02 	7.995002e+00 	 1.281520e-01 	7.995002e+00 	 7.558330e-01 	 
8.328127e+00 	 8.381115e-06 	8.328127e+00 	 5.360890e-05 	8.328127e+00 	 6.104390e-04 	8.328127e+00 	 5.798176e-03 	8.328127e+00 	 1.879371e-02 	8.328127e+00 	 1.487007e-01 	8.328127e+00 	 5.235576e-01 	 
8.661253e+00 	 5.440560e-06 	8.661253e+00 	 3.746262e-05 	8.661253e+00 	 4.662308e-04 	8.661253e+00 	 4.499288e-03 	8.661253e+00 	 1.483607e-02 	8.661253e+00 	 1.343363e-01 	8.661253e+00 	 4.666998e-01 	 
8.994378e+00 	 3.068009e-06 	8.994378e+00 	 3.510234e-05 	8.994378e+00 	 4.813802e-04 	8.994378e+00 	 4.217343e-03 	8.994378e+00 	 1.537017e-02 	8.994378e+00 	 1.108035e-01 	8.994378e+00 	 2.422528e-01 	 
9.327503e+00 	 3.419390e-06 	9.327503e+00 	 2.744821e-05 	9.327503e+00 	 4.023579e-04 	9.327503e+00 	 3.333295e-03 	9.327503e+00 	 1.729739e-02 	9.327503e+00 	 8.380124e-02 	9.327503e+00 	 2.855306e-01 	 
9.660628e+00 	 2.307335e-06 	9.660628e+00 	 1.811424e-05 	9.660628e+00 	 5.631622e-04 	9.660628e+00 	 3.311201e-03 	9.660628e+00 	 1.406028e-02 	9.660628e+00 	 1.004532e-01 	9.660628e+00 	 4.245434e-01 	 
9.993753e+00 	 1.123175e-06 	9.993753e+00 	 3.021671e-05 	9.993753e+00 	 4.299900e-04 	9.993753e+00 	 3.303555e-03 	9.993753e+00 	 1.487964e-02 	9.993753e+00 	 7.850182e-02 	9.993753e+00 	 3.249553e-01 	 
1.032688e+01 	 1.587210e-06 	1.032688e+01 	 3.234841e-05 	1.032688e+01 	 3.627202e-04 	1.032688e+01 	 2.038196e-03 	1.032688e+01 	 9.674420e-03 	1.032688e+01 	 6.039980e-02 	1.032688e+01 	 2.662425e-01 	 
1.066000e+01 	 2.958993e-06 	1.066000e+01 	 2.209406e-05 	1.066000e+01 	 2.649679e-04 	1.066000e+01 	 1.438699e-03 	1.066000e+01 	 6.779123e-03 	1.066000e+01 	 5.192365e-02 	1.066000e+01 	 1.579309e-01 	 
1.099313e+01 	 2.280252e-06 	1.099313e+01 	 2.210133e-05 	1.099313e+01 	 1.587819e-04 	1.099313e+01 	 1.487055e-03 	1.099313e+01 	 9.434702e-03 	1.099313e+01 	 5.346594e-02 	1.099313e+01 	 1.273378e-01 	 
1.132625e+01 	 2.308519e-06 	1.132625e+01 	 1.674794e-05 	1.132625e+01 	 1.367455e-04 	1.132625e+01 	 1.818462e-03 	1.132625e+01 	 6.503107e-03 	1.132625e+01 	 3.381320e-02 	1.132625e+01 	 1.376227e-01 	 
1.165938e+01 	 1.203025e-06 	1.165938e+01 	 1.008306e-05 	1.165938e+01 	 1.547691e-04 	1.165938e+01 	 1.709390e-03 	1.165938e+01 	 6.890147e-03 	1.165938e+01 	 3.118898e-02 	1.165938e+01 	 1.868336e-01 	 
1.199250e+01 	 1.536652e-06 	1.199250e+01 	 1.514421e-05 	1.199250e+01 	 1.241407e-04 	1.199250e+01 	 1.273453e-03 	1.199250e+01 	 6.911889e-03 	1.199250e+01 	 3.307533e-02 	1.199250e+01 	 1.302481e-01 	 
