St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
7.459603e+00 	 3.270892e-06 	7.459603e+00 	 8.165826e-05 	7.459603e+00 	 5.130870e-04 	7.459603e+00 	 5.595173e-03 	7.459603e+00 	 1.942445e-02 	7.459603e+00 	 1.264896e-01 	7.459603e+00 	 6.535673e-01 	 
7.783934e+00 	 3.047077e-06 	7.783934e+00 	 6.131263e-05 	7.783934e+00 	 6.235053e-04 	7.783934e+00 	 2.543148e-03 	7.783934e+00 	 1.685757e-02 	7.783934e+00 	 6.496385e-02 	7.783934e+00 	 5.115594e-01 	 
8.108264e+00 	 4.521224e-06 	8.108264e+00 	 8.779295e-05 	8.108264e+00 	 8.086361e-04 	8.108264e+00 	 2.961662e-03 	8.108264e+00 	 1.439430e-02 	8.108264e+00 	 7.545317e-02 	8.108264e+00 	 5.257539e-01 	 
8.432595e+00 	 3.912788e-06 	8.432595e+00 	 8.258763e-05 	8.432595e+00 	 6.845732e-04 	8.432595e+00 	 3.621257e-03 	8.432595e+00 	 1.349675e-02 	8.432595e+00 	 1.038537e-01 	8.432595e+00 	 3.681945e-01 	 
8.756925e+00 	 3.031825e-06 	8.756925e+00 	 5.208184e-05 	8.756925e+00 	 4.613726e-04 	8.756925e+00 	 2.671891e-03 	8.756925e+00 	 9.331059e-03 	8.756925e+00 	 1.224987e-01 	8.756925e+00 	 3.825741e-01 	 
9.081256e+00 	 2.324959e-06 	9.081256e+00 	 3.642358e-05 	9.081256e+00 	 4.025001e-04 	9.081256e+00 	 1.873412e-03 	9.081256e+00 	 8.417161e-03 	9.081256e+00 	 1.083783e-01 	9.081256e+00 	 3.800990e-01 	 
9.405586e+00 	 1.692547e-06 	9.405586e+00 	 4.486616e-05 	9.405586e+00 	 4.687021e-04 	9.405586e+00 	 1.127707e-03 	9.405586e+00 	 1.327106e-02 	9.405586e+00 	 7.909031e-02 	9.405586e+00 	 2.269471e-01 	 
9.729917e+00 	 1.755866e-06 	9.729917e+00 	 3.892508e-05 	9.729917e+00 	 3.657059e-04 	9.729917e+00 	 1.001849e-03 	9.729917e+00 	 1.123238e-02 	9.729917e+00 	 5.697694e-02 	9.729917e+00 	 2.200231e-01 	 
1.005425e+01 	 1.269886e-06 	1.005425e+01 	 3.192639e-05 	1.005425e+01 	 2.602833e-04 	1.005425e+01 	 1.337829e-03 	1.005425e+01 	 9.819017e-03 	1.005425e+01 	 3.133879e-02 	1.005425e+01 	 1.790364e-01 	 
1.037858e+01 	 1.421973e-06 	1.037858e+01 	 3.655646e-05 	1.037858e+01 	 1.427816e-04 	1.037858e+01 	 1.471540e-03 	1.037858e+01 	 5.352538e-03 	1.037858e+01 	 1.544071e-02 	1.037858e+01 	 1.698069e-01 	 
