St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
0.000000e+00 	 1.958363e-06 	0.000000e+00 	 3.707256e-05 	0.000000e+00 	 2.883764e-04 	0.000000e+00 	 4.759366e-03 	0.000000e+00 	 5.377144e-02 	0.000000e+00 	 1.179449e+00 	0.000000e+00 	 1.296536e+01 	 
3.243283e-01 	 8.330913e-06 	3.243283e-01 	 1.703807e-04 	3.243283e-01 	 2.155674e-03 	3.243283e-01 	 2.133983e-02 	3.243283e-01 	 2.867123e-01 	3.243283e-01 	 4.564181e+00 	3.243283e-01 	 4.537231e+01 	 
6.486567e-01 	 1.017262e-05 	6.486567e-01 	 1.572256e-04 	6.486567e-01 	 5.179934e-03 	6.486567e-01 	 4.921411e-02 	6.486567e-01 	 5.648573e-01 	6.486567e-01 	 6.678426e+00 	6.486567e-01 	 6.760214e+01 	 
9.729850e-01 	 1.099767e-05 	9.729850e-01 	 3.422280e-04 	9.729850e-01 	 5.014782e-03 	9.729850e-01 	 5.564430e-02 	9.729850e-01 	 5.609759e-01 	9.729850e-01 	 5.665797e+00 	9.729850e-01 	 7.136427e+01 	 
1.297313e+00 	 1.764701e-05 	1.297313e+00 	 5.113521e-04 	1.297313e+00 	 5.960026e-03 	1.297313e+00 	 6.136930e-02 	1.297313e+00 	 5.688633e-01 	1.297313e+00 	 3.745701e+00 	1.297313e+00 	 5.682026e+01 	 
1.621642e+00 	 3.636837e-05 	1.621642e+00 	 6.832810e-04 	1.621642e+00 	 9.348378e-03 	1.621642e+00 	 7.551649e-02 	1.621642e+00 	 6.672629e-01 	1.621642e+00 	 3.543516e+00 	1.621642e+00 	 3.601325e+01 	 
1.945970e+00 	 4.834313e-05 	1.945970e+00 	 8.749426e-04 	1.945970e+00 	 8.987349e-03 	1.945970e+00 	 8.798076e-02 	1.945970e+00 	 8.297833e-01 	1.945970e+00 	 6.218150e+00 	1.945970e+00 	 4.694123e+01 	 
2.270298e+00 	 3.752073e-05 	2.270298e+00 	 6.755025e-04 	2.270298e+00 	 6.645068e-03 	2.270298e+00 	 5.886732e-02 	2.270298e+00 	 5.325799e-01 	2.270298e+00 	 4.172671e+00 	2.270298e+00 	 3.384818e+01 	 
2.594627e+00 	 4.041030e-05 	2.594627e+00 	 6.249396e-04 	2.594627e+00 	 6.864387e-03 	2.594627e+00 	 3.566347e-02 	2.594627e+00 	 1.895664e-01 	2.594627e+00 	 2.422960e+00 	2.594627e+00 	 2.490732e+01 	 
2.918955e+00 	 6.378363e-05 	2.918955e+00 	 8.371866e-04 	2.918955e+00 	 6.360680e-03 	2.918955e+00 	 4.281565e-02 	2.918955e+00 	 2.132711e-01 	2.918955e+00 	 1.943545e+00 	2.918955e+00 	 1.497667e+01 	 
3.243283e+00 	 8.293746e-05 	3.243283e+00 	 9.007558e-04 	3.243283e+00 	 5.222255e-03 	3.243283e+00 	 3.902660e-02 	3.243283e+00 	 1.859782e-01 	3.243283e+00 	 1.521088e+00 	3.243283e+00 	 1.262504e+01 	 
3.567612e+00 	 7.484530e-05 	3.567612e+00 	 5.874491e-04 	3.567612e+00 	 3.813650e-03 	3.567612e+00 	 2.920531e-02 	3.567612e+00 	 1.499390e-01 	3.567612e+00 	 1.129372e+00 	3.567612e+00 	 1.537793e+01 	 
