x cf
  -0.50000   0.02371
  -0.49995   0.01374
  -0.49979   0.01475
  -0.49952   0.01831
  -0.49915   0.01839
  -0.49867   0.02017
  -0.49809   0.02028
  -0.49741   0.02029
  -0.49663   0.02024
  -0.49580   0.01942
  -0.49498   0.01879
  -0.49415   0.01788
  -0.49332   0.01683
  -0.49248   0.01581
  -0.49164   0.01463
  -0.49079   0.01347
  -0.48994   0.01226
  -0.48907   0.01104
  -0.48820   0.00984
  -0.48732   0.00866
  -0.48642   0.00754
  -0.48552   0.00648
  -0.48460   0.00547
  -0.48367   0.00452
  -0.48272   0.00363
  -0.48176   0.00281
  -0.48078   0.00208
  -0.47979   0.00144
  -0.47878   0.00089
  -0.47775   0.00043
  -0.47670   0.00006
  -0.47563  -0.00022
  -0.47454  -0.00043
  -0.47343  -0.00055
  -0.47230  -0.00056
  -0.47114  -0.00049
  -0.46997  -0.00042
  -0.46877  -0.00039
  -0.46754  -0.00039
  -0.46629  -0.00035
  -0.46502  -0.00024
  -0.46372  -0.00011
  -0.46239  -0.00008
  -0.46103  -0.00017
  -0.45965  -0.00024
  -0.45824  -0.00029
  -0.45680  -0.00028
  -0.45534   0.00009
  -0.45384   0.00109
  -0.45232   0.00239
  -0.45076   0.00314
  -0.44918   0.00285
  -0.44756   0.00179
  -0.44591   0.00065
  -0.44424   0.00005
  -0.44253   0.00020
  -0.44078   0.00078
  -0.43901   0.00126
  -0.43720   0.00135
  -0.43536   0.00131
  -0.43349   0.00181
  -0.43158   0.00273
  -0.42964   0.00314
  -0.42767   0.00291
  -0.42566   0.00248
  -0.42362   0.00197
  -0.42155   0.00150
  -0.41944   0.00121
  -0.41729   0.00081
  -0.41511   0.00006
  -0.41290  -0.00070
  -0.41065  -0.00075
  -0.40836  -0.00045
  -0.40605  -0.00083
  -0.40369  -0.00107
  -0.40130   0.00010
  -0.39888   0.00144
  -0.39642   0.00141
  -0.39392   0.00064
  -0.39139   0.00025
  -0.38882   0.00039
  -0.38622   0.00053
  -0.38358   0.00027
  -0.38091   0.00006
  -0.37821   0.00037
  -0.37546   0.00072
  -0.37269   0.00020
  -0.36987  -0.00113
  -0.36703  -0.00197
  -0.36414  -0.00185
  -0.36123  -0.00181
  -0.35827  -0.00223
  -0.35529  -0.00256
  -0.35227  -0.00305
  -0.34921  -0.00398
  -0.34612  -0.00469
  -0.34300  -0.00478
  -0.33985  -0.00470
  -0.33666  -0.00481
  -0.33343  -0.00507
  -0.33018  -0.00524
  -0.32689  -0.00505
  -0.32357  -0.00455
  -0.32021  -0.00421
  -0.31683  -0.00428
  -0.31341  -0.00470
  -0.30996  -0.00536
  -0.30648  -0.00591
  -0.30297  -0.00601
  -0.29942  -0.00561
  -0.29585  -0.00490
  -0.29224  -0.00415
  -0.28861  -0.00358
  -0.28495  -0.00323
  -0.28125  -0.00295
  -0.27753  -0.00260
  -0.27378  -0.00219
  -0.27000  -0.00204
  -0.26619  -0.00253
