"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-2.54410e-01	8.30623e-05	-5.66169e-05	2.11720e-04	7.10285e-01	2.84114e-01	1.86357e-06	1.06289e-06	2.37822e-08	5.32021e-07	6.77446e-09	-6.42640e-09	1	4.84000e-02	-6.00000e-01	1.50000e-01	-1.71600e-01
-2.54507e-01	1.67983e-04	-1.52535e-04	3.30920e-04	7.10277e-01	2.84111e-01	1.86401e-06	1.06338e-06	2.44130e-08	5.31893e-07	2.17709e-09	-6.68159e-09	1	5.06000e-02	-6.00000e-01	1.50000e-01	-1.69400e-01
-2.54602e-01	1.06755e-04	-9.41376e-05	2.81062e-04	7.10268e-01	2.84107e-01	1.86385e-06	1.06360e-06	2.50804e-08	5.31550e-07	-2.37073e-09	-6.93660e-09	1	5.28000e-02	-6.00000e-01	1.50000e-01	-1.67200e-01
-2.54253e-01	-2.53197e-05	-1.44051e-04	2.96065e-04	7.10259e-01	2.84104e-01	1.86312e-06	1.06356e-06	2.57766e-08	5.31003e-07	-6.85644e-09	-7.19424e-09	1	5.50000e-02	-6.00000e-01	1.50000e-01	-1.65000e-01
-2.53931e-01	-8.88963e-05	-1.45846e-04	2.97143e-04	7.10249e-01	2.84100e-01	1.86186e-06	1.06330e-06	2.64950e-08	5.30270e-07	-1.12707e-08	-7.45520e-09	1	5.72000e-02	-6.00000e-01	1.50000e-01	-1.62800e-01
-2.53878e-01	-4.18066e-05	-9.49349e-05	2.90638e-04	7.10238e-01	2.84095e-01	1.86084e-06	1.06352e-06	2.72860e-08	5.30022e-07	-1.56790e-08	-7.73188e-09	1	5.94000e-02	-6.00000e-01	1.50000e-01	-1.60600e-01
-2.53879e-01	7.22322e-06	-5.16557e-05	2.95680e-04	7.10227e-01	2.84091e-01	1.85969e-06	1.06388e-06	2.81212e-08	5.29947e-07	-2.00508e-08	-8.02382e-09	1	6.16000e-02	-6.00000e-01	1.50000e-01	-1.58400e-01
-2.53826e-01	-9.32414e-06	-2.97927e-05	2.86558e-04	7.10215e-01	2.84086e-01	1.85802e-06	1.06402e-06	2.89631e-08	5.29690e-07	-2.43322e-08	-8.32240e-09	1	6.38000e-02	-6.00000e-01	1.50000e-01	-1.56200e-01
-2.53579e-01	-5.44194e-05	-4.18436e-05	3.02302e-04	7.10202e-01	2.84081e-01	1.85590e-06	1.06400e-06	2.98078e-08	5.29310e-07	-2.85149e-08	-8.62549e-09	1	6.60000e-02	-6.00000e-01	1.50000e-01	-1.54000e-01
-2.53249e-01	-4.70258e-05	-1.47906e-05	2.79648e-04	7.10189e-01	2.84076e-01	1.85339e-06	1.06387e-06	3.06525e-08	5.28839e-07	-3.25971e-08	-8.93247e-09	1	6.82000e-02	-6.00000e-01	1.50000e-01	-1.51800e-01
-2.52930e-01	-4.86650e-05	6.95361e-06	2.83844e-04	7.10176e-01	2.84070e-01	1.85059e-06	1.06366e-06	3.14969e-08	5.28280e-07	-3.65835e-08	-9.24157e-09	1	7.04000e-02	-6.00000e-01	1.50000e-01	-1.49600e-01
-2.52658e-01	-4.72568e-05	4.45527e-06	2.93292e-04	7.10162e-01	2.84065e-01	1.84759e-06	1.06354e-06	3.23503e-08	5.27865e-07	-4.04914e-08	-9.56757e-09	1	7.26000e-02	-6.00000e-01	1.50000e-01	-1.47400e-01
-2.52580e-01	-4.62418e-05	-6.30582e-07	2.80335e-04	7.10147e-01	2.84059e-01	1.84472e-06	1.06375e-06	3.32398e-08	5.27755e-07	-4.43695e-08	-9.91906e-09	1	7.48000e-02	-6.00000e-01	1.50000e-01	-1.45200e-01
-2.52461e-01	-2.14797e-05	9.84298e-06	2.67391e-04	7.10132e-01	2.84053e-01	1.84144e-06	1.06386e-06	3.41121e-08	5.27619e-07	-4.81341e-08	-1.02872e-08	1	7.70000e-02	-6.00000e-01	1.50000e-01	-1.43000e-01
-2.52280e-01	-7.61710e-06	-3.11334e-06	2.85560e-04	7.10116e-01	2.84046e-01	1.83792e-06	1.06392e-06	3.49709e-08	5.27374e-07	-5.17936e-08	-1.06600e-08	1	7.92000e-02	-6.00000e-01	1.50000e-01	-1.40800e-01
-2.52084e-01	9.77042e-07	-1.10262e-05	2.77725e-04	7.10100e-01	2.84040e-01	1.83409e-06	1.06393e-06	3.58113e-08	5.27110e-07	-5.53381e-08	-1.10430e-08	1	8.14000e-02	-6.00000e-01	1.50000e-01	-1.38600e-01
