Density	Momentum:0	Momentum:1	Momentum:2	StagnationEnergy	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.955343	-0.0831333	0.0322115	-0.00438704	0.687949	0.000492205	0.000468592	0.000803506	-7.92888E-06	4.23823E-07	-6.70575E-05	0.1	0.15	-0.1408
0.955275	-0.0834135	0.0326819	-0.00467004	0.687893	0.000505814	0.00049084	0.000830463	-1.69061E-05	-9.2875E-06	-7.41497E-05	0.1	0.15	-0.1386
0.955212	-0.0833218	0.0330859	-0.00496338	0.687836	0.000518933	0.000533979	0.000836923	-5.14569E-05	-1.73644E-05	-6.90009E-05	0.1	0.15	-0.1364
0.955169	-0.0829471	0.033453	-0.00537119	0.687794	0.000526992	0.000634105	0.000829155	-8.04036E-05	-2.12107E-05	-7.01877E-05	0.1	0.15	-0.1342
0.955152	-0.0824419	0.0335886	-0.00591136	0.687778	0.000531081	0.000779234	0.000822669	-5.95752E-05	-3.65439E-05	-9.90183E-05	0.1	0.15	-0.132
0.95515	-0.0817598	0.0333718	-0.00654053	0.687784	0.000556898	0.000871336	0.000818859	3.97887E-06	-7.86776E-05	-0.000141547	0.1	0.15	-0.1298
0.955156	-0.0808687	0.0330236	-0.00724333	0.687799	0.00060605	0.000894675	0.000815572	6.02809E-05	-0.000130907	-0.000181948	0.1	0.15	-0.1276
0.955163	-0.0799861	0.0328167	-0.00806473	0.687809	0.000628099	0.000914343	0.000821556	6.69274E-05	-0.000167916	-0.000226337	0.1	0.15	-0.1254
0.955163	-0.0793144	0.0327058	-0.0090323	0.687801	0.000624196	0.000949167	0.000845552	1.88783E-05	-0.000183732	-0.000280855	0.1	0.15	-0.1232
0.955154	-0.0787874	0.0324925	-0.0100789	0.687775	0.000658139	0.000961387	0.000889735	-0.000032538	-0.000193845	-0.000333623	0.1	0.15	-0.121
0.955127	-0.0782978	0.0321277	-0.011101	0.687738	0.000726861	0.00094457	0.000950834	-2.48894E-05	-0.000221891	-0.000372542	0.1	0.15	-0.1188
0.955071	-0.0778461	0.0316403	-0.0120536	0.68769	0.000782796	0.000933288	0.00102935	2.14406E-05	-0.000265338	-0.000399282	0.1	0.15	-0.1166
0.954991	-0.0772854	0.0310261	-0.0129115	0.687632	0.000807478	0.000938756	0.00112847	5.31618E-05	-0.00030227	-0.000413096	0.1	0.15	-0.1144
