"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
6.49116e-01	3.77360e-03	-1.32038e+00	-4.04753e+00	6.74946e-01	4.52035e-01	1.50731e-02	4.26096e-03	8.85309e-03	-9.01906e-05	2.31432e-03	6.52209e-04	1	0.00000e+00	-2.00000e-01	2.50000e-01	-2.20000e-01
2.07200e-01	2.32856e-01	-1.08974e+00	-4.01980e+00	6.75146e-01	-1.31340e+00	1.49608e-02	4.37955e-03	8.64025e-03	-3.23414e-04	2.12954e-03	6.72510e-04	1	2.19999e-03	-2.00000e-01	2.50000e-01	-2.17800e-01
-5.32424e-01	3.19226e-01	-1.04198e+00	-3.86763e+00	6.75335e-01	-7.75545e+00	1.49849e-02	4.46857e-03	8.44190e-03	-5.81364e-04	1.90295e-03	6.63461e-04	1	4.40000e-03	-2.00000e-01	2.50000e-01	-2.15600e-01
-1.43700e+00	2.84059e-01	-8.42790e-01	-3.65101e+00	6.75459e-01	3.19837e+00	1.49527e-02	4.51350e-03	8.23003e-03	-7.95892e-04	1.66667e-03	5.95831e-04	1	6.59999e-03	-2.00000e-01	2.50000e-01	-2.13400e-01
-1.97100e+00	4.39928e-01	-4.41666e-01	-3.49476e+00	6.75503e-01	1.73296e+00	1.46756e-02	4.57682e-03	7.99954e-03	-9.24217e-04	1.41733e-03	4.82074e-04	1	8.80000e-03	-2.00000e-01	2.50000e-01	-2.11200e-01
-1.81540e+00	7.22831e-01	-5.96519e-02	-3.43277e+00	6.75489e-01	7.70782e-01	1.41433e-02	4.60129e-03	7.77494e-03	-9.73733e-04	1.16248e-03	3.41808e-04	1	1.10000e-02	-2.00000e-01	2.50000e-01	-2.09000e-01
-1.09886e+00	8.34264e-01	2.00960e-01	-3.46836e+00	6.75436e-01	5.03356e-01	1.36076e-02	4.62243e-03	7.55504e-03	-1.00322e-03	9.06574e-04	1.92610e-04	1	1.32000e-02	-2.00000e-01	2.50000e-01	-2.06800e-01
-1.23176e-02	7.54892e-01	4.39705e-01	-3.61809e+00	6.75373e-01	9.65505e-01	1.32851e-02	4.72139e-03	7.35069e-03	-1.08266e-03	5.99060e-04	6.51701e-05	1	1.54000e-02	-2.00000e-01	2.50000e-01	-2.04600e-01
1.54364e+00	8.48622e-01	8.37065e-01	-3.87700e+00	6.75311e-01	-2.41697e+00	1.31600e-02	4.82028e-03	7.22037e-03	-1.18761e-03	2.16216e-04	1.31188e-05	1	1.76000e-02	-2.00000e-01	2.50000e-01	-2.02400e-01
3.53848e+00	1.41180e+00	1.19599e+00	-4.15023e+00	6.75249e-01	3.60457e+00	1.31015e-02	4.79819e-03	7.27287e-03	-1.10650e-03	-2.23682e-04	3.85281e-05	1	1.98000e-02	-2.00000e-01	2.50000e-01	-2.00200e-01
