x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	avg	
-0.50000 	 -0.35166 	-0.51497 	 -0.09410 	-0.50000 	 -0.46005 	-0.48503 	 -0.88193 	-0.50000 	 -0.45782 	-0.51497 	 -0.09042 	-0.50000 	 -0.36150 	-0.48503 	 -0.65259 	-0.48503 	 -0.41876 	 
-0.49995 	 -0.59189 	-0.51492 	 -0.41204 	-0.49995 	 -0.70907 	-0.48498 	 -1.39628 	-0.49995 	 -0.71072 	-0.51492 	 -0.40762 	-0.49995 	 -0.58991 	-0.48498 	 -1.08529 	-0.48498 	 -0.73785 	 
-0.49979 	 -0.51562 	-0.51476 	 -0.29171 	-0.49979 	 -0.63187 	-0.48481 	 -1.24764 	-0.49979 	 -0.63178 	-0.51476 	 -0.28740 	-0.49979 	 -0.51498 	-0.48481 	 -0.94562 	-0.48481 	 -0.63333 	 
-0.49952 	 -0.59698 	-0.51450 	 -0.35197 	-0.49952 	 -0.72335 	-0.48454 	 -1.34907 	-0.49952 	 -0.72353 	-0.51450 	 -0.34728 	-0.49952 	 -0.59609 	-0.48454 	 -1.01251 	-0.48454 	 -0.71260 	 
-0.49915 	 -0.61925 	-0.51413 	 -0.35922 	-0.49915 	 -0.75355 	-0.48417 	 -1.36752 	-0.49915 	 -0.75374 	-0.51413 	 -0.35442 	-0.49915 	 -0.61733 	-0.48417 	 -0.99377 	-0.48417 	 -0.72735 	 
-0.49867 	 -0.68265 	-0.51366 	 -0.40990 	-0.49867 	 -0.83243 	-0.48368 	 -1.41972 	-0.49867 	 -0.83185 	-0.51366 	 -0.40480 	-0.49867 	 -0.68320 	-0.48368 	 -1.00028 	-0.48368 	 -0.78310 	 
-0.49809 	 -0.75569 	-0.51309 	 -0.49202 	-0.49809 	 -0.91910 	-0.48309 	 -1.50099 	-0.49809 	 -0.91905 	-0.51309 	 -0.48662 	-0.49809 	 -0.75447 	-0.48309 	 -1.02546 	-0.48309 	 -0.85667 	 
-0.49741 	 -0.80278 	-0.51241 	 -0.54016 	-0.49741 	 -0.98242 	-0.48240 	 -1.51281 	-0.49741 	 -0.98189 	-0.51241 	 -0.53446 	-0.49741 	 -0.80254 	-0.48240 	 -0.99227 	-0.48240 	 -0.89367 	 
-0.49663 	 -0.87293 	-0.51165 	 -0.62606 	-0.49663 	 -1.07087 	-0.48161 	 -1.55856 	-0.49663 	 -1.07031 	-0.51165 	 -0.62000 	-0.49663 	 -0.87277 	-0.48161 	 -0.99613 	-0.48161 	 -0.96095 	 
-0.49580 	 -0.91556 	-0.51083 	 -0.68350 	-0.49580 	 -1.13013 	-0.48077 	 -1.55791 	-0.49580 	 -1.12959 	-0.51083 	 -0.67711 	-0.49580 	 -0.91463 	-0.48077 	 -0.97086 	-0.48077 	 -0.99741 	 
-0.49497 	 -0.95480 	-0.51001 	 -0.73775 	-0.49497 	 -1.18729 	-0.47993 	 -1.55027 	-0.49497 	 -1.18649 	-0.51001 	 -0.73102 	-0.49497 	 -0.95461 	-0.47993 	 -0.95553 	-0.47993 	 -1.03222 	 
-0.49415 	 -0.98697 	-0.50920 	 -0.78962 	-0.49415 	 -1.23584 	-0.47909 	 -1.54267 	-0.49415 	 -1.23506 	-0.50920 	 -0.78255 	-0.49415 	 -0.98618 	-0.47909 	 -0.94946 	-0.47909 	 -1.06354 	 
-0.49331 	 -1.00642 	-0.50837 	 -0.82582 	-0.49331 	 -1.27180 	-0.47825 	 -1.51893 	-0.49331 	 -1.27087 	-0.50837 	 -0.81843 	-0.49331 	 -1.00574 	-0.47825 	 -0.93609 	-0.47825 	 -1.08176 	 
-0.49247 	 -1.02568 	-0.50754 	 -0.86555 	-0.49247 	 -1.30771 	-0.47740 	 -1.50582 	-0.49247 	 -1.30669 	-0.50754 	 -0.85781 	-0.49247 	 -1.02498 	-0.47740 	 -0.93547 	-0.47740 	 -1.10371 	 
-0.49162 	 -1.03519 	-0.50670 	 -0.89493 	-0.49162 	 -1.33332 	-0.47654 	 -1.48636 	-0.49162 	 -1.33223 	-0.50670 	 -0.88685 	-0.49162 	 -1.03421 	-0.47654 	 -0.92871 	-0.47654 	 -1.11648 	 
-0.49077 	 -1.04248 	-0.50586 	 -0.92304 	-0.49077 	 -1.35725 	-0.47567 	 -1.47268 	-0.49077 	 -1.35604 	-0.50586 	 -0.91460 	-0.49077 	 -1.04160 	-0.47567 	 -0.92690 	-0.47567 	 -1.12932 	 
-0.48990 	 -1.04510 	-0.50500 	 -0.94763 	-0.48990 	 -1.37614 	-0.47479 	 -1.46133 	-0.48990 	 -1.37486 	-0.50500 	 -0.93882 	-0.48990 	 -1.04396 	-0.47479 	 -0.92532 	-0.47479 	 -1.13914 	 
-0.48902 	 -1.04390 	-0.50413 	 -0.96821 	-0.48902 	 -1.39139 	-0.47390 	 -1.45163 	-0.48902 	 -1.39001 	-0.50413 	 -0.95902 	-0.48902 	 -1.04270 	-0.47390 	 -0.92336 	-0.47390 	 -1.14628 	 
-0.48813 	 -1.04040 	-0.50325 	 -0.98749 	-0.48813 	 -1.40429 	-0.47300 	 -1.44575 	-0.48813 	 -1.40282 	-0.50325 	 -0.97788 	-0.48813 	 -1.03907 	-0.47300 	 -0.92348 	-0.47300 	 -1.15265 	 
-0.48722 	 -1.03369 	-0.50235 	 -1.00349 	-0.48722 	 -1.41380 	-0.47209 	 -1.44007 	-0.48722 	 -1.41223 	-0.50235 	 -0.99346 	-0.48722 	 -1.03221 	-0.47209 	 -0.92251 	-0.47209 	 -1.15643 	 
-0.48630 	 -1.02533 	-0.50144 	 -1.01780 	-0.48630 	 -1.42144 	-0.47116 	 -1.43600 	-0.48630 	 -1.41978 	-0.50144 	 -1.00732 	-0.48630 	 -1.02376 	-0.47116 	 -0.92256 	-0.47116 	 -1.15925 	 
-0.48536 	 -1.01537 	-0.50051 	 -1.03026 	-0.48536 	 -1.42685 	-0.47021 	 -1.43274 	-0.48536 	 -1.42511 	-0.50051 	 -1.01930 	-0.48536 	 -1.01364 	-0.47021 	 -0.92271 	-0.47021 	 -1.16075 	 
-0.48441 	 -1.00427 	-0.49956 	 -1.04067 	-0.48441 	 -1.43037 	-0.46924 	 -1.42998 	-0.48441 	 -1.42855 	-0.49956 	 -1.02920 	-0.48441 	 -1.00242 	-0.46924 	 -0.92265 	-0.46924 	 -1.16101 	 
-0.48343 	 -0.99289 	-0.49860 	 -1.04979 	-0.48343 	 -1.43257 	-0.46826 	 -1.42829 	-0.48343 	 -1.43067 	-0.49860 	 -1.03778 	-0.48343 	 -0.99088 	-0.46826 	 -0.92307 	-0.46826 	 -1.16074 	 
-0.48244 	 -0.98138 	-0.49761 	 -1.05725 	-0.48244 	 -1.43332 	-0.46726 	 -1.42674 	-0.48244 	 -1.43134 	-0.49761 	 -1.04466 	-0.48244 	 -0.97920 	-0.46726 	 -0.92324 	-0.46726 	 -1.15964 	 
-0.48142 	 -0.97050 	-0.49660 	 -1.06333 	-0.48142 	 -1.43305 	-0.46624 	 -1.42557 	-0.48142 	 -1.43099 	-0.49660 	 -1.05012 	-0.48142 	 -0.96816 	-0.46624 	 -0.92363 	-0.46624 	 -1.15817 	 
-0.48038 	 -0.96073 	-0.49556 	 -1.06820 	-0.48038 	 -1.43187 	-0.46519 	 -1.42463 	-0.48038 	 -1.42972 	-0.49556 	 -1.05432 	-0.48038 	 -0.95818 	-0.46519 	 -0.92414 	-0.46519 	 -1.15647 	 
-0.47932 	 -0.95230 	-0.49451 	 -1.07173 	-0.47932 	 -1.42991 	-0.46412 	 -1.42371 	-0.47932 	 -1.42769 	-0.49451 	 -1.05715 	-0.47932 	 -0.94956 	-0.46412 	 -0.92467 	-0.46412 	 -1.15459 	 
-0.47823 	 -0.94542 	-0.49343 	 -1.07420 	-0.47823 	 -1.42748 	-0.46303 	 -1.42306 	-0.47823 	 -1.42519 	-0.49343 	 -1.05886 	-0.47823 	 -0.94246 	-0.46303 	 -0.92563 	-0.46303 	 -1.15279 	 
-0.47712 	 -0.93987 	-0.49232 	 -1.07553 	-0.47712 	 -1.42466 	-0.46191 	 -1.42244 	-0.47712 	 -1.42232 	-0.49232 	 -1.05937 	-0.47712 	 -0.93670 	-0.46191 	 -0.92680 	-0.46191 	 -1.15096 	 
-0.47598 	 -0.93550 	-0.49118 	 -1.07584 	-0.47598 	 -1.42170 	-0.46077 	 -1.42195 	-0.47598 	 -1.41930 	-0.49118 	 -1.05880 	-0.47598 	 -0.93212 	-0.46077 	 -0.92820 	-0.46077 	 -1.14918 	 
-0.47481 	 -0.93209 	-0.49002 	 -1.07518 	-0.47481 	 -1.41871 	-0.45959 	 -1.42154 	-0.47481 	 -1.41627 	-0.49002 	 -1.05721 	-0.47481 	 -0.92850 	-0.45959 	 -0.92976 	-0.45959 	 -1.14741 	 
-0.47362 	 -0.92946 	-0.48883 	 -1.07357 	-0.47362 	 -1.41581 	-0.45840 	 -1.42119 	-0.47362 	 -1.41334 	-0.48883 	 -1.05461 	-0.47362 	 -0.92564 	-0.45840 	 -0.93162 	-0.45840 	 -1.14565 	 
-0.47239 	 -0.92751 	-0.48760 	 -1.07111 	-0.47239 	 -1.41315 	-0.45717 	 -1.42094 	-0.47239 	 -1.41067 	-0.48760 	 -1.05109 	-0.47239 	 -0.92344 	-0.45717 	 -0.93405 	-0.45717 	 -1.14399 	 
-0.47114 	 -0.92614 	-0.48635 	 -1.06780 	-0.47114 	 -1.41082 	-0.45591 	 -1.42072 	-0.47114 	 -1.40835 	-0.48635 	 -1.04667 	-0.47114 	 -0.92180 	-0.45591 	 -0.93704 	-0.45591 	 -1.14242 	 
-0.46985 	 -0.92532 	-0.48507 	 -1.06373 	-0.46985 	 -1.40896 	-0.45463 	 -1.42055 	-0.46985 	 -1.40650 	-0.48507 	 -1.04141 	-0.46985 	 -0.92070 	-0.45463 	 -0.94034 	-0.45463 	 -1.14094 	 
-0.46853 	 -0.92498 	-0.48375 	 -1.05893 	-0.46853 	 -1.40763 	-0.45331 	 -1.42042 	-0.46853 	 -1.40521 	-0.48375 	 -1.03540 	-0.46853 	 -0.92007 	-0.45331 	 -0.94350 	-0.45331 	 -1.13952 	 
