x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.42786 	 -1.01203 	-0.44286 	 -1.00517 	-0.42786 	 -1.47294 	-0.41285 	 -1.43183 	-0.42786 	 -1.48150 	-0.44286 	 -1.00736 	-0.42786 	 -1.03561 	-0.41285 	 -1.05998 	-0.42786 	 -1.01203 	 
-0.42559 	 -1.01903 	-0.44057 	 -1.01291 	-0.42559 	 -1.47302 	-0.41060 	 -1.40764 	-0.42559 	 -1.47815 	-0.44057 	 -1.01357 	-0.42559 	 -1.04552 	-0.41060 	 -1.06571 	-0.42559 	 -1.01903 	 
-0.42328 	 -1.02823 	-0.43823 	 -1.02304 	-0.42328 	 -1.47026 	-0.40831 	 -1.37730 	-0.42328 	 -1.46839 	-0.43823 	 -1.02159 	-0.42328 	 -1.05596 	-0.40831 	 -1.07127 	-0.42328 	 -1.02823 	 
-0.42091 	 -1.03886 	-0.43585 	 -1.03192 	-0.42091 	 -1.46020 	-0.40597 	 -1.34711 	-0.42091 	 -1.45333 	-0.43585 	 -1.03229 	-0.42091 	 -1.06515 	-0.40597 	 -1.07755 	-0.42091 	 -1.03886 	 
-0.41851 	 -1.04906 	-0.43342 	 -1.03901 	-0.41851 	 -1.44234 	-0.40358 	 -1.31455 	-0.41851 	 -1.43417 	-0.43342 	 -1.04508 	-0.41851 	 -1.07308 	-0.40358 	 -1.08334 	-0.41851 	 -1.04906 	 
-0.41606 	 -1.05751 	-0.43094 	 -1.04832 	-0.41606 	 -1.42437 	-0.40116 	 -1.27674 	-0.41606 	 -1.41115 	-0.43094 	 -1.05981 	-0.41606 	 -1.08058 	-0.40116 	 -1.08612 	-0.41606 	 -1.05751 	 
-0.41356 	 -1.06532 	-0.42842 	 -1.05738 	-0.41356 	 -1.40843 	-0.39868 	 -1.23790 	-0.41356 	 -1.38926 	-0.42842 	 -1.07614 	-0.41356 	 -1.08743 	-0.39868 	 -1.08829 	-0.41356 	 -1.06532 	 
-0.41102 	 -1.07385 	-0.42585 	 -1.06546 	-0.41102 	 -1.38654 	-0.39617 	 -1.19752 	-0.41102 	 -1.37295 	-0.42585 	 -1.09167 	-0.41102 	 -1.09277 	-0.39617 	 -1.09216 	-0.41102 	 -1.07385 	 
-0.40842 	 -1.08177 	-0.42323 	 -1.07446 	-0.40842 	 -1.35532 	-0.39360 	 -1.16488 	-0.40842 	 -1.36030 	-0.42323 	 -1.10349 	-0.40842 	 -1.09754 	-0.39360 	 -1.09711 	-0.40842 	 -1.08177 	 
-0.40579 	 -1.08824 	-0.42057 	 -1.08228 	-0.40579 	 -1.32230 	-0.39100 	 -1.15362 	-0.40579 	 -1.34777 	-0.42057 	 -1.11233 	-0.40579 	 -1.10480 	-0.39100 	 -1.10283 	-0.40579 	 -1.08824 	 
-0.40311 	 -1.09482 	-0.41785 	 -1.08924 	-0.40311 	 -1.29639 	-0.38834 	 -1.15349 	-0.40311 	 -1.33066 	-0.41785 	 -1.12201 	-0.40311 	 -1.11323 	-0.38834 	 -1.10928 	-0.40311 	 -1.09482 	 
-0.40038 	 -1.10142 	-0.41510 	 -1.09644 	-0.40038 	 -1.27810 	-0.38565 	 -1.15071 	-0.40038 	 -1.30698 	-0.41510 	 -1.13308 	-0.40038 	 -1.11891 	-0.38565 	 -1.11611 	-0.40038 	 -1.10142 	 
