x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.14802 	 -0.00162 	-0.15899 	 -0.00251 	-0.14802 	 -0.00096 	-0.13704 	 -0.00080 	-0.14802 	 -0.00130 	-0.15899 	 -0.00168 	-0.14802 	 -0.00188 	-0.13704 	 -0.00151 	-0.14802 	 -0.00162 	 
-0.14288 	 -0.00119 	-0.15376 	 -0.00186 	-0.14288 	 -0.00073 	-0.13198 	 -0.00077 	-0.14288 	 -0.00116 	-0.15376 	 -0.00152 	-0.14288 	 -0.00181 	-0.13198 	 -0.00154 	-0.14288 	 -0.00119 	 
-0.13771 	 -0.00106 	-0.14851 	 -0.00077 	-0.13771 	 -0.00040 	-0.12690 	 -0.00085 	-0.13771 	 -0.00100 	-0.14851 	 -0.00135 	-0.13771 	 -0.00174 	-0.12690 	 -0.00156 	-0.13771 	 -0.00106 	 
-0.13253 	 -0.00127 	-0.14324 	 -0.00026 	-0.13253 	 -0.00030 	-0.12180 	 -0.00086 	-0.13253 	 -0.00089 	-0.14324 	 -0.00121 	-0.13253 	 -0.00166 	-0.12180 	 -0.00157 	-0.13253 	 -0.00127 	 
-0.12732 	 -0.00151 	-0.13794 	 -0.00028 	-0.12732 	 -0.00054 	-0.11668 	 -0.00086 	-0.12732 	 -0.00084 	-0.13794 	 -0.00112 	-0.12732 	 -0.00158 	-0.11668 	 -0.00155 	-0.12732 	 -0.00151 	 
-0.12209 	 -0.00160 	-0.13263 	 -0.00048 	-0.12209 	 -0.00084 	-0.11155 	 -0.00097 	-0.12209 	 -0.00083 	-0.13263 	 -0.00111 	-0.12209 	 -0.00152 	-0.11155 	 -0.00151 	-0.12209 	 -0.00160 	 
-0.11685 	 -0.00154 	-0.12730 	 -0.00083 	-0.11685 	 -0.00100 	-0.10639 	 -0.00107 	-0.11685 	 -0.00088 	-0.12730 	 -0.00117 	-0.11685 	 -0.00147 	-0.10639 	 -0.00146 	-0.11685 	 -0.00154 	 
-0.11159 	 -0.00141 	-0.12195 	 -0.00114 	-0.11159 	 -0.00102 	-0.10121 	 -0.00105 	-0.11159 	 -0.00098 	-0.12195 	 -0.00121 	-0.11159 	 -0.00139 	-0.10121 	 -0.00140 	-0.11159 	 -0.00141 	 
-0.10631 	 -0.00131 	-0.11658 	 -0.00128 	-0.10631 	 -0.00095 	-0.09602 	 -0.00097 	-0.10631 	 -0.00107 	-0.11658 	 -0.00118 	-0.10631 	 -0.00130 	-0.09602 	 -0.00133 	-0.10631 	 -0.00131 	 
-0.10101 	 -0.00127 	-0.11119 	 -0.00135 	-0.10101 	 -0.00087 	-0.09082 	 -0.00094 	-0.10101 	 -0.00113 	-0.11119 	 -0.00107 	-0.10101 	 -0.00121 	-0.09082 	 -0.00128 	-0.10101 	 -0.00127 	 
-0.09570 	 -0.00123 	-0.10579 	 -0.00133 	-0.09570 	 -0.00080 	-0.08559 	 -0.00097 	-0.09570 	 -0.00116 	-0.10579 	 -0.00097 	-0.09570 	 -0.00115 	-0.08559 	 -0.00125 	-0.09570 	 -0.00123 	 
-0.09037 	 -0.00117 	-0.10037 	 -0.00124 	-0.09037 	 -0.00073 	-0.08036 	 -0.00101 	-0.09037 	 -0.00120 	-0.10037 	 -0.00095 	-0.09037 	 -0.00111 	-0.08036 	 -0.00126 	-0.09037 	 -0.00117 	 
