   n        time         Clp         Cdv
     159   169.87520   0.5771485   0.2488543
     160   170.00010   0.5772183   0.2493707
     161   170.12520   0.5782067   0.2496052
     162   170.25010   0.5794768   0.2494029
     163   170.37520   0.5826997   0.2502036
     164   170.50010   0.5862211   0.2526145
     165   170.62510   0.5908516   0.2559801
     166   170.75010   0.5940453   0.2579169
     167   170.87520   0.5968573   0.2594485
     168   171.00010   0.5980703   0.2610576
     169   171.12510   0.6025268   0.2637715
     170   171.25020   0.6054989   0.2659802
     171   171.37510   0.6075720   0.2671060
     172   171.50010   0.6089439   0.2678663
     173   171.62510   0.6095866   0.2686215
     174   171.75020   0.6129611   0.2696847
     175   171.87500   0.6139409   0.2707826
     176   172.00010   0.6139866   0.2707034
     177   172.12510   0.6171808   0.2720730
     178   172.25020   0.6191768   0.2727353
     179   172.37510   0.6220554   0.2739948
     180   172.50010   0.6243730   0.2750569
     181   172.62520   0.6256739   0.2750887
     182   172.75010   0.6262744   0.2752584
     183   172.87510   0.6258282   0.2751163
     184   173.00010   0.6251466   0.2742456
     185   173.12510   0.6245918   0.2732328
     186   173.25020   0.6241583   0.2724904
     187   173.37510   0.6236385   0.2716376
     188   173.50020   0.6226138   0.2706972
     189   173.62520   0.6212711   0.2698833
     190   173.75020   0.6196913   0.2692376
     191   173.87520   0.6190338   0.2690012
     192   174.00010   0.6167140   0.2676695
     193   174.12500   0.6152309   0.2668933
     194   174.25010   0.6117569   0.2651156
     195   174.37520   0.6082271   0.2639559
     196   174.50020   0.6053992   0.2637854
     197   174.62520   0.6025204   0.2635223
     198   174.75000   0.6005952   0.2632678
     199   174.87500   0.5998495   0.2634907
     200   175.00000   0.5997593   0.2638897
     201   175.12520   0.5983083   0.2636047
     202   175.25020   0.5988300   0.2635981
     203   175.37520   0.6010900   0.2646500
     204   175.50020   0.6030872   0.2664072
     205   175.62520   0.6051491   0.2678946
     206   175.75010   0.6075061   0.2693179
     207   175.87510   0.6100502   0.2713128
     208   176.00010   0.6105098   0.2724103
     209   176.12520   0.6119461   0.2739011
     210   176.25020   0.6144686   0.2760140
     211   176.37510   0.6178950   0.2783830
     212   176.50010   0.6200576   0.2805400
     213   176.62510   0.6228747   0.2828552
     214   176.75010   0.6264392   0.2857025
