   n        time         Clv         Cdv
       0   300.00030  -0.0002855   0.0046573
       1   300.12520  -0.0003566   0.0048134
       2   300.25020  -0.0003653   0.0047914
       3   300.37530  -0.0003711   0.0047759
       4   300.50030  -0.0003887   0.0047963
       5   300.62530  -0.0003939   0.0047868
       6   300.75030  -0.0004032   0.0047877
       7   300.87530  -0.0004083   0.0047783
       8   301.00030  -0.0004054   0.0047456
       9   301.12520  -0.0003981   0.0047030
      10   301.25020  -0.0003929   0.0046804
      11   301.37520  -0.0003889   0.0046624
      12   301.50030  -0.0003872   0.0046615
      13   301.62520  -0.0003831   0.0046677
      14   301.75030  -0.0003610   0.0046379
      15   301.87530  -0.0003457   0.0046277
      16   302.00030  -0.0003512   0.0046680
      17   302.12530  -0.0003616   0.0047057
      18   302.25030  -0.0003492   0.0046561
      19   302.37530  -0.0003420   0.0046222
      20   302.50020  -0.0003820   0.0047261
      21   302.62530  -0.0004502   0.0049023
      22   302.75030  -0.0004929   0.0050003
      23   302.87530  -0.0005600   0.0051237
      24   303.00020  -0.0007022   0.0054377
      25   303.12530  -0.0008343   0.0057400
      26   303.25020  -0.0009762   0.0060663
      27   303.37530  -0.0011931   0.0065471
      28   303.50030  -0.0014014   0.0069768
      29   303.62530  -0.0015777   0.0073162
      30   303.75030  -0.0017455   0.0076342
      31   303.87520  -0.0019136   0.0079591
      32   304.00030  -0.0020059   0.0081412
      33   304.12520  -0.0020806   0.0082884
      34   304.25020  -0.0021385   0.0083889
      35   304.37520  -0.0021900   0.0084790
      36   304.50020  -0.0021858   0.0084703
      37   304.62520  -0.0021687   0.0084492
      38   304.75020  -0.0021795   0.0084580
      39   304.87520  -0.0021724   0.0084082
      40   305.00030  -0.0021531   0.0083570
      41   305.12520  -0.0021030   0.0082639
      42   305.25020  -0.0020572   0.0081795
      43   305.37520  -0.0020130   0.0080911
      44   305.50030  -0.0019422   0.0079614
      45   305.62520  -0.0018321   0.0077666
      46   305.75020  -0.0017196   0.0075772
      47   305.87520  -0.0015912   0.0073540
      48   306.00020  -0.0014389   0.0070782
      49   306.12520  -0.0012820   0.0067836
      50   306.25020  -0.0011315   0.0064956
      51   306.37520  -0.0009844   0.0062096
      52   306.50030  -0.0008399   0.0059190
      53   306.62530  -0.0006993   0.0056395
      54   306.75020  -0.0005608   0.0053738
      55   306.87530  -0.0004254   0.0051216
      56   307.00020  -0.0003035   0.0049015
      57   307.12520  -0.0001950   0.0047149
      58   307.25030  -0.0000884   0.0045330
      59   307.37530   0.0000240   0.0043345
      60   307.50020   0.0001399   0.0041229
      61   307.62520   0.0002475   0.0039170
      62   307.75020   0.0003390   0.0037332
      63   307.87520   0.0004116   0.0035894
      64   308.00020   0.0004640   0.0034972
      65   308.12520   0.0004942   0.0034522
      66   308.25020   0.0005150   0.0034281
      67   308.37530   0.0005345   0.0034109
      68   308.50030   0.0005492   0.0034027
      69   308.62520   0.0005524   0.0034186
      70   308.75030   0.0005429   0.0034585
      71   308.87520   0.0005229   0.0035154
      72   309.00020   0.0004941   0.0035997
      73   309.12530   0.0004612   0.0036910
      74   309.25020   0.0004248   0.0037692
      75   309.37520   0.0003923   0.0038240
      76   309.50030   0.0003658   0.0038590
      77   309.62520   0.0003494   0.0038669
      78   309.75030   0.0003363   0.0038771
      79   309.87530   0.0003378   0.0038559
      80   310.00020   0.0003510   0.0038057
      81   310.12520   0.0003901   0.0037077
      82   310.25020   0.0004360   0.0035939
      83   310.37520   0.0004899   0.0034589
      84   310.50030   0.0005573   0.0032986
      85   310.62520   0.0006291   0.0031382
      86   310.75030   0.0006684   0.0030409
      87   310.87520   0.0007173   0.0029194
      88   311.00030   0.0007881   0.0027543
      89   311.12530   0.0008617   0.0026000
      90   311.25030   0.0009285   0.0024780
      91   311.37530   0.0009760   0.0024032
      92   311.50030   0.0010380   0.0022892
      93   311.62520   0.0011145   0.0021691
