   n        time         Clp         Cdp
       0   300.00030   0.6800989   0.3773651
       1   300.12530   0.6995525   0.3929892
       2   300.25030   0.6530620   0.3648545
       3   300.37530   0.6421282   0.3576162
       4   300.50020   0.6359041   0.3544342
       5   300.62530   0.6305574   0.3520864
       6   300.75030   0.6287049   0.3521129
       7   300.87520   0.6287166   0.3535456
       8   301.00020   0.6320554   0.3561674
       9   301.12520   0.6366939   0.3584105
      10   301.25030   0.6500431   0.3643174
      11   301.37520   0.6592495   0.3690793
      12   301.50030   0.6669904   0.3722413
      13   301.62530   0.6770265   0.3752698
      14   301.75020   0.6902008   0.3794243
      15   301.87530   0.6949783   0.3800124
      16   302.00020   0.6920427   0.3777535
      17   302.12520   0.6986302   0.3815895
      18   302.25030   0.6911564   0.3787587
      19   302.37520   0.6851787   0.3765634
      20   302.50030   0.6723740   0.3729524
      21   302.62530   0.6522980   0.3665065
      22   302.75020   0.6291652   0.3571998
      23   302.87530   0.6075890   0.3560099
      24   303.00030   0.5759685   0.3527154
      25   303.12530   0.5303380   0.3381019
      26   303.25020   0.5208283   0.3446135
      27   303.37520   0.4898844   0.3440179
      28   303.50030   0.4701636   0.3467195
      29   303.62530   0.4777006   0.3643970
      30   303.75030   0.4960125   0.3875600
      31   303.87530   0.4939236   0.3930935
      32   304.00020   0.5107936   0.4035652
      33   304.12530   0.5405263   0.4180378
      34   304.25020   0.5661336   0.4292242
      35   304.37520   0.5776639   0.4310306
      36   304.50030   0.6023972   0.4373054
      37   304.62520   0.6280932   0.4425033
      38   304.75020   0.6356345   0.4366446
      39   304.87520   0.6380724   0.4272310
      40   305.00030   0.6495896   0.4249416
      41   305.12530   0.6792200   0.4331849
      42   305.25030   0.7005689   0.4374555
      43   305.37530   0.6965129   0.4296229
      44   305.50030   0.6843163   0.4170521
      45   305.62520   0.6900616   0.4123476
      46   305.75020   0.6918161   0.4021758
      47   305.87530   0.6873773   0.3862451
      48   306.00020   0.6988059   0.3793052
      49   306.12530   0.7231970   0.3794891
      50   306.25030   0.7437187   0.3767337
      51   306.37530   0.7656336   0.3745828
      52   306.50020   0.7815129   0.3698126
      53   306.62520   0.7947849   0.3637067
      54   306.75020   0.8125252   0.3604510
      55   306.87530   0.8417241   0.3636012
      56   307.00020   0.8740382   0.3688428
      57   307.12530   0.9052592   0.3746365
      58   307.25030   0.9359324   0.3810098
      59   307.37520   0.9648649   0.3864243
      60   307.50020   0.9969491   0.3928338
      61   307.62530   1.0314042   0.4013014
      62   307.75030   1.0626550   0.4098404
      63   307.87520   1.0917841   0.4182949
      64   308.00030   1.1223241   0.4287473
      65   308.12520   1.1448027   0.4385730
      66   308.25030   1.1644008   0.4479571
      67   308.37530   1.1788277   0.4562151
      68   308.50030   1.1825355   0.4608443
      69   308.62530   1.1816964   0.4633884
      70   308.75020   1.1785003   0.4651995
      71   308.87530   1.1679802   0.4645562
      72   309.00030   1.1489658   0.4602179
      73   309.12520   1.1279331   0.4545158
      74   309.25020   1.1023527   0.4473524
      75   309.37530   1.0749508   0.4401113
      76   309.50020   1.0432658   0.4325038
      77   309.62520   1.0123958   0.4251371
      78   309.75030   0.9813209   0.4163450
      79   309.87520   0.9547557   0.4093497
      80   310.00030   0.9339181   0.4041822
      81   310.12530   0.9121876   0.3982876
      82   310.25030   0.8945322   0.3940046
      83   310.37520   0.8883609   0.3933691
      84   310.50030   0.8941598   0.3978139
      85   310.62520   0.9142613   0.4080158
      86   310.75030   0.9424801   0.4206309
      87   310.87530   0.9790131   0.4356516
      88   311.00030   1.0207294   0.4533376
      89   311.12530   1.0523078   0.4648243
      90   311.25030   1.0781148   0.4739612
      91   311.37520   1.1006030   0.4816843
      92   311.50030   1.1145355   0.4869568
      93   311.62530   1.1233014   0.4896269
      94   311.75030   1.1317360   0.4935101
      95   311.87530   1.1408466   0.4990419
      96   312.00020   1.1492309   0.5049846
      97   312.12520   1.1551388   0.5107591
      98   312.25030   1.1587091   0.5172492
      99   312.37530   1.1627587   0.5245531
     100   312.50020   1.1668487   0.5317388
     101   312.62530   1.1677680   0.5374137
     102   312.75030   1.1680419   0.5423212
     103   312.87530   1.1623436   0.5444870
     104   313.00020   1.1513767   0.5445555
     105   313.12520   1.1381755   0.5439187
     106   313.25030   1.1229657   0.5425232
     107   313.37520   1.1069684   0.5410048
     108   313.50020   1.0915399   0.5400000
     109   313.62530   1.0727529   0.5377936
     110   313.75030   1.0502002   0.5341320
     111   313.87530   1.0219845   0.5283813
     112   314.00030   0.9926446   0.5229748
     113   314.12530   0.9628749   0.5173885
     114   314.25020   0.9382969   0.5146133
