   n        time         Clp         Cdp
     159    79.87520   0.5827651   0.2615595
     160    80.00020   0.5836614   0.2616036
     161    80.12530   0.5841031   0.2618544
     162    80.25030   0.5847336   0.2624314
     163    80.37520   0.5861857   0.2631393
     164    80.50020   0.5873570   0.2639620
     165    80.62520   0.5871956   0.2645499
     166    80.75010   0.5870862   0.2644553
     167    80.87530   0.5842950   0.2630473
     168    81.00020   0.5814423   0.2613941
     169    81.12530   0.5776478   0.2597706
     170    81.25030   0.5736933   0.2582162
     171    81.37530   0.5716737   0.2576761
     172    81.50020   0.5703455   0.2573654
     173    81.62520   0.5687984   0.2570228
     174    81.75020   0.5674355   0.2564528
     175    81.87520   0.5648360   0.2552135
     176    82.00010   0.5636099   0.2547443
     177    82.12530   0.5640469   0.2544330
     178    82.25030   0.5645722   0.2544301
     179    82.37530   0.5641826   0.2537693
     180    82.50020   0.5640218   0.2530167
     181    82.62530   0.5656459   0.2531310
     182    82.75020   0.5674253   0.2534034
     183    82.87520   0.5692433   0.2536294
     184    83.00020   0.5715609   0.2542615
     185    83.12520   0.5750313   0.2557737
     186    83.25030   0.5779654   0.2571452
     187    83.37510   0.5803220   0.2582808
     188    83.50020   0.5833625   0.2598612
     189    83.62530   0.5860609   0.2615046
     190    83.75020   0.5878625   0.2624226
     191    83.87530   0.5909592   0.2637653
     192    84.00010   0.5918557   0.2642694
     193    84.12520   0.5936098   0.2650088
     194    84.25020   0.5947344   0.2653972
     195    84.37520   0.5939046   0.2656351
     196    84.50030   0.5945536   0.2661789
     197    84.62520   0.5951803   0.2667404
     198    84.75020   0.5944416   0.2663351
     199    84.87520   0.5946636   0.2664543
     200    85.00030   0.5944127   0.2665449
     201    85.12530   0.5949295   0.2670225
     202    85.25010   0.5949344   0.2673811
     203    85.37520   0.5931359   0.2671117
     204    85.50020   0.5932416   0.2675118
     205    85.62520   0.5932057   0.2677900
     206    85.75010   0.5921075   0.2682228
     207    85.87520   0.5908588   0.2689164
     208    86.00030   0.5899102   0.2698785
     209    86.12520   0.5905686   0.2708443
     210    86.25010   0.5906361   0.2712392
     211    86.37530   0.5902357   0.2716780
     212    86.50020   0.5887167   0.2718188
     213    86.62530   0.5874590   0.2720696
     214    86.75020   0.5856400   0.2722881
     215    86.87520   0.5846995   0.2722526
     216    87.00020   0.5839880   0.2722138
     217    87.12530   0.5836200   0.2724892
     218    87.25030   0.5831737   0.2729299
     219    87.37520   0.5829773   0.2728142
     220    87.50020   0.5838037   0.2727773
     221    87.62530   0.5847978   0.2729061
     222    87.75020   0.5844277   0.2724958
     223    87.87520   0.5838222   0.2716935
     224    88.00030   0.5838960   0.2708705
     225    88.12520   0.5845315   0.2702304
     226    88.25020   0.5871202   0.2709299
     227    88.37510   0.5879897   0.2708748
     228    88.50020   0.5898382   0.2710139
     229    88.62520   0.5910746   0.2710928
     230    88.75030   0.5908292   0.2706606
     231    88.87530   0.5900504   0.2699276
     232    89.00010   0.5899875   0.2691120
     233    89.12520   0.5880471   0.2674475
     234    89.25030   0.5860612   0.2657231
     235    89.37520   0.5852116   0.2643334
     236    89.50030   0.5846664   0.2632716
     237    89.62520   0.5836443   0.2619784
     238    89.75020   0.5805313   0.2597553
     239    89.87530   0.5773637   0.2575377
     240    90.00020   0.5750698   0.2558317
     241    90.12530   0.5723676   0.2542519
     242    90.25020   0.5706232   0.2529176
     243    90.37530   0.5694097   0.2514201
     244    90.50030   0.5677568   0.2491559
     245    90.62520   0.5641348   0.2462661
     246    90.75030   0.5615261   0.2439640
     247    90.87520   0.5598016   0.2423303
     248    91.00020   0.5595764   0.2409966
     249    91.12520   0.5597303   0.2397187
     250    91.25020   0.5619273   0.2389359
     251    91.37530   0.5621732   0.2379100
     252    91.50010   0.5648914   0.2381999
     253    91.62530   0.5695262   0.2394362
     254    91.75020   0.5740275   0.2411351
     255    91.87520   0.5782289   0.2426453
     256    92.00020   0.5832544   0.2443078
     257    92.12520   0.5879827   0.2459083
     258    92.25020   0.5928916   0.2476972
     259    92.37520   0.5992561   0.2503348
     260    92.50020   0.6063047   0.2534383
     261    92.62520   0.6135396   0.2566994
     262    92.75020   0.6207612   0.2600173
     263    92.87520   0.6270136   0.2632273
     264    93.00020   0.6330673   0.2662977
     265    93.12530   0.6385650   0.2688481
     266    93.25010   0.6426325   0.2706706
     267    93.37510   0.6462519   0.2723799
     268    93.50030   0.6506499   0.2746480
     269    93.62530   0.6543000   0.2766202
     270    93.75020   0.6567845   0.2783300
     271    93.87520   0.6585560   0.2795836
     272    94.00020   0.6591317   0.2802291
     273    94.12530   0.6593944   0.2803327
     274    94.25020   0.6606081   0.2808011
     275    94.37520   0.6609414   0.2813673
     276    94.50030   0.6624351   0.2819652
     277    94.62530   0.6631258   0.2820434
     278    94.75020   0.6641810   0.2827033
     279    94.87530   0.6651073   0.2836317
     280    95.00030   0.6657846   0.2840811
     281    95.12510   0.6676242   0.2844708
     282    95.25010   0.6698872   0.2852718
     283    95.37510   0.6735044   0.2869903
     284    95.50020   0.6771570   0.2889628
     285    95.62520   0.6798865   0.2901693
     286    95.75020   0.6819741   0.2911467
     287    95.87530   0.6859170   0.2927009
     288    96.00020   0.6900737   0.2949881
     289    96.12530   0.6938359   0.2974748
     290    96.25030   0.6964301   0.2998666
     291    96.37530   0.6983779   0.3016730
     292    96.50030   0.6986392   0.3028559
     293    96.62510   0.6970645   0.3029531
     294    96.75020   0.6948012   0.3024013
     295    96.87530   0.6920178   0.3017744
     296    97.00030   0.6895053   0.3011228
     297    97.12510   0.6864931   0.3003459
     298    97.25010   0.6827495   0.2992272
     299    97.37520   0.6781195   0.2977931
     300    97.50030   0.6734506   0.2959392
     301    97.62530   0.6680430   0.2939718
     302    97.75020   0.6648618   0.2931322
     303    97.87520   0.6628227   0.2930313
     304    98.00030   0.6601980   0.2927745
     305    98.12520   0.6591676   0.2926396
     306    98.25030   0.6567640   0.2924297
     307    98.37530   0.6563673   0.2933833
     308    98.50020   0.6572049   0.2945169
     309    98.62520   0.6562050   0.2950236
     310    98.75020   0.6558745   0.2955833
     311    98.87520   0.6560912   0.2961329
     312    99.00020   0.6554620   0.2966503
     313    99.12520   0.6531777   0.2964335
     314    99.25020   0.6513490   0.2958579
     315    99.37520   0.6504107   0.2953609
     316    99.50010   0.6500352   0.2953305
     317    99.62520   0.6482793   0.2947240
     318    99.75020   0.6477217   0.2940506
     319    99.87530   0.6473534   0.2943742
     320   100.00030   0.6468706   0.2948391
     321   100.12520   0.6465042   0.2947620
     322   100.25020   0.6457886   0.2948430
     323   100.37510   0.6459080   0.2950198
     324   100.50020   0.6461548   0.2951447
     325   100.62520   0.6466954   0.2955858
     326   100.75030   0.6482190   0.2961927
     327   100.87530   0.6487172   0.2962151
     328   101.00030   0.6491388   0.2955945
     329   101.12520   0.6489885   0.2950987
     330   101.25030   0.6493511   0.2948537
     331   101.37520   0.6484231   0.2940713
     332   101.50030   0.6456394   0.2927974
     333   101.62520   0.6443079   0.2926721
     334   101.75020   0.6424172   0.2925331
     335   101.87520   0.6395593   0.2912238
     336   102.00020   0.6388884   0.2907632
     337   102.12520   0.6368947   0.2899781
     338   102.25030   0.6359967   0.2897862
     339   102.37520   0.6342377   0.2894669
     340   102.50030   0.6328797   0.2889505
     341   102.62520   0.6313696   0.2880081
     342   102.75020   0.6280789   0.2870809
     343   102.87510   0.6238979   0.2854699
     344   103.00030   0.6202728   0.2837745
     345   103.12520   0.6170851   0.2826366
     346   103.25020   0.6123484   0.2808394
     347   103.37510   0.6065618   0.2783468
     348   103.50020   0.6026380   0.2765859
     349   103.62520   0.5988522   0.2749583
     350   103.75020   0.5952937   0.2736853
     351   103.87510   0.5920569   0.2728571
     352   104.00030   0.5883992   0.2720234
     353   104.12520   0.5863460   0.2713880
     354   104.25030   0.5841980   0.2706971
     355   104.37510   0.5829961   0.2699527
     356   104.50020   0.5799721   0.2684907
     357   104.62530   0.5784675   0.2677447
     358   104.75020   0.5757015   0.2662759
     359   104.87530   0.5741438   0.2651459
     360   105.00020   0.5726867   0.2645144
     361   105.12520   0.5722179   0.2644595
     362   105.25020   0.5734047   0.2650237
     363   105.37520   0.5726058   0.2647892
