   n        time         Clp         Cdv
       0   300.00030   0.6800989   0.3773651
       1   300.12520   0.6995823   0.3930071
       2   300.25020   0.6530750   0.3648613
       3   300.37530   0.6421291   0.3576170
       4   300.50030   0.6358981   0.3544315
       5   300.62530   0.6305580   0.3520869
       6   300.75030   0.6286911   0.3521035
       7   300.87530   0.6286962   0.3535183
       8   301.00030   0.6320332   0.3561303
       9   301.12520   0.6366651   0.3583781
      10   301.25020   0.6500220   0.3642927
      11   301.37520   0.6592180   0.3690383
      12   301.50030   0.6669032   0.3721216
      13   301.62520   0.6761724   0.3747472
      14   301.75030   0.6884262   0.3784444
      15   301.87530   0.6966731   0.3805557
      16   302.00030   0.6942906   0.3791399
      17   302.12530   0.6968597   0.3813532
      18   302.25030   0.6896699   0.3781865
      19   302.37530   0.6854584   0.3767467
      20   302.50020   0.6745263   0.3742308
      21   302.62530   0.6517528   0.3668424
      22   302.75030   0.6278489   0.3567975
      23   302.87530   0.6085373   0.3561560
      24   303.00020   0.5754909   0.3525123
      25   303.12530   0.5325059   0.3393521
      26   303.25020   0.5217645   0.3463000
      27   303.37530   0.4901298   0.3457395
      28   303.50030   0.4676575   0.3466535
      29   303.62530   0.4777286   0.3647017
      30   303.75030   0.4973072   0.3884625
      31   303.87520   0.4964683   0.3947307
      32   304.00030   0.5159262   0.4061499
      33   304.12520   0.5411016   0.4177009
      34   304.25020   0.5600514   0.4243667
      35   304.37520   0.5600205   0.4181638
      36   304.50020   0.5849292   0.4225821
      37   304.62520   0.6288302   0.4356565
      38   304.75020   0.6430258   0.4347545
      39   304.87520   0.6285763   0.4218365
      40   305.00030   0.6393921   0.4214171
      41   305.12520   0.6854667   0.4395571
      42   305.25020   0.7052440   0.4466112
      43   305.37520   0.6978590   0.4383070
      44   305.50030   0.6894247   0.4260758
      45   305.62520   0.7035827   0.4235903
      46   305.75020   0.7120784   0.4160312
      47   305.87520   0.7103653   0.4010807
      48   306.00020   0.7262252   0.3947531
      49   306.12520   0.7554831   0.3962447
      50   306.25020   0.7766318   0.3933508
      51   306.37520   0.7970005   0.3894765
      52   306.50030   0.8173157   0.3866622
      53   306.62530   0.8399823   0.3851671
      54   306.75020   0.8658927   0.3847793
      55   306.87530   0.8998767   0.3886903
      56   307.00020   0.9367373   0.3956306
      57   307.12520   0.9720904   0.4030191
      58   307.25030   1.0030895   0.4081921
      59   307.37530   1.0250430   0.4082600
      60   307.50020   1.0422588   0.4057105
      61   307.62520   1.0595866   0.4050722
      62   307.75020   1.0816082   0.4100083
      63   307.87520   1.1072860   0.4194269
      64   308.00020   1.1410861   0.4351463
      65   308.12520   1.1703442   0.4516910
      66   308.25020   1.1912993   0.4643306
      67   308.37530   1.2085170   0.4743783
      68   308.50030   1.2177589   0.4806232
      69   308.62520   1.2197062   0.4834683
      70   308.75030   1.2179397   0.4857562
      71   308.87520   1.2087017   0.4856013
      72   309.00020   1.1942313   0.4824827
      73   309.12530   1.1788712   0.4787139
      74   309.25020   1.1586070   0.4734782
      75   309.37520   1.1368225   0.4685510
      76   309.50030   1.1153365   0.4644073
      77   309.62520   1.0929213   0.4604801
      78   309.75030   1.0728867   0.4569778
      79   309.87530   1.0546068   0.4540426
      80   310.00020   1.0359658   0.4496392
      81   310.12520   1.0261216   0.4479273
      82   310.25020   1.0200087   0.4471862
      83   310.37520   1.0228741   0.4498072
      84   310.50030   1.0299967   0.4540776
      85   310.62520   1.0414890   0.4608529
      86   310.75030   1.0545993   0.4671094
      87   310.87520   1.0750506   0.4760500
      88   311.00030   1.1015155   0.4879467
      89   311.12530   1.1354607   0.5024754
      90   311.25030   1.1691566   0.5177761
      91   311.37530   1.1942622   0.5297605
      92   311.50030   1.2180024   0.5408364
      93   311.62520   1.2357096   0.5472506
      94   311.75030   1.2489076   0.5525865
      95   311.87530   1.2567059   0.5567091
      96   312.00030   1.2557312   0.5591295
      97   312.12530   1.2510634   0.5601445
      98   312.25020   1.2513044   0.5649822
      99   312.37530   1.2449264   0.5682410
     100   312.50030   1.2350112   0.5704404
     101   312.62530   1.2208198   0.5717766
     102   312.75020   1.2031458   0.5709417
     103   312.87520   1.1827214   0.5694006
     104   313.00030   1.1615928   0.5670744
     105   313.12520   1.1379654   0.5629189
     106   313.25020   1.1107307   0.5575640
     107   313.37520   1.0830986   0.5525981
     108   313.50030   1.0608398   0.5512146
     109   313.62520   1.0309599   0.5454260
     110   313.75030   1.0072595   0.5424558
     111   313.87520   0.9816032   0.5383783
     112   314.00020   0.9610090   0.5374670
     113   314.12520   0.9395343   0.5356316
     114   314.25020   0.9188563   0.5340541
     115   314.37520   0.9068838   0.5364063
     116   314.50020   0.8871008   0.5341168
     117   314.62530   0.8729953   0.5345879
     118   314.75030   0.8544575   0.5316045
     119   314.87530   0.8393109   0.5302501
     120   315.00020   0.8249083   0.5277124
