t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  1.5007840E+02         9.1000646E-01        -3.7618618E-02        -1.9829374E-02        -1.2790754E-02         6.5214080E-01         9.1956991E-01         1.0006791E-01         3.3046927E-02        -3.8298979E-02         6.5816182E-01         9.0963417E-01         1.8857317E-01         7.3795579E-02         5.7033759E-02         6.4806378E-01         9.2564285E-01        -1.7555708E-02         1.7681214E-01         3.9825942E-02         6.5535027E-01         9.2409205E-01         1.3430282E-01         2.4446301E-02         6.0700953E-02         6.6018093E-01         9.5854074E-01         3.2343075E-01        -2.0753399E-02        -4.5828737E-02         6.7678136E-01         9.6387511E-01         3.7101135E-01         2.1527419E-02         5.5106066E-02         6.7915028E-01         9.5388532E-01         1.9498721E-01         8.2787156E-02         1.9505912E-02         6.8474430E-01         9.5544267E-01         3.5485029E-01         1.3755524E-01         3.5638786E-03         6.8012369E-01
  1.5008610E+02         9.0944541E-01        -4.2487778E-02        -2.1197641E-02        -1.7263418E-02         6.5161210E-01         9.1818458E-01         1.0256305E-01         3.2879602E-02        -3.3458006E-02         6.5716952E-01         9.0791076E-01         1.4213403E-01         8.5381456E-02         7.9541124E-02         6.4675838E-01         9.2994106E-01         9.6889483E-03         1.8763830E-01         2.8845644E-02         6.5931547E-01         9.2437202E-01         1.4939292E-01         2.3954282E-02         4.6524379E-02         6.5956068E-01         9.5546037E-01         3.0391228E-01        -2.2943327E-02        -4.7136083E-02         6.7535466E-01         9.5835435E-01         3.6654800E-01         2.1501135E-02         6.6519298E-02         6.7762488E-01         9.5121795E-01         1.9109903E-01         1.0121172E-01         2.0291179E-02         6.8462497E-01         9.5707911E-01         3.4901860E-01         1.4392726E-01         8.0074277E-03         6.8004936E-01
  1.5009390E+02         9.0885073E-01        -4.7665510E-02        -2.2728527E-02        -2.1761391E-02         6.5105563E-01         9.1698033E-01         1.0584209E-01         3.2325044E-02        -2.7533695E-02         6.5629756E-01         9.0710807E-01         8.2339957E-02         1.0978180E-01         9.5549114E-02         6.4509934E-01         9.3196064E-01         5.8565777E-02         1.9340622E-01         1.8069886E-02         6.6231138E-01         9.2370015E-01         1.5773255E-01         1.6168512E-02         4.1978419E-02         6.5868300E-01         9.5195657E-01         2.9042310E-01        -2.2896837E-02        -4.4794820E-02         6.7329836E-01         9.5182604E-01         3.5715172E-01         3.0487923E-02         8.6860068E-02         6.7621225E-01         9.5011562E-01         1.8740147E-01         1.2008221E-01         2.3749536E-02         6.8498600E-01         9.5816064E-01         3.4257931E-01         1.5101391E-01         1.0269445E-02         6.7986023E-01
  1.5010170E+02         9.0832764E-01        -5.3179614E-02        -2.4411868E-02        -2.5567712E-02         6.5054643E-01         9.1613519E-01         1.1100756E-01         3.2059468E-02        -2.1172371E-02         6.5553939E-01         9.0686250E-01         2.3183219E-02         1.4304641E-01         9.6371554E-02         6.4310080E-01         9.3153912E-01         1.1343624E-01         1.8868624E-01         1.1401688E-02         6.6406763E-01         9.2235398E-01         1.5791339E-01         4.2671459E-03         4.9385805E-02         6.5792197E-01         9.4835806E-01         2.9328677E-01        -1.6858576E-02        -3.9522551E-02         6.7176640E-01         9.4806123E-01         3.5350275E-01         4.5155469E-02         1.0893948E-01         6.7540002E-01         9.5099616E-01         1.8504454E-01         1.3653424E-01         2.8225638E-02         6.8579394E-01         9.5848095E-01         3.3739749E-01         1.5900970E-01         8.8624218E-03         6.7960483E-01
  1.5010950E+02         9.0793598E-01        -5.9796762E-02        -2.6282929E-02        -2.8166622E-02         6.5007955E-01         9.1555429E-01         1.1900847E-01         3.2746214E-02        -1.4529111E-02         6.5480959E-01         9.0797311E-01        -2.2459317E-02         1.8050493E-01         8.0798104E-02         6.4180309E-01         9.3111134E-01         1.5868478E-01         1.6791375E-01         9.3523338E-03         6.6601324E-01         9.2063189E-01         1.5177132E-01        -9.0309475E-03         6.6660285E-02         6.5722960E-01         9.4492793E-01         3.1547987E-01         1.2249980E-04        -3.4150742E-02         6.7114794E-01         9.4821739E-01         3.6772013E-01         5.7961263E-02         1.2658748E-01         6.7464691E-01         9.5400554E-01         1.8493031E-01         1.5002902E-01         3.1708702E-02         6.8705827E-01         9.5835209E-01         3.3490124E-01         1.6915376E-01         5.6017204E-03         6.7938793E-01
  1.5011740E+02         9.0772980E-01        -6.8120323E-02        -2.8245458E-02        -2.8602587E-02         6.4963961E-01         9.1512048E-01         1.2952903E-01         3.4874205E-02        -8.2077775E-03         6.5402186E-01         9.1063142E-01        -4.0313568E-02         2.1264809E-01         5.1141955E-02         6.4277071E-01         9.3320191E-01         1.8654500E-01         1.2945814E-01         1.0136038E-02         6.6889995E-01         9.1888428E-01         1.4285180E-01        -1.9648561E-02         8.8005222E-02         6.5647447E-01         9.4198471E-01         3.5000500E-01         2.4943303E-02        -3.6183145E-02         6.7069733E-01         9.4891447E-01         3.9838439E-01         5.8319274E-02         1.3127631E-01         6.7248374E-01         9.5877445E-01         1.8773845E-01         1.5918669E-01         3.1833474E-02         6.8861967E-01         9.5808661E-01         3.3645040E-01         1.8043746E-01         3.2861119E-03         6.7922354E-01
  1.5012510E+02         9.0774488E-01        -7.8516163E-02        -3.0358253E-02        -2.6029412E-02         6.4920199E-01         9.1474307E-01         1.4217332E-01         3.8383447E-02        -3.2540283E-03         6.5309078E-01         9.1318685E-01        -2.8850390E-02         2.3268427E-01         1.4233368E-02         6.4587265E-01         9.3800777E-01         2.0403813E-01         8.1386432E-02         1.1741880E-02         6.7156464E-01         9.1750771E-01         1.3410059E-01        -2.3848336E-02         1.0781738E-01         6.5579975E-01         9.3972707E-01         3.8192633E-01         4.4746436E-02        -5.4932673E-02         6.6956425E-01         9.4587272E-01         4.2637175E-01         3.9404958E-02         1.1387654E-01         6.6893142E-01         9.6425331E-01         1.9510470E-01         1.6250689E-01         2.6073253E-02         6.9022858E-01         9.5774984E-01         3.4118629E-01         1.9040617E-01         3.5336118E-03         6.7908090E-01
  1.5013300E+02         9.0805459E-01        -9.1723070E-02        -3.2875113E-02        -1.9427719E-02         6.4867991E-01         9.1433918E-01         1.5693679E-01         4.3023393E-02        -3.2777039E-04         6.5194309E-01         9.1546392E-01        -1.3761461E-03         2.4014635E-01        -2.5156604E-02         6.5038770E-01         9.4386172E-01         2.2109833E-01         3.5968393E-02         1.4685455E-02         6.7265654E-01         9.1664839E-01         1.2580760E-01        -2.0232596E-02         1.2424291E-01         6.5539926E-01         9.3888688E-01         3.9662257E-01         5.3233031E-02        -9.1465473E-02         6.6827077E-01         9.3932724E-01         4.3346882E-01        -2.4651087E-04         6.6591337E-02         6.6618580E-01         9.6905649E-01         2.1070896E-01         1.5949731E-01         1.1764834E-02         6.9135576E-01         9.5728755E-01         3.4662551E-01         1.9758262E-01         6.3560852E-03         6.7902821E-01
  1.5014070E+02         9.0861475E-01        -1.0617039E-01        -3.5447631E-02        -9.8614115E-03         6.4794862E-01         9.1363525E-01         1.7138612E-01         4.8110086E-02         4.4926241E-04         6.5048355E-01         9.1798228E-01         2.3917478E-02         2.3090625E-01        -6.3211806E-02         6.5563273E-01         9.4750339E-01         2.4098343E-01         7.3663234E-03         2.0934628E-02         6.7148894E-01         9.1636723E-01         1.1770526E-01        -1.0585669E-02         1.3570112E-01         6.5541339E-01         9.3956763E-01         3.8748693E-01         5.7111666E-02        -1.2880200E-01         6.6786879E-01         9.3400460E-01         4.1472137E-01        -4.8344173E-02        -5.3651510E-03         6.6575015E-01         9.7097719E-01         2.3379739E-01         1.5314156E-01        -8.7483255E-03         6.9085091E-01         9.5691592E-01         3.4981295E-01         2.0094679E-01         1.0504021E-02         6.7921090E-01
  1.5014860E+02         9.0928131E-01        -1.1962280E-01        -3.7055179E-02         8.4221328E-04         6.4689177E-01         9.1228098E-01         1.8394050E-01         5.3739280E-02        -1.4787220E-04         6.4855558E-01         9.2098874E-01         4.6531308E-02         1.9781923E-01        -9.6532330E-02         6.6151512E-01         9.4658422E-01         2.6365179E-01        -4.3031378E-03         3.3953976E-02         6.6800493E-01         9.1656035E-01         1.0807011E-01         1.5100722E-03         1.4312896E-01         6.5577567E-01         9.4001973E-01         3.6693358E-01         6.5593310E-02        -1.5060969E-01         6.6785967E-01         9.3345934E-01         3.8103276E-01        -8.6424127E-02        -8.8700674E-02         6.6676277E-01         9.6877855E-01         2.5799260E-01         1.4863877E-01        -2.7387997E-02         6.8825424E-01         9.5713484E-01         3.4972087E-01         2.0079614E-01         1.4537021E-02         6.7974406E-01
