"$C_p$" "Momentum:0" "Momentum:1" "Momentum:2" "Density" "Points:0" "Points:1" "Points:2"
nan nan nan nan nan -4.4000000e-01 0.0000000e+00 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.1679335e-03 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 2.3358669e-03 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.5038004e-03 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 4.6717338e-03 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 5.8396673e-03 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 7.0076007e-03 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 8.1755342e-03 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 9.3434677e-03 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.0511401e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.1679335e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.2847268e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.4015201e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.5183135e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.6351068e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.7519001e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.8686935e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 1.9854868e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 2.1022802e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 2.2190735e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 2.3358669e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 2.4526602e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 2.5694536e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 2.6862469e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 2.8030403e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 2.9198335e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.0366270e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.1534202e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.2702137e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.3870071e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.5038002e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.6205936e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.7373871e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.8541801e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 3.9709736e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 4.0877670e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 4.2045604e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 4.3213535e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 4.4381469e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 4.5549404e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 4.6717338e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 4.7885269e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 4.9053203e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 5.0221138e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 5.1389072e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 5.2557003e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 5.3724937e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 5.4892872e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 5.6060806e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 5.7228737e-02 -8.2500003e-02
nan nan nan nan nan -4.4000000e-01 5.8396671e-02 -8.2500003e-02
-1.2886253e+00 -5.1337024e-03 -2.4790694e-03 -2.7219728e-03 8.5506648e-01 -4.4000000e-01 5.9564605e-02 -8.2500003e-02
-1.2889274e+00 -1.2149911e-02 -4.6482719e-03 -4.1172705e-03 8.5440105e-01 -4.4000000e-01 6.0732540e-02 -8.2500003e-02
-1.2896519e+00 -1.6576035e-02 -5.1327087e-03 -3.1164086e-03 8.5392475e-01 -4.4000000e-01 6.1900470e-02 -8.2500003e-02
-1.2905903e+00 -1.8749841e-02 -4.5452439e-03 -9.2786719e-04 8.5361558e-01 -4.4000000e-01 6.3068405e-02 -8.2500003e-02
-1.2914332e+00 -1.9815350e-02 -3.3500274e-03 1.3743223e-03 8.5341549e-01 -4.4000000e-01 6.4236335e-02 -8.2500003e-02
-1.2921021e+00 -2.0023573e-02 -1.8875747e-03 4.6002208e-03 8.5326731e-01 -4.4000000e-01 6.5404274e-02 -8.2500003e-02
-1.2925871e+00 -1.8951802e-02 -4.6885089e-04 8.4234616e-03 8.5316586e-01 -4.4000000e-01 6.6572204e-02 -8.2500003e-02
-1.2928984e+00 -1.7102260e-02 5.5410573e-04 1.2411024e-02 8.5312343e-01 -4.4000000e-01 6.7740142e-02 -8.2500003e-02
-1.2929986e+00 -1.5331976e-02 1.0830848e-03 1.6328916e-02 8.5312277e-01 -4.4000000e-01 6.8908073e-02 -8.2500003e-02
-1.2927489e+00 -1.3482690e-02 1.2191013e-03 1.9935442e-02 8.5315913e-01 -4.4000000e-01 7.0076004e-02 -8.2500003e-02
-1.2920495e+00 -1.1181174e-02 1.1331267e-03 2.2761993e-02 8.5324681e-01 -4.4000000e-01 7.1243942e-02 -8.2500003e-02
-1.2909643e+00 -8.2188910e-03 1.7281517e-03 2.3621742e-02 8.5340220e-01 -4.4000000e-01 7.2411872e-02 -8.2500003e-02
-1.2893604e+00 -3.2487137e-03 4.4349139e-03 2.1837212e-02 8.5359365e-01 -4.4000000e-01 7.3579803e-02 -8.2500003e-02
-1.2873722e+00 8.4471544e-03 1.3262181e-02 1.7322460e-02 8.5377890e-01 -4.4000000e-01 7.4747741e-02 -8.2500003e-02
-1.2856371e+00 3.7968758e-02 3.8355015e-02 1.0107005e-02 8.5419297e-01 -4.4000000e-01 7.5915672e-02 -8.2500003e-02
-1.2839924e+00 1.0281084e-01 9.5874503e-02 3.7369099e-03 8.5606861e-01 -4.4000000e-01 7.7083603e-02 -8.2500003e-02
-1.2801689e+00 2.0352089e-01 1.8537705e-01 6.5364211e-04 8.6250103e-01 -4.4000000e-01 7.8251541e-02 -8.2500003e-02
-1.2717847e+00 3.1025523e-01 2.7830094e-01 -1.2108135e-04 8.7365019e-01 -4.4000000e-01 7.9419471e-02 -8.2500003e-02
-1.2582814e+00 3.9444363e-01 3.4867439e-01 -1.6231601e-04 8.8571042e-01 -4.4000000e-01 8.0587409e-02 -8.2500003e-02
-1.2405968e+00 4.4283450e-01 3.8548025e-01 -2.5849926e-04 8.9474916e-01 -4.4000000e-01 8.1755340e-02 -8.2500003e-02
-1.2207356e+00 4.5907682e-01 3.9302799e-01 -2.6692229e-04 8.9921123e-01 -4.4000000e-01 8.2923271e-02 -8.2500003e-02
-1.2008165e+00 4.6222702e-01 3.8902524e-01 -2.0945135e-04 9.0141022e-01 -4.4000000e-01 8.4091209e-02 -8.2500003e-02
-1.1814569e+00 4.6281168e-01 3.8316667e-01 -1.7851820e-04 9.0304488e-01 -4.4000000e-01 8.5259140e-02 -8.2500003e-02
-1.1627208e+00 4.6395105e-01 3.7820685e-01 -1.5857175e-04 9.0465403e-01 -4.4000000e-01 8.6427070e-02 -8.2500003e-02
-1.1445209e+00 4.6507758e-01 3.7363109e-01 -1.2574490e-04 9.0621608e-01 -4.4000000e-01 8.7595008e-02 -8.2500003e-02
-1.1268461e+00 4.6539938e-01 3.6876574e-01 -9.6704185e-05 9.0766859e-01 -4.4000000e-01 8.8762939e-02 -8.2500003e-02
-1.1096622e+00 4.6512318e-01 3.6376759e-01 -8.7005043e-05 9.0905672e-01 -4.4000000e-01 8.9930877e-02 -8.2500003e-02
-1.0930759e+00 4.6486124e-01 3.5916367e-01 -7.4182622e-05 9.1041607e-01 -4.4000000e-01 9.1098808e-02 -8.2500003e-02
-1.0770489e+00 4.6494678e-01 3.5517105e-01 -6.0744984e-05 9.1176307e-01 -4.4000000e-01 9.2266738e-02 -8.2500003e-02
-1.0615172e+00 4.6527678e-01 3.5166708e-01 -5.0341245e-05 9.1308445e-01 -4.4000000e-01 9.3434677e-02 -8.2500003e-02
-1.0464445e+00 4.6554014e-01 3.4838521e-01 -4.4344171e-05 9.1435689e-01 -4.4000000e-01 9.4602607e-02 -8.2500003e-02
-1.0318131e+00 4.6548599e-01 3.4511870e-01 -3.9942151e-05 9.1557050e-01 -4.4000000e-01 9.5770538e-02 -8.2500003e-02
-1.0175539e+00 4.6504831e-01 3.4180224e-01 -3.5405857e-05 9.1673666e-01 -4.4000000e-01 9.6938476e-02 -8.2500003e-02
-1.0037599e+00 4.6438068e-01 3.3857003e-01 -3.3166452e-05 9.1786027e-01 -4.4000000e-01 9.8106407e-02 -8.2500003e-02
-9.9041545e-01 4.6364757e-01 3.3553120e-01 -3.3251054e-05 9.1895276e-01 -4.4000000e-01 9.9274345e-02 -8.2500003e-02
-9.7750346e-01 4.6298373e-01 3.3276618e-01 -3.5469293e-05 9.2002070e-01 -4.4000000e-01 1.0044228e-01 -8.2500003e-02
-9.6502258e-01 4.6246710e-01 3.3031505e-01 -3.8992832e-05 9.2106277e-01 -4.4000000e-01 1.0161021e-01 -8.2500003e-02
-9.5301419e-01 4.6206874e-01 3.2814509e-01 -4.3654883e-05 9.2206752e-01 -4.4000000e-01 1.0277814e-01 -8.2500003e-02
-9.4133985e-01 4.6165308e-01 3.2610610e-01 -4.8992002e-05 9.2304009e-01 -4.4000000e-01 1.0394607e-01 -8.2500003e-02
-9.2994247e-01 4.6114767e-01 3.2413083e-01 -5.4341835e-05 9.2398345e-01 -4.4000000e-01 1.0511401e-01 -8.2500003e-02
-9.1889470e-01 4.6053419e-01 3.2221237e-01 -5.9868598e-05 9.2489284e-01 -4.4000000e-01 1.0628194e-01 -8.2500003e-02
-9.0818723e-01 4.5980844e-01 3.2034296e-01 -6.5796587e-05 9.2577100e-01 -4.4000000e-01 1.0744987e-01 -8.2500003e-02
-8.9790646e-01 4.5898059e-01 3.1855181e-01 -7.2109615e-05 9.2661369e-01 -4.4000000e-01 1.0861780e-01 -8.2500003e-02
-8.8797927e-01 4.5811978e-01 3.1686524e-01 -7.8478668e-05 9.2742914e-01 -4.4000000e-01 1.0978574e-01 -8.2500003e-02
-8.7836020e-01 4.5725605e-01 3.1528679e-01 -8.4795458e-05 9.2822087e-01 -4.4000000e-01 1.1095367e-01 -8.2500003e-02
-8.6903774e-01 4.5640555e-01 3.1381950e-01 -9.1007991e-05 9.2898971e-01 -4.4000000e-01 1.1212161e-01 -8.2500003e-02
-8.6000789e-01 4.5558423e-01 3.1246951e-01 -9.7056589e-05 9.2973542e-01 -4.4000000e-01 1.1328954e-01 -8.2500003e-02
-8.5127702e-01 4.5480117e-01 3.1124187e-01 -1.0253848e-04 9.3045610e-01 -4.4000000e-01 1.1445747e-01 -8.2500003e-02
-8.4280689e-01 4.5403683e-01 3.1009674e-01 -1.0779903e-04 9.3115467e-01 -4.4000000e-01 1.1562541e-01 -8.2500003e-02
-8.3458867e-01 4.5328635e-01 3.0902460e-01 -1.1287701e-04 9.3183178e-01 -4.4000000e-01 1.1679334e-01 -8.2500003e-02
-8.2661740e-01 4.5254540e-01 3.0801716e-01 -1.1777079e-04 9.3248779e-01 -4.4000000e-01 1.1796127e-01 -8.2500003e-02
-8.1899433e-01 4.5180982e-01 3.0707747e-01 -1.2221614e-04 9.3311429e-01 -4.4000000e-01 1.1912921e-01 -8.2500003e-02
-8.1158933e-01 4.5106936e-01 3.0617869e-01 -1.2643814e-04 9.3372250e-01 -4.4000000e-01 1.2029714e-01 -8.2500003e-02
-8.0439520e-01 4.5032406e-01 3.0531800e-01 -1.3042531e-04 9.3431318e-01 -4.4000000e-01 1.2146508e-01 -8.2500003e-02
-7.9742413e-01 4.4957340e-01 3.0449381e-01 -1.3411834e-04 9.3488538e-01 -4.4000000e-01 1.2263301e-01 -8.2500003e-02
-7.9074195e-01 4.4882053e-01 3.0371168e-01 -1.3737539e-04 9.3543386e-01 -4.4000000e-01 1.2380094e-01 -8.2500003e-02
-7.8424390e-01 4.4806814e-01 3.0296198e-01 -1.4040487e-04 9.3596739e-01 -4.4000000e-01 1.2496888e-01 -8.2500003e-02
-7.7788671e-01 4.4731268e-01 3.0223912e-01 -1.4303137e-04 9.3648946e-01 -4.4000000e-01 1.2613681e-01 -8.2500003e-02
-7.7174380e-01 4.4656590e-01 3.0155373e-01 -1.4525585e-04 9.3699402e-01 -4.4000000e-01 1.2730475e-01 -8.2500003e-02
-7.6582568e-01 4.4583747e-01 3.0090919e-01 -1.4713992e-04 9.3748021e-01 -4.4000000e-01 1.2847267e-01 -8.2500003e-02
-7.6006946e-01 4.4512349e-01 3.0029640e-01 -1.4878089e-04 9.3795305e-01 -4.4000000e-01 1.2964061e-01 -8.2500003e-02
-7.5447091e-01 4.4442496e-01 2.9971421e-01 -1.5018001e-04 9.3841290e-01 -4.4000000e-01 1.3080855e-01 -8.2500003e-02
-7.4910989e-01 4.4375673e-01 2.9917240e-01 -1.5117397e-04 9.3885309e-01 -4.4000000e-01 1.3197647e-01 -8.2500003e-02
-7.4389936e-01 4.4310689e-01 2.9865655e-01 -1.5192498e-04 9.3928063e-01 -4.4000000e-01 1.3314441e-01 -8.2500003e-02
-7.3882558e-01 4.4247350e-01 2.9816350e-01 -1.5246071e-04 9.3969673e-01 -4.4000000e-01 1.3431235e-01 -8.2500003e-02
-7.3391836e-01 4.4186133e-01 2.9769450e-01 -1.5272007e-04 9.4009894e-01 -4.4000000e-01 1.3548028e-01 -8.2500003e-02
-7.2918683e-01 4.4127104e-01 2.9724666e-01 -1.5269800e-04 9.4048649e-01 -4.4000000e-01 1.3664821e-01 -8.2500003e-02
