"$C_p$" "Momentum:0" "Momentum:1" "Momentum:2" "Density" "Points:0" "Points:1" "Points:2"
-1.2988160e+00 1.4014338e-02 -2.6808395e-03 2.9485209e-02 8.5251975e-01 -4.3000001e-01 7.8251541e-02 -8.2500003e-02
-1.2956409e+00 1.6731549e-02 9.8228673e-05 3.5391241e-02 8.5291183e-01 -4.3000001e-01 7.9419471e-02 -8.2500003e-02
-1.2922946e+00 1.8992437e-02 4.0026121e-03 3.9373919e-02 8.5332638e-01 -4.3000001e-01 8.0587409e-02 -8.2500003e-02
-1.2886495e+00 2.0380696e-02 8.2190493e-03 3.9493214e-02 8.5372859e-01 -4.3000001e-01 8.1755340e-02 -8.2500003e-02
-1.2847641e+00 2.4389414e-02 1.4563492e-02 3.5483699e-02 8.5417461e-01 -4.3000001e-01 8.2923271e-02 -8.2500003e-02
-1.2815345e+00 4.2211574e-02 3.1050159e-02 2.7022600e-02 8.5480249e-01 -4.3000001e-01 8.4091209e-02 -8.2500003e-02
-1.2790360e+00 9.6774779e-02 7.4252345e-02 1.6205775e-02 8.5662061e-01 -4.3000001e-01 8.5259140e-02 -8.2500003e-02
-1.2744220e+00 1.9432092e-01 1.4864235e-01 7.3364512e-03 8.6181158e-01 -4.3000001e-01 8.6427070e-02 -8.2500003e-02
-1.2647027e+00 3.1044754e-01 2.3610035e-01 2.4371578e-03 8.7203777e-01 -4.3000001e-01 8.7595008e-02 -8.2500003e-02
-1.2486111e+00 4.0545288e-01 3.0615965e-01 7.3509588e-04 8.8458294e-01 -4.3000001e-01 8.8762939e-02 -8.2500003e-02
-1.2279865e+00 4.6005973e-01 3.4399009e-01 1.9733174e-04 8.9437741e-01 -4.3000001e-01 8.9930877e-02 -8.2500003e-02
-1.2054669e+00 4.8093441e-01 3.5540867e-01 3.2768160e-06 8.9993781e-01 -4.3000001e-01 9.1098808e-02 -8.2500003e-02
-1.1831458e+00 4.8491821e-01 3.5392293e-01 1.6209416e-06 9.0276825e-01 -4.3000001e-01 9.2266738e-02 -8.2500003e-02
-1.1618377e+00 4.8477957e-01 3.4953693e-01 5.8332462e-05 9.0468663e-01 -4.3000001e-01 9.3434677e-02 -8.2500003e-02
-1.1415477e+00 4.8470801e-01 3.4550294e-01 8.4894120e-05 9.0643597e-01 -4.3000001e-01 9.4602607e-02 -8.2500003e-02
-1.1221716e+00 4.8434681e-01 3.4157151e-01 9.8405937e-05 9.0806627e-01 -4.3000001e-01 9.5770538e-02 -8.2500003e-02
-1.1035394e+00 4.8332906e-01 3.3747467e-01 1.1588835e-04 9.0958744e-01 -4.3000001e-01 9.6938476e-02 -8.2500003e-02
-1.0857134e+00 4.8219475e-01 3.3360142e-01 1.2006027e-04 9.1104627e-01 -4.3000001e-01 9.8106407e-02 -8.2500003e-02
-1.0686327e+00 4.8135567e-01 3.3021337e-01 1.1292799e-04 9.1246814e-01 -4.3000001e-01 9.9274345e-02 -8.2500003e-02
-1.0522292e+00 4.8081952e-01 3.2727891e-01 1.0033325e-04 9.1385144e-01 -4.3000001e-01 1.0044228e-01 -8.2500003e-02
-1.0364619e+00 4.8034307e-01 3.2460910e-01 8.4498315e-05 9.1517979e-01 -4.3000001e-01 1.0161021e-01 -8.2500003e-02
-1.0212919e+00 4.7966677e-01 3.2201889e-01 6.7757086e-05 9.1644126e-01 -4.3000001e-01 1.0277814e-01 -8.2500003e-02
-1.0066928e+00 4.7867256e-01 3.1942478e-01 5.1538693e-05 9.1763729e-01 -4.3000001e-01 1.0394607e-01 -8.2500003e-02
-9.9265429e-01 4.7741896e-01 3.1686345e-01 3.6366073e-05 9.1877931e-01 -4.3000001e-01 1.0511401e-01 -8.2500003e-02
-9.7923110e-01 4.7611967e-01 3.1449816e-01 2.4010027e-05 9.1987813e-01 -4.3000001e-01 1.0628194e-01 -8.2500003e-02
-9.6626228e-01 4.7497642e-01 3.1242940e-01 1.1922740e-05 9.2095238e-01 -4.3000001e-01 1.0744987e-01 -8.2500003e-02
-9.5374621e-01 4.7399539e-01 3.1062549e-01 -1.6790951e-06 9.2199618e-01 -4.3000001e-01 1.0861780e-01 -8.2500003e-02
-9.4169002e-01 4.7311115e-01 3.0902150e-01 -1.5606696e-05 9.2300272e-01 -4.3000001e-01 1.0978574e-01 -8.2500003e-02
-9.3007207e-01 4.7225013e-01 3.0755240e-01 -2.8807008e-05 9.2396951e-01 -4.3000001e-01 1.1095367e-01 -8.2500003e-02
-9.1887536e-01 4.7134402e-01 3.0616143e-01 -4.0677693e-05 9.2489588e-01 -4.3000001e-01 1.1212161e-01 -8.2500003e-02
-9.0818468e-01 4.7032112e-01 3.0481413e-01 -5.1375759e-05 9.2577422e-01 -4.3000001e-01 1.1328954e-01 -8.2500003e-02
-8.9790614e-01 4.6921185e-01 3.0351445e-01 -6.1494815e-05 9.2661685e-01 -4.3000001e-01 1.1445747e-01 -8.2500003e-02
-8.8800111e-01 4.6805701e-01 3.0228058e-01 -7.0948125e-05 9.2742902e-01 -4.3000001e-01 1.1562541e-01 -8.2500003e-02
-8.7845496e-01 4.6688539e-01 3.0112594e-01 -7.9723330e-05 9.2821288e-01 -4.3000001e-01 1.1679334e-01 -8.2500003e-02
-8.6925771e-01 4.6572667e-01 3.0006465e-01 -8.8003551e-05 9.2896998e-01 -4.3000001e-01 1.1796127e-01 -8.2500003e-02
-8.6051412e-01 4.6463093e-01 2.9913896e-01 -9.5670963e-05 9.2969161e-01 -4.3000001e-01 1.1912921e-01 -8.2500003e-02
-8.5203918e-01 4.6357700e-01 2.9830196e-01 -1.0276038e-04 9.3039137e-01 -4.3000001e-01 1.2029714e-01 -8.2500003e-02
-8.4383616e-01 4.6256211e-01 2.9754433e-01 -1.0923978e-04 9.3106848e-01 -4.3000001e-01 1.2146508e-01 -8.2500003e-02
-8.3591975e-01 4.6158576e-01 2.9685834e-01 -1.1513211e-04 9.3172139e-01 -4.3000001e-01 1.2263301e-01 -8.2500003e-02
-8.2837194e-01 4.6065012e-01 2.9624426e-01 -1.2037684e-04 9.3234295e-01 -4.3000001e-01 1.2380094e-01 -8.2500003e-02
-8.2110145e-01 4.5973274e-01 2.9567379e-01 -1.2516578e-04 9.3294096e-01 -4.3000001e-01 1.2496888e-01 -8.2500003e-02
-8.1407139e-01 4.5882726e-01 2.9513761e-01 -1.2958066e-04 9.3351871e-01 -4.3000001e-01 1.2613681e-01 -8.2500003e-02
-8.0727176e-01 4.5793074e-01 2.9463080e-01 -1.3364738e-04 9.3407714e-01 -4.3000001e-01 1.2730475e-01 -8.2500003e-02
-8.0078126e-01 4.5704356e-01 2.9415324e-01 -1.3720026e-04 9.3460983e-01 -4.3000001e-01 1.2847267e-01 -8.2500003e-02
-7.9450962e-01 4.5616269e-01 2.9369792e-01 -1.4041681e-04 9.3512458e-01 -4.3000001e-01 1.2964061e-01 -8.2500003e-02
-7.8843037e-01 4.5528904e-01 2.9326326e-01 -1.4334652e-04 9.3562359e-01 -4.3000001e-01 1.3080855e-01 -8.2500003e-02
-7.8254319e-01 4.5442420e-01 2.9284889e-01 -1.4599402e-04 9.3610698e-01 -4.3000001e-01 1.3197647e-01 -8.2500003e-02
-7.7691757e-01 4.5358041e-01 2.9246253e-01 -1.4819973e-04 9.3656904e-01 -4.3000001e-01 1.3314441e-01 -8.2500003e-02
-7.7145258e-01 4.5275348e-01 2.9209754e-01 -1.5015120e-04 9.3701804e-01 -4.3000001e-01 1.3431235e-01 -8.2500003e-02
-7.6614203e-01 4.5194447e-01 2.9175323e-01 -1.5185733e-04 9.3745434e-01 -4.3000001e-01 1.3548028e-01 -8.2500003e-02
-7.6101692e-01 4.5116201e-01 2.9143330e-01 -1.5325377e-04 9.3787551e-01 -4.3000001e-01 1.3664821e-01 -8.2500003e-02
-7.5607652e-01 4.5040968e-01 2.9113674e-01 -1.5435189e-04 9.3828136e-01 -4.3000001e-01 1.3781615e-01 -8.2500003e-02
-7.5126656e-01 4.4967890e-01 2.9085663e-01 -1.5526071e-04 9.3867630e-01 -4.3000001e-01 1.3898408e-01 -8.2500003e-02
-7.4657617e-01 4.4896850e-01 2.9059136e-01 -1.5599084e-04 9.3906128e-01 -4.3000001e-01 1.4015201e-01 -8.2500003e-02
-7.4206280e-01 4.4829014e-01 2.9034248e-01 -1.5646777e-04 9.3943143e-01 -4.3000001e-01 1.4131995e-01 -8.2500003e-02
-7.3767264e-01 4.4763145e-01 2.9010269e-01 -1.5679284e-04 9.3979132e-01 -4.3000001e-01 1.4248788e-01 -8.2500003e-02
-7.3339314e-01 4.4699052e-01 2.8987041e-01 -1.5697577e-04 9.4014198e-01 -4.3000001e-01 1.4365581e-01 -8.2500003e-02
-7.2924482e-01 4.4637141e-01 2.8964475e-01 -1.5697442e-04 9.4048166e-01 -4.3000001e-01 1.4482374e-01 -8.2500003e-02
-7.2523735e-01 4.4577342e-01 2.8942272e-01 -1.5677445e-04 9.4080979e-01 -4.3000001e-01 1.4599168e-01 -8.2500003e-02
-7.2132584e-01 4.4518864e-01 2.8920263e-01 -1.5644077e-04 9.4113004e-01 -4.3000001e-01 1.4715961e-01 -8.2500003e-02
-7.1750776e-01 4.4461665e-01 2.8898379e-01 -1.5597312e-04 9.4144261e-01 -4.3000001e-01 1.4832754e-01 -8.2500003e-02
-7.1382450e-01 4.4406661e-01 2.8876543e-01 -1.5528470e-04 9.4174421e-01 -4.3000001e-01 1.4949548e-01 -8.2500003e-02
