   n        time         Clp         Clv         Cdp         Cdv
 2975160   330.00202   0.9072105   0.0007989   0.0488208   0.0053984
 2975180   330.00422   0.9077668   0.0007980   0.0489653   0.0054004
 2975200   330.00641   0.9082405   0.0007973   0.0490987   0.0054021
 2975220   330.00861   0.9085651   0.0007967   0.0491847   0.0054040
 2975240   330.01080   0.9087449   0.0007962   0.0492364   0.0054053
 2975260   330.01300   0.9088777   0.0007956   0.0492732   0.0054073
 2975280   330.01519   0.9089337   0.0007954   0.0492914   0.0054098
 2975300   330.01739   0.9091249   0.0007942   0.0493382   0.0054124
 2975320   330.01958   0.9085238   0.0007930   0.0492285   0.0054136
 2975340   330.02178   0.9083785   0.0007941   0.0492006   0.0054159
 2975360   330.02397   0.9084199   0.0007933   0.0492077   0.0054186
 2975380   330.02616   0.9084595   0.0007930   0.0492240   0.0054214
 2975400   330.02836   0.9084904   0.0007923   0.0492359   0.0054240
 2975420   330.03055   0.9084292   0.0007919   0.0492233   0.0054264
 2975440   330.03275   0.9084260   0.0007916   0.0492252   0.0054286
 2975460   330.03494   0.9084188   0.0007912   0.0492255   0.0054304
 2975480   330.03714   0.9084062   0.0007911   0.0492250   0.0054316
 2975500   330.03933   0.9083700   0.0007908   0.0492174   0.0054322
 2975520   330.04153   0.9082309   0.0007907   0.0491830   0.0054321
 2975540   330.04372   0.9080852   0.0007911   0.0491483   0.0054314
 2975560   330.04592   0.9080265   0.0007915   0.0491375   0.0054302
 2975580   330.04811   0.9080096   0.0007919   0.0491374   0.0054286
 2975600   330.05031   0.9079820   0.0007923   0.0491334   0.0054268
 2975620   330.05250   0.9079360   0.0007927   0.0491247   0.0054248
 2975640   330.05469   0.9078849   0.0007932   0.0491160   0.0054228
 2975660   330.05689   0.9078423   0.0007937   0.0491105   0.0054208
 2975680   330.05908   0.9078012   0.0007941   0.0491051   0.0054189
 2975700   330.06128   0.9077508   0.0007945   0.0490960   0.0054170
 2975720   330.06347   0.9076958   0.0007950   0.0490850   0.0054150
 2975740   330.06567   0.9076439   0.0007954   0.0490752   0.0054131
 2975760   330.06786   0.9075942   0.0007959   0.0490670   0.0054110
 2975780   330.07006   0.9075434   0.0007964   0.0490586   0.0054089
 2975800   330.07225   0.9074916   0.0007969   0.0490495   0.0054066
 2975820   330.07445   0.9074398   0.0007974   0.0490402   0.0054042
 2975840   330.07664   0.9073887   0.0007980   0.0490313   0.0054017
 2975860   330.07884   0.9073392   0.0007986   0.0490235   0.0053991
 2975880   330.08103   0.9072920   0.0007992   0.0490172   0.0053964
 2975900   330.08322   0.9072470   0.0007998   0.0490120   0.0053935
 2975920   330.08542   0.9072033   0.0008004   0.0490071   0.0053906
 2975940   330.08761   0.9071596   0.0008011   0.0490022   0.0053875
 2975960   330.08981   0.9071152   0.0008017   0.0489968   0.0053844
 2975980   330.09200   0.9070696   0.0008024   0.0489909   0.0053812
 2976000   330.09420   0.9070230   0.0008031   0.0489844   0.0053779
 2976020   330.09639   0.9069755   0.0008038   0.0489774   0.0053745
