   n        time         Clp         Clv         Cdp         Cdv
  793200    90.18420  -0.0051376  -0.0000051   0.0262266   0.0051387
  793220    90.18644  -0.0053183  -0.0000049   0.0262128   0.0051361
  793240    90.18868  -0.0054962  -0.0000047   0.0261988   0.0051333
  793260    90.19092  -0.0056713  -0.0000045   0.0261847   0.0051303
  793280    90.19315  -0.0058436  -0.0000043   0.0261705   0.0051271
  793300    90.19539  -0.0060132  -0.0000040   0.0261561   0.0051239
  793320    90.19763  -0.0061803  -0.0000037   0.0261415   0.0051206
  793340    90.19987  -0.0063449  -0.0000034   0.0261268   0.0051173
  793360    90.20211  -0.0065067  -0.0000031   0.0261121   0.0051139
  793380    90.20434  -0.0066657  -0.0000027   0.0260973   0.0051106
  793400    90.20658  -0.0068226  -0.0000024   0.0260825   0.0051073
  793420    90.20882  -0.0069773  -0.0000021   0.0260678   0.0051041
  793440    90.21106  -0.0071298  -0.0000017   0.0260532   0.0051009
  793460    90.21329  -0.0072798  -0.0000014   0.0260387   0.0050979
  793480    90.21553  -0.0074269  -0.0000010   0.0260244   0.0050949
  793500    90.21777  -0.0075708  -0.0000006   0.0260104   0.0050921
  793520    90.22001  -0.0077117  -0.0000001   0.0259967   0.0050894
  793540    90.22224  -0.0078496   0.0000003   0.0259833   0.0050868
  793560    90.22448  -0.0079843   0.0000007   0.0259702   0.0050844
  793580    90.22672  -0.0081160   0.0000012   0.0259576   0.0050821
  793600    90.22896  -0.0082445   0.0000016   0.0259455   0.0050799
  793620    90.23119  -0.0083696   0.0000020   0.0259339   0.0050779
  793640    90.23343  -0.0084916   0.0000024   0.0259229   0.0050759
  793660    90.23567  -0.0086101   0.0000027   0.0259124   0.0050741
  793680    90.23791  -0.0087252   0.0000031   0.0259026   0.0050723
  793700    90.24015  -0.0088367   0.0000033   0.0258935   0.0050706
  793720    90.24238  -0.0089454   0.0000036   0.0258848   0.0050689
  793740    90.24462  -0.0090518   0.0000038   0.0258765   0.0050673
  793760    90.24686  -0.0091554   0.0000040   0.0258689   0.0050658
  793780    90.24910  -0.0092569   0.0000042   0.0258619   0.0050643
  793800    90.25133  -0.0093575   0.0000043   0.0258552   0.0050629
  793820    90.25357  -0.0094566   0.0000044   0.0258492   0.0050616
  793840    90.25581  -0.0095547   0.0000046   0.0258439   0.0050604
  793860    90.25805  -0.0096527   0.0000047   0.0258393   0.0050594
  793880    90.26028  -0.0097511   0.0000047   0.0258354   0.0050587
  793900    90.26252  -0.0098503   0.0000048   0.0258322   0.0050582
  793920    90.26476  -0.0099507   0.0000048   0.0258299   0.0050580
  793940    90.26700  -0.0100521   0.0000047   0.0258284   0.0050583
  793960    90.26923  -0.0101549   0.0000046   0.0258278   0.0050590
  793980    90.27147  -0.0102605   0.0000044   0.0258278   0.0050601
  794000    90.27371  -0.0103684   0.0000042   0.0258286   0.0050616
  794020    90.27595  -0.0104779   0.0000039   0.0258304   0.0050635
  794040    90.27818  -0.0105896   0.0000036   0.0258331   0.0050657
  794060    90.28042  -0.0107038   0.0000032   0.0258367   0.0050679
  794080    90.28266  -0.0108204   0.0000028   0.0258410   0.0050702
  794100    90.28490  -0.0109396   0.0000023   0.0258460   0.0050723
  794120    90.28713  -0.0110606   0.0000019   0.0258519   0.0050744
  794140    90.28937  -0.0111833   0.0000015   0.0258586   0.0050761
  794160    90.29161  -0.0113086   0.0000011   0.0258660   0.0050777
  794180    90.29385  -0.0114364   0.0000007   0.0258740   0.0050789
  794200    90.29608  -0.0115668   0.0000004   0.0258824   0.0050799
  794220    90.29832  -0.0117001   0.0000001   0.0258913   0.0050806
  794240    90.30056  -0.0118365  -0.0000001   0.0259005   0.0050811
  794260    90.30280  -0.0119757  -0.0000003   0.0259100   0.0050814
  794280    90.30503  -0.0121176  -0.0000004   0.0259198   0.0050815
  794300    90.30727  -0.0122619  -0.0000004   0.0259299   0.0050814
  794320    90.30951  -0.0124085  -0.0000004   0.0259402   0.0050811
  794340    90.31174  -0.0125574  -0.0000004   0.0259507   0.0050807
  794360    90.31398  -0.0127084  -0.0000003   0.0259612   0.0050801
  794380    90.31622  -0.0128616  -0.0000001   0.0259717   0.0050794
  794400    90.31846  -0.0130173   0.0000001   0.0259820   0.0050785
  794420    90.32069  -0.0131755   0.0000003   0.0259920   0.0050775
  794440    90.32293  -0.0133356   0.0000006   0.0260017   0.0050763
  794460    90.32517  -0.0134974   0.0000009   0.0260113   0.0050751
  794480    90.32741  -0.0136609   0.0000012   0.0260205   0.0050737
  794500    90.32964  -0.0138258   0.0000016   0.0260296   0.0050721
  794520    90.33188  -0.0139917   0.0000020   0.0260384   0.0050703
  794540    90.33412  -0.0141585   0.0000024   0.0260471   0.0050684
  794560    90.33636  -0.0143261   0.0000028   0.0260557   0.0050663
  794580    90.33859  -0.0144941   0.0000033   0.0260642   0.0050642
  794600    90.34083  -0.0146618   0.0000037   0.0260727   0.0050619
  794620    90.34307  -0.0148290   0.0000042   0.0260813   0.0050595
  794640    90.34530  -0.0149957   0.0000047   0.0260898   0.0050569
  794660    90.34754  -0.0151614   0.0000052   0.0260983   0.0050541
  794680    90.34978  -0.0153256   0.0000058   0.0261068   0.0050511
  794700    90.35202  -0.0154879   0.0000065   0.0261153   0.0050479
  794720    90.35425  -0.0156481   0.0000071   0.0261236   0.0050445
  794740    90.35649  -0.0158059   0.0000078   0.0261319   0.0050408
  794760    90.35873  -0.0159611   0.0000084   0.0261402   0.0050370
  794780    90.36097  -0.0161135   0.0000091   0.0261485   0.0050331
  794800    90.36320  -0.0162630   0.0000097   0.0261568   0.0050293
  794820    90.36544  -0.0164094   0.0000103   0.0261652   0.0050257
  794840    90.36768  -0.0165526   0.0000109   0.0261737   0.0050223
  794860    90.36991  -0.0166922   0.0000114   0.0261824   0.0050193
  794880    90.37215  -0.0168280   0.0000118   0.0261914   0.0050165
  794900    90.37439  -0.0169600   0.0000122   0.0262006   0.0050141
  794920    90.37663  -0.0170881   0.0000125   0.0262100   0.0050121
  794940    90.37886  -0.0172122   0.0000127   0.0262197   0.0050103
  794960    90.38110  -0.0173317   0.0000128   0.0262296   0.0050088
  794980    90.38334  -0.0174466   0.0000130   0.0262398   0.0050075
  795000    90.38557  -0.0175571   0.0000131   0.0262502   0.0050063
  795020    90.38781  -0.0176633   0.0000133   0.0262607   0.0050052
  795040    90.39005  -0.0177650   0.0000134   0.0262715   0.0050040
  795060    90.39229  -0.0178623   0.0000136   0.0262824   0.0050028
  795080    90.39452  -0.0179552   0.0000138   0.0262934   0.0050014
  795100    90.39676  -0.0180440   0.0000140   0.0263046   0.0049999
  795120    90.39900  -0.0181287   0.0000143   0.0263159   0.0049983
  795140    90.40123  -0.0182090   0.0000145   0.0263274   0.0049966
  795160    90.40347  -0.0182855   0.0000146   0.0263389   0.0049948
  795180    90.40571  -0.0183580   0.0000148   0.0263503   0.0049930
  795200    90.40795  -0.0184257   0.0000149   0.0263617   0.0049912
  795220    90.41018  -0.0184889   0.0000150   0.0263732   0.0049896
  795240    90.41242  -0.0185475   0.0000150   0.0263845   0.0049880
  795260    90.41466  -0.0186013   0.0000150   0.0263959   0.0049867
  795280    90.41689  -0.0186506   0.0000148   0.0264071   0.0049855
  795300    90.41913  -0.0186954   0.0000146   0.0264183   0.0049846
  795320    90.42137  -0.0187359   0.0000144   0.0264294   0.0049839
  795340    90.42361  -0.0187729   0.0000141   0.0264403   0.0049834
  795360    90.42584  -0.0188066   0.0000137   0.0264510   0.0049831
  795380    90.42808  -0.0188369   0.0000132   0.0264615   0.0049830
  795400    90.43032  -0.0188639   0.0000128   0.0264718   0.0049830
  795420    90.43255  -0.0188879   0.0000122   0.0264819   0.0049831
  795440    90.43479  -0.0189091   0.0000117   0.0264918   0.0049833
  795460    90.43703  -0.0189279   0.0000112   0.0265013   0.0049834
  795480    90.43926  -0.0189444   0.0000106   0.0265107   0.0049834
  795500    90.44150  -0.0189591   0.0000101   0.0265197   0.0049834
  795520    90.44374  -0.0189722   0.0000095   0.0265284   0.0049834
  795540    90.44598  -0.0189840   0.0000089   0.0265367   0.0049835
  795560    90.44821  -0.0189949   0.0000083   0.0265447   0.0049836
  795580    90.45045  -0.0190048   0.0000077   0.0265524   0.0049838
  795600    90.45269  -0.0190142   0.0000070   0.0265598   0.0049841
  795620    90.45492  -0.0190230   0.0000063   0.0265667   0.0049846
  795640    90.45716  -0.0190316   0.0000056   0.0265733   0.0049852
  795660    90.45940  -0.0190400   0.0000048   0.0265795   0.0049859
  795680    90.46163  -0.0190481   0.0000041   0.0265851   0.0049868
  795700    90.46387  -0.0190560   0.0000033   0.0265902   0.0049878
  795720    90.46611  -0.0190634   0.0000025   0.0265946   0.0049889
  795740    90.46835  -0.0190701   0.0000017   0.0265985   0.0049899
  795760    90.47058  -0.0190760   0.0000010   0.0266018   0.0049909
  795780    90.47282  -0.0190811   0.0000003   0.0266045   0.0049917
  795800    90.47506  -0.0190854  -0.0000004   0.0266067   0.0049924
  795820    90.47729  -0.0190886  -0.0000010   0.0266085   0.0049928
  795840    90.47953  -0.0190909  -0.0000015   0.0266097   0.0049931
  795860    90.48177  -0.0190918  -0.0000020   0.0266106   0.0049932
  795880    90.48400  -0.0190911  -0.0000024   0.0266111   0.0049932
  795900    90.48624  -0.0190884  -0.0000027   0.0266113   0.0049931
  795920    90.48848  -0.0190834  -0.0000030   0.0266112   0.0049930
  795940    90.49072  -0.0190756  -0.0000032   0.0266109   0.0049928
  795960    90.49295  -0.0190649  -0.0000033   0.0266102   0.0049927
  795980    90.49519  -0.0190510  -0.0000034   0.0266094   0.0049926
  796000    90.49743  -0.0190337  -0.0000034   0.0266083   0.0049925
  796020    90.49966  -0.0190124  -0.0000034   0.0266070   0.0049923
  796040    90.50190  -0.0189870  -0.0000034   0.0266054   0.0049920
  796060    90.50414  -0.0189576  -0.0000033   0.0266036   0.0049915
  796080    90.50637  -0.0189242  -0.0000032   0.0266017   0.0049908
  796100    90.50861  -0.0188867  -0.0000031   0.0265995   0.0049902
  796120    90.51085  -0.0188451  -0.0000028   0.0265970   0.0049897
  796140    90.51308  -0.0188000  -0.0000025   0.0265944   0.0049894
  796160    90.51532  -0.0187513  -0.0000022   0.0265916   0.0049891
  796180    90.51756  -0.0186987  -0.0000018   0.0265884   0.0049887
  796200    90.51980  -0.0186423  -0.0000014   0.0265849   0.0049881
  796220    90.52203  -0.0185824  -0.0000011   0.0265810   0.0049873
  796240    90.52427  -0.0185196  -0.0000007   0.0265769   0.0049864
  796260    90.52651  -0.0184542  -0.0000003   0.0265725   0.0049855
  796280    90.52874  -0.0183862  -0.0000000   0.0265678   0.0049846
  796300    90.53098  -0.0183159   0.0000003   0.0265628   0.0049837
  796320    90.53322  -0.0182437   0.0000006   0.0265576   0.0049831
  796340    90.53545  -0.0181698   0.0000009   0.0265521   0.0049827
  796360    90.53769  -0.0180944   0.0000012   0.0265465   0.0049826
  796380    90.53993  -0.0180173   0.0000016   0.0265408   0.0049829
  796400    90.54217  -0.0179384   0.0000020   0.0265349   0.0049837
  796420    90.54440  -0.0178573   0.0000024   0.0265289   0.0049848
  796440    90.54664  -0.0177738   0.0000029   0.0265228   0.0049863
  796460    90.54888  -0.0176880   0.0000034   0.0265166   0.0049879
  796480    90.55111  -0.0175995   0.0000039   0.0265105   0.0049896
  796500    90.55335  -0.0175080   0.0000044   0.0265044   0.0049913
  796520    90.55559  -0.0174134   0.0000050   0.0264985   0.0049930
  796540    90.55782  -0.0173154   0.0000055   0.0264928   0.0049945
  796560    90.56006  -0.0172135   0.0000061   0.0264875   0.0049959
  796580    90.56230  -0.0171076   0.0000066   0.0264824   0.0049972
  796600    90.56454  -0.0169974   0.0000072   0.0264778   0.0049983
  796620    90.56677  -0.0168824   0.0000077   0.0264736   0.0049994
  796640    90.56901  -0.0167626   0.0000083   0.0264698   0.0050006
  796660    90.57125  -0.0166376   0.0000089   0.0264663   0.0050017
  796680    90.57348  -0.0165076   0.0000094   0.0264632   0.0050030
  796700    90.57572  -0.0163723   0.0000100   0.0264605   0.0050044
  796720    90.57796  -0.0162317   0.0000105   0.0264580   0.0050059
  796740    90.58019  -0.0160860   0.0000111   0.0264559   0.0050076
  796760    90.58243  -0.0159355   0.0000116   0.0264539   0.0050095
  796780    90.58467  -0.0157802   0.0000122   0.0264522   0.0050117
  796800    90.58691  -0.0156203   0.0000127   0.0264507   0.0050142
  796820    90.58914  -0.0154557   0.0000132   0.0264493   0.0050171
  796840    90.59138  -0.0152866   0.0000138   0.0264479   0.0050204
  796860    90.59362  -0.0151131   0.0000143   0.0264464   0.0050239
  796880    90.59585  -0.0149357   0.0000149   0.0264449   0.0050276
  796900    90.59809  -0.0147539   0.0000156   0.0264434   0.0050315
  796920    90.60033  -0.0145682   0.0000163   0.0264417   0.0050355
  796940    90.60257  -0.0143790   0.0000170   0.0264398   0.0050397
  796960    90.60480  -0.0141867   0.0000177   0.0264377   0.0050443
  796980    90.60704  -0.0139916   0.0000184   0.0264356   0.0050491
  797000    90.60928  -0.0137937   0.0000191   0.0264333   0.0050542
  797020    90.61151  -0.0135934   0.0000199   0.0264309   0.0050593
  797040    90.61375  -0.0133911   0.0000207   0.0264284   0.0050644
  797060    90.61599  -0.0131869   0.0000215   0.0264259   0.0050693
  797080    90.61823  -0.0129813   0.0000224   0.0264236   0.0050740
  797100    90.62046  -0.0127741   0.0000233   0.0264213   0.0050786
  797120    90.62270  -0.0125659   0.0000243   0.0264192   0.0050832
  797140    90.62494  -0.0123572   0.0000252   0.0264173   0.0050876
  797160    90.62717  -0.0121481   0.0000261   0.0264157   0.0050921
  797180    90.62941  -0.0119388   0.0000270   0.0264144   0.0050965
  797200    90.63165  -0.0117294   0.0000278   0.0264135   0.0051009
  797220    90.63389  -0.0115200   0.0000286   0.0264131   0.0051054
  797240    90.63612  -0.0113105   0.0000293   0.0264130   0.0051098
  797260    90.63836  -0.0111008   0.0000299   0.0264132   0.0051142
  797280    90.64060  -0.0108912   0.0000305   0.0264139   0.0051185
  797300    90.64284  -0.0106814   0.0000310   0.0264150   0.0051226
  797320    90.64507  -0.0104712   0.0000314   0.0264165   0.0051265
  797340    90.64731  -0.0102604   0.0000318   0.0264185   0.0051302
  797360    90.64955  -0.0100490   0.0000322   0.0264210   0.0051337
  797380    90.65178  -0.0098367   0.0000325   0.0264240   0.0051369
  797400    90.65402  -0.0096235   0.0000327   0.0264275   0.0051401
  797420    90.65626  -0.0094095   0.0000328   0.0264315   0.0051432
  797440    90.65850  -0.0091945   0.0000328   0.0264360   0.0051463
  797460    90.66073  -0.0089785   0.0000327   0.0264411   0.0051495
  797480    90.66297  -0.0087615   0.0000324   0.0264466   0.0051526
  797500    90.66521  -0.0085433   0.0000321   0.0264526   0.0051558
  797520    90.66745  -0.0083237   0.0000317   0.0264590   0.0051589
  797540    90.66968  -0.0081027   0.0000311   0.0264656   0.0051619
  797560    90.67192  -0.0078802   0.0000305   0.0264725   0.0051649
  797580    90.67416  -0.0076563   0.0000299   0.0264794   0.0051679
  797600    90.67640  -0.0074312   0.0000294   0.0264864   0.0051706
  797620    90.67863  -0.0072048   0.0000288   0.0264933   0.0051731
  797640    90.68087  -0.0069772   0.0000282   0.0265000   0.0051753
  797660    90.68311  -0.0067484   0.0000276   0.0265065   0.0051771
  797680    90.68535  -0.0065185   0.0000270   0.0265129   0.0051786
  797700    90.68758  -0.0062874   0.0000264   0.0265190   0.0051797
  797720    90.68982  -0.0060554   0.0000258   0.0265249   0.0051806
  797740    90.69206  -0.0058227   0.0000252   0.0265305   0.0051810
  797760    90.69430  -0.0055894   0.0000246   0.0265359   0.0051812
  797780    90.69653  -0.0053555   0.0000240   0.0265410   0.0051809
  797800    90.69877  -0.0051213   0.0000234   0.0265458   0.0051802
  797820    90.70101  -0.0048869   0.0000228   0.0265503   0.0051793
  797840    90.70325  -0.0046523   0.0000222   0.0265545   0.0051780
  797860    90.70548  -0.0044175   0.0000215   0.0265583   0.0051765
  797880    90.70772  -0.0041828   0.0000209   0.0265618   0.0051747
  797900    90.70996  -0.0039484   0.0000203   0.0265651   0.0051727
  797920    90.71220  -0.0037145   0.0000197   0.0265680   0.0051705
  797940    90.71443  -0.0034812   0.0000191   0.0265707   0.0051682
  797960    90.71667  -0.0032489   0.0000185   0.0265732   0.0051658
  797980    90.71891  -0.0030176   0.0000180   0.0265755   0.0051633
  798000    90.72115  -0.0027875   0.0000175   0.0265777   0.0051607
  798020    90.72338  -0.0025587   0.0000171   0.0265797   0.0051582
  798040    90.72562  -0.0023315   0.0000167   0.0265816   0.0051557
  798060    90.72786  -0.0021060   0.0000164   0.0265834   0.0051534
  798080    90.73010  -0.0018821   0.0000161   0.0265852   0.0051514
  798100    90.73233  -0.0016599   0.0000159   0.0265868   0.0051495
  798120    90.73457  -0.0014393   0.0000158   0.0265883   0.0051478
  798140    90.73681  -0.0012201   0.0000158   0.0265896   0.0051464
  798160    90.73905  -0.0010023   0.0000158   0.0265908   0.0051452
  798180    90.74128  -0.0007856   0.0000159   0.0265918   0.0051443
  798200    90.74352  -0.0005700   0.0000160   0.0265927   0.0051436
  798220    90.74576  -0.0003557   0.0000162   0.0265934   0.0051433
  798240    90.74800  -0.0001423   0.0000164   0.0265939   0.0051432
  798260    90.75024   0.0000701   0.0000166   0.0265943   0.0051431
  798280    90.75247   0.0002815   0.0000168   0.0265945   0.0051431
  798300    90.75471   0.0004915   0.0000171   0.0265945   0.0051433
  798320    90.75695   0.0007002   0.0000173   0.0265943   0.0051437
  798340    90.75919   0.0009074   0.0000175   0.0265938   0.0051444
  798360    90.76142   0.0011133   0.0000176   0.0265930   0.0051451
  798380    90.76366   0.0013179   0.0000177   0.0265919   0.0051459
  798400    90.76590   0.0015212   0.0000178   0.0265906   0.0051465
  798420    90.76814   0.0017232   0.0000179   0.0265890   0.0051471
  798440    90.77037   0.0019239   0.0000179   0.0265873   0.0051476
  798460    90.77261   0.0021235   0.0000180   0.0265854   0.0051482
  798480    90.77485   0.0023221   0.0000180   0.0265832   0.0051488
  798500    90.77709   0.0025199   0.0000179   0.0265809   0.0051495
  798520    90.77933   0.0027167   0.0000179   0.0265784   0.0051502
  798540    90.78156   0.0029128   0.0000178   0.0265756   0.0051510
  798560    90.78380   0.0031083   0.0000178   0.0265726   0.0051518
  798580    90.78604   0.0033033   0.0000177   0.0265693   0.0051527
  798600    90.78828   0.0034979   0.0000176   0.0265659   0.0051537
  798620    90.79051   0.0036923   0.0000176   0.0265623   0.0051548
  798640    90.79275   0.0038864   0.0000175   0.0265585   0.0051561
  798660    90.79499   0.0040804   0.0000175   0.0265546   0.0051575
  798680    90.79723   0.0042742   0.0000174   0.0265504   0.0051590
  798700    90.79947   0.0044680   0.0000173   0.0265459   0.0051606
  798720    90.80170   0.0046617   0.0000173   0.0265413   0.0051624
  798740    90.80394   0.0048553   0.0000172   0.0265364   0.0051641
  798760    90.80618   0.0050487   0.0000172   0.0265313   0.0051657
  798780    90.80842   0.0052416   0.0000171   0.0265260   0.0051672
  798800    90.81066   0.0054341   0.0000171   0.0265204   0.0051685
  798820    90.81289   0.0056258   0.0000172   0.0265147   0.0051695
  798840    90.81513   0.0058170   0.0000172   0.0265086   0.0051702
  798860    90.81737   0.0060075   0.0000173   0.0265023   0.0051707
  798880    90.81961   0.0061974   0.0000175   0.0264956   0.0051708
  798900    90.82184   0.0063866   0.0000176   0.0264887   0.0051707
  798920    90.82408   0.0065751   0.0000178   0.0264816   0.0051703
  798940    90.82632   0.0067627   0.0000180   0.0264741   0.0051696
  798960    90.82856   0.0069494   0.0000183   0.0264665   0.0051686
  798980    90.83080   0.0071349   0.0000185   0.0264585   0.0051675
  799000    90.83303   0.0073194   0.0000188   0.0264503   0.0051661
