   n        time         Clp         Clv         Cdp         Cdv
       0     0.00000   0.0000000   0.0000000  -0.0001280   0.000000 
      20     0.00187   0.0000000   0.0000000  -0.0001280   0.000000
      40     0.00465  -0.0000000   0.0000000  -0.0001270   0.000000
      60     0.00743   0.0000000   0.0000000  -0.0001270   0.000000
      80     0.01021   0.0000000   0.0000000  -0.0001270   0.000000
     100     0.01299   0.0000000   0.0000000  -0.0001260   0.000000
     120     0.01576  -0.0000000  -0.0000000  -0.0001250   0.000000
     140     0.01854   0.0000000  -0.0000000  -0.0001240   0.000001
     160     0.02132   0.0000000   0.0000000  -0.0001230   0.000001
     180     0.02410  -0.0000000   0.0000000  -0.0001220   0.000001
     200     0.02687   0.0000000  -0.0000000  -0.0001200   0.000001
     220     0.02965  -0.0000000  -0.0000000  -0.0001190   0.000001
     240     0.03243  -0.0000000   0.0000000  -0.0001170   0.000001
     260     0.03521   0.0000000  -0.0000000  -0.0001150   0.000002
     280     0.03798  -0.0000000  -0.0000000  -0.0001130   0.000002
     300     0.04076   0.0000000   0.0000000  -0.0001110   0.000002
     320     0.04354   0.0000000  -0.0000000  -0.0001090   0.000002
     340     0.04632   0.0000000   0.0000000  -0.0001060   0.000002
     360     0.04910  -0.0000000  -0.0000000  -0.0001040   0.000003
     380     0.05187  -0.0000000  -0.0000000  -0.0001010   0.000003
     400     0.05465  -0.0000000   0.0000000  -0.0000980   0.000003
     420     0.05743  -0.0000000  -0.0000000  -0.0000950   0.000003
     440     0.06021   0.0000000   0.0000000  -0.0000920   0.000004
     460     0.06298   0.0000000  -0.0000000  -0.0000890   0.000004
     480     0.06576   0.0000000   0.0000000  -0.0000850   0.000004
     500     0.06854   0.0000000  -0.0000000  -0.0000820   0.000005
     520     0.07132  -0.0000000   0.0000000  -0.0000780   0.000005
     540     0.07409   0.0000000  -0.0000000  -0.0000740   0.000005
     560     0.07687   0.0000000  -0.0000000  -0.0000700   0.000005
     580     0.07965   0.0000000   0.0000000  -0.0000660   0.000006
     600     0.08243  -0.0000000  -0.0000000  -0.0000620   0.000006
     620     0.08521   0.0000000   0.0000000  -0.0000580   0.000006
     640     0.08798  -0.0000000  -0.0000000  -0.0000530   0.000007
     660     0.09076  -0.0000000  -0.0000000  -0.0000490   0.000007
     680     0.09354  -0.0000000   0.0000000  -0.0000440   0.000008
     700     0.09632   0.0000000  -0.0000000  -0.0000390   0.000008
     720     0.09909  -0.0000000   0.0000000  -0.0000340   0.000008
     740     0.10187   0.0000000   0.0000000  -0.0000290   0.000009
     760     0.10465   0.0000000  -0.0000000  -0.0000240   0.000009
     780     0.10743   0.0000000   0.0000000  -0.0000190   0.000010
     800     0.11020  -0.0000000   0.0000000  -0.0000130   0.000010
     820     0.11298   0.0000000  -0.0000000  -0.0000080   0.000010
     840     0.11576  -0.0000000  -0.0000000  -0.0000020   0.000011
     860     0.11854   0.0000000   0.0000000   0.0000030   0.000011
     880     0.12132   0.0000000   0.0000000   0.0000090   0.000012
     900     0.12409  -0.0000000  -0.0000000   0.0000150   0.000012
     920     0.12687  -0.0000000  -0.0000000   0.0000210   0.000012
     940     0.12965   0.0000000   0.0000000   0.0000270   0.000013
     960     0.13243  -0.0000000   0.0000000   0.0000330   0.000013
     980     0.13520  -0.0000000  -0.0000000   0.0000390   0.000014
    1000     0.13798  -0.0000000  -0.0000000   0.0000450   0.000014
    1020     0.14076  -0.0000000  -0.0000000   0.0000520   0.000015
    1040     0.14354  -0.0000000   0.0000000   0.0000580   0.000015
    1060     0.14631   0.0000000   0.0000000   0.0000650   0.000016
    1080     0.14909  -0.0000000   0.0000000   0.0000710   0.000016
    1100     0.15187  -0.0000000  -0.0000000   0.0000780   0.000017
    1120     0.15465   0.0000000  -0.0000000   0.0000850   0.000017
    1140     0.15742  -0.0000000  -0.0000000   0.0000920   0.000018
    1160     0.16020  -0.0000000   0.0000000   0.0000990   0.000018
    1180     0.16298   0.0000000   0.0000000   0.0001060   0.000019
    1200     0.16576  -0.0000000   0.0000000   0.0001130   0.000019
    1220     0.16854   0.0000000   0.0000000   0.0001200   0.000020
    1240     0.17131  -0.0000000  -0.0000000   0.0001280   0.000020
    1260     0.17409   0.0000000  -0.0000000   0.0001350   0.000021
    1280     0.17687   0.0000000  -0.0000000   0.0001430   0.000021
    1300     0.17965   0.0000000  -0.0000000   0.0001500   0.000022
    1320     0.18242  -0.0000000  -0.0000000   0.0001580   0.000022
    1340     0.18520   0.0000000  -0.0000000   0.0001660   0.000023
    1360     0.18798   0.0000000  -0.0000000   0.0001740   0.000023
    1380     0.19076  -0.0000000   0.0000000   0.0001820   0.000024
    1400     0.19353  -0.0000000   0.0000000   0.0001900   0.000024
    1420     0.19631   0.0000000   0.0000000   0.0001980   0.000025
    1440     0.19909   0.0000000   0.0000000   0.0002060   0.000026
    1460     0.20187  -0.0000000   0.0000000   0.0002150   0.000026
    1480     0.20465   0.0000000   0.0000000   0.0002230   0.000027
    1500     0.20742   0.0000000   0.0000000   0.0002320   0.000027
    1520     0.21020   0.0000000   0.0000000   0.0002400   0.000028
    1540     0.21298  -0.0000000   0.0000000   0.0002490   0.000029
    1560     0.21576  -0.0000000  -0.0000000   0.0002570   0.000029
    1580     0.21853   0.0000000  -0.0000000   0.0002660   0.000030
    1600     0.22131  -0.0000000  -0.0000000   0.0002750   0.000030
    1620     0.22409   0.0000000  -0.0000000   0.0002840   0.000031
    1640     0.22687  -0.0000000  -0.0000000   0.0002930   0.000031
    1660     0.22964   0.0000000  -0.0000000   0.0003020   0.000032
    1680     0.23242   0.0000000  -0.0000000   0.0003110   0.000033
    1700     0.23520   0.0000000   0.0000000   0.0003200   0.000033
    1720     0.23798   0.0000000   0.0000000   0.0003300   0.000034
    1740     0.24076   0.0000000   0.0000000   0.0003390   0.000035
    1760     0.24353  -0.0000000   0.0000000   0.0003480   0.000035
    1780     0.24631   0.0000000   0.0000000   0.0003580   0.000036
    1800     0.24909   0.0000000  -0.0000000   0.0003670   0.000037
    1820     0.25187  -0.0000000  -0.0000000   0.0003770   0.000037
    1840     0.25464  -0.0000000  -0.0000000   0.0003860   0.000038
    1860     0.25742  -0.0000000   0.0000000   0.0003960   0.000039
    1880     0.26020  -0.0000000   0.0000000   0.0004060   0.000039
    1900     0.26298  -0.0000000   0.0000000   0.0004160   0.000040
    1920     0.26575  -0.0000000   0.0000000   0.0004250   0.000041
    1940     0.26853  -0.0000000  -0.0000000   0.0004350   0.000041
    1960     0.27131   0.0000000  -0.0000000   0.0004450   0.000042
    1980     0.27409  -0.0000000  -0.0000000   0.0004550   0.000043
    2000     0.27686   0.0000000   0.0000000   0.0004650   0.000043
    2020     0.27964   0.0000000   0.0000000   0.0004760   0.000044
    2040     0.28242  -0.0000000  -0.0000000   0.0004860   0.000045
    2060     0.28520  -0.0000000  -0.0000000   0.0004960   0.000045
    2080     0.28798  -0.0000000   0.0000000   0.0005070   0.000046
    2100     0.29075  -0.0000000   0.0000000   0.0005170   0.000047
    2120     0.29353   0.0000000   0.0000000   0.0005280   0.000048
    2140     0.29631   0.0000000  -0.0000000   0.0005380   0.000048
    2160     0.29909  -0.0000000  -0.0000000   0.0005490   0.000049
    2180     0.30186   0.0000000   0.0000000   0.0005590   0.000050
    2200     0.30464  -0.0000000   0.0000000   0.0005700   0.000050
    2220     0.30742  -0.0000000  -0.0000000   0.0005810   0.000051
    2240     0.31020   0.0000000   0.0000000   0.0005920   0.000052
    2260     0.31297   0.0000000   0.0000000   0.0006030   0.000053
    2280     0.31575   0.0000000  -0.0000000   0.0006140   0.000053
    2300     0.31853   0.0000000  -0.0000000   0.0006240   0.000054
    2320     0.32131  -0.0000000   0.0000000   0.0006360   0.000055
    2340     0.32409  -0.0000000  -0.0000000   0.0006470   0.000056
    2360     0.32686   0.0000000  -0.0000000   0.0006580   0.000056
    2380     0.32964  -0.0000000   0.0000000   0.0006690   0.000057
    2400     0.33242   0.0000000  -0.0000000   0.0006800   0.000058
    2420     0.33520  -0.0000000  -0.0000000   0.0006920   0.000059
    2440     0.33797  -0.0000000   0.0000000   0.0007030   0.000059
    2460     0.34075   0.0000000  -0.0000000   0.0007140   0.000060
    2480     0.34353   0.0000000  -0.0000000   0.0007260   0.000061
    2500     0.34631   0.0000000   0.0000000   0.0007370   0.000062
    2520     0.34908   0.0000000  -0.0000000   0.0007490   0.000063
    2540     0.35186   0.0000000   0.0000000   0.0007600   0.000063
    2560     0.35464   0.0000000   0.0000000   0.0007720   0.000064
    2580     0.35742  -0.0000000  -0.0000000   0.0007840   0.000065
    2600     0.36020  -0.0000000   0.0000000   0.0007950   0.000066
    2620     0.36297   0.0000000  -0.0000000   0.0008070   0.000067
    2640     0.36575  -0.0000000  -0.0000000   0.0008190   0.000067
    2660     0.36853   0.0000000   0.0000000   0.0008310   0.000068
    2680     0.37131   0.0000000  -0.0000000   0.0008430   0.000069
    2700     0.37408  -0.0000000   0.0000000   0.0008540   0.000070
    2720     0.37686  -0.0000000  -0.0000000   0.0008660   0.000071
    2740     0.37964   0.0000000   0.0000000   0.0008780   0.000071
    2760     0.38242   0.0000000  -0.0000000   0.0008910   0.000072
    2780     0.38519   0.0000000  -0.0000000   0.0009030   0.000073
    2800     0.38797   0.0000000   0.0000000   0.0009150   0.000074
    2820     0.39075   0.0000000  -0.0000000   0.0009270   0.000075
    2840     0.39353  -0.0000000   0.0000000   0.0009390   0.000076
    2860     0.39631   0.0000000  -0.0000000   0.0009510   0.000077
    2880     0.39908   0.0000000   0.0000000   0.0009640   0.000077
    2900     0.40186  -0.0000000  -0.0000000   0.0009760   0.000078
    2920     0.40464   0.0000000   0.0000000   0.0009880   0.000079
    2940     0.40742  -0.0000000  -0.0000000   0.0010010   0.000080
    2960     0.41019   0.0000000   0.0000000   0.0010130   0.000081
    2980     0.41297   0.0000000  -0.0000000   0.0010260   0.000082
    3000     0.41575  -0.0000000   0.0000000   0.0010380   0.000083
    3020     0.41853  -0.0000000  -0.0000000   0.0010510   0.000083
    3040     0.42130  -0.0000000   0.0000000   0.0010630   0.000084
    3060     0.42408  -0.0000000  -0.0000000   0.0010760   0.000085
    3080     0.42686  -0.0000000  -0.0000000   0.0010890   0.000086
    3100     0.42964  -0.0000000   0.0000000   0.0011010   0.000087
    3120     0.43241  -0.0000000  -0.0000000   0.0011140   0.000088
    3140     0.43519   0.0000000   0.0000000   0.0011270   0.000089
    3160     0.43797   0.0000000  -0.0000000   0.0011400   0.000090
    3180     0.44075  -0.0000000   0.0000000   0.0011530   0.000091
    3200     0.44353   0.0000000  -0.0000000   0.0011660   0.000091
    3220     0.44630   0.0000000   0.0000000   0.0011780   0.000092
    3240     0.44908   0.0000000   0.0000000   0.0011920   0.000093
    3260     0.45186  -0.0000000  -0.0000000   0.0012050   0.000094
    3280     0.45464   0.0000000   0.0000000   0.0012170   0.000095
    3300     0.45741  -0.0000000  -0.0000000   0.0012300   0.000096
    3320     0.46019   0.0000000   0.0000000   0.0012440   0.000097
    3340     0.46297   0.0000000   0.0000000   0.0012570   0.000098
    3360     0.46575  -0.0000000  -0.0000000   0.0012700   0.000099
    3380     0.46852  -0.0000000   0.0000000   0.0012830   0.000100
    3400     0.47130  -0.0000000  -0.0000000   0.0012960   0.000101
    3420     0.47408  -0.0000000  -0.0000000   0.0013090   0.000102
    3440     0.47686  -0.0000000   0.0000000   0.0013230   0.000103
    3460     0.47964  -0.0000000  -0.0000000   0.0013360   0.000104
    3480     0.48241  -0.0000000  -0.0000000   0.0013490   0.000105
    3500     0.48519  -0.0000000   0.0000000   0.0013630   0.000105
    3520     0.48797   0.0000000  -0.0000000   0.0013760   0.000106
    3540     0.49075   0.0000000  -0.0000000   0.0013890   0.000107
    3560     0.49352  -0.0000000   0.0000000   0.0014030   0.000108
    3580     0.49630   0.0000000  -0.0000000   0.0014160   0.000109
    3600     0.49908   0.0000000  -0.0000000   0.0014300   0.000110
    3620     0.50186  -0.0000000   0.0000000   0.0014430   0.000111
    3640     0.50463   0.0000000   0.0000000   0.0014570   0.000112
    3660     0.50741  -0.0000000  -0.0000000   0.0014700   0.000113
    3680     0.51019   0.0000000   0.0000000   0.0014840   0.000114
    3700     0.51297  -0.0000000   0.0000000   0.0014970   0.000115
    3720     0.51575  -0.0000000  -0.0000000   0.0015110   0.000116
    3740     0.51852   0.0000000  -0.0000000   0.0015240   0.000117
    3760     0.52130  -0.0000000   0.0000000   0.0015380   0.000118
    3780     0.52408  -0.0000000   0.0000000   0.0015520   0.000119
    3800     0.52686   0.0000000  -0.0000000   0.0015650   0.000120
    3820     0.52963   0.0000000  -0.0000000   0.0015790   0.000121
    3840     0.53241   0.0000000   0.0000000   0.0015930   0.000122
    3860     0.53519   0.0000000   0.0000000   0.0016070   0.000123
    3880     0.53797   0.0000000  -0.0000000   0.0016210   0.000124
    3900     0.54074   0.0000000  -0.0000000   0.0016340   0.000125
    3920     0.54352   0.0000000   0.0000000   0.0016480   0.000126
    3940     0.54630   0.0000000   0.0000000   0.0016620   0.000127
    3960     0.54908   0.0000000  -0.0000000   0.0016760   0.000128
    3980     0.55185  -0.0000000  -0.0000000   0.0016900   0.000129
    4000     0.55463  -0.0000000   0.0000000   0.0017040   0.000130
    4020     0.55741  -0.0000000   0.0000000   0.0017180   0.000131
    4040     0.56019   0.0000000   0.0000000   0.0017320   0.000133
    4060     0.56297   0.0000000  -0.0000000   0.0017460   0.000134
    4080     0.56574  -0.0000000  -0.0000000   0.0017600   0.000135
    4100     0.56852   0.0000000  -0.0000000   0.0017740   0.000136
    4120     0.57130   0.0000000   0.0000000   0.0017880   0.000137
    4140     0.57408  -0.0000000   0.0000000   0.0018020   0.000138
    4160     0.57685   0.0000000   0.0000000   0.0018160   0.000139
    4180     0.57963  -0.0000000  -0.0000000   0.0018300   0.000140
    4200     0.58241   0.0000000  -0.0000000   0.0018440   0.000141
    4220     0.58519  -0.0000000  -0.0000000   0.0018580   0.000142
    4240     0.58796   0.0000000   0.0000000   0.0018720   0.000143
    4260     0.59074  -0.0000000   0.0000000   0.0018860   0.000144
    4280     0.59352   0.0000000   0.0000000   0.0019010   0.000145
    4300     0.59630  -0.0000000   0.0000000   0.0019150   0.000146
    4320     0.59908  -0.0000000  -0.0000000   0.0019290   0.000147
    4340     0.60185   0.0000000  -0.0000000   0.0019430   0.000148
