   n        time         Cl         Cd
 1278024   210.02045   0.5832624   0.3170103
 1278025   210.02062   0.5832582   0.3170098
 1278026   210.02078   0.5832541   0.3170093
 1278027   210.02094   0.5832501   0.3170087
 1278028   210.02110   0.5832461   0.3170080
 1278029   210.02126   0.5832421   0.3170072
 1278030   210.02142   0.5832381   0.3170062
 1278031   210.02158   0.5832341   0.3170051
 1278032   210.02174   0.5832300   0.3170039
 1278033   210.02190   0.5832260   0.3170026
 1278034   210.02206   0.5832219   0.3170011
 1278035   210.02222   0.5832178   0.3169995
 1278036   210.02238   0.5832136   0.3169979
 1278037   210.02255   0.5832094   0.3169961
 1278038   210.02271   0.5832051   0.3169942
 1278039   210.02287   0.5832008   0.3169923
 1278040   210.02303   0.5831965   0.3169904
 1278041   210.02319   0.5831921   0.3169884
 1278042   210.02335   0.5831878   0.3169863
 1278043   210.02351   0.5831834   0.3169842
 1278044   210.02367   0.5831790   0.3169821
 1278045   210.02383   0.5831746   0.3169801
 1278046   210.02399   0.5831702   0.3169780
 1278047   210.02415   0.5831659   0.3169759
 1278048   210.02431   0.5831616   0.3169738
 1278049   210.02447   0.5831575   0.3169717
 1278050   210.02464   0.5831534   0.3169697
 1278051   210.02480   0.5831493   0.3169677
 1278052   210.02496   0.5831454   0.3169658
 1278053   210.02512   0.5831416   0.3169638
 1278054   210.02528   0.5831378   0.3169619
 1278055   210.02544   0.5831341   0.3169601
 1278056   210.02560   0.5831305   0.3169583
 1278057   210.02576   0.5831269   0.3169564
 1278058   210.02592   0.5831234   0.3169546
 1278059   210.02608   0.5831199   0.3169528
 1278060   210.02624   0.5831163   0.3169510
 1278061   210.02640   0.5831127   0.3169491
 1278062   210.02657   0.5831091   0.3169472
 1278063   210.02673   0.5831054   0.3169452
 1278064   210.02689   0.5831015   0.3169432
 1278065   210.02705   0.5830976   0.3169411
 1278066   210.02721   0.5830935   0.3169389
 1278067   210.02737   0.5830893   0.3169367
 1278068   210.02753   0.5830848   0.3169343
 1278069   210.02769   0.5830801   0.3169318
 1278070   210.02785   0.5830752   0.3169293
 1278071   210.02801   0.5830701   0.3169266
 1278072   210.02817   0.5830646   0.3169238
 1278073   210.02833   0.5830588   0.3169210
 1278074   210.02849   0.5830528   0.3169181
 1278075   210.02866   0.5830464   0.3169150
 1278076   210.02882   0.5830397   0.3169120
 1278077   210.02898   0.5830327   0.3169088
 1278078   210.02914   0.5830255   0.3169056
 1278079   210.02930   0.5830181   0.3169024
 1278080   210.02946   0.5830104   0.3168991
 1278081   210.02962   0.5830027   0.3168958
 1278082   210.02978   0.5829949   0.3168925
 1278083   210.02994   0.5829872   0.3168892
 1278084   210.03010   0.5829795   0.3168860
 1278085   210.03026   0.5829720   0.3168827
 1278086   210.03042   0.5829646   0.3168795
 1278087   210.03059   0.5829575   0.3168763
 1278088   210.03075   0.5829506   0.3168732
 1278089   210.03091   0.5829440   0.3168701
 1278090   210.03107   0.5829376   0.3168670
 1278091   210.03123   0.5829315   0.3168640
 1278092   210.03139   0.5829256   0.3168610
 1278093   210.03155   0.5829198   0.3168581
 1278094   210.03171   0.5829141   0.3168551
 1278095   210.03187   0.5829085   0.3168521
 1278096   210.03203   0.5829029   0.3168492
 1278097   210.03219   0.5828971   0.3168462
 1278098   210.03235   0.5828912   0.3168432
 1278099   210.03251   0.5828851   0.3168401
 1278100   210.03268   0.5828788   0.3168370
 1278101   210.03284   0.5828722   0.3168339
 1278102   210.03300   0.5828653   0.3168307
 1278103   210.03316   0.5828582   0.3168275
 1278104   210.03332   0.5828509   0.3168242
 1278105   210.03348   0.5828434   0.3168209
 1278106   210.03364   0.5828359   0.3168175
 1278107   210.03380   0.5828282   0.3168142
 1278108   210.03396   0.5828206   0.3168108
 1278109   210.03412   0.5828131   0.3168074
 1278110   210.03428   0.5828058   0.3168041
 1278111   210.03444   0.5827988   0.3168007
 1278112   210.03461   0.5827920   0.3167974
 1278113   210.03477   0.5827856   0.3167942
 1278114   210.03493   0.5827796   0.3167909
 1278115   210.03509   0.5827739   0.3167877
 1278116   210.03525   0.5827686   0.3167845
 1278117   210.03541   0.5827636   0.3167813
 1278118   210.03557   0.5827588   0.3167782
 1278119   210.03573   0.5827543   0.3167750
 1278120   210.03589   0.5827499   0.3167718
 1278121   210.03605   0.5827455   0.3167685
 1278122   210.03621   0.5827410   0.3167652
 1278123   210.03637   0.5827364   0.3167618
 1278124   210.03653   0.5827315   0.3167583
 1278125   210.03670   0.5827264   0.3167548
 1278126   210.03686   0.5827208   0.3167511
 1278127   210.03702   0.5827148   0.3167473
 1278128   210.03718   0.5827084   0.3167434
 1278129   210.03734   0.5827015   0.3167394
 1278130   210.03750   0.5826940   0.3167354
 1278131   210.03766   0.5826862   0.3167312
 1278132   210.03782   0.5826779   0.3167270
 1278133   210.03798   0.5826692   0.3167227
 1278134   210.03814   0.5826602   0.3167183
 1278135   210.03830   0.5826510   0.3167140
 1278136   210.03846   0.5826415   0.3167096
 1278137   210.03863   0.5826319   0.3167053
 1278138   210.03879   0.5826222   0.3167009
 1278139   210.03895   0.5826125   0.3166966
 1278140   210.03911   0.5826028   0.3166924
 1278141   210.03927   0.5825931   0.3166882
 1278142   210.03943   0.5825834   0.3166841
 1278143   210.03959   0.5825738   0.3166800
 1278144   210.03975   0.5825643   0.3166760
 1278145   210.03991   0.5825548   0.3166720
 1278146   210.04007   0.5825454   0.3166681
 1278147   210.04023   0.5825360   0.3166642
 1278148   210.04039   0.5825267   0.3166604
 1278149   210.04055   0.5825175   0.3166566
 1278150   210.04072   0.5825083   0.3166529
 1278151   210.04088   0.5824993   0.3166492
 1278152   210.04104   0.5824903   0.3166455
 1278153   210.04120   0.5824814   0.3166418
 1278154   210.04136   0.5824726   0.3166381
 1278155   210.04152   0.5824640   0.3166345
 1278156   210.04168   0.5824556   0.3166309
 1278157   210.04184   0.5824474   0.3166273
 1278158   210.04200   0.5824394   0.3166238
 1278159   210.04216   0.5824317   0.3166203
 1278160   210.04232   0.5824243   0.3166168
 1278161   210.04248   0.5824171   0.3166133
 1278162   210.04264   0.5824103   0.3166099
 1278163   210.04281   0.5824038   0.3166065
 1278164   210.04297   0.5823977   0.3166032
 1278165   210.04313   0.5823918   0.3165999
 1278166   210.04329   0.5823863   0.3165966
 1278167   210.04345   0.5823811   0.3165934
 1278168   210.04361   0.5823762   0.3165903
 1278169   210.04377   0.5823715   0.3165872
 1278170   210.04393   0.5823670   0.3165841
 1278171   210.04409   0.5823628   0.3165811
 1278172   210.04425   0.5823587   0.3165782
 1278173   210.04441   0.5823547   0.3165752
 1278174   210.04457   0.5823508   0.3165723
 1278175   210.04473   0.5823470   0.3165695
 1278176   210.04490   0.5823432   0.3165666
 1278177   210.04506   0.5823394   0.3165638
 1278178   210.04522   0.5823355   0.3165610
 1278179   210.04538   0.5823316   0.3165582
 1278180   210.04554   0.5823275   0.3165554
 1278181   210.04570   0.5823232   0.3165526
 1278182   210.04586   0.5823188   0.3165498
 1278183   210.04602   0.5823142   0.3165470
 1278184   210.04618   0.5823094   0.3165441
 1278185   210.04634   0.5823043   0.3165413
 1278186   210.04650   0.5822991   0.3165385
 1278187   210.04666   0.5822935   0.3165356
 1278188   210.04683   0.5822877   0.3165327
 1278189   210.04699   0.5822817   0.3165298
 1278190   210.04715   0.5822755   0.3165269
 1278191   210.04731   0.5822690   0.3165239
 1278192   210.04747   0.5822623   0.3165209
 1278193   210.04763   0.5822555   0.3165179
 1278194   210.04779   0.5822484   0.3165149
 1278195   210.04795   0.5822413   0.3165119
 1278196   210.04811   0.5822340   0.3165088
 1278197   210.04827   0.5822266   0.3165057
 1278198   210.04843   0.5822191   0.3165026
 1278199   210.04859   0.5822116   0.3164995
 1278200   210.04875   0.5822041   0.3164964
 1278201   210.04892   0.5821965   0.3164933
 1278202   210.04908   0.5821890   0.3164901
 1278203   210.04924   0.5821814   0.3164870
 1278204   210.04940   0.5821739   0.3164838
 1278205   210.04956   0.5821665   0.3164806
 1278206   210.04972   0.5821592   0.3164775
 1278207   210.04988   0.5821519   0.3164743
 1278208   210.05004   0.5821447   0.3164711
 1278209   210.05020   0.5821375   0.3164679
 1278210   210.05036   0.5821305   0.3164647
 1278211   210.05052   0.5821236   0.3164616
 1278212   210.05068   0.5821167   0.3164584
 1278213   210.05084   0.5821100   0.3164552
 1278214   210.05101   0.5821033   0.3164520
 1278215   210.05117   0.5820968   0.3164489
 1278216   210.05133   0.5820903   0.3164457
 1278217   210.05149   0.5820840   0.3164426
 1278218   210.05165   0.5820777   0.3164395
 1278219   210.05181   0.5820716   0.3164364
 1278220   210.05197   0.5820655   0.3164333
 1278221   210.05213   0.5820595   0.3164303
 1278222   210.05229   0.5820537   0.3164272
 1278223   210.05245   0.5820479   0.3164242
 1278224   210.05261   0.5820423   0.3164213
 1278225   210.05277   0.5820368   0.3164183
 1278226   210.05293   0.5820314   0.3164154
 1278227   210.05309   0.5820261   0.3164125
 1278228   210.05326   0.5820209   0.3164097
 1278229   210.05342   0.5820159   0.3164069
 1278230   210.05358   0.5820110   0.3164042
 1278231   210.05374   0.5820063   0.3164014
 1278232   210.05390   0.5820016   0.3163988
 1278233   210.05406   0.5819971   0.3163962
 1278234   210.05422   0.5819928   0.3163936
 1278235   210.05438   0.5819886   0.3163910
 1278236   210.05454   0.5819845   0.3163885
 1278237   210.05470   0.5819806   0.3163861
 1278238   210.05486   0.5819768   0.3163836
 1278239   210.05502   0.5819731   0.3163812
 1278240   210.05518   0.5819695   0.3163789
 1278241   210.05535   0.5819661   0.3163765
 1278242   210.05551   0.5819627   0.3163742
 1278243   210.05567   0.5819593   0.3163719
 1278244   210.05583   0.5819561   0.3163696
 1278245   210.05599   0.5819529   0.3163673
 1278246   210.05615   0.5819497   0.3163650
 1278247   210.05631   0.5819465   0.3163627
 1278248   210.05647   0.5819433   0.3163605
 1278249   210.05663   0.5819401   0.3163582
 1278250   210.05679   0.5819368   0.3163558
 1278251   210.05695   0.5819335   0.3163535
 1278252   210.05711   0.5819302   0.3163511
 1278253   210.05727   0.5819267   0.3163487
 1278254   210.05744   0.5819232   0.3163463
 1278255   210.05760   0.5819195   0.3163438
 1278256   210.05776   0.5819158   0.3163413
 1278257   210.05792   0.5819119   0.3163387
 1278258   210.05808   0.5819079   0.3163361
 1278259   210.05824   0.5819038   0.3163335
 1278260   210.05840   0.5818996   0.3163308
 1278261   210.05856   0.5818953   0.3163280
 1278262   210.05872   0.5818908   0.3163252
 1278263   210.05888   0.5818862   0.3163224
 1278264   210.05904   0.5818815   0.3163196
 1278265   210.05920   0.5818767   0.3163166
 1278266   210.05936   0.5818718   0.3163137
 1278267   210.05953   0.5818669   0.3163107
 1278268   210.05969   0.5818618   0.3163077
 1278269   210.05985   0.5818567   0.3163047
 1278270   210.06001   0.5818516   0.3163017
 1278271   210.06017   0.5818465   0.3162986
 1278272   210.06033   0.5818413   0.3162955
 1278273   210.06049   0.5818361   0.3162924
 1278274   210.06065   0.5818309   0.3162893
 1278275   210.06081   0.5818258   0.3162862
 1278276   210.06097   0.5818207   0.3162831
 1278277   210.06113   0.5818156   0.3162799
 1278278   210.06129   0.5818105   0.3162768
 1278279   210.06145   0.5818055   0.3162737
 1278280   210.06162   0.5818006   0.3162706
 1278281   210.06178   0.5817957   0.3162674
 1278282   210.06194   0.5817908   0.3162643
 1278283   210.06210   0.5817860   0.3162612
 1278284   210.06226   0.5817812   0.3162580
 1278285   210.06242   0.5817764   0.3162549
 1278286   210.06258   0.5817717   0.3162517
 1278287   210.06274   0.5817669   0.3162486
 1278288   210.06290   0.5817622   0.3162454
 1278289   210.06306   0.5817574   0.3162422
 1278290   210.06322   0.5817526   0.3162389
 1278291   210.06338   0.5817477   0.3162357
 1278292   210.06354   0.5817428   0.3162324
 1278293   210.06370   0.5817378   0.3162290
 1278294   210.06387   0.5817327   0.3162256
 1278295   210.06403   0.5817275   0.3162222
 1278296   210.06419   0.5817222   0.3162188
 1278297   210.06435   0.5817168   0.3162152
 1278298   210.06451   0.5817113   0.3162117
 1278299   210.06467   0.5817057   0.3162081
 1278300   210.06483   0.5817000   0.3162044
 1278301   210.06499   0.5816941   0.3162007
 1278302   210.06515   0.5816881   0.3161970
 1278303   210.06531   0.5816821   0.3161932
 1278304   210.06547   0.5816759   0.3161894
 1278305   210.06563   0.5816697   0.3161855
 1278306   210.06579   0.5816633   0.3161816
 1278307   210.06596   0.5816570   0.3161777
 1278308   210.06612   0.5816506   0.3161738
 1278309   210.06628   0.5816441   0.3161699
 1278310   210.06644   0.5816377   0.3161660
 1278311   210.06660   0.5816313   0.3161621
 1278312   210.06676   0.5816248   0.3161581
 1278313   210.06692   0.5816185   0.3161542
 1278314   210.06708   0.5816121   0.3161504
 1278315   210.06724   0.5816059   0.3161465
 1278316   210.06740   0.5815997   0.3161427
 1278317   210.06756   0.5815935   0.3161389
 1278318   210.06772   0.5815875   0.3161351
