   n        time         Cl         Cd
  935231   155.02154   0.5995790   0.2923980
  935232   155.02170   0.5995812   0.2923987
  935233   155.02186   0.5995835   0.2923995
  935234   155.02202   0.5995859   0.2924003
  935235   155.02218   0.5995885   0.2924011
  935236   155.02235   0.5995913   0.2924019
  935237   155.02251   0.5995942   0.2924028
  935238   155.02267   0.5995972   0.2924037
  935239   155.02283   0.5996004   0.2924046
  935240   155.02299   0.5996038   0.2924055
  935241   155.02315   0.5996073   0.2924065
  935242   155.02331   0.5996109   0.2924075
  935243   155.02348   0.5996147   0.2924085
  935244   155.02364   0.5996186   0.2924096
  935245   155.02380   0.5996227   0.2924106
  935246   155.02396   0.5996269   0.2924117
  935247   155.02412   0.5996313   0.2924128
  935248   155.02428   0.5996358   0.2924140
  935249   155.02444   0.5996404   0.2924151
  935250   155.02461   0.5996451   0.2924163
  935251   155.02477   0.5996500   0.2924175
  935252   155.02493   0.5996550   0.2924187
  935253   155.02509   0.5996602   0.2924199
  935254   155.02525   0.5996654   0.2924212
  935255   155.02541   0.5996708   0.2924225
  935256   155.02558   0.5996763   0.2924238
  935257   155.02574   0.5996819   0.2924251
  935258   155.02590   0.5996876   0.2924264
  935259   155.02606   0.5996934   0.2924277
  935260   155.02622   0.5996994   0.2924291
  935261   155.02638   0.5997054   0.2924304
  935262   155.02654   0.5997115   0.2924318
  935263   155.02671   0.5997178   0.2924332
  935264   155.02687   0.5997241   0.2924346
  935265   155.02703   0.5997305   0.2924360
  935266   155.02719   0.5997370   0.2924374
  935267   155.02735   0.5997435   0.2924388
  935268   155.02751   0.5997502   0.2924402
  935269   155.02768   0.5997569   0.2924417
  935270   155.02784   0.5997637   0.2924431
  935271   155.02800   0.5997706   0.2924446
  935272   155.02816   0.5997775   0.2924460
  935273   155.02832   0.5997845   0.2924475
  935274   155.02848   0.5997915   0.2924489
  935275   155.02864   0.5997986   0.2924504
  935276   155.02881   0.5998057   0.2924518
  935277   155.02897   0.5998129   0.2924533
  935278   155.02913   0.5998201   0.2924547
  935279   155.02929   0.5998273   0.2924562
  935280   155.02945   0.5998346   0.2924576
  935281   155.02961   0.5998419   0.2924591
  935282   155.02977   0.5998492   0.2924605
  935283   155.02994   0.5998565   0.2924619
  935284   155.03010   0.5998639   0.2924634
  935285   155.03026   0.5998712   0.2924648
  935286   155.03042   0.5998786   0.2924662
  935287   155.03058   0.5998859   0.2924676
  935288   155.03074   0.5998933   0.2924690
  935289   155.03091   0.5999006   0.2924704
  935290   155.03107   0.5999079   0.2924717
  935291   155.03123   0.5999152   0.2924731
  935292   155.03139   0.5999224   0.2924744
  935293   155.03155   0.5999297   0.2924757
  935294   155.03171   0.5999369   0.2924770
  935295   155.03187   0.5999441   0.2924783
  935296   155.03204   0.5999512   0.2924796
  935297   155.03220   0.5999583   0.2924809
  935298   155.03236   0.5999654   0.2924821
  935299   155.03252   0.5999724   0.2924833
  935300   155.03268   0.5999794   0.2924845
  935301   155.03284   0.5999863   0.2924857
  935302   155.03300   0.5999932   0.2924869
  935303   155.03317   0.6000000   0.2924881
  935304   155.03333   0.6000068   0.2924892
  935305   155.03349   0.6000135   0.2924903
  935306   155.03365   0.6000202   0.2924914
  935307   155.03381   0.6000269   0.2924925
  935308   155.03397   0.6000334   0.2924936
  935309   155.03414   0.6000400   0.2924946
  935310   155.03430   0.6000465   0.2924956
  935311   155.03446   0.6000529   0.2924966
  935312   155.03462   0.6000592   0.2924976
  935313   155.03478   0.6000656   0.2924986
  935314   155.03494   0.6000718   0.2924995
  935315   155.03510   0.6000780   0.2925005
  935316   155.03527   0.6000842   0.2925014
  935317   155.03543   0.6000903   0.2925023
  935318   155.03559   0.6000964   0.2925032
  935319   155.03575   0.6001024   0.2925040
  935320   155.03591   0.6001084   0.2925049
  935321   155.03607   0.6001143   0.2925057
  935322   155.03623   0.6001202   0.2925065
  935323   155.03640   0.6001261   0.2925073
  935324   155.03656   0.6001319   0.2925081
  935325   155.03672   0.6001377   0.2925089
  935326   155.03688   0.6001435   0.2925096
  935327   155.03704   0.6001492   0.2925104
  935328   155.03720   0.6001549   0.2925111
  935329   155.03737   0.6001606   0.2925118
  935330   155.03753   0.6001663   0.2925125
  935331   155.03769   0.6001719   0.2925132
  935332   155.03785   0.6001776   0.2925139
  935333   155.03801   0.6001832   0.2925146
  935334   155.03817   0.6001889   0.2925153
  935335   155.03833   0.6001945   0.2925159
  935336   155.03850   0.6002002   0.2925166
  935337   155.03866   0.6002059   0.2925173
  935338   155.03882   0.6002115   0.2925179
  935339   155.03898   0.6002172   0.2925186
  935340   155.03914   0.6002229   0.2925192
  935341   155.03930   0.6002287   0.2925199
  935342   155.03946   0.6002344   0.2925205
  935343   155.03963   0.6002402   0.2925212
  935344   155.03979   0.6002461   0.2925218
  935345   155.03995   0.6002519   0.2925225
  935346   155.04011   0.6002578   0.2925231
  935347   155.04027   0.6002638   0.2925238
  935348   155.04043   0.6002698   0.2925245
  935349   155.04060   0.6002758   0.2925251
  935350   155.04076   0.6002819   0.2925258
  935351   155.04092   0.6002881   0.2925265
  935352   155.04108   0.6002942   0.2925271
  935353   155.04124   0.6003005   0.2925278
  935354   155.04140   0.6003068   0.2925285
  935355   155.04156   0.6003131   0.2925292
  935356   155.04173   0.6003195   0.2925299
  935357   155.04189   0.6003259   0.2925306
  935358   155.04205   0.6003324   0.2925314
  935359   155.04221   0.6003390   0.2925321
  935360   155.04237   0.6003456   0.2925328
  935361   155.04253   0.6003522   0.2925336
  935362   155.04269   0.6003589   0.2925343
  935363   155.04286   0.6003656   0.2925351
  935364   155.04302   0.6003724   0.2925358
  935365   155.04318   0.6003792   0.2925366
  935366   155.04334   0.6003860   0.2925374
  935367   155.04350   0.6003929   0.2925381
  935368   155.04366   0.6003998   0.2925389
  935369   155.04383   0.6004067   0.2925397
  935370   155.04399   0.6004136   0.2925405
  935371   155.04415   0.6004206   0.2925413
  935372   155.04431   0.6004276   0.2925421
  935373   155.04447   0.6004346   0.2925429
  935374   155.04463   0.6004416   0.2925437
  935375   155.04479   0.6004486   0.2925445
  935376   155.04496   0.6004556   0.2925453
  935377   155.04512   0.6004626   0.2925462
  935378   155.04528   0.6004696   0.2925470
  935379   155.04544   0.6004766   0.2925478
  935380   155.04560   0.6004836   0.2925486
  935381   155.04576   0.6004906   0.2925494
  935382   155.04592   0.6004976   0.2925502
  935383   155.04609   0.6005046   0.2925511
  935384   155.04625   0.6005115   0.2925519
  935385   155.04641   0.6005185   0.2925527
  935386   155.04657   0.6005254   0.2925535
  935387   155.04673   0.6005322   0.2925543
  935388   155.04689   0.6005391   0.2925552
  935389   155.04706   0.6005459   0.2925560
  935390   155.04722   0.6005527   0.2925568
  935391   155.04738   0.6005595   0.2925576
  935392   155.04754   0.6005663   0.2925584
  935393   155.04770   0.6005730   0.2925592
  935394   155.04786   0.6005797   0.2925601
  935395   155.04802   0.6005863   0.2925609
  935396   155.04819   0.6005929   0.2925617
  935397   155.04835   0.6005995   0.2925625
  935398   155.04851   0.6006061   0.2925633
  935399   155.04867   0.6006126   0.2925641
  935400   155.04883   0.6006191   0.2925649
  935401   155.04899   0.6006256   0.2925657
  935402   155.04915   0.6006321   0.2925666
  935403   155.04932   0.6006385   0.2925674
  935404   155.04948   0.6006449   0.2925682
  935405   155.04964   0.6006513   0.2925690
  935406   155.04980   0.6006576   0.2925698
  935407   155.04996   0.6006640   0.2925707
  935408   155.05012   0.6006703   0.2925715
  935409   155.05028   0.6006766   0.2925724
  935410   155.05045   0.6006829   0.2925732
  935411   155.05061   0.6006892   0.2925740
  935412   155.05077   0.6006955   0.2925749
  935413   155.05093   0.6007018   0.2925758
  935414   155.05109   0.6007081   0.2925766
