   n        time         Cl         Cd
  461741    85.02416   0.7629155   0.0274068
  461742    85.02434   0.7629248   0.0273715
  461743    85.02452   0.7629339   0.0273365
  461744    85.02470   0.7629428   0.0273017
  461745    85.02488   0.7629515   0.0272671
  461746    85.02505   0.7629601   0.0272327
  461747    85.02523   0.7629687   0.0271985
  461748    85.02541   0.7629773   0.0271645
  461749    85.02559   0.7629859   0.0271307
  461750    85.02577   0.7629947   0.0270971
  461751    85.02594   0.7630036   0.0270637
  461752    85.02612   0.7630128   0.0270303
  461753    85.02630   0.7630221   0.0269971
  461754    85.02648   0.7630317   0.0269641
  461755    85.02666   0.7630414   0.0269310
  461756    85.02684   0.7630513   0.0268980
  461757    85.02701   0.7630613   0.0268651
  461758    85.02719   0.7630713   0.0268321
  461759    85.02737   0.7630814   0.0267990
  461760    85.02755   0.7630915   0.0267659
  461761    85.02773   0.7631015   0.0267328
  461762    85.02790   0.7631115   0.0266995
  461763    85.02808   0.7631214   0.0266661
  461764    85.02826   0.7631313   0.0266327
  461765    85.02844   0.7631411   0.0265992
  461766    85.02862   0.7631508   0.0265655
  461767    85.02879   0.7631605   0.0265318
  461768    85.02897   0.7631703   0.0264980
  461769    85.02915   0.7631800   0.0264642
  461770    85.02933   0.7631899   0.0264302
  461771    85.02951   0.7631998   0.0263962
  461772    85.02969   0.7632099   0.0263621
  461773    85.02986   0.7632202   0.0263280
  461774    85.03004   0.7632307   0.0262938
  461775    85.03022   0.7632414   0.0262595
  461776    85.03040   0.7632524   0.0262251
  461777    85.03058   0.7632636   0.0261907
  461778    85.03075   0.7632750   0.0261561
  461779    85.03093   0.7632866   0.0261215
  461780    85.03111   0.7632984   0.0260867
  461781    85.03129   0.7633103   0.0260519
  461782    85.03147   0.7633223   0.0260170
  461783    85.03165   0.7633344   0.0259821
  461784    85.03182   0.7633465   0.0259470
  461785    85.03200   0.7633587   0.0259119
  461786    85.03218   0.7633708   0.0258768
  461787    85.03236   0.7633829   0.0258415
  461788    85.03254   0.7633949   0.0258063
  461789    85.03271   0.7634070   0.0257710
  461790    85.03289   0.7634190   0.0257357
  461791    85.03307   0.7634310   0.0257004
  461792    85.03325   0.7634430   0.0256651
  461793    85.03343   0.7634550   0.0256299
  461794    85.03361   0.7634671   0.0255946
  461795    85.03378   0.7634793   0.0255594
  461796    85.03396   0.7634916   0.0255242
  461797    85.03414   0.7635039   0.0254891
  461798    85.03432   0.7635164   0.0254541
  461799    85.03450   0.7635289   0.0254192
  461800    85.03467   0.7635414   0.0253843
  461801    85.03485   0.7635540   0.0253496
  461802    85.03503   0.7635664   0.0253150
  461803    85.03521   0.7635789   0.0252805
  461804    85.03539   0.7635911   0.0252461
  461805    85.03556   0.7636032   0.0252119
  461806    85.03574   0.7636149   0.0251779
  461807    85.03592   0.7636264   0.0251440
  461808    85.03610   0.7636376   0.0251103
  461809    85.03628   0.7636483   0.0250767
  461810    85.03646   0.7636587   0.0250434
  461811    85.03663   0.7636687   0.0250102
  461812    85.03681   0.7636782   0.0249772
  461813    85.03699   0.7636874   0.0249444
  461814    85.03717   0.7636962   0.0249117
  461815    85.03735   0.7637047   0.0248793
  461816    85.03752   0.7637129   0.0248470
  461817    85.03770   0.7637209   0.0248149
  461818    85.03788   0.7637287   0.0247830
  461819    85.03806   0.7637363   0.0247512
  461820    85.03824   0.7637439   0.0247196
  461821    85.03841   0.7637515   0.0246882
  461822    85.03859   0.7637591   0.0246570
  461823    85.03877   0.7637668   0.0246259
  461824    85.03895   0.7637746   0.0245950
  461825    85.03913   0.7637825   0.0245642
  461826    85.03931   0.7637905   0.0245336
  461827    85.03948   0.7637988   0.0245031
  461828    85.03966   0.7638072   0.0244728
  461829    85.03984   0.7638157   0.0244427
  461830    85.04002   0.7638245   0.0244127
  461831    85.04020   0.7638334   0.0243828
  461832    85.04037   0.7638425   0.0243531
  461833    85.04055   0.7638517   0.0243235
  461834    85.04073   0.7638610   0.0242940
  461835    85.04091   0.7638705   0.0242647
  461836    85.04109   0.7638800   0.0242355
  461837    85.04127   0.7638896   0.0242064
