t     p     U
  0.6000030E+02       0.6972613E+00       0.3672213E+00
  0.6012526E+02       0.6971270E+00       0.3674850E+00
  0.6025018E+02       0.6971312E+00       0.3675832E+00
  0.6037519E+02       0.6972899E+00       0.3674732E+00
  0.6050019E+02       0.6974910E+00       0.3673017E+00
  0.6062516E+02       0.6976187E+00       0.3671293E+00
  0.6075016E+02       0.6976774E+00       0.3670600E+00
  0.6087522E+02       0.6977029E+00       0.3669638E+00
  0.6100027E+02       0.6978143E+00       0.3668936E+00
  0.6112518E+02       0.6978861E+00       0.3667858E+00
  0.6125021E+02       0.6978161E+00       0.3668095E+00
  0.6137525E+02       0.6977646E+00       0.3668528E+00
  0.6150019E+02       0.6973665E+00       0.3673758E+00
  0.6162522E+02       0.6973109E+00       0.3676354E+00
  0.6175025E+02       0.6975070E+00       0.3675204E+00
  0.6187516E+02       0.6975330E+00       0.3675029E+00
  0.6200014E+02       0.6975909E+00       0.3674583E+00
  0.6212526E+02       0.6975439E+00       0.3674634E+00
  0.6225020E+02       0.6974743E+00       0.3676249E+00
  0.6237526E+02       0.6974633E+00       0.3675828E+00
  0.6250029E+02       0.6974351E+00       0.3676700E+00
  0.6262517E+02       0.6976379E+00       0.3674058E+00
  0.6275023E+02       0.6973553E+00       0.3676989E+00
  0.6287527E+02       0.6971827E+00       0.3679679E+00
  0.6300020E+02       0.6969628E+00       0.3682641E+00
  0.6312518E+02       0.6967754E+00       0.3685892E+00
  0.6325017E+02       0.6968678E+00       0.3685680E+00
  0.6337523E+02       0.6969145E+00       0.3685781E+00
  0.6350017E+02       0.6968305E+00       0.3687159E+00
  0.6362514E+02       0.6966362E+00       0.3690393E+00
  0.6375020E+02       0.6964958E+00       0.3692942E+00
  0.6387528E+02       0.6962765E+00       0.3697127E+00
  0.6400024E+02       0.6964667E+00       0.3696146E+00
  0.6412521E+02       0.6964729E+00       0.3697202E+00
  0.6425018E+02       0.6964552E+00       0.3698442E+00
  0.6437524E+02       0.6963401E+00       0.3701341E+00
  0.6450022E+02       0.6962588E+00       0.3703127E+00
  0.6462518E+02       0.6959905E+00       0.3707510E+00
  0.6475029E+02       0.6960044E+00       0.3709140E+00
  0.6487527E+02       0.6958712E+00       0.3711166E+00
  0.6500025E+02       0.6953390E+00       0.3719205E+00
  0.6512525E+02       0.6952646E+00       0.3722014E+00
  0.6525014E+02       0.6949761E+00       0.3726605E+00
  0.6537522E+02       0.6949247E+00       0.3729124E+00
  0.6550021E+02       0.6949589E+00       0.3729896E+00
  0.6562529E+02       0.6947698E+00       0.3733167E+00
  0.6575022E+02       0.6949015E+00       0.3733665E+00
  0.6587514E+02       0.6949818E+00       0.3732882E+00
  0.6600014E+02       0.6948757E+00       0.3734662E+00
  0.6612524E+02       0.6946868E+00       0.3737972E+00
  0.6625014E+02       0.6945226E+00       0.3741496E+00
  0.6637522E+02       0.6943947E+00       0.3744955E+00
  0.6650016E+02       0.6943222E+00       0.3746090E+00
  0.6662526E+02       0.6943355E+00       0.3746524E+00
  0.6675023E+02       0.6943950E+00       0.3746376E+00
  0.6687518E+02       0.6944613E+00       0.3745415E+00
  0.6700014E+02       0.6944808E+00       0.3744716E+00
  0.6712518E+02       0.6944703E+00       0.3744786E+00
  0.6725021E+02       0.6943610E+00       0.3746550E+00
  0.6737521E+02       0.6945646E+00       0.3745411E+00
  0.6750022E+02       0.6949911E+00       0.3739678E+00
  0.6762524E+02       0.6950610E+00       0.3737289E+00
  0.6775027E+02       0.6951143E+00       0.3735729E+00
  0.6787515E+02       0.6952076E+00       0.3733967E+00
  0.6800016E+02       0.6951048E+00       0.3734103E+00
  0.6812518E+02       0.6951578E+00       0.3733519E+00
  0.6825024E+02       0.6952541E+00       0.3732290E+00
  0.6837530E+02       0.6954942E+00       0.3729351E+00
  0.6850027E+02       0.6957562E+00       0.3725327E+00
  0.6862519E+02       0.6960515E+00       0.3720647E+00
  0.6875025E+02       0.6962981E+00       0.3716082E+00
  0.6887524E+02       0.6964709E+00       0.3712114E+00
  0.6900024E+02       0.6966226E+00       0.3709000E+00
  0.6912524E+02       0.6967978E+00       0.3705187E+00
  0.6925030E+02       0.6970435E+00       0.3700702E+00
  0.6937520E+02       0.6971899E+00       0.3696736E+00
  0.6950026E+02       0.6973452E+00       0.3693517E+00
  0.6962514E+02       0.6974175E+00       0.3691141E+00
  0.6975022E+02       0.6973634E+00       0.3690799E+00
  0.6987528E+02       0.6972769E+00       0.3691155E+00
  0.7000018E+02       0.6973447E+00       0.3690599E+00
  0.7012529E+02       0.6976198E+00       0.3686668E+00
  0.7025027E+02       0.6976843E+00       0.3684746E+00
  0.7037526E+02       0.6978109E+00       0.3682455E+00
  0.7050025E+02       0.6978463E+00       0.3681103E+00
  0.7062522E+02       0.6978030E+00       0.3681302E+00
  0.7075018E+02       0.6978889E+00       0.3680007E+00
  0.7087530E+02       0.6980283E+00       0.3677633E+00
  0.7100018E+02       0.6981450E+00       0.3675386E+00
  0.7112519E+02       0.6981375E+00       0.3674109E+00
  0.7125017E+02       0.6981238E+00       0.3673460E+00
  0.7137527E+02       0.6981843E+00       0.3671998E+00
  0.7150016E+02       0.6982123E+00       0.3670786E+00
  0.7162522E+02       0.6982594E+00       0.3669478E+00
  0.7175016E+02       0.6982599E+00       0.3668623E+00
  0.7187523E+02       0.6982463E+00       0.3668503E+00
  0.7200015E+02       0.6982101E+00       0.3668717E+00
  0.7212524E+02       0.6982751E+00       0.3668069E+00
  0.7225028E+02       0.6982893E+00       0.3667656E+00
  0.7237521E+02       0.6983126E+00       0.3667041E+00
  0.7250016E+02       0.6982852E+00       0.3667021E+00
  0.7262515E+02       0.6983334E+00       0.3666044E+00
  0.7275021E+02       0.6984208E+00       0.3664973E+00
  0.7287514E+02       0.6985375E+00       0.3663177E+00
  0.7300024E+02       0.6985924E+00       0.3661491E+00
  0.7312513E+02       0.6984616E+00       0.3662545E+00
  0.7325018E+02       0.6986022E+00       0.3660967E+00
  0.7337514E+02       0.6988078E+00       0.3658158E+00
  0.7350026E+02       0.6989782E+00       0.3654905E+00
  0.7362522E+02       0.6989607E+00       0.3654258E+00
  0.7375017E+02       0.6990452E+00       0.3652612E+00
  0.7387527E+02       0.6990167E+00       0.3652180E+00
  0.7400020E+02       0.6988882E+00       0.3653768E+00
  0.7412514E+02       0.6987742E+00       0.3655246E+00
  0.7425029E+02       0.6986014E+00       0.3657213E+00
  0.7437528E+02       0.6983638E+00       0.3660591E+00
  0.7450028E+02       0.6981719E+00       0.3663918E+00
  0.7462519E+02       0.6980101E+00       0.3666474E+00
  0.7475026E+02       0.6978860E+00       0.3668717E+00
  0.7487518E+02       0.6977890E+00       0.3670796E+00
  0.7500030E+02       0.6976378E+00       0.3673674E+00
  0.7512514E+02       0.6976774E+00       0.3674535E+00
  0.7525022E+02       0.6976209E+00       0.3675584E+00
  0.7537514E+02       0.6976665E+00       0.3675570E+00
  0.7550027E+02       0.6978111E+00       0.3673797E+00
  0.7562524E+02       0.6980227E+00       0.3670529E+00
  0.7575023E+02       0.6978092E+00       0.3672065E+00
  0.7587527E+02       0.6977778E+00       0.3673183E+00
  0.7600014E+02       0.6978438E+00       0.3672155E+00
  0.7612521E+02       0.6975785E+00       0.3674651E+00
  0.7625024E+02       0.6974407E+00       0.3677523E+00
  0.7637522E+02       0.6974168E+00       0.3677995E+00
  0.7650024E+02       0.6972438E+00       0.3680773E+00
  0.7662514E+02       0.6972868E+00       0.3681125E+00
  0.7675027E+02       0.6971928E+00       0.3682695E+00
  0.7687527E+02       0.6970119E+00       0.3685826E+00
  0.7700014E+02       0.6971195E+00       0.3685288E+00
  0.7712518E+02       0.6971418E+00       0.3684464E+00
  0.7725018E+02       0.6970179E+00       0.3685213E+00
  0.7737517E+02       0.6967577E+00       0.3688895E+00
  0.7750014E+02       0.6965272E+00       0.3692610E+00
  0.7762514E+02       0.6962799E+00       0.3696917E+00
  0.7775013E+02       0.6961162E+00       0.3700349E+00
  0.7787518E+02       0.6960221E+00       0.3702755E+00
  0.7800014E+02       0.6959188E+00       0.3705317E+00
  0.7812516E+02       0.6961776E+00       0.3703012E+00
  0.7825023E+02       0.6960832E+00       0.3703702E+00
  0.7837518E+02       0.6960301E+00       0.3704805E+00
  0.7850030E+02       0.6960875E+00       0.3704881E+00
  0.7862515E+02       0.6959721E+00       0.3706336E+00
  0.7875024E+02       0.6959741E+00       0.3707227E+00
  0.7887530E+02       0.6959811E+00       0.3707807E+00
  0.7900018E+02       0.6961086E+00       0.3707065E+00
  0.7912525E+02       0.6962721E+00       0.3704806E+00
  0.7925020E+02       0.6963719E+00       0.3703111E+00
  0.7937518E+02       0.6964487E+00       0.3701747E+00
  0.7950014E+02       0.6965757E+00       0.3699642E+00
  0.7962525E+02       0.6967694E+00       0.3696624E+00
  0.7975024E+02       0.6969103E+00       0.3694572E+00
  0.7987521E+02       0.6971203E+00       0.3691459E+00
  0.8000024E+02       0.6972163E+00       0.3689646E+00
  0.8012526E+02       0.6972402E+00       0.3688590E+00
  0.8025027E+02       0.6971757E+00       0.3689159E+00
  0.8037525E+02       0.6970615E+00       0.3690497E+00
  0.8050025E+02       0.6970291E+00       0.3691489E+00
  0.8062515E+02       0.6968397E+00       0.3693797E+00
  0.8075014E+02       0.6964223E+00       0.3699331E+00
  0.8087528E+02       0.6959065E+00       0.3707119E+00
  0.8100021E+02       0.6955697E+00       0.3713542E+00
