t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  1.2100010E+02         9.0952170E-01        -6.4439587E-02        -9.8730698E-02        -2.3715872E-02         6.4279634E-01         8.9366239E-01         2.1340302E-01         1.1247242E-01        -2.6964104E-02         6.2504250E-01         9.2238986E-01         3.3230744E-02         2.8479785E-01        -1.2231809E-01         6.5148580E-01         9.4662237E-01         2.9852253E-01        -2.9973039E-02         2.4740806E-02         6.7402333E-01         9.8062545E-01         2.8255552E-01         1.0062493E-01        -9.2395902E-02         6.9525164E-01         9.3946576E-01         1.5846428E-01         8.9000575E-02         2.9356196E-03         6.7266291E-01         9.5461398E-01         9.7567908E-02         4.9916331E-02         1.0407782E-01         6.7933798E-01         9.5783395E-01         3.7852965E-02        -6.7592897E-02        -2.7562479E-02         6.9355941E-01         9.2476922E-01         2.0517643E-01         1.7241445E-01        -2.0523192E-03         6.5897256E-01
  1.2101570E+02         9.1167188E-01        -1.0115896E-01        -3.2727644E-02        -8.3574811E-03         6.4412916E-01         9.0327811E-01         1.4839108E-01         1.7046086E-01        -2.1893588E-01         6.3788325E-01         9.4851547E-01         4.5699723E-02         1.8263665E-01        -1.7215720E-01         6.7746145E-01         9.4770002E-01         1.7020406E-01         4.8305572E-04         1.3736266E-01         6.7087388E-01         9.8179853E-01         2.8902385E-01         8.4965505E-02        -9.5265210E-02         6.9555289E-01         9.4358033E-01         2.4376483E-01         9.7499065E-02        -5.7178985E-02         6.7445844E-01         9.5041943E-01         8.1903644E-02         4.9708731E-02         1.1070352E-01         6.7720288E-01         9.5601159E-01         2.8453376E-02        -6.7413017E-02        -1.6677013E-02         6.9247210E-01         9.2841929E-01         2.2663616E-01         2.0293191E-01         3.1097613E-02         6.6102642E-01
  1.2103130E+02         9.2079812E-01        -9.7388983E-02         3.9141659E-02        -5.8539152E-02         6.5386868E-01         9.2018348E-01         1.3935463E-01         7.9845123E-02        -3.5150874E-01         6.5085733E-01         9.5366007E-01         1.8630250E-01         9.0174079E-02        -1.2846266E-01         6.8286818E-01         9.4893330E-01         1.6056851E-01        -1.7948416E-03         1.4001118E-01         6.6743189E-01         9.8196042E-01         2.9184681E-01         6.8584017E-02        -9.8441809E-02         6.9568813E-01         9.4971937E-01         3.0888960E-01         1.0683853E-01        -1.1761764E-01         6.7476761E-01         9.4624752E-01         6.8188995E-02         5.7828356E-02         1.1227845E-01         6.7538887E-01         9.5436531E-01         1.4508959E-02        -6.6322647E-02        -2.7410418E-03         6.9103736E-01         9.3244243E-01         2.5056404E-01         2.2461899E-01         5.8043581E-02         6.6271394E-01
  1.2104700E+02         9.3244320E-01        -6.7357965E-02         5.3825621E-02        -1.7224096E-01         6.6070694E-01         9.3254429E-01         1.5822704E-01        -1.3604675E-02        -3.4901586E-01         6.6100615E-01         9.3941522E-01         2.4673207E-01         5.5581819E-02        -6.8606995E-03         6.7259598E-01         9.4483501E-01         2.0800295E-01        -8.2236454E-03         6.8672344E-02         6.6562986E-01         9.8140931E-01         2.8432629E-01         5.3565066E-02        -1.0214516E-01         6.9610107E-01         9.5087385E-01         3.3612230E-01         1.2308177E-01        -1.5974885E-01         6.7296869E-01         9.4389415E-01         5.5648670E-02         7.4804962E-02         1.1032140E-01         6.7386299E-01         9.5277119E-01        -3.5014472E-03        -6.4796969E-02         1.2517541E-02         6.8882704E-01         9.3464649E-01         2.6968268E-01         2.3706326E-01         7.0401967E-02         6.6376281E-01
  1.2106260E+02         9.3610936E-01        -5.2388757E-02         4.9319338E-02        -2.3516281E-01         6.6217190E-01         9.3791705E-01         1.3009448E-01        -9.1479667E-02        -3.3914915E-01         6.6315377E-01         9.2880052E-01         2.4487337E-01         3.9856102E-02         1.0217145E-01         6.5951329E-01         9.4003785E-01         2.2185396E-01         6.9540371E-03         3.8026981E-02         6.6550440E-01         9.8144597E-01         2.7125859E-01         3.8209524E-02        -9.8131500E-02         6.9683486E-01         9.5031351E-01         3.3579370E-01         1.3748756E-01        -1.8629344E-01         6.7267674E-01         9.4368476E-01         4.9452588E-02         9.4236486E-02         1.0205615E-01         6.7265952E-01         9.5085084E-01        -2.4263693E-02        -6.2745467E-02         2.4208441E-02         6.8572527E-01         9.3534547E-01         2.7810797E-01         2.4264368E-01         6.3151926E-02         6.6509503E-01
  1.2107820E+02         9.3480337E-01        -3.3464905E-02         3.7548874E-02        -2.4280779E-01         6.6274953E-01         9.4431126E-01         1.1178240E-01        -1.1995718E-01        -3.2043052E-01         6.6620076E-01         9.1723037E-01         1.8188675E-01         6.2271796E-02         1.0055959E-01         6.4633828E-01         9.3525726E-01         1.7667909E-01         3.2911383E-02         4.5440979E-02         6.6484606E-01         9.8180944E-01         2.6190680E-01         2.4016239E-02        -8.2961276E-02         6.9717401E-01         9.5307243E-01         3.3500540E-01         1.3096628E-01        -1.9863828E-01         6.7478788E-01         9.4489288E-01         5.4282118E-02         1.1444025E-01         8.1696540E-02         6.7230928E-01         9.4856238E-01        -4.5483347E-02        -6.0907960E-02         2.9370870E-02         6.8218553E-01         9.3749118E-01         2.7706966E-01         2.4301122E-01         4.2551190E-02         6.6762227E-01
  1.2109390E+02         9.3440527E-01        -2.9760571E-03         1.8692860E-02        -2.4207163E-01         6.6133171E-01         9.4290960E-01         1.3292949E-01        -8.3315432E-02        -2.4777113E-01         6.6613621E-01         9.1433042E-01         9.8300822E-02         1.0257316E-01         5.1575534E-02         6.4481086E-01         9.3681264E-01         1.4854358E-01         5.0996713E-02         1.6677951E-02         6.6311938E-01         9.8107773E-01         2.6118946E-01         1.7298386E-02        -6.5519646E-02         6.9632179E-01         9.5643800E-01         3.3438575E-01         1.1668683E-01        -1.9701952E-01         6.7700821E-01         9.4822210E-01         7.6681785E-02         1.4199707E-01         4.4448961E-02         6.7429483E-01         9.4592291E-01        -6.5602444E-02        -6.0571086E-02         2.7568605E-02         6.7854178E-01         9.4217098E-01         2.7285883E-01         2.3859343E-01         2.3841236E-02         6.7086148E-01
  1.2110950E+02         9.3255103E-01         4.6574943E-02         3.2036774E-02        -2.5196189E-01         6.5740246E-01         9.3863475E-01         1.6137902E-01        -6.2743634E-02        -9.6011676E-02         6.6577852E-01         9.2494422E-01         6.0097031E-02         1.1901818E-01         1.7297249E-02         6.5658337E-01         9.3352544E-01         1.6193764E-01         3.3561274E-02        -4.8952147E-02         6.6007680E-01         9.7954232E-01         2.6752841E-01         1.7561393E-02        -5.8029573E-02         6.9478810E-01         9.5727754E-01         3.2445216E-01         1.1584979E-01        -1.8700828E-01         6.7807335E-01         9.5237160E-01         1.2212175E-01         1.6989802E-01         1.3452274E-02         6.7801881E-01         9.4335014E-01        -8.3451621E-02        -6.1875839E-02         2.0247955E-02         6.7530441E-01         9.4748157E-01         2.6996893E-01         2.3220843E-01         1.5121802E-02         6.7409849E-01
  1.2112510E+02         9.2850512E-01         8.0737390E-02         7.5255349E-02        -2.6570320E-01         6.5415621E-01         9.3566602E-01         1.3630563E-01        -4.0865649E-02         2.5197893E-02         6.6563547E-01         9.3115079E-01         3.4725886E-02         9.8977633E-02        -2.7658880E-02         6.6599768E-01         9.3034917E-01         1.2139961E-01         3.5331104E-02        -1.0131535E-01         6.5855765E-01         9.7778624E-01         2.8417188E-01         1.4209637E-02        -6.9403104E-02         6.9282979E-01         9.5587587E-01         3.0258200E-01         1.3281432E-01        -1.8164638E-01         6.7914164E-01         9.5211583E-01         1.7277144E-01         1.8838985E-01         1.2997315E-02         6.8024933E-01         9.4101077E-01        -9.8783977E-02        -6.3960776E-02         1.0093174E-02         6.7261112E-01         9.5178211E-01         2.6948598E-01         2.2738375E-01         1.1458475E-02         6.7712450E-01
  1.2114080E+02         9.2144883E-01         9.5496707E-02         1.3378739E-01        -2.2905609E-01         6.5231365E-01         9.2566651E-01         5.6292426E-02         3.7083156E-02         2.5417708E-02         6.5733230E-01         9.4283313E-01         4.2733368E-02         9.6343599E-02        -4.0705565E-02         6.7571872E-01         9.3006575E-01         8.1562929E-02         5.1124703E-02        -9.5919289E-02         6.5759289E-01         9.7591668E-01         3.1601927E-01         1.3199863E-02        -7.1114086E-02         6.9085562E-01         9.5544028E-01         2.8476924E-01         1.5111198E-01        -1.7489643E-01         6.8137497E-01         9.4883150E-01         2.0240161E-01         1.9737643E-01         3.0132992E-02         6.8050486E-01         9.3888980E-01        -1.1196917E-01        -6.5832339E-02        -2.6349566E-04         6.7042190E-01         9.5569539E-01         2.7315277E-01         2.2341958E-01         8.3469767E-03         6.7994463E-01
  1.2115640E+02         9.1016084E-01         9.9197045E-02         1.2970769E-01        -1.5900305E-01         6.4599454E-01         9.2961216E-01        -1.9886022E-02         1.0612294E-01        -4.3283578E-02         6.5735298E-01         9.4629735E-01         1.1128395E-01         8.3166145E-02        -6.6375986E-02         6.8300080E-01         9.2664307E-01         6.1525583E-02         6.3979387E-02        -5.0153509E-02         6.5211099E-01         9.7484583E-01         3.2478088E-01         2.0884041E-02        -5.9087235E-02         6.9114739E-01         9.5963895E-01         2.9154420E-01         1.5138127E-01        -1.5997282E-01         6.8434972E-01         9.4775611E-01         2.1471372E-01         1.8151350E-01         3.8168687E-02         6.8079221E-01         9.3696624E-01        -1.2360375E-01        -6.7252293E-02        -1.0223077E-02         6.6864806E-01         9.6017420E-01         2.8257713E-01         2.1658453E-01         8.6419247E-03         6.8229049E-01
  1.2117200E+02         9.0938574E-01         9.6734375E-02        -1.3172750E-03        -9.0962820E-02         6.4702129E-01         9.4330776E-01        -5.7089709E-02         1.0073707E-01        -9.7926520E-02         6.6472739E-01         9.5171058E-01         1.3650055E-01         6.4375654E-02        -1.4929157E-01         6.8800271E-01         9.1666865E-01         3.2521732E-02         3.0819582E-02        -6.1626870E-02         6.4252245E-01         9.7807443E-01         3.1710854E-01         2.2566047E-02        -2.2898234E-02         6.9198000E-01         9.6520162E-01         3.0262682E-01         1.4582555E-01        -1.5070920E-01         6.8709624E-01         9.4805580E-01         2.1660620E-01         1.4547408E-01         1.9763160E-02         6.8074375E-01         9.3530518E-01        -1.3468391E-01        -6.8386644E-02        -2.0541906E-02         6.6716832E-01         9.6483284E-01         2.9442540E-01         2.0510575E-01         1.3642591E-02         6.8412018E-01
