t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  1.2115640E+02         9.2964786E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6403639E-01         9.2078406E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5771198E-01         9.1711277E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5507519E-01         9.2371601E-01         2.8850585E-01         2.2647394E-01        -8.9994460E-02         6.6415381E-01         9.4211578E-01         4.1754845E-01         1.4197709E-01        -7.6684602E-02         6.6973168E-01         9.5945054E-01         1.8113483E-01         6.7156024E-02         8.8013783E-02         6.8357664E-01         9.5922917E-01         4.3764994E-01         1.1197473E-02        -5.6721619E-03         6.7783403E-01         9.5814168E-01         2.8466818E-01         7.2293170E-02        -2.0333478E-02         6.8162483E-01         9.5979750E-01         2.7129993E-01         2.0337651E-02        -6.7104883E-02         6.8607414E-01
  1.2117200E+02         9.2964530E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6403466E-01         9.2417288E-01        -5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6011906E-01         9.1977632E-01        -5.5511151E-17         0.0000000E+00         0.0000000E+00         6.5695328E-01         9.4393045E-01         3.8655031E-01         1.8991914E-01        -1.6203201E-01         6.6881895E-01         9.4886041E-01         3.8417944E-01         1.6364586E-01        -1.0941692E-01         6.7119992E-01         9.6211404E-01         2.0134570E-01         8.1972577E-02         4.0415175E-02         6.8726885E-01         9.5628446E-01         4.1185313E-01         4.7391597E-02        -8.2836762E-02         6.7710733E-01         9.5925951E-01         3.6359611E-01         6.7852214E-02        -1.0799878E-02         6.7892426E-01         9.6314067E-01         2.8591922E-01         4.1748598E-02        -1.4841210E-02         6.8653917E-01
  1.2118760E+02         9.2995113E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6425115E-01         9.2904025E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6358656E-01         9.2396653E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.5995347E-01         9.6057886E-01         3.4016189E-01         1.9263048E-01        -1.2010421E-01         6.7771226E-01         9.5699400E-01         3.7376505E-01         1.4939754E-01        -1.2955621E-01         6.7380768E-01         9.6589047E-01         2.4812916E-01         6.2875420E-02         7.0743621E-03         6.8957382E-01         9.5252651E-01         3.8927668E-01         7.7494226E-02        -1.3916059E-01         6.7833209E-01         9.5636439E-01         4.3672889E-01         4.1713845E-02        -1.9088969E-02         6.7292625E-01         9.6596080E-01         2.8588563E-01         5.1434312E-02         6.3051595E-03         6.8696684E-01
  1.2120330E+02         9.3049204E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6463643E-01         9.3283284E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6629905E-01         9.2335868E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.5956056E-01         9.6574503E-01         3.1440404E-01         1.8043289E-01        -1.2692362E-01         6.8001986E-01         9.6044481E-01         3.8233653E-01         1.4133188E-01        -1.1759493E-01         6.7515230E-01         9.6739811E-01         2.6853317E-01         3.9328694E-02         4.8867646E-03         6.8959510E-01         9.5170552E-01         4.0346596E-01         5.5881575E-02        -1.6039130E-01         6.7824352E-01         9.5111096E-01         4.5139652E-01         2.0968188E-02        -5.6480985E-02         6.6882831E-01         9.6393794E-01         2.6843598E-01         5.7591587E-02        -9.2353141E-03         6.8660527E-01
  1.2121890E+02         9.3098092E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6498649E-01         9.3361592E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6687155E-01         9.1757971E-01        -5.5511151E-17         0.0000000E+00         0.0000000E+00         6.5547514E-01         9.5970309E-01         3.1742781E-01         1.2893209E-01        -7.3082387E-02         6.8039358E-01         9.5654577E-01         4.1734400E-01         1.3967007E-01        -3.4556556E-02         6.7348713E-01         9.6740103E-01         2.5362086E-01         3.9242994E-02         1.4796308E-02         6.8869799E-01         9.5714045E-01         4.1222203E-01         5.5770505E-02        -1.9293909E-01         6.8010217E-01         9.4636947E-01         4.2103943E-01         3.7003398E-02        -8.5129313E-02         6.6804767E-01         9.6019369E-01         2.6529983E-01         6.3378356E-02        -3.4576461E-02         6.8581849E-01
  1.2123450E+02         9.3103397E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6502559E-01         9.3203980E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6574377E-01         9.0913123E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.4941472E-01         9.4066983E-01         3.0380899E-01         6.7300372E-02        -2.1267010E-02         6.7518365E-01         9.3287086E-01         3.8175195E-01         1.9219150E-01         1.3719065E-02         6.7083114E-01         9.6884251E-01         2.4136874E-01         4.5520499E-02         2.7764698E-02         6.8797535E-01         9.6110117E-01         3.2731983E-01         9.5054016E-02        -1.9529080E-01         6.8635255E-01         9.4126993E-01         3.9180326E-01         2.9260667E-02        -5.7747304E-02         6.6456288E-01         9.5861012E-01         2.9587772E-01         6.8297096E-02        -3.9291251E-02         6.8510032E-01
  1.2125020E+02         9.3094748E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6496366E-01         9.2942274E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6387695E-01         9.0321559E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.4518207E-01         9.3702394E-01         2.9690343E-01         9.4994843E-02        -1.8302271E-02         6.7371964E-01         9.3527097E-01         2.9923630E-01         2.1403514E-01        -2.4484962E-02         6.7521787E-01         9.7226244E-01         2.4761020E-01         2.6815185E-02         3.0822463E-02         6.8831158E-01         9.6478599E-01         3.1735963E-01         4.0688116E-02        -1.6770145E-01         6.8789965E-01         9.3680143E-01         3.6639747E-01        -1.5115560E-02         1.5430266E-02         6.6298324E-01         9.5960659E-01         3.3277652E-01         7.5807966E-02        -1.0838902E-02         6.8382454E-01
  1.2126580E+02         9.3093067E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6495150E-01         9.2675644E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6197407E-01         9.1535974E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.5386045E-01         9.5379585E-01         3.2271087E-01         1.3337822E-01        -4.9702950E-02         6.7506242E-01         9.4495773E-01         2.8702834E-01         1.5060650E-01        -1.0032643E-01         6.7719507E-01         9.7225225E-01         2.4026912E-01         1.4720860E-02         2.2338891E-02         6.8774182E-01         9.6720552E-01         2.8931063E-01         3.3972196E-02        -1.5423267E-01         6.9049847E-01         9.4052023E-01         3.7087974E-01        -4.2760178E-02         8.3232701E-02         6.6775423E-01         9.6460247E-01         3.4106895E-01         8.0497272E-02         1.2027746E-02         6.8358624E-01
  1.2128140E+02         9.3092245E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6494596E-01         9.2482036E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6060621E-01         9.2996782E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6434759E-01         9.6351218E-01         3.6889815E-01         1.1978880E-01        -7.2583795E-02         6.7402083E-01         9.5336765E-01         3.1571573E-01         1.2712951E-01        -9.3442611E-02         6.7633432E-01         9.6755052E-01         2.0191284E-01         1.8666239E-02         2.9520027E-02         6.8533218E-01         9.6476752E-01         2.4001357E-01         4.8512574E-02        -1.7403327E-01         6.9226694E-01         9.4701791E-01         3.9929679E-01        -3.7472308E-02         9.0485655E-02         6.7242336E-01         9.6511006E-01         3.3771855E-01         6.4005770E-02        -9.6651372E-03         6.8280661E-01
  1.2129700E+02         9.3052506E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6466379E-01         9.2544305E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6103995E-01         9.3214810E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6581315E-01         9.5573908E-01         4.0400177E-01         1.0500827E-01        -7.6818876E-02         6.6983575E-01         9.5179194E-01         3.1760883E-01         1.5279555E-01        -7.9012044E-02         6.7415112E-01         9.5950890E-01         1.7298603E-01         1.2363566E-02         3.0972917E-02         6.8134069E-01         9.6199936E-01         2.0524614E-01         5.9066702E-02        -1.7832759E-01         6.9235265E-01         9.4854009E-01         4.0309063E-01        -2.4665799E-02         4.3006465E-02         6.7240286E-01         9.5997691E-01         3.4968182E-01         4.1309625E-02         9.2868879E-03         6.8058991E-01
