x0	T1	x1	T2	x2	T3	x3	T4	
-4.519570e-01 	 1.153190e-03 	-4.519570e-01 	 4.224290e-04 	-4.519570e-01 	 1.347850e-03 	-4.519570e-01 	 1.125240e-03 	 
-4.505730e-01 	 1.255630e-03 	-4.505730e-01 	 5.858340e-04 	-4.505730e-01 	 1.448300e-03 	-4.505730e-01 	 1.012120e-03 	 
-4.491560e-01 	 1.310890e-03 	-4.491560e-01 	 7.245330e-04 	-4.491560e-01 	 1.533080e-03 	-4.491560e-01 	 8.990760e-04 	 
-4.477050e-01 	 1.335370e-03 	-4.477050e-01 	 7.830830e-04 	-4.477050e-01 	 1.600540e-03 	-4.477050e-01 	 8.108780e-04 	 
-4.462190e-01 	 1.387250e-03 	-4.462190e-01 	 8.129100e-04 	-4.462190e-01 	 1.647110e-03 	-4.462190e-01 	 7.714600e-04 	 
-4.446980e-01 	 1.496950e-03 	-4.446980e-01 	 8.665140e-04 	-4.446980e-01 	 1.684230e-03 	-4.446980e-01 	 7.824090e-04 	 
-4.431400e-01 	 1.629140e-03 	-4.431400e-01 	 9.192290e-04 	-4.431400e-01 	 1.738880e-03 	-4.431400e-01 	 8.285540e-04 	 
-4.415450e-01 	 1.732310e-03 	-4.415450e-01 	 9.439600e-04 	-4.415450e-01 	 1.819420e-03 	-4.415450e-01 	 8.842870e-04 	 
-4.399130e-01 	 1.761180e-03 	-4.399130e-01 	 9.541990e-04 	-4.399130e-01 	 1.846090e-03 	-4.399130e-01 	 9.185820e-04 	 
-4.382430e-01 	 1.685550e-03 	-4.382430e-01 	 9.619960e-04 	-4.382430e-01 	 1.840700e-03 	-4.382430e-01 	 8.933240e-04 	 
-4.365340e-01 	 1.554790e-03 	-4.365340e-01 	 9.428120e-04 	-4.365340e-01 	 1.903150e-03 	-4.365340e-01 	 7.961570e-04 	 
-4.347870e-01 	 1.464160e-03 	-4.347870e-01 	 8.808350e-04 	-4.347870e-01 	 1.899680e-03 	-4.347870e-01 	 6.859010e-04 	 
-4.329990e-01 	 1.385220e-03 	-4.329990e-01 	 8.040960e-04 	-4.329990e-01 	 1.737260e-03 	-4.329990e-01 	 6.458390e-04 	 
-4.311720e-01 	 1.149070e-03 	-4.311720e-01 	 7.425190e-04 	-4.311720e-01 	 1.513350e-03 	-4.311720e-01 	 6.763330e-04 	 
-4.293040e-01 	 6.802740e-04 	-4.293040e-01 	 7.064990e-04 	-4.293040e-01 	 1.289990e-03 	-4.293040e-01 	 7.208630e-04 	 
-4.273940e-01 	 2.659000e-05 	-4.273940e-01 	 6.929810e-04 	-4.273940e-01 	 8.771530e-04 	-4.273940e-01 	 7.594140e-04 	 
-4.254440e-01 	 -9.326800e-04 	-4.254440e-01 	 7.114710e-04 	-4.254440e-01 	 -1.376060e-04 	-4.254440e-01 	 8.251780e-04 	 
-4.234520e-01 	 -2.565660e-03 	-4.234520e-01 	 7.778900e-04 	-4.234520e-01 	 -2.135420e-03 	-4.234520e-01 	 9.367850e-04 	 
-4.214170e-01 	 -4.757620e-03 	-4.214170e-01 	 8.467040e-04 	-4.214170e-01 	 -4.625480e-03 	-4.214170e-01 	 1.021150e-03 	 
-4.193400e-01 	 -6.410750e-03 	-4.193400e-01 	 8.436840e-04 	-4.193400e-01 	 -6.164770e-03 	-4.193400e-01 	 9.849340e-04 	 
-4.172200e-01 	 -6.344950e-03 	-4.172200e-01 	 7.481720e-04 	-4.172200e-01 	 -5.845520e-03 	-4.172200e-01 	 8.599320e-04 	 
-4.150570e-01 	 -4.860930e-03 	-4.150570e-01 	 5.790330e-04 	-4.150570e-01 	 -4.232690e-03 	-4.150570e-01 	 7.526930e-04 	 
-4.128500e-01 	 -2.994120e-03 	-4.128500e-01 	 4.667400e-04 	-4.128500e-01 	 -2.491930e-03 	-4.128500e-01 	 7.025690e-04 	 
-4.106000e-01 	 -1.334920e-03 	-4.106000e-01 	 4.929490e-04 	-4.106000e-01 	 -1.281700e-03 	-4.106000e-01 	 6.891380e-04 	 
-4.083060e-01 	 -3.017540e-04 	-4.083060e-01 	 4.025200e-04 	-4.083060e-01 	 -4.514900e-04 	-4.083060e-01 	 6.727030e-04 	 
-4.059670e-01 	 1.211170e-04 	-4.059670e-01 	 -5.316290e-05 	-4.059670e-01 	 4.373310e-04 	-4.059670e-01 	 6.089600e-04 	 
-4.035840e-01 	 5.990070e-04 	-4.035840e-01 	 -7.212880e-04 	-4.035840e-01 	 1.112010e-03 	-4.035840e-01 	 4.920260e-04 	 
-4.011570e-01 	 1.098770e-03 	-4.011570e-01 	 -1.314910e-03 	-4.011570e-01 	 1.390430e-03 	-4.011570e-01 	 3.432310e-04 	 
-3.986840e-01 	 9.890140e-04 	-3.986840e-01 	 -1.787000e-03 	-3.986840e-01 	 1.467500e-03 	-3.986840e-01 	 1.801550e-04 	 
-3.961670e-01 	 7.016930e-04 	-3.961670e-01 	 -2.428020e-03 	-3.961670e-01 	 1.234520e-03 	-3.961670e-01 	 2.725770e-05 	 
-3.936040e-01 	 7.287000e-04 	-3.936040e-01 	 -3.522430e-03 	-3.936040e-01 	 1.040080e-03 	-3.936040e-01 	 -8.555900e-05 	 
-3.909960e-01 	 7.394410e-04 	-3.909960e-01 	 -4.856420e-03 	-3.909960e-01 	 1.397840e-03 	-3.909960e-01 	 -1.639930e-04 	 
-3.883430e-01 	 7.714550e-04 	-3.883430e-01 	 -6.016080e-03 	-3.883430e-01 	 1.842730e-03 	-3.883430e-01 	 -2.448960e-04 	 
-3.856450e-01 	 1.168350e-03 	-3.856450e-01 	 -7.033370e-03 	-3.856450e-01 	 2.140100e-03 	-3.856450e-01 	 -3.380960e-04 	 
-3.829010e-01 	 1.484840e-03 	-3.829010e-01 	 -8.091540e-03 	-3.829010e-01 	 2.683620e-03 	-3.829010e-01 	 -4.181070e-04 	 
-3.801110e-01 	 1.342970e-03 	-3.801110e-01 	 -9.130670e-03 	-3.801110e-01 	 2.868220e-03 	-3.801110e-01 	 -5.008940e-04 	 
-3.772760e-01 	 1.538280e-03 	-3.772760e-01 	 -1.009420e-02 	-3.772760e-01 	 2.485650e-03 	-3.772760e-01 	 -6.387130e-04 	 
-3.743960e-01 	 2.533860e-03 	-3.743960e-01 	 -1.096400e-02 	-3.743960e-01 	 3.057950e-03 	-3.743960e-01 	 -8.174750e-04 	 
-3.714700e-01 	 3.400070e-03 	-3.714700e-01 	 -1.168760e-02 	-3.714700e-01 	 4.462820e-03 	-3.714700e-01 	 -9.547750e-04 	 
-3.684980e-01 	 3.538070e-03 	-3.684980e-01 	 -1.215370e-02 	-3.684980e-01 	 4.409930e-03 	-3.684980e-01 	 -1.003310e-03 	 
-3.654810e-01 	 3.546060e-03 	-3.654810e-01 	 -1.215970e-02 	-3.654810e-01 	 3.106950e-03 	-3.654810e-01 	 -9.987860e-04 	 
-3.624180e-01 	 3.830840e-03 	-3.624180e-01 	 -1.173580e-02 	-3.624180e-01 	 2.785330e-03 	-3.624180e-01 	 -1.016790e-03 	 
-3.593110e-01 	 4.242060e-03 	-3.593110e-01 	 -1.126080e-02 	-3.593110e-01 	 3.318800e-03 	-3.593110e-01 	 -1.103080e-03 	 
-3.561580e-01 	 4.425450e-03 	-3.561580e-01 	 -1.109900e-02 	-3.561580e-01 	 3.531590e-03 	-3.561580e-01 	 -1.231000e-03 	 
-3.529600e-01 	 4.152670e-03 	-3.529600e-01 	 -1.106760e-02 	-3.529600e-01 	 3.616630e-03 	-3.529600e-01 	 -1.346390e-03 	 
-3.497160e-01 	 3.701530e-03 	-3.497160e-01 	 -1.057070e-02 	-3.497160e-01 	 3.715260e-03 	-3.497160e-01 	 -1.438140e-03 	 
-3.464280e-01 	 3.443880e-03 	-3.464280e-01 	 -9.400300e-03 	-3.464280e-01 	 3.400380e-03 	-3.464280e-01 	 -1.497530e-03 	 
-3.430960e-01 	 3.277460e-03 	-3.430960e-01 	 -7.871910e-03 	-3.430960e-01 	 2.875660e-03 	-3.430960e-01 	 -1.507170e-03 	 
-3.397190e-01 	 3.059690e-03 	-3.397190e-01 	 -6.275920e-03 	-3.397190e-01 	 2.802940e-03 	-3.397190e-01 	 -1.533860e-03 	 
-3.362970e-01 	 2.897530e-03 	-3.362970e-01 	 -4.798810e-03 	-3.362970e-01 	 3.015810e-03 	-3.362970e-01 	 -1.656470e-03 	 
-3.328310e-01 	 2.700560e-03 	-3.328310e-01 	 -3.552350e-03 	-3.328310e-01 	 3.118360e-03 	-3.328310e-01 	 -1.821800e-03 	 
-3.293220e-01 	 2.290800e-03 	-3.293220e-01 	 -2.380490e-03 	-3.293220e-01 	 3.074910e-03 	-3.293220e-01 	 -1.929900e-03 	 
-3.257680e-01 	 1.890940e-03 	-3.257680e-01 	 -9.925770e-04 	-3.257680e-01 	 2.898160e-03 	-3.257680e-01 	 -1.969530e-03 	 
-3.221720e-01 	 1.808930e-03 	-3.221720e-01 	 7.064360e-04 	-3.221720e-01 	 2.741730e-03 	-3.221720e-01 	 -1.994810e-03 	 
-3.185320e-01 	 1.946010e-03 	-3.185320e-01 	 2.522800e-03 	-3.185320e-01 	 2.645860e-03 	-3.185320e-01 	 -2.038800e-03 	 
-3.148490e-01 	 1.904960e-03 	-3.148490e-01 	 4.032000e-03 	-3.148490e-01 	 2.392020e-03 	-3.148490e-01 	 -2.099690e-03 	 
-3.111230e-01 	 1.551900e-03 	-3.111230e-01 	 4.933730e-03 	-3.111230e-01 	 2.013110e-03 	-3.111230e-01 	 -2.179080e-03 	 
-3.073560e-01 	 1.221350e-03 	-3.073560e-01 	 5.483590e-03 	-3.073560e-01 	 1.742090e-03 	-3.073560e-01 	 -2.268870e-03 	 
-3.035460e-01 	 1.048790e-03 	-3.035460e-01 	 6.155150e-03 	-3.035460e-01 	 1.636520e-03 	-3.035460e-01 	 -2.338650e-03 	 
-2.996940e-01 	 9.952640e-04 	-2.996940e-01 	 6.968930e-03 	-2.996940e-01 	 1.518880e-03 	-2.996940e-01 	 -2.379570e-03 	 
-2.958020e-01 	 1.128990e-03 	-2.958020e-01 	 7.631650e-03 	-2.958020e-01 	 1.265920e-03 	-2.958020e-01 	 -2.409120e-03 	 
-2.918680e-01 	 1.179490e-03 	-2.918680e-01 	 8.127400e-03 	-2.918680e-01 	 1.063780e-03 	-2.918680e-01 	 -2.460490e-03 	 
-2.878930e-01 	 9.006720e-04 	-2.878930e-01 	 8.422520e-03 	-2.878930e-01 	 1.052640e-03 	-2.878930e-01 	 -2.554720e-03 	 
-2.838790e-01 	 6.306210e-04 	-2.838790e-01 	 8.306950e-03 	-2.838790e-01 	 1.010620e-03 	-2.838790e-01 	 -2.619020e-03 	 
-2.798240e-01 	 6.065340e-04 	-2.798240e-01 	 7.977080e-03 	-2.798240e-01 	 7.587910e-04 	-2.798240e-01 	 -2.564080e-03 	 
-2.757310e-01 	 5.314400e-04 	-2.757310e-01 	 7.874940e-03 	-2.757310e-01 	 4.682520e-04 	-2.757310e-01 	 -2.464320e-03 	 
-2.715980e-01 	 2.232510e-04 	-2.715980e-01 	 7.845830e-03 	-2.715980e-01 	 3.938020e-04 	-2.715980e-01 	 -2.440600e-03 	 
-2.674260e-01 	 -5.221310e-05 	-2.674260e-01 	 7.541480e-03 	-2.674260e-01 	 6.102040e-04 	-2.674260e-01 	 -2.481110e-03 	 
-2.632170e-01 	 3.261110e-05 	-2.632170e-01 	 7.179600e-03 	-2.632170e-01 	 8.774580e-04 	-2.632170e-01 	 -2.540610e-03 	 
-2.589700e-01 	 3.761210e-04 	-2.589700e-01 	 7.091770e-03 	-2.589700e-01 	 8.229830e-04 	-2.589700e-01 	 -2.579440e-03 	 
-2.546850e-01 	 5.249920e-04 	-2.546850e-01 	 7.198090e-03 	-2.546850e-01 	 5.083940e-04 	-2.546850e-01 	 -2.567690e-03 	 
