x0	T1	x1	T2	x2	T3	x3	T4	
-4.371380e-01 	 -1.510190e+00 	-4.371380e-01 	 -1.403000e+00 	-4.371380e-01 	 -1.510620e+00 	-4.371380e-01 	 -7.918540e-01 	 
-4.341690e-01 	 -1.517590e+00 	-4.341690e-01 	 -1.406000e+00 	-4.341690e-01 	 -1.518020e+00 	-4.341690e-01 	 -7.956280e-01 	 
-4.310760e-01 	 -1.525360e+00 	-4.310760e-01 	 -1.409290e+00 	-4.310760e-01 	 -1.526040e+00 	-4.310760e-01 	 -8.000360e-01 	 
-4.278570e-01 	 -1.534250e+00 	-4.278570e-01 	 -1.413100e+00 	-4.278570e-01 	 -1.534050e+00 	-4.278570e-01 	 -8.050820e-01 	 
-4.245100e-01 	 -1.535490e+00 	-4.245100e-01 	 -1.417890e+00 	-4.245100e-01 	 -1.542700e+00 	-4.245100e-01 	 -8.105830e-01 	 
-4.210360e-01 	 -1.493880e+00 	-4.210360e-01 	 -1.423800e+00 	-4.210360e-01 	 -1.500500e+00 	-4.210360e-01 	 -8.162510e-01 	 
-4.174320e-01 	 -1.405720e+00 	-4.174320e-01 	 -1.430950e+00 	-4.174320e-01 	 -1.395620e+00 	-4.174320e-01 	 -8.229610e-01 	 
-4.136970e-01 	 -1.327880e+00 	-4.136970e-01 	 -1.440390e+00 	-4.136970e-01 	 -1.315450e+00 	-4.136970e-01 	 -8.308990e-01 	 
-4.098310e-01 	 -1.288320e+00 	-4.098310e-01 	 -1.451620e+00 	-4.098310e-01 	 -1.281520e+00 	-4.098310e-01 	 -8.383600e-01 	 
-4.058340e-01 	 -1.255720e+00 	-4.058340e-01 	 -1.462650e+00 	-4.058340e-01 	 -1.251240e+00 	-4.058340e-01 	 -8.441210e-01 	 
-4.017030e-01 	 -1.216190e+00 	-4.017030e-01 	 -1.474350e+00 	-4.017030e-01 	 -1.222130e+00 	-4.017030e-01 	 -8.499010e-01 	 
-3.974410e-01 	 -1.184920e+00 	-3.974410e-01 	 -1.488860e+00 	-3.974410e-01 	 -1.186140e+00 	-3.974410e-01 	 -8.580160e-01 	 
-3.930450e-01 	 -1.154070e+00 	-3.930450e-01 	 -1.503870e+00 	-3.930450e-01 	 -1.141430e+00 	-3.930450e-01 	 -8.664130e-01 	 
-3.885160e-01 	 -1.108700e+00 	-3.885160e-01 	 -1.511880e+00 	-3.885160e-01 	 -1.110010e+00 	-3.885160e-01 	 -8.730340e-01 	 
-3.838540e-01 	 -1.059030e+00 	-3.838540e-01 	 -1.510680e+00 	-3.838540e-01 	 -1.087910e+00 	-3.838540e-01 	 -8.792510e-01 	 
