t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  2.4015680E+02         9.0564585E-01         1.4707036E-01         7.6707058E-02         1.2485303E-02         6.4145303E-01         9.1416299E-01         5.9761640E-02         1.0601631E-02         2.2264889E-02         6.5093893E-01         9.3476069E-01         3.1033146E-01         5.6536831E-02        -3.2437611E-02         6.6293931E-01         9.3084258E-01         2.6854008E-01         2.0047409E-02        -4.0055931E-02         6.6358089E-01         9.4057119E-01         2.2382590E-01         6.5799780E-02        -7.6769836E-02         6.7171687E-01         9.5379478E-01         3.1410250E-01         8.1639811E-02        -5.3384218E-02         6.7398268E-01         9.4165981E-01         2.7267295E-01         1.3638642E-01         1.9388150E-02         6.7439812E-01         9.6123755E-01         3.8704398E-01         4.6969280E-02        -7.2245523E-02         6.7564338E-01         9.3153882E-01         3.0557594E-01        -1.7947398E-02        -4.9339417E-02         6.6151297E-01
  2.4017230E+02         9.0025270E-01         1.2161627E-01         9.2225835E-02         3.0875869E-02         6.3849676E-01         9.2098355E-01         9.1519713E-02         5.1605709E-02        -3.9040900E-03         6.5864128E-01         9.2181921E-01         3.1653938E-01         4.4044722E-02        -5.2178752E-02         6.5527225E-01         9.3539470E-01         3.2167622E-01         1.1321974E-01        -1.4477669E-02         6.6550022E-01         9.4446135E-01         2.3892012E-01         6.0425960E-02        -1.6999938E-02         6.7202574E-01         9.5787859E-01         3.4352809E-01         5.2366920E-02        -7.8771479E-02         6.7275989E-01         9.4813395E-01         2.9213902E-01         1.0781326E-01         2.8456317E-02         6.7832214E-01         9.6037263E-01         4.0099868E-01         9.2827836E-03        -9.3501866E-02         6.7551601E-01         9.3274450E-01         3.5150644E-01        -4.4163376E-02        -9.0666950E-02         6.6332996E-01
  2.4018800E+02         9.0282887E-01         9.1434747E-02         1.0526692E-01         5.5852883E-02         6.4172322E-01         9.2577070E-01         1.4874452E-01         6.6514805E-02        -2.6233761E-02         6.6533792E-01         9.1139168E-01         3.4795880E-01         4.6630614E-02        -6.1988018E-02         6.4640582E-01         9.5066535E-01         3.6488298E-01         1.6526566E-01         3.3126820E-02         6.7035353E-01         9.4787806E-01         2.2608414E-01         5.6055211E-02         3.5977729E-02         6.7225862E-01         9.5234460E-01         3.5197365E-01         1.8239198E-02        -6.5064207E-02         6.7082083E-01         9.5063525E-01         2.9678515E-01         7.1975008E-02        -3.8766447E-03         6.7997611E-01         9.5559847E-01         3.9636999E-01        -2.3898918E-02        -8.4930733E-02         6.7363548E-01         9.3154883E-01         3.2115069E-01         4.4550121E-02        -4.2031724E-02         6.6682887E-01
  2.4020370E+02         9.1007787E-01         7.8566141E-02         1.0814351E-01         7.3182903E-02         6.4832425E-01         9.2602909E-01         1.5178877E-01         8.2637943E-02        -2.1258447E-02         6.6790473E-01         9.0807623E-01         2.6369086E-01         9.4755001E-02        -1.1602420E-01         6.4856511E-01         9.5895565E-01         3.8709205E-01         1.4693539E-01         5.6237228E-02         6.7252713E-01         9.4839907E-01         1.7985211E-01         6.0987212E-02         5.8724329E-02         6.7286605E-01         9.4820935E-01         3.6833155E-01         7.7301231E-03        -6.2741488E-02         6.7025596E-01         9.5554775E-01         2.9233786E-01         3.0367712E-02        -3.6161769E-02         6.8110996E-01         9.4628674E-01         3.7848538E-01        -1.2435198E-02        -4.1266788E-02         6.7139131E-01         9.3571699E-01         2.2041570E-01         2.1880670E-01         3.0730847E-02         6.6773158E-01
  2.4021920E+02         9.1719043E-01         8.4115192E-02         9.9247098E-02         7.5117931E-02         6.5467721E-01         9.3218219E-01         1.3784640E-01         1.0034506E-01         7.0673283E-03         6.7244422E-01         9.2666578E-01         8.0997713E-02         1.4757605E-01        -1.3045466E-01         6.6212982E-01         9.5823187E-01         3.7518826E-01         1.1794356E-01         3.7978571E-02         6.7296028E-01         9.4672775E-01         1.3787149E-01         7.5056002E-02         5.7118863E-02         6.7305976E-01         9.4939637E-01         3.6657876E-01         3.1752411E-02        -6.8337418E-02         6.7059147E-01         9.5746678E-01         2.8322536E-01         2.4319515E-02        -4.0025339E-02         6.8075025E-01         9.4047552E-01         3.6094719E-01         1.7135253E-02         1.1063373E-03         6.7082089E-01         9.4120806E-01         2.0283328E-01         3.0120787E-01         2.6676944E-02         6.6684699E-01
  2.4023490E+02         9.2249167E-01         9.4412379E-02         7.9882711E-02         6.3173659E-02         6.5910941E-01         9.4671947E-01         1.7207146E-01         7.7436917E-02         3.8434874E-02         6.7792892E-01         9.3513817E-01        -1.6078159E-02         1.3556653E-01        -6.9461882E-02         6.6571343E-01         9.5700955E-01         3.4636667E-01         8.7500982E-02         1.0871339E-02         6.7480463E-01         9.4585240E-01         1.4351825E-01         7.5655930E-02         4.3285038E-02         6.7353022E-01         9.4979417E-01         3.1632650E-01         6.0064863E-02        -6.3084953E-02         6.7131650E-01         9.5278364E-01         2.7176502E-01         6.3855298E-02        -3.0778490E-02         6.7903215E-01         9.4070613E-01         3.4454176E-01         3.8383242E-02         1.7861927E-02         6.7192382E-01         9.3862277E-01         2.4741997E-01         2.6395479E-01         6.8441061E-03         6.6349113E-01
  2.4025040E+02         9.2425710E-01         1.0560341E-01         5.9555233E-02         4.4330094E-02         6.5986449E-01         9.5275384E-01         2.1632069E-01         3.6892708E-02         4.6688359E-02         6.7476046E-01         9.2692679E-01        -3.5161097E-02         9.0797953E-02        -1.3919196E-02         6.5856558E-01         9.5508522E-01         3.0802318E-01         7.5283088E-02        -1.9977095E-02         6.7605871E-01         9.4739223E-01         1.7831582E-01         4.8704535E-02         2.2055503E-02         6.7383593E-01         9.4818944E-01         2.6332960E-01         5.0397884E-02        -4.9874377E-02         6.7041576E-01         9.4986391E-01         2.6231435E-01         1.0086578E-01        -3.8679939E-02         6.7910773E-01         9.4216663E-01         3.4030211E-01         6.5054506E-02         1.4410632E-02         6.7320764E-01         9.3865430E-01         2.4650176E-01         2.2626960E-01        -1.7652560E-04         6.5948862E-01
  2.4026610E+02         9.2205125E-01         1.1727314E-01         4.9961586E-02         2.9558284E-02         6.5691388E-01         9.4069290E-01         2.3452295E-01         1.3936429E-02         2.5106790E-02         6.6343141E-01         9.2535162E-01        -2.6659381E-02         8.3534345E-02         7.2990418E-03         6.5702045E-01         9.5406276E-01         3.1024536E-01         6.9114625E-02        -2.2531575E-02         6.7462796E-01         9.5029145E-01         2.0498513E-01         1.8895665E-02         7.9647768E-03         6.7280048E-01         9.4484454E-01         2.3639673E-01         1.7487792E-02        -2.5963107E-02         6.6681218E-01         9.5228422E-01         2.6264060E-01         1.0095853E-01        -6.0018290E-02         6.8074721E-01         9.4341701E-01         3.6184746E-01         8.8092059E-02         8.4211808E-03         6.7433000E-01         9.4186300E-01         2.2157206E-01         2.2342615E-01        -2.6725361E-02         6.5913016E-01
  2.4028180E+02         9.1687989E-01         1.2404247E-01         5.3612527E-02         2.8400343E-02         6.5206325E-01         9.1767782E-01         2.3380679E-01         8.9827301E-03        -3.6914613E-02         6.4732313E-01         9.3045413E-01         1.0388535E-02         1.1037225E-01        -1.4689906E-02         6.6266125E-01         9.5412290E-01         3.6385596E-01         5.2089050E-02        -1.4531563E-02         6.7120785E-01         9.5320487E-01         2.2291717E-01         1.0706807E-02         4.4405502E-03         6.7159873E-01         9.4375998E-01         2.1534464E-01         3.9261617E-02        -6.4398162E-03         6.6701877E-01         9.5742100E-01         2.7774721E-01         7.5596184E-02        -6.5356918E-02         6.8126184E-01         9.4772720E-01         3.8305625E-01         9.9297762E-02         4.6812003E-03         6.7628551E-01         9.4341344E-01         2.1203278E-01         2.1665393E-01        -6.0894500E-02         6.6122532E-01
  2.4029730E+02         9.1148269E-01         1.2635700E-01         6.4327337E-02         3.8788062E-02         6.4795798E-01         8.9549267E-01         1.9941121E-01         3.2896560E-02        -1.3175350E-01         6.3091946E-01         9.3551248E-01         6.2834635E-02         1.2597412E-01        -4.4688631E-02         6.6965425E-01         9.4715095E-01         3.9204019E-01         3.8536176E-02         3.7467710E-04         6.6736537E-01         9.5469803E-01         2.3524320E-01         1.7714169E-02         4.3422189E-03         6.7098284E-01         9.4620639E-01         2.3751473E-01         9.2772566E-02         1.4040678E-02         6.7088246E-01         9.6283013E-01         3.0881077E-01         4.8964810E-02        -4.6802383E-02         6.8077850E-01         9.5157540E-01         3.6119825E-01         8.5077494E-02        -1.8461408E-02         6.7907619E-01         9.4177580E-01         2.1305488E-01         1.8911670E-01        -8.4914483E-02         6.6407454E-01
