Density	Momentum:0	Momentum:1	Momentum:2	Pressure	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.911485	-0.119618	-0.137929	-0.00842108	0.247522	0.0222213	0.0142217	0.00437569	-0.00977335	0.000127055	-0.000565605	0.5	0.15	-0.0264
0.911399	-0.119964	-0.138079	-0.00941382	0.247447	0.0222858	0.0141576	0.00447651	-0.0101751	5.13197E-05	-0.000549454	0.5	0.15	-0.0242
0.91134	-0.120032	-0.138044	-0.0101503	0.247411	0.0221703	0.0139798	0.00450993	-0.0104005	1.53942E-05	-0.000536378	0.5	0.15	-0.022
0.911278	-0.119666	-0.137579	-0.0108024	0.247433	0.0219904	0.0137643	0.00448027	-0.0105349	-6.69471E-06	-0.000574096	0.5	0.15	-0.0198
0.911222	-0.119585	-0.136839	-0.0114759	0.247462	0.0218485	0.0136671	0.00444536	-0.0106205	-3.72706E-05	-0.000615556	0.5	0.15	-0.0176
0.911207	-0.119926	-0.135758	-0.0121923	0.247498	0.0217618	0.0137626	0.00443685	-0.0106183	-7.43032E-05	-0.000612743	0.5	0.15	-0.0154
0.911254	-0.119753	-0.13424	-0.01292	0.247595	0.0217071	0.0140153	0.00445568	-0.0105279	-0.000100257	-0.000566617	0.5	0.15	-0.0132
0.911366	-0.118638	-0.132639	-0.0135877	0.247749	0.0216741	0.0142871	0.00451361	-0.0103426	-0.000139957	-0.000497791	0.5	0.15	-0.011
0.911518	-0.117304	-0.131197	-0.0141667	0.247902	0.0217241	0.0145619	0.00460729	-0.0100928	-0.000250375	-0.000420553	0.5	0.15	-0.0088
0.911655	-0.116362	-0.129687	-0.0146919	0.248042	0.021909	0.0149065	0.00473315	-0.00987083	-0.000435422	-0.000315864	0.5	0.15	-0.0066
0.911732	-0.115946	-0.128356	-0.0152495	0.248137	0.0221695	0.0153098	0.00489456	-0.00963954	-0.000648554	-0.00017558	0.5	0.15	-0.0044
0.911764	-0.116324	-0.128122	-0.0159442	0.248117	0.0223485	0.0156068	0.00505515	-0.00944412	-0.000833032	-3.95068E-05	0.5	0.15	-0.0022
0.911803	-0.11735	-0.129173	-0.0167291	0.247989	0.0224314	0.0157579	0.00515292	-0.0093602	-0.000923272	8.90624E-05	0.5	0.15	0
0.911845	-0.118082	-0.130721	-0.0173695	0.247846	0.022545	0.0157507	0.00522239	-0.00934155	-0.000923673	0.000223354	0.5	0.15	0.0022
0.911864	-0.117955	-0.132185	-0.0176934	0.247747	0.0227241	0.0156092	0.00532395	-0.00933754	-0.000900938	0.000343285	0.5	0.15	0.0044
0.911854	-0.117386	-0.133494	-0.017725	0.247673	0.0227939	0.0154834	0.00544518	-0.00929057	-0.000910157	0.000465363	0.5	0.15	0.0066
0.9118	-0.116812	-0.134749	-0.017567	0.247602	0.0226345	0.0153739	0.00555461	-0.00911437	-0.000996073	0.000606021	0.5	0.15	0.0088
