xm 	 xl 	 cl 	 cd 	
-1.27500e-01 	 5.00000e-03 	 4.92387e-03 	-7.12059e-03 	
-1.22500e-01 	 5.00000e-03 	 4.83930e-03 	-7.58493e-03 	
-1.17500e-01 	 5.00000e-03 	 4.75605e-03 	-8.04080e-03 	
-1.12500e-01 	 5.00000e-03 	 4.67650e-03 	-8.49449e-03 	
-1.07500e-01 	 5.00000e-03 	 4.59759e-03 	-8.93314e-03 	
-1.02500e-01 	 5.00000e-03 	 4.52243e-03 	-9.38311e-03 	
-9.75000e-02 	 5.00000e-03 	 4.44794e-03 	-9.82056e-03 	
-9.25000e-02 	 5.00000e-03 	 4.37472e-03 	-1.02541e-02 	
-8.75000e-02 	 5.00000e-03 	 4.30094e-03 	-1.06711e-02 	
-8.25000e-02 	 5.00000e-03 	 4.22723e-03 	-1.10802e-02 	
-7.75000e-02 	 5.00000e-03 	 4.15632e-03 	-1.14877e-02 	
-7.25000e-02 	 5.00000e-03 	 4.08599e-03 	-1.18882e-02 	
-6.75000e-02 	 5.00000e-03 	 4.01489e-03 	-1.22730e-02 	
-6.25000e-02 	 5.00000e-03 	 3.94587e-03 	-1.26559e-02 	
-5.75000e-02 	 5.00000e-03 	 3.87868e-03 	-1.30344e-02 	
-5.25000e-02 	 5.00000e-03 	 3.81170e-03 	-1.34082e-02 	
-4.75000e-02 	 5.00000e-03 	 3.74539e-03 	-1.37800e-02 	
-4.25000e-02 	 5.00000e-03 	 3.68163e-03 	-1.41475e-02 	
-3.75000e-02 	 5.00000e-03 	 3.62022e-03 	-1.45116e-02 	
-3.25000e-02 	 5.00000e-03 	 3.55758e-03 	-1.48611e-02 	
-2.75000e-02 	 5.00000e-03 	 3.49399e-03 	-1.52023e-02 	
-2.25000e-02 	 5.00000e-03 	 3.43161e-03 	-1.55416e-02 	
-1.75000e-02 	 5.00000e-03 	 3.36971e-03 	-1.58773e-02 	
-1.25000e-02 	 5.00000e-03 	 3.30902e-03 	-1.62098e-02 	
-7.50000e-03 	 5.00000e-03 	 3.25170e-03 	-1.65406e-02 	
-2.50000e-03 	 5.00000e-03 	 3.19512e-03 	-1.68623e-02 	
 2.50000e-03 	 5.00000e-03 	 3.13988e-03 	-1.71823e-02 	
 7.50000e-03 	 5.00000e-03 	 3.08566e-03 	-1.75011e-02 	
 1.25000e-02 	 5.00000e-03 	 3.02958e-03 	-1.78107e-02 	
 1.75000e-02 	 5.00000e-03 	 2.97273e-03 	-1.81129e-02 	
 2.25000e-02 	 5.00000e-03 	 2.91780e-03 	-1.84137e-02 	
 2.75000e-02 	 5.00000e-03 	 2.86493e-03 	-1.87034e-02 	
 3.25000e-02 	 5.00000e-03 	 2.81299e-03 	-1.89920e-02 	
 3.75000e-02 	 5.00000e-03 	 2.76279e-03 	-1.92875e-02 	
 4.25000e-02 	 5.00000e-03 	 2.71315e-03 	-1.95790e-02 	
 4.75000e-02 	 5.00000e-03 	 2.66371e-03 	-1.98659e-02 	
 5.25000e-02 	 5.00000e-03 	 2.61250e-03 	-2.01440e-02 	
 5.75000e-02 	 5.00000e-03 	 2.56037e-03 	-2.04136e-02 	
 6.25000e-02 	 5.00000e-03 	 2.51033e-03 	-2.06781e-02 	
 6.75000e-02 	 5.00000e-03 	 2.46232e-03 	-2.09459e-02 	
 7.25000e-02 	 5.00000e-03 	 2.41552e-03 	-2.12146e-02 	
 7.75000e-02 	 5.00000e-03 	 2.36934e-03 	-2.14794e-02 	
 8.25000e-02 	 5.00000e-03 	 2.32337e-03 	-2.17411e-02 	
 8.75000e-02 	 5.00000e-03 	 2.27770e-03 	-2.19977e-02 	
 9.25000e-02 	 5.00000e-03 	 2.23192e-03 	-2.22512e-02 	
 9.75000e-02 	 5.00000e-03 	 2.18628e-03 	-2.24996e-02 	
 1.02500e-01 	 5.00000e-03 	 2.14210e-03 	-2.27493e-02 	
 1.07500e-01 	 5.00000e-03 	 2.09827e-03 	-2.29956e-02 	
 1.12500e-01 	 5.00000e-03 	 2.05418e-03 	-2.32377e-02 	
 1.17500e-01 	 5.00000e-03 	 2.01096e-03 	-2.34784e-02 	
 1.22500e-01 	 5.00000e-03 	 1.96860e-03 	-2.37178e-02 	
 1.27500e-01 	 5.00000e-03 	 1.92680e-03 	-2.39534e-02 	
 1.32500e-01 	 5.00000e-03 	 1.88574e-03 	-2.41875e-02 	
 1.37500e-01 	 5.00000e-03 	 1.84552e-03 	-2.44230e-02 	
 1.42500e-01 	 5.00000e-03 	 1.80515e-03 	-2.46522e-02 	
 1.47500e-01 	 5.00000e-03 	 1.76582e-03 	-2.48775e-02 	
 1.52500e-01 	 5.00000e-03 	 1.72938e-03 	-2.51058e-02 	
 1.57500e-01 	 5.00000e-03 	 1.69306e-03 	-2.53308e-02 	
 1.62500e-01 	 5.00000e-03 	 1.65733e-03 	-2.55546e-02 	
 1.67500e-01 	 5.00000e-03 	 1.62219e-03 	-2.57754e-02 	
 1.72500e-01 	 5.00000e-03 	 1.58642e-03 	-2.59928e-02 	
 1.77500e-01 	 5.00000e-03 	 1.55103e-03 	-2.62133e-02 	
 1.82500e-01 	 5.00000e-03 	 1.51532e-03 	-2.64319e-02 	
 1.87500e-01 	 5.00000e-03 	 1.47941e-03 	-2.66471e-02 	
 1.92500e-01 	 5.00000e-03 	 1.44455e-03 	-2.68627e-02 	
 1.97500e-01 	 5.00000e-03 	 1.41046e-03 	-2.70770e-02 	
 2.02500e-01 	 5.00000e-03 	 1.37704e-03 	-2.72892e-02 	
 2.07500e-01 	 5.00000e-03 	 1.34448e-03 	-2.75017e-02 	
 2.12500e-01 	 5.00000e-03 	 1.31227e-03 	-2.77125e-02 	
 2.17500e-01 	 5.00000e-03 	 1.28019e-03 	-2.79210e-02 	
 2.22500e-01 	 5.00000e-03 	 1.24946e-03 	-2.81307e-02 	
 2.27500e-01 	 5.00000e-03 	 1.21993e-03 	-2.83407e-02 	
 2.32500e-01 	 5.00000e-03 	 1.19115e-03 	-2.85487e-02 	
 2.37500e-01 	 5.00000e-03 	 1.16257e-03 	-2.87550e-02 	
 2.42500e-01 	 5.00000e-03 	 1.13423e-03 	-2.89593e-02 	
 2.47500e-01 	 5.00000e-03 	 1.10613e-03 	-2.91623e-02 	
 2.52500e-01 	 5.00000e-03 	 1.07892e-03 	-2.93674e-02 	
 2.57500e-01 	 5.00000e-03 	 1.04982e-03 	-2.95677e-02 	
 2.62500e-01 	 5.00000e-03 	 1.02146e-03 	-2.97695e-02 	
 2.67500e-01 	 5.00000e-03 	 9.93435e-04 	-2.99719e-02 	
 2.72500e-01 	 5.00000e-03 	 9.65464e-04 	-3.01725e-02 	
 2.77500e-01 	 5.00000e-03 	 8.31785e-04 	-3.08796e-02 	
