"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
9.04675e-01	-7.62564e-19	6.57224e-33	0.00000e+00	6.46197e-01	2.58479e-01	-8.51112e-01	-4.68530e-01	5.05344e-02	0.00000e+00
9.04757e-01	1.53586e-20	0.00000e+00	0.00000e+00	6.46255e-01	2.58502e-01	-8.50381e-01	-4.67281e-01	5.14223e-02	0.00000e+00
9.04811e-01	-1.10980e-18	-1.85043e-19	0.00000e+00	6.46294e-01	2.58518e-01	-8.49893e-01	-4.66007e-01	5.23065e-02	0.00000e+00
9.04843e-01	7.32402e-19	-5.66464e-19	0.00000e+00	6.46317e-01	2.58527e-01	-8.49612e-01	-4.64705e-01	5.31874e-02	0.00000e+00
9.04857e-01	3.70087e-19	0.00000e+00	0.00000e+00	6.46327e-01	2.58531e-01	-8.49490e-01	-4.63376e-01	5.40651e-02	0.00000e+00
9.04855e-01	-2.45099e-18	-1.88744e-19	0.00000e+00	6.46325e-01	2.58530e-01	-8.49504e-01	-4.62019e-01	5.49397e-02	0.00000e+00
9.04838e-01	-1.11405e-18	3.70087e-21	0.00000e+00	6.46314e-01	2.58525e-01	-8.49652e-01	-4.60634e-01	5.58114e-02	0.00000e+00
9.04806e-01	5.62717e-19	1.88790e-19	0.00000e+00	6.46291e-01	2.58516e-01	-8.49940e-01	-4.59220e-01	5.66803e-02	0.00000e+00
9.04755e-01	2.62114e-18	1.85043e-19	0.00000e+00	6.46254e-01	2.58502e-01	-8.50397e-01	-4.57777e-01	5.75464e-02	0.00000e+00
9.04680e-01	-1.11748e-18	-1.88744e-19	0.00000e+00	6.46200e-01	2.58480e-01	-8.51069e-01	-4.56304e-01	5.84098e-02	0.00000e+00
9.04576e-01	-1.52661e-20	-1.85043e-19	0.00000e+00	6.46126e-01	2.58450e-01	-8.51996e-01	-4.54800e-01	5.92704e-02	0.00000e+00
9.04438e-01	-1.88402e-18	0.00000e+00	0.00000e+00	6.46028e-01	2.58411e-01	-8.53225e-01	-4.53266e-01	6.01282e-02	0.00000e+00
9.04266e-01	-1.32204e-18	1.88837e-19	0.00000e+00	6.45905e-01	2.58362e-01	-8.54764e-01	-4.51701e-01	6.09832e-02	0.00000e+00
9.04069e-01	7.47668e-19	-3.79339e-21	0.00000e+00	6.45764e-01	2.58306e-01	-8.56517e-01	-4.50104e-01	6.18353e-02	0.00000e+00
9.03862e-01	-7.39988e-19	-1.88837e-19	0.00000e+00	6.45616e-01	2.58247e-01	-8.58367e-01	-4.48476e-01	6.26844e-02	0.00000e+00
9.03639e-01	-1.87310e-18	-1.88790e-19	0.00000e+00	6.45457e-01	2.58183e-01	-8.60359e-01	-4.46815e-01	6.35304e-02	0.00000e+00
9.03374e-01	-3.89239e-19	-3.73926e-19	0.00000e+00	6.45267e-01	2.58107e-01	-8.62730e-01	-4.45121e-01	6.43733e-02	0.00000e+00
9.03061e-01	7.55347e-19	1.88883e-19	0.00000e+00	6.45043e-01	2.58017e-01	-8.65530e-01	-4.43394e-01	6.52129e-02	0.00000e+00
9.02749e-01	-3.77581e-19	-1.88790e-19	0.00000e+00	6.44821e-01	2.57928e-01	-8.68311e-01	-4.41634e-01	6.60490e-02	0.00000e+00
9.02476e-01	1.11785e-18	0.00000e+00	0.00000e+00	6.44625e-01	2.57850e-01	-8.70757e-01	-4.39840e-01	6.68815e-02	0.00000e+00
9.02209e-01	-4.00804e-19	-1.88837e-19	0.00000e+00	6.44435e-01	2.57774e-01	-8.73136e-01	-4.38013e-01	6.77103e-02	0.00000e+00
9.01919e-01	-5.81221e-19	1.85043e-19	0.00000e+00	6.44227e-01	2.57691e-01	-8.75729e-01	-4.36151e-01	6.85351e-02	0.00000e+00
9.01602e-01	1.49922e-18	0.00000e+00	0.00000e+00	6.44001e-01	2.57600e-01	-8.78558e-01	-4.34254e-01	6.93558e-02	0.00000e+00
9.01279e-01	1.85228e-19	0.00000e+00	0.00000e+00	6.43771e-01	2.57509e-01	-8.81430e-01	-4.32323e-01	7.01722e-02	0.00000e+00
9.00998e-01	3.39555e-19	-1.88837e-19	0.00000e+00	6.43570e-01	2.57428e-01	-8.83941e-01	-4.30357e-01	7.09841e-02	0.00000e+00
9.00783e-01	-2.63585e-18	0.00000e+00	0.00000e+00	6.43417e-01	2.57367e-01	-8.85860e-01	-4.28356e-01	7.17913e-02	0.00000e+00
9.00593e-01	1.10980e-18	-1.88837e-19	0.00000e+00	6.43282e-01	2.57313e-01	-8.87549e-01	-4.26319e-01	7.25936e-02	0.00000e+00
9.00334e-01	3.17951e-18	0.00000e+00	0.00000e+00	6.43097e-01	2.57239e-01	-8.89860e-01	-4.24247e-01	7.33908e-02	0.00000e+00
8.99997e-01	2.65482e-18	1.88837e-19	0.00000e+00	6.42857e-01	2.57143e-01	-8.92864e-01	-4.22139e-01	7.41826e-02	0.00000e+00
8.99671e-01	2.62808e-18	0.00000e+00	0.00000e+00	6.42623e-01	2.57049e-01	-8.95787e-01	-4.19995e-01	7.49689e-02	0.00000e+00
8.99363e-01	-2.11967e-19	-1.85043e-19	0.00000e+00	6.42403e-01	2.56961e-01	-8.98532e-01	-4.17814e-01	7.57494e-02	0.00000e+00
8.99038e-01	-7.40173e-19	0.00000e+00	0.00000e+00	6.42172e-01	2.56869e-01	-9.01425e-01	-4.15598e-01	7.65239e-02	0.00000e+00
8.98682e-01	-3.77488e-19	0.00000e+00	0.00000e+00	6.41917e-01	2.56767e-01	-9.04614e-01	-4.13345e-01	7.72921e-02	0.00000e+00
8.98292e-01	3.00640e-18	0.00000e+00	0.00000e+00	6.41638e-01	2.56655e-01	-9.08091e-01	-4.11056e-01	7.80538e-02	0.00000e+00
8.97895e-01	9.25217e-23	0.00000e+00	0.00000e+00	6.41354e-01	2.56542e-01	-9.11641e-01	-4.08730e-01	7.88089e-02	0.00000e+00
8.97523e-01	1.96701e-19	1.85043e-19	0.00000e+00	6.41089e-01	2.56435e-01	-9.14965e-01	-4.06368e-01	7.95570e-02	0.00000e+00
8.97224e-01	-3.85445e-19	0.00000e+00	0.00000e+00	6.40874e-01	2.56350e-01	-9.17642e-01	-4.03968e-01	8.02979e-02	0.00000e+00
8.96836e-01	1.57287e-20	1.88790e-19	0.00000e+00	6.40597e-01	2.56239e-01	-9.21111e-01	-4.01532e-01	8.10314e-02	0.00000e+00
8.96137e-01	-5.59108e-19	-1.84997e-19	0.00000e+00	6.40098e-01	2.56039e-01	-9.27347e-01	-3.99059e-01	8.17572e-02	0.00000e+00
8.95402e-01	7.40081e-19	4.62608e-23	0.00000e+00	6.39574e-01	2.55830e-01	-9.33897e-01	-3.96550e-01	8.24751e-02	0.00000e+00
8.94935e-01	3.92394e-18	0.00000e+00	0.00000e+00	6.39239e-01	2.55696e-01	-9.38083e-01	-3.94003e-01	8.31849e-02	0.00000e+00
