"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
9.04215e-01	1.69972e-18	3.73834e-19	0.00000e+00	6.45868e-01	2.58347e-01	-8.55215e-01	-4.53311e-01	5.02922e-02	2.64000e-02
9.04166e-01	3.76933e-18	-1.85043e-19	0.00000e+00	6.45833e-01	2.58333e-01	-8.55656e-01	-4.52064e-01	5.11661e-02	2.64000e-02
9.04100e-01	9.36782e-19	0.00000e+00	0.00000e+00	6.45786e-01	2.58314e-01	-8.56249e-01	-4.50791e-01	5.20361e-02	2.64000e-02
9.04003e-01	-2.25059e-18	-1.84997e-19	0.00000e+00	6.45716e-01	2.58287e-01	-8.57117e-01	-4.49493e-01	5.29023e-02	2.64000e-02
9.03888e-01	7.32957e-19	-1.81111e-19	0.00000e+00	6.45634e-01	2.58254e-01	-8.58142e-01	-4.48168e-01	5.37650e-02	2.64000e-02
9.03774e-01	1.93000e-19	5.66464e-19	0.00000e+00	6.45553e-01	2.58221e-01	-8.59158e-01	-4.46815e-01	5.46244e-02	2.64000e-02
9.03655e-01	1.73663e-19	0.00000e+00	0.00000e+00	6.45468e-01	2.58187e-01	-8.60216e-01	-4.45436e-01	5.54805e-02	2.64000e-02
9.03506e-01	-1.09518e-18	-1.88790e-19	0.00000e+00	6.45362e-01	2.58145e-01	-8.61545e-01	-4.44028e-01	5.63335e-02	2.64000e-02
9.03304e-01	-1.85053e-18	-3.73834e-19	0.00000e+00	6.45217e-01	2.58087e-01	-8.63356e-01	-4.42592e-01	5.71834e-02	2.64000e-02
9.03041e-01	1.50292e-18	1.88744e-19	0.00000e+00	6.45029e-01	2.58012e-01	-8.65703e-01	-4.41127e-01	5.80303e-02	2.64000e-02
9.02736e-01	-1.69870e-19	4.62608e-23	0.00000e+00	6.44812e-01	2.57925e-01	-8.68427e-01	-4.39633e-01	5.88741e-02	2.64000e-02
