   n        time         Clv         Cdv
       0   320.00020   0.0000267   0.0037789
       1   320.12520   0.0000569   0.0037330
       2   320.25020   0.0000881   0.0036874
       3   320.37530   0.0001290   0.0036221
       4   320.50030   0.0001613   0.0035749
       5   320.62530   0.0001670   0.0035749
       6   320.75020   0.0001632   0.0035876
       7   320.87520   0.0001673   0.0035988
       8   321.00030   0.0001719   0.0036132
       9   321.12530   0.0001692   0.0036394
      10   321.25020   0.0001503   0.0037017
      11   321.37520   0.0001388   0.0037419
      12   321.50030   0.0001276   0.0037735
      13   321.62530   0.0001040   0.0038328
      14   321.75030   0.0000842   0.0038865
      15   321.87530   0.0000516   0.0039619
      16   322.00030   0.0000216   0.0040387
      17   322.12530  -0.0000214   0.0041333
      18   322.25020  -0.0000719   0.0042400
      19   322.37520  -0.0001227   0.0043380
      20   322.50030  -0.0001701   0.0044396
      21   322.62530  -0.0002145   0.0045327
      22   322.75030  -0.0002650   0.0046346
      23   322.87520  -0.0003244   0.0047492
      24   323.00030  -0.0003802   0.0048611
      25   323.12520  -0.0004327   0.0049632
      26   323.25020  -0.0004641   0.0050203
      27   323.37530  -0.0005058   0.0050907
      28   323.50030  -0.0005440   0.0051554
      29   323.62520  -0.0005616   0.0051838
      30   323.75030  -0.0005796   0.0052072
      31   323.87530  -0.0006017   0.0052384
      32   324.00030  -0.0006202   0.0052698
      33   324.12530  -0.0006336   0.0052956
      34   324.25020  -0.0006404   0.0053007
      35   324.37520  -0.0006416   0.0052943
      36   324.50030  -0.0006241   0.0052424
      37   324.62530  -0.0006096   0.0051994
      38   324.75020  -0.0005834   0.0051508
      39   324.87520  -0.0005477   0.0050816
      40   325.00020  -0.0005011   0.0049944
      41   325.12530  -0.0004647   0.0049247
      42   325.25030  -0.0004220   0.0048381
      43   325.37530  -0.0003783   0.0047496
      44   325.50020  -0.0003514   0.0046883
      45   325.62530  -0.0003303   0.0046428
      46   325.75020  -0.0003062   0.0045947
      47   325.87520  -0.0002740   0.0045321
      48   326.00020  -0.0002435   0.0044572
      49   326.12520  -0.0002169   0.0044028
      50   326.25030  -0.0001938   0.0043699
      51   326.37520  -0.0001805   0.0043419
      52   326.50030  -0.0001653   0.0043117
      53   326.62520  -0.0001491   0.0042945
      54   326.75020  -0.0001423   0.0042734
      55   326.87530  -0.0001453   0.0042748
      56   327.00020  -0.0001385   0.0042672
      57   327.12520  -0.0001292   0.0042539
      58   327.25030  -0.0001243   0.0042508
      59   327.37520  -0.0001183   0.0042422
      60   327.50020  -0.0001269   0.0042590
      61   327.62520  -0.0001403   0.0042839
      62   327.75020  -0.0001476   0.0042980
      63   327.87520  -0.0001568   0.0043201
      64   328.00020  -0.0001612   0.0043296
      65   328.12520  -0.0001708   0.0043502
      66   328.25020  -0.0001789   0.0043638
      67   328.37530  -0.0001941   0.0043939
      68   328.50020  -0.0002049   0.0044157
      69   328.62530  -0.0002170   0.0044440
      70   328.75030  -0.0002329   0.0044763
      71   328.87520  -0.0002451   0.0044999
      72   329.00030  -0.0002561   0.0045094
      73   329.12520  -0.0002704   0.0045413
      74   329.25030  -0.0002796   0.0045577
      75   329.37520  -0.0002852   0.0045676
      76   329.50030  -0.0002916   0.0045820
      77   329.62520  -0.0003007   0.0045983
      78   329.75030  -0.0003181   0.0046383
      79   329.87530  -0.0003313   0.0046689
      80   330.00020  -0.0003416   0.0046936
      81   330.12510  -0.0003567   0.0047254
      82   330.25010  -0.0003669   0.0047497
      83   330.37520  -0.0003739   0.0047678
      84   330.50010  -0.0003754   0.0047745
      85   330.62520  -0.0003841   0.0047885
      86   330.75010  -0.0003990   0.0048082
      87   330.87510  -0.0004078   0.0048187
      88   331.00010  -0.0004185   0.0048376
      89   331.12510  -0.0004270   0.0048522
      90   331.25020  -0.0004344   0.0048641
      91   331.37510  -0.0004400   0.0048706
      92   331.50020  -0.0004437   0.0048746
      93   331.62510  -0.0004445   0.0048716
      94   331.75020  -0.0004436   0.0048633
      95   331.87510  -0.0004393   0.0048484
      96   332.00020  -0.0004348   0.0048320
      97   332.12510  -0.0004332   0.0048197
      98   332.25010  -0.0004327   0.0048086
      99   332.37500  -0.0004309   0.0047996
     100   332.50010  -0.0004310   0.0047913
     101   332.62510  -0.0004296   0.0047823
     102   332.75020  -0.0004314   0.0047820
     103   332.87510  -0.0004375   0.0047924
     104   333.00010  -0.0004447   0.0048094
     105   333.12520  -0.0004542   0.0048318
     106   333.25000  -0.0004660   0.0048584
     107   333.37510  -0.0004781   0.0048865
     108   333.50010  -0.0004881   0.0049139
     109   333.62510  -0.0005009   0.0049465
     110   333.75000  -0.0005110   0.0049734
     111   333.87510  -0.0005177   0.0049948
     112   334.00010  -0.0005225   0.0050025
     113   334.12500  -0.0005378   0.0050387
     114   334.25010  -0.0005566   0.0050747
     115   334.37500  -0.0005640   0.0050836
     116   334.50010  -0.0005792   0.0051100
     117   334.62500  -0.0005957   0.0051414
     118   334.75010  -0.0006109   0.0051673
     119   334.87520  -0.0006238   0.0051908
     120   335.00010  -0.0006394   0.0052216
     121   335.12510  -0.0006576   0.0052564
     122   335.25010  -0.0006761   0.0052903
     123   335.37520  -0.0006982   0.0053337
     124   335.50000  -0.0007174   0.0053675
     125   335.62510  -0.0007379   0.0054045
     126   335.75010  -0.0007541   0.0054300
     127   335.87510  -0.0007654   0.0054502
     128   336.00000  -0.0007719   0.0054594
     129   336.12510  -0.0007767   0.0054629
     130   336.25000  -0.0007847   0.0054734
     131   336.37500  -0.0007886   0.0054748
     132   336.50000  -0.0007810   0.0054550
     133   336.62510  -0.0007690   0.0054264
     134   336.75010  -0.0007546   0.0053918
     135   336.87520  -0.0007356   0.0053479
     136   337.00000  -0.0007134   0.0053014
     137   337.12510  -0.0006893   0.0052544
     138   337.25010  -0.0006698   0.0052159
     139   337.37510  -0.0006541   0.0051863
     140   337.50020  -0.0006354   0.0051543
     141   337.62510  -0.0006158   0.0051162
     142   337.75010  -0.0005985   0.0050759
     143   337.87500  -0.0005778   0.0050431
     144   338.00010  -0.0005523   0.0049914
     145   338.12500  -0.0005324   0.0049464
     146   338.25020  -0.0005099   0.0048961
     147   338.37510  -0.0004864   0.0048386
     148   338.50020  -0.0004583   0.0047792
     149   338.62520  -0.0004284   0.0047170
     150   338.75000  -0.0004032   0.0046659
     151   338.87520  -0.0003828   0.0046244
     152   339.00010  -0.0003661   0.0045930
     153   339.12510  -0.0003458   0.0045579
     154   339.25010  -0.0003324   0.0045362
     155   339.37520  -0.0003228   0.0045231
     156   339.50000  -0.0003147   0.0045178
     157   339.62520  -0.0003123   0.0045257
     158   339.75010  -0.0003064   0.0045253
     159   339.87520  -0.0003039   0.0045329
     160   340.00010  -0.0003089   0.0045549
     161   340.12500  -0.0003170   0.0045820
     162   340.25010  -0.0003268   0.0046126
     163   340.37510  -0.0003324   0.0046337
     164   340.50000  -0.0003386   0.0046555
     165   340.62510  -0.0003455   0.0046751
     166   340.75010  -0.0003548   0.0046983
     167   340.87510  -0.0003659   0.0047210
     168   341.00000  -0.0003784   0.0047450
     169   341.12510  -0.0003929   0.0047708
     170   341.25010  -0.0004115   0.0048062
     171   341.37510  -0.0004298   0.0048395
     172   341.50010  -0.0004467   0.0048691
     173   341.62520  -0.0004632   0.0048983
     174   341.75010  -0.0004780   0.0049275
     175   341.87500  -0.0004918   0.0049572
