   n        time         Clp         Cdp
       0   320.00020   0.6774317   0.3268950
       1   320.12520   0.6883644   0.3302697
       2   320.25020   0.7006705   0.3345273
       3   320.37530   0.7147694   0.3405077
       4   320.50030   0.7262529   0.3454852
       5   320.62530   0.7356798   0.3498148
       6   320.75020   0.7450561   0.3550053
       7   320.87520   0.7530948   0.3601110
       8   321.00030   0.7585878   0.3643506
       9   321.12530   0.7606291   0.3676825
      10   321.25020   0.7597366   0.3706182
      11   321.37520   0.7569579   0.3722234
      12   321.50030   0.7556014   0.3744103
      13   321.62530   0.7524676   0.3762088
      14   321.75030   0.7462703   0.3766652
      15   321.87530   0.7390113   0.3767713
      16   322.00030   0.7296952   0.3763852
      17   322.12530   0.7198707   0.3760120
      18   322.25020   0.7105583   0.3762864
      19   322.37520   0.6990402   0.3762042
      20   322.50030   0.6858752   0.3747248
      21   322.62530   0.6730904   0.3729463
      22   322.75030   0.6616201   0.3718022
      23   322.87520   0.6503814   0.3702418
      24   323.00030   0.6387107   0.3680240
      25   323.12520   0.6287654   0.3663827
      26   323.25020   0.6210713   0.3654062
      27   323.37530   0.6161718   0.3657640
      28   323.50030   0.6106495   0.3650606
      29   323.62520   0.6040470   0.3629542
      30   323.75030   0.6003851   0.3618140
      31   323.87530   0.5989922   0.3617386
      32   324.00030   0.5983919   0.3615029
      33   324.12530   0.5970660   0.3603857
      34   324.25020   0.5963850   0.3588922
      35   324.37520   0.5982082   0.3580162
      36   324.50030   0.5997433   0.3560205
      37   324.62530   0.6042542   0.3549643
      38   324.75020   0.6097848   0.3544227
      39   324.87520   0.6155961   0.3533311
      40   325.00020   0.6220307   0.3525587
      41   325.12530   0.6278930   0.3516926
      42   325.25030   0.6343593   0.3506767
      43   325.37530   0.6419927   0.3503895
      44   325.50020   0.6495946   0.3506904
      45   325.62530   0.6557152   0.3506404
      46   325.75020   0.6594106   0.3498623
      47   325.87520   0.6643760   0.3502821
      48   326.00020   0.6686963   0.3502769
      49   326.12520   0.6710487   0.3493932
      50   326.25030   0.6733130   0.3487128
      51   326.37520   0.6740816   0.3474732
      52   326.50030   0.6775478   0.3478746
      53   326.62520   0.6800496   0.3484066
      54   326.75020   0.6815244   0.3485594
      55   326.87530   0.6824471   0.3490257
      56   327.00020   0.6821656   0.3488508
      57   327.12520   0.6802663   0.3482533
      58   327.25030   0.6767331   0.3468313
      59   327.37520   0.6739882   0.3453080
      60   327.50020   0.6729772   0.3453996
      61   327.62520   0.6699655   0.3450901
      62   327.75020   0.6653483   0.3435670
      63   327.87520   0.6619619   0.3429232
      64   328.00020   0.6598474   0.3432647
      65   328.12520   0.6586232   0.3441493
      66   328.25020   0.6550613   0.3438960
      67   328.37530   0.6494871   0.3428121
      68   328.50020   0.6465369   0.3435061
      69   328.62530   0.6468685   0.3461312
      70   328.75030   0.6451780   0.3480651
      71   328.87520   0.6431365   0.3495041
      72   329.00030   0.6405991   0.3509419
      73   329.12520   0.6391791   0.3531587
      74   329.25030   0.6366345   0.3544164
      75   329.37520   0.6346699   0.3556916
      76   329.50030   0.6353179   0.3581673
      77   329.62520   0.6359355   0.3604432
      78   329.75030   0.6357569   0.3621089
      79   329.87530   0.6351232   0.3632166
      80   330.00020   0.6348299   0.3638868
      81   330.12510   0.6341726   0.3640376
      82   330.25010   0.6311220   0.3629773
      83   330.37520   0.6272968   0.3610809
      84   330.50010   0.6232944   0.3585068
      85   330.62520   0.6189388   0.3562702
      86   330.75010   0.6148708   0.3543954
