"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Points:0"	"Points:1"	"Points:2"
8.61063e-01	-7.93011e-18	0.00000e+00	0.00000e+00	6.15044e-01	2.46018e-01	5.82776e-03	-4.67281e-01	5.14223e-02	0.00000e+00
8.61205e-01	-1.18952e-17	0.00000e+00	0.00000e+00	6.15145e-01	2.46058e-01	5.59756e-03	-4.66007e-01	5.23065e-02	0.00000e+00
8.61284e-01	-7.93031e-18	0.00000e+00	0.00000e+00	6.15202e-01	2.46081e-01	5.39343e-03	-4.64705e-01	5.31874e-02	0.00000e+00
8.61304e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.15216e-01	2.46087e-01	5.21709e-03	-4.63376e-01	5.40651e-02	0.00000e+00
8.61268e-01	3.96486e-18	0.00000e+00	0.00000e+00	6.15191e-01	2.46076e-01	5.06356e-03	-4.62019e-01	5.49397e-02	0.00000e+00
8.61179e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.15127e-01	2.46051e-01	4.93355e-03	-4.60634e-01	5.58114e-02	0.00000e+00
8.61039e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.15027e-01	2.46011e-01	4.82389e-03	-4.59220e-01	5.66803e-02	0.00000e+00
8.60854e-01	7.92991e-18	0.00000e+00	0.00000e+00	6.14895e-01	2.45958e-01	4.73122e-03	-4.57777e-01	5.75464e-02	0.00000e+00
8.60622e-01	3.96486e-18	0.00000e+00	0.00000e+00	6.14729e-01	2.45892e-01	4.65461e-03	-4.56304e-01	5.84098e-02	0.00000e+00
8.60353e-01	-9.91263e-18	0.00000e+00	0.00000e+00	6.14537e-01	2.45815e-01	4.58104e-03	-4.54800e-01	5.92704e-02	0.00000e+00
8.60048e-01	3.96565e-18	0.00000e+00	0.00000e+00	6.14318e-01	2.45727e-01	4.50538e-03	-4.53266e-01	6.01282e-02	0.00000e+00
8.59721e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.14084e-01	2.45634e-01	4.41419e-03	-4.51701e-01	6.09832e-02	0.00000e+00
8.59396e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.13851e-01	2.45541e-01	4.29387e-03	-4.50104e-01	6.18353e-02	0.00000e+00
8.59085e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.13629e-01	2.45452e-01	4.12038e-03	-4.48476e-01	6.26844e-02	0.00000e+00
8.58840e-01	-7.93011e-18	0.00000e+00	0.00000e+00	6.13454e-01	2.45382e-01	3.86406e-03	-4.46815e-01	6.35304e-02	0.00000e+00
8.58681e-01	-5.94738e-18	0.00000e+00	0.00000e+00	6.13338e-01	2.45335e-01	3.49111e-03	-4.45121e-01	6.43733e-02	0.00000e+00
8.58640e-01	9.91263e-18	0.00000e+00	0.00000e+00	6.13309e-01	2.45324e-01	2.98449e-03	-4.43394e-01	6.52129e-02	0.00000e+00
8.58739e-01	-5.94778e-18	0.00000e+00	0.00000e+00	6.13378e-01	2.45351e-01	2.38606e-03	-4.41634e-01	6.60490e-02	0.00000e+00
8.58915e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.13503e-01	2.45401e-01	1.80374e-03	-4.39840e-01	6.68815e-02	0.00000e+00
8.59108e-01	-5.94738e-18	0.00000e+00	0.00000e+00	6.13640e-01	2.45456e-01	1.35511e-03	-4.38013e-01	6.77103e-02	0.00000e+00
8.59137e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.13659e-01	2.45464e-01	1.04958e-03	-4.36151e-01	6.85351e-02	0.00000e+00
8.59082e-01	1.18952e-17	0.00000e+00	0.00000e+00	6.13625e-01	2.45450e-01	9.07695e-04	-4.34254e-01	6.93558e-02	0.00000e+00
8.58908e-01	-7.93031e-18	0.00000e+00	0.00000e+00	6.13499e-01	2.45400e-01	9.17734e-04	-4.32323e-01	7.01722e-02	0.00000e+00
8.58317e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.13081e-01	2.45233e-01	7.26218e-04	-4.30357e-01	7.09841e-02	0.00000e+00
8.58038e-01	-1.98233e-18	0.00000e+00	0.00000e+00	6.12887e-01	2.45155e-01	3.15118e-04	-4.28356e-01	7.17913e-02	0.00000e+00
8.58750e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.13391e-01	2.45356e-01	5.10406e-04	-4.26319e-01	7.25936e-02	0.00000e+00
8.59528e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.13955e-01	2.45582e-01	1.40338e-03	-4.24247e-01	7.33908e-02	0.00000e+00
8.58119e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.12934e-01	2.45174e-01	1.03512e-03	-4.22139e-01	7.41826e-02	0.00000e+00
8.56096e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.11495e-01	2.44598e-01	-1.66831e-03	-4.19995e-01	7.49689e-02	0.00000e+00
8.59819e-01	7.93011e-18	0.00000e+00	0.00000e+00	6.14191e-01	2.45676e-01	-3.01718e-03	-4.17814e-01	7.57494e-02	0.00000e+00
8.67555e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.19697e-01	2.47879e-01	-4.49474e-04	-4.15598e-01	7.65239e-02	0.00000e+00
8.72346e-01	1.98233e-18	0.00000e+00	0.00000e+00	6.23124e-01	2.49250e-01	2.99159e-03	-4.13345e-01	7.72921e-02	0.00000e+00
8.74331e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.24511e-01	2.49805e-01	5.37566e-03	-4.11056e-01	7.80538e-02	0.00000e+00
8.70587e-01	-7.92991e-18	0.00000e+00	0.00000e+00	6.21815e-01	2.48726e-01	5.79988e-03	-4.08730e-01	7.88089e-02	0.00000e+00
8.60581e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14649e-01	2.45859e-01	1.15937e-03	-4.06368e-01	7.95570e-02	0.00000e+00
8.59112e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.13683e-01	2.45473e-01	-4.30543e-03	-4.03968e-01	8.02979e-02	0.00000e+00
8.73318e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.23879e-01	2.49551e-01	-1.61252e-03	-4.01532e-01	8.10314e-02	0.00000e+00
8.87620e-01	5.94758e-18	0.00000e+00	0.00000e+00	6.34089e-01	2.53635e-01	6.73006e-03	-3.99059e-01	8.17572e-02	0.00000e+00
8.93358e-01	-3.96505e-22	-1.98253e-18	0.00000e+00	6.38169e-01	2.55268e-01	1.10082e-02	-3.96550e-01	8.24751e-02	0.00000e+00
8.95134e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.39380e-01	2.55752e-01	9.99378e-03	-3.94003e-01	8.31849e-02	0.00000e+00
8.93629e-01	-3.96505e-18	-1.98253e-18	0.00000e+00	6.38322e-01	2.55329e-01	8.62674e-03	-3.91420e-01	8.38863e-02	0.00000e+00
8.88875e-01	7.93050e-18	0.00000e+00	0.00000e+00	6.34874e-01	2.53950e-01	7.85906e-03	-3.88799e-01	8.45791e-02	0.00000e+00
8.82736e-01	1.98273e-18	0.00000e+00	0.00000e+00	6.30523e-01	2.52209e-01	5.94474e-03	-3.86142e-01	8.52631e-02	0.00000e+00
8.80137e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.28686e-01	2.51474e-01	4.96187e-03	-3.83448e-01	8.59380e-02	0.00000e+00
