"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Points:0"	"Points:1"	"Points:2"
8.90831e-01	3.96545e-18	0.00000e+00	0.00000e+00	6.36324e-01	2.54529e-01	-8.47220e-04	-4.00441e-01	8.62759e-02	-2.86000e-02
8.93057e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.37905e-01	2.55162e-01	-3.95066e-04	-3.97703e-01	8.69689e-02	-2.86000e-02
8.94059e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.38620e-01	2.55448e-01	9.53716e-04	-3.94927e-01	8.76523e-02	-2.86000e-02
8.93197e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.38003e-01	2.55201e-01	1.36523e-03	-3.92114e-01	8.83261e-02	-2.86000e-02
8.91799e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.36999e-01	2.54799e-01	2.83207e-04	-3.89263e-01	8.89898e-02	-2.86000e-02
8.91086e-01	-1.98253e-18	0.00000e+00	0.00000e+00	6.36504e-01	2.54602e-01	-1.27138e-03	-3.86374e-01	8.96434e-02	-2.86000e-02
8.92282e-01	-3.96486e-18	1.98253e-18	0.00000e+00	6.37349e-01	2.54939e-01	-2.46109e-03	-3.83448e-01	9.02866e-02	-2.86000e-02
8.94606e-01	3.96486e-18	0.00000e+00	0.00000e+00	6.39017e-01	2.55607e-01	-2.29522e-03	-3.80484e-01	9.09192e-02	-2.86000e-02
8.96049e-01	-3.96545e-18	1.98263e-18	0.00000e+00	6.40035e-01	2.56014e-01	-1.27189e-03	-3.77483e-01	9.15409e-02	-2.86000e-02
8.97435e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.41052e-01	2.56421e-01	-1.26165e-03	-3.74445e-01	9.21515e-02	-2.86000e-02
9.00425e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.43161e-01	2.57264e-01	-1.35317e-03	-3.71370e-01	9.27508e-02	-2.86000e-02
9.01731e-01	-3.96505e-22	0.00000e+00	0.00000e+00	6.44105e-01	2.57642e-01	-3.72088e-04	-3.68258e-01	9.33386e-02	-2.86000e-02
9.00096e-01	-1.98253e-18	0.00000e+00	0.00000e+00	6.42930e-01	2.57172e-01	1.02348e-03	-3.65109e-01	9.39147e-02	-2.86000e-02
8.98005e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.41438e-01	2.56575e-01	1.63273e-03	-3.61923e-01	9.44789e-02	-2.86000e-02
8.96956e-01	-1.98273e-18	0.00000e+00	0.00000e+00	6.40693e-01	2.56277e-01	1.20622e-03	-3.58701e-01	9.50310e-02	-2.86000e-02
8.96939e-01	7.92991e-18	0.00000e+00	0.00000e+00	6.40676e-01	2.56270e-01	1.41376e-04	-3.55443e-01	9.55708e-02	-2.86000e-02
8.97073e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.40771e-01	2.56308e-01	-1.84838e-04	-3.52149e-01	9.60980e-02	-2.86000e-02
8.96009e-01	3.96545e-18	0.00000e+00	0.00000e+00	6.40005e-01	2.56002e-01	5.38104e-04	-3.48819e-01	9.66126e-02	-2.86000e-02
