"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Points:0"	"Points:1"	"Points:2"
9.01058e-01	-2.49849e-18	5.55111e-19	0.00000e+00	6.43613e-01	2.57445e-01	-5.61545e-05	6.89473e-06	-3.22184e-06	-7.07202e-04	-8.83410e-01	2.64452e-02	8.82374e-02	1.10000e-01
9.00970e-01	-2.77833e-19	-2.08236e-19	0.00000e+00	6.43550e-01	2.57420e-01	-5.50825e-05	6.86412e-06	-6.58591e-07	-6.93857e-04	-8.84195e-01	3.12173e-02	8.76520e-02	1.10000e-01
9.00906e-01	5.55597e-19	-2.08375e-19	0.00000e+00	6.43504e-01	2.57402e-01	-5.65984e-05	7.13876e-06	1.06787e-06	-7.13085e-04	-8.84771e-01	3.59853e-02	8.70592e-02	1.10000e-01
9.00868e-01	3.46945e-22	-1.59595e-18	0.00000e+00	6.43477e-01	2.57391e-01	-5.94657e-05	7.57435e-06	1.33584e-06	-7.49327e-04	-8.85111e-01	4.07487e-02	8.64592e-02	1.10000e-01
9.00822e-01	1.52642e-18	-1.38778e-19	0.00000e+00	6.43444e-01	2.57377e-01	-6.11039e-05	7.85213e-06	2.79899e-06	-7.70079e-04	-8.85525e-01	4.55069e-02	8.58522e-02	1.10000e-01
9.00748e-01	4.30073e-18	-2.08306e-19	0.00000e+00	6.43391e-01	2.57356e-01	-6.22218e-05	8.09834e-06	7.06064e-06	-7.84332e-04	-8.86184e-01	5.02594e-02	8.52384e-02	1.10000e-01
9.00691e-01	2.08063e-18	8.32459e-19	0.00000e+00	6.43351e-01	2.57340e-01	-6.52679e-05	8.61225e-06	1.11139e-05	-8.22921e-04	-8.86688e-01	5.50058e-02	8.46180e-02	1.10000e-01
9.00673e-01	9.71098e-19	9.02126e-19	0.00000e+00	6.43338e-01	2.57335e-01	-6.87089e-05	9.21765e-06	1.21602e-05	-8.66555e-04	-8.86850e-01	5.97454e-02	8.39911e-02	1.10000e-01
9.00612e-01	-4.30218e-18	-3.46945e-23	0.00000e+00	6.43294e-01	2.57318e-01	-7.05912e-05	9.57099e-06	1.23818e-05	-8.90463e-04	-8.87395e-01	6.44778e-02	8.33579e-02	1.10000e-01
9.00488e-01	-6.24362e-18	-6.24292e-19	0.00000e+00	6.43206e-01	2.57282e-01	-7.29345e-05	9.96687e-06	1.48990e-05	-9.20154e-04	-8.88500e-01	6.92024e-02	8.27187e-02	1.10000e-01
